,id,season,week,start_date,home_team,home_elo,away_team,away_elo,home_points,away_points,neutral,conference_game,home_win_prob,home_pr,home_pr_rank,home_or,home_or_rank,home_dr,home_dr_rank,away_pr,away_pr_rank,away_or,away_or_rank,away_dr,away_dr_rank,PEAR_win_prob,pr_spread,PEAR,total,home_score,away_score,GQI
0,401635525,2024,1,2024-08-24,Georgia Tech,1497,Florida State,1692.0,24.0,21.0,True,True,24.55,4.7,50,32.0,36,27.3,68,-4.3,86.0,20.3,110.0,24.6,52.0,73.32,8.5,Georgia Tech -8.5,52.1,30.3,21.8,7.2
1,401643697,2024,1,2024-08-24,New Mexico,1234,Montana State,,31.0,35.0,False,False,50.0,-13.8,115,27.6,60,41.4,132,-24.9,,13.2,,12.1,,80.46,14.1,New Mexico -14.1,47.2,30.6,16.6,3.2
2,401643696,2024,1,2024-08-24,Nevada,1222,SMU,1690.0,24.0,29.0,False,False,6.33,-12.5,111,21.4,105,33.9,111,15.9,13.0,37.7,6.0,21.8,31.0,4.65,-26.3,SMU -26.3,57.4,15.6,41.8,3.4
3,401643858,2024,1,2024-08-24,Hawai'i,1227,Delaware State,,35.0,14.0,False,False,50.0,-12.2,109,19.3,113,31.6,97,-24.9,,13.2,,12.1,,83.13,15.7,Hawai'i -15.7,38.1,26.9,11.2,3.0
4,401628458,2024,1,2024-08-29,Rutgers,1460,Howard,,44.0,7.0,False,False,50.0,5.3,45,28.3,57,23.0,39,-24.9,,13.2,,12.1,,97.24,33.2,Rutgers -33.2,38.3,35.8,2.5,2.0
5,401644729,2024,1,2024-08-29,Bowling Green,1431,Fordham,,41.0,17.0,False,False,50.0,-3.2,77,24.7,87,27.9,72,-24.9,,13.2,,12.1,,93.12,24.7,Bowling Green -24.7,38.9,31.8,7.1,2.4
6,401634299,2024,1,2024-08-29,NC State,1606,Western Carolina,,38.0,21.0,False,False,50.0,0.7,66,28.6,54,27.9,72,-24.9,,13.2,,12.1,,95.45,28.6,NC State -28.6,40.9,34.8,6.1,2.2
7,401644730,2024,1,2024-08-29,Central Michigan,1333,Central Connecticut,,66.0,10.0,False,False,50.0,-16.0,123,17.9,119,34.0,112,-24.9,,13.2,,12.1,,76.28,11.9,Central Michigan -11.9,38.6,25.2,13.4,3.4
8,401628581,2024,1,2024-08-29,Wake Forest,1431,North Carolina A&T,,45.0,13.0,False,False,50.0,-5.8,91,26.0,74,31.8,99,-24.9,,13.2,,12.1,,91.0,22.1,Wake Forest -22.1,41.6,31.8,9.8,2.5
9,401628582,2024,1,2024-08-29,UCF,1578,New Hampshire,,57.0,3.0,False,False,50.0,4.8,49,29.9,45,25.1,56,-24.9,,13.2,,12.1,,97.08,32.7,UCF -32.7,40.2,36.4,3.8,2.0
10,401636387,2024,1,2024-08-29,UL Monroe,1156,Jackson State,,30.0,14.0,False,False,50.0,-14.3,119,17.5,121,31.8,99,-24.9,,13.2,,12.1,,79.56,13.6,UL Monroe -13.6,37.3,25.4,11.8,3.2
11,401644727,2024,1,2024-08-29,Buffalo,1357,Lafayette,,30.0,13.0,False,False,50.0,-7.5,97,24.1,91,31.5,96,-24.9,,13.2,,12.1,,89.31,20.4,Buffalo -20.4,40.4,30.4,10.0,2.7
12,401628320,2024,1,2024-08-29,Arkansas,1454,Arkansas-Pine Bluff,,70.0,0.0,True,False,50.0,9.4,31,31.3,39,21.9,33,-24.9,,13.2,,12.1,,97.92,34.3,Arkansas -34.3,39.2,36.8,2.5,2.1
13,401644728,2024,1,2024-08-29,Toledo,1526,Duquesne,,49.0,10.0,False,False,50.0,-4.1,83,23.3,94,27.4,70,-24.9,,13.2,,12.1,,92.45,23.8,Toledo -23.8,38.0,30.9,7.1,2.4
14,401628327,2024,1,2024-08-29,Missouri,1744,Murray State,,51.0,0.0,False,False,50.0,12.4,22,32.4,32,19.9,24,-24.9,,13.2,,12.1,,98.74,40.3,Missouri -40.3,38.8,39.6,-0.8,2.2
15,401640998,2024,1,2024-08-29,Jacksonville State,1538,Coastal Carolina,1448.0,27.0,55.0,False,False,62.67,-2.1,74,27.5,61,29.6,82,-8.9,103.0,25.2,81.0,34.0,112.0,71.75,10.1,Jacksonville State -10.1,58.2,34.2,24.0,6.6
16,401645316,2024,1,2024-08-29,UAB,1363,Alcorn State,,41.0,3.0,False,False,50.0,-12.6,112,26.0,74,38.7,125,-24.9,,13.2,,12.1,,82.49,15.3,UAB -15.3,45.0,30.2,14.8,3.1
17,401636606,2024,1,2024-08-29,Kansas,1619,Lindenwood,,48.0,3.0,True,False,50.0,7.5,38,33.5,25,25.9,62,-24.9,,13.2,,12.1,,97.44,32.4,Kansas -32.4,42.3,37.3,4.9,2.0
18,401645318,2024,1,2024-08-29,Tulsa,1248,Northwestern State,,62.0,28.0,False,False,50.0,-24.3,131,18.9,114,43.2,133,-24.9,,13.2,,12.1,,55.87,3.6,Tulsa -3.6,43.7,23.7,20.0,4.2
19,401645317,2024,1,2024-08-29,Tulane,1565,SE Louisiana,,52.0,0.0,False,False,50.0,7.8,37,34.1,21,26.3,64,-24.9,,13.2,,12.1,,97.9,35.7,Tulane -35.7,42.8,39.2,3.5,2.1
20,401634206,2024,1,2024-08-29,Colorado,1324,North Dakota State,,31.0,26.0,False,False,50.0,10.7,28,33.8,22,23.1,40,-24.9,,13.2,,12.1,,98.47,38.6,Colorado -38.6,41.1,39.8,1.2,2.2
21,401628448,2024,1,2024-08-29,Minnesota,1492,North Carolina,1546.0,17.0,19.0,False,False,42.29,10.8,27,25.5,77,14.7,10,2.0,62.0,30.0,43.0,28.0,74.0,76.08,11.6,Minnesota -11.6,49.1,30.4,18.8,8.2
22,401636607,2024,1,2024-08-29,Utah,1622,Southern Utah,,49.0,0.0,False,False,50.0,6.1,42,23.0,96,16.9,16,-24.9,,13.2,,12.1,,97.47,34.0,Utah -34.0,32.6,33.3,-0.7,2.0
23,401654845,2024,1,2024-08-29,Illinois,1502,Eastern Illinois,,45.0,0.0,False,False,50.0,8.0,36,28.9,53,20.9,28,-24.9,,13.2,,12.1,,97.94,35.9,Illinois -35.9,37.6,36.8,0.9,2.1
24,401643698,2024,1,2024-08-29,San José State,1544,Sacramento State,,42.0,24.0,False,False,50.0,-6.9,95,24.7,87,31.6,97,-24.9,,13.2,,12.1,,89.94,21.0,San José State -21.0,40.8,30.9,9.9,2.6
25,401645319,2024,1,2024-08-30,Army,1425,Lehigh,,42.0,7.0,False,False,50.0,6.3,41,29.5,49,23.3,42,-24.9,,13.2,,12.1,,97.52,34.2,Army -34.2,39.0,36.6,2.4,2.0
26,401628453,2024,1,2024-08-30,Michigan State,1392,Florida Atlantic,1422.0,16.0,10.0,False,False,45.69,-3.9,81,18.9,114,22.8,38,-13.9,116.0,19.5,111.0,33.4,108.0,78.44,12.9,Michigan State -12.9,47.3,30.1,17.2,5.2
27,401628328,2024,1,2024-08-30,Oklahoma,1786,Temple,1178.0,51.0,3.0,False,False,97.07,10.0,29,26.5,68,16.6,15,-20.2,127.0,17.5,121.0,37.7,124.0,97.24,34.1,Oklahoma -34.1,49.2,41.7,7.6,2.4
28,401628584,2024,1,2024-08-30,Duke,1602,Elon,,26.0,3.0,False,False,50.0,3.3,54,25.4,78,22.1,34,-24.9,,13.2,,12.1,,96.56,31.2,Duke -31.2,36.4,33.8,2.6,2.0
29,401628461,2024,1,2024-08-30,Wisconsin,1587,Western Michigan,1315.0,28.0,14.0,False,False,82.72,4.3,52,23.3,94,18.9,21,-10.5,105.0,25.2,81.0,35.7,119.0,86.19,18.5,Wisconsin -18.5,51.6,35.0,16.6,5.3
30,401634300,2024,1,2024-08-30,Stanford,1286,TCU,1587.0,27.0,34.0,False,False,15.02,-6.8,94,25.9,76,32.6,103,9.6,30.0,33.5,25.0,23.9,49.0,15.79,-14.1,TCU -14.1,58.0,22.0,36.0,5.8
31,401643703,2024,1,2024-08-30,Utah State,1346,Robert Morris,,36.0,14.0,False,False,50.0,-11.3,107,30.0,43,41.3,131,-24.9,,13.2,,12.1,,84.5,16.6,Utah State -16.6,48.3,32.4,15.8,3.0
