,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,OBP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
1,Rice,70,2372,748,0.315,10.685714285714285,33.885714285714286,0.31534569983136596,251.0,3.585714285714286,618.2,217,3.16,260,1856,773,74,0.973,11.042857142857143,1.0571428571428572,523.0,7.4714285714285715,1196,0.504,9.5,3.6514008620689657,1.2471692009058557,0.4005046863734679,0.9045046863734679,0.782,0.37614250614250616,257.17489900467706,2.4897037147786847,2.438947576887703,4.928651291666387,0.18887015177065766,159.00367655184425,0.0881010881010881,0.2770634591455827,3.7851827887415075,0.09174190395417328,0.7244749457204072,2.601593625498008,5.9,Western Athletic
2,Cal St. Fullerton,65,2281,713,0.313,10.96923076923077,35.09230769230769,0.3125822007891276,129.0,1.9846153846153847,590.0,179,2.73,212,1770,655,58,0.977,10.076923076923077,0.8923076923076924,428.0,6.584615384615384,1016,0.445,7.3,1.9677966101694915,1.0576271186440678,0.3626943005181347,0.8076943005181347,0.783,0.3359522893420547,5.945708785289384,0.05756025687972829,2.14124077708862,2.198801033968348,0.1328364752301622,101.49534120078798,0.04963447479799923,0.2897923875432526,3.233898305084746,-0.014976636160035422,0.7317568980248046,3.7286821705426356,5.51,Big West
3,North Carolina,69,2448,785,0.321,11.376811594202898,35.47826086956522,0.3206699346405229,232.0,3.36231884057971,624.0,232,3.35,286,1872,759,96,0.965,11.0,1.391304347826087,513.0,7.434782608695652,1194,0.488,7.8,3.3461538461538463,1.2548076923076923,0.3897270114942529,0.8777270114942528,0.744,0.3637460869565217,181.50265926783084,1.7571226693205009,2.2690681599157005,4.026190829236201,0.1670751633986928,141.26559279779366,0.08069565217391304,0.2826086956521739,4.125,0.3381484502446983,0.6919341680921836,2.3405172413793105,4.97,ACC
4,Clemson,69,2390,725,0.303,10.507246376811594,34.63768115942029,0.303347280334728,211.0,3.0579710144927534,615.0,223,3.26,277,1845,735,73,0.972,10.652173913043478,1.0579710144927537,485.0,7.028985507246377,1148,0.48,8.0,3.0878048780487806,1.2504065040650407,0.36887392442947997,0.84887392442948,0.736,0.34901798561151076,85.87401069700664,0.8313441329723,2.266099462644123,3.097443595616423,0.17698744769874478,120.19109610028593,0.07589928057553957,0.26741293532338306,4.053658536585366,0.21789371211819794,0.6985893367058289,2.6066350710900474,4.95,ACC
5,Col. of Charleston,63,2233,725,0.325,11.507936507936508,35.44444444444444,0.3246753246753247,258.0,4.095238095238095,575.1,193,3.02,238,1726,665,83,0.966,10.555555555555555,1.3174603174603174,426.0,6.761904761904762,1000,0.448,8.2,4.035921205098493,1.3406364110589462,0.40600924499229585,0.8540092449922958,0.744,0.3543281938325991,115.80966042274015,1.1211504033934143,1.4550855506815545,2.576235954074969,0.12315270935960591,127.78949340872876,0.0947136563876652,0.3026025584472872,3.7245696400625974,0.48468676842640074,0.7486958632778222,2.0232558139534884,4.66,Southern
6,Oregon St.,66,2264,684,0.302,10.363636363636363,34.303030303030305,0.30212014134275617,237.0,3.590909090909091,585.1,222,3.41,261,1756,741,63,0.975,11.227272727272727,0.9545454545454546,463.0,7.015151515151516,979,0.432,7.1,3.644077448747152,1.2749957272261152,0.3811710677382319,0.8131710677382319,0.741,0.34325780089153046,49.21045000530916,0.47640512607694624,1.4590815302276168,1.935486656304563,0.13030035335689047,111.94882569389848,0.08803863298662705,0.2816166883963494,4.014698342163732,0.6219005242477477,0.7089705312447908,1.9451476793248945,4.57,Pac-12
7,Nebraska,59,2044,634,0.31,10.745762711864407,34.644067796610166,0.3101761252446184,187.0,3.169491525423729,526.0,199,3.4,230,1578,666,61,0.974,11.288135593220339,1.0338983050847457,376.0,6.372881355932203,982,0.48,6.6,3.1996197718631176,1.268060836501901,0.38504512247529005,0.86504512247529,0.711,0.3586111111111111,125.15948777294201,1.211665846294059,0.7163216273819054,1.9279874736759646,0.17025440313111545,133.9179361677321,0.0775290215588723,0.2731234866828087,3.9353612167300382,0.568255726682339,0.7144531138400456,2.0748663101604277,4.53,Big 12
8,Virginia,62,2132,687,0.322,11.080645161290322,34.38709677419355,0.3222326454033771,156.0,2.5161290322580645,551.1,186,3.04,233,1654,616,71,0.97,9.935483870967742,1.1451612903225807,464.0,7.483870967741935,928,0.435,8.5,2.546553808948005,1.1449827617492288,0.3849979278905926,0.8199979278905927,0.779,0.34022556390977443,29.420236828324665,0.2848165711530682,1.61684317655414,1.9016597477072081,0.11309244486156735,107.60998616793846,0.061733280569845665,0.3050691244239631,3.805117038649973,-0.05437643177237406,0.6947807497337396,3.326923076923077,4.41,ACC
9,South Carolina,66,2332,711,0.305,10.772727272727273,35.333333333333336,0.3048885077186964,241.0,3.6515151515151514,590.1,305,4.65,343,1771,629,54,0.978,9.530303030303031,0.8181818181818182,487.0,7.378787878787879,1137,0.488,8.1,3.674195369847544,1.3963734960176242,0.38352059925093634,0.8715205992509363,0.655,0.369580549368968,204.48439900032912,1.979608312381013,1.7508790474751645,3.730487359856178,0.18267581475128644,149.61414743918894,0.0894580549368968,0.26262197708952056,5.2313167259786475,0.3895509180433099,0.6311586414386502,2.215767634854772,4.17,SEC
10,Georgia Tech,68,2414,768,0.318,11.294117647058824,35.5,0.31814415907207955,232.0,3.411764705882353,604.2,299,4.45,356,1814,731,95,0.964,10.75,1.3970588235294117,594.0,8.735294117647058,1202,0.498,7.5,3.453142227122382,1.4763323402846737,0.3912885662431942,0.8892885662431942,0.718,0.37322166785459726,235.35169189416717,2.27843379682906,1.8642063309761832,4.142640127805244,0.17978458989229495,154.82423784412913,0.08267997148966501,0.2773006134969325,5.302879841112214,0.4705303225437165,0.6471753806675787,2.163793103448276,4.16,ACC
11,Notre Dame,63,2176,681,0.313,10.80952380952381,34.53968253968254,0.31295955882352944,171.0,2.7142857142857144,572.0,224,3.52,261,1716,706,69,0.972,11.206349206349206,1.0952380952380953,432.0,6.857142857142857,935,0.43,7.9,2.690559440559441,1.2272727272727273,0.3846464646464646,0.8146464646464646,0.715,0.34673236105636585,65.67392182697347,0.6357875817955597,1.77982780321591,2.4156153850114697,0.11672794117647059,116.92058715885602,0.0674024438312968,0.294010889292196,4.106643356643357,0.09395692398955081,0.6859494031187415,2.9473684210526314,4.06,Big East
12,Oral Roberts,57,2015,658,0.327,11.543859649122806,35.35087719298246,0.32655086848635234,194.0,3.4035087719298245,494.0,199,3.63,237,1481,611,59,0.973,10.719298245614034,1.0350877192982457,453.0,7.947368421052632,998,0.495,7.7,3.5344129554655868,1.3218623481781377,0.40267011197243757,0.8976701119724375,0.766,0.37827761320355474,224.34904043263705,2.1719174053685992,0.3687098957767225,2.5406273011453218,0.1687344913151365,162.05880943373032,0.08209902666102412,0.29290953545232273,4.317813765182186,0.4665629313590161,0.6938737474121498,2.185567010309278,3.94,Mid-Continent
13,Miami (FL),66,2253,698,0.31,10.575757575757576,34.13636363636363,0.309809143364403,258.0,3.909090909090909,588.0,283,4.33,327,1764,681,79,0.969,10.318181818181818,1.196969696969697,465.0,7.045454545454546,1063,0.472,7.1,3.9489795918367347,1.336734693877551,0.3915869980879541,0.863586998087954,0.656,0.35939001848428836,144.97568817871817,1.4035059829248215,1.4170538613079038,2.8205598442327253,0.16200621393697293,135.03247771515626,0.09537892791127542,0.2761031017911752,5.005102040816326,0.705568021662172,0.6338986696461506,1.810077519379845,3.91,ACC
14,Florida St.,65,2269,676,0.298,10.4,34.90769230769231,0.2979286029087704,228.0,3.5076923076923077,587.0,231,3.54,296,1761,737,86,0.967,11.338461538461539,1.323076923076923,483.0,7.430769230769231,1044,0.46,8.0,3.495741056218058,1.362862010221465,0.37418363426815215,0.8341836342681521,0.71,0.34600148093298777,65.59776248455556,0.6350502851213243,1.7353932006538992,2.3704434857752235,0.16225749559082892,115.8747679873562,0.08441318030359127,0.2638888888888889,4.538330494037478,0.3614374525819063,0.6819763912095876,2.276315789473684,3.86,ACC
15,NC State,63,2303,767,0.333,12.174603174603174,36.55555555555556,0.3330438558402084,245.0,3.888888888888889,570.1,285,4.5,342,1711,726,76,0.97,11.523809523809524,1.2063492063492063,538.0,8.53968253968254,1109,0.482,6.7,3.8661601402688484,1.5102613576565513,0.40852974186307517,0.8905297418630751,0.696,0.3765820456217807,247.96498798637327,2.4005427983603407,1.1255377594654257,3.5260805578257663,0.14850195397307858,159.6326152783919,0.09013980868285504,0.3036626916524702,5.39905279775478,0.7643279433819032,0.64720918813558,1.7306122448979593,3.82,ACC
16,Alabama,65,2257,657,0.291,10.107692307692307,34.723076923076924,0.2910943730615862,217.0,3.3384615384615386,581.2,228,3.53,271,1745,682,86,0.966,10.492307692307692,1.323076923076923,429.0,6.6,955,0.423,7.6,3.357593123209169,1.2887130075705435,0.36377891023128184,0.7867789102312819,0.699,0.3334772640427971,-8.192284687095503,-0.07930930155673986,1.6208492710933984,1.5415399695366585,0.13203367301727958,97.95381800824688,0.08291937332823844,0.2662280701754386,4.196490020646937,0.3977353487019597,0.6947386470665837,2.271889400921659,3.75,SEC
17,Pepperdine,63,2176,653,0.3,10.365079365079366,34.53968253968254,0.3000919117647059,157.0,2.492063492063492,561.0,217,3.48,245,1683,681,61,0.975,10.80952380952381,0.9682539682539683,359.0,5.698412698412699,878,0.403,6.0,2.518716577540107,1.3101604278074865,0.35342691990090835,0.7564269199009084,0.668,0.3198072289156626,-82.30848283340868,-0.796826347599375,1.270491619039181,0.4736652714398061,0.10340073529411764,78.39331231963018,0.06305220883534136,0.2830103650292925,3.9304812834224596,0.47726089219611934,0.7249544212995157,2.394904458598726,3.67,West Coast
18,Oklahoma,67,2334,755,0.323,11.26865671641791,34.83582089552239,0.3234790059982862,198.0,2.955223880597015,589.2,331,5.05,363,1769,701,43,0.983,10.462686567164178,0.6417910447761194,492.0,7.343283582089552,1088,0.466,7.3,3.022046353872244,1.4477257298031228,0.3899394856278366,0.8559394856278366,0.636,0.35750824477830706,135.02011216720126,1.3071263025028048,1.7581154713022713,3.0652417738050763,0.14267352185089974,132.33984050258076,0.07255404910223526,0.29603040540540543,5.544806517311608,0.36928752343709326,0.6201334789363881,2.4242424242424243,3.66,Big 12
19,Wichita St.,68,2357,722,0.306,10.617647058823529,34.661764705882355,0.30632159524819685,198.0,2.911764705882353,605.0,246,3.66,296,1815,686,81,0.969,10.088235294117647,1.1911764705882353,447.0,6.573529411764706,967,0.41,7.0,2.9454545454545453,1.287603305785124,0.3716012084592145,0.7816012084592145,0.68,0.3248815506101938,-61.14537095648452,-0.5919467949673869,1.9347914984741628,1.3428447035067759,0.10394569367840475,85.65417869258697,0.07106963388370424,0.28834870075440067,4.403305785123967,0.41040400145605543,0.6753219290215461,2.3686868686868685,3.5,Missouri Valley
20,Tulane,64,2153,627,0.291,9.796875,33.640625,0.29122155132373434,173.0,2.703125,574.0,282,4.42,322,1722,629,52,0.978,9.828125,0.8125,418.0,6.53125,906,0.421,6.9,2.712543554006969,1.3205574912891986,0.3572607260726073,0.7782607260726073,0.617,0.32818692338547933,-36.67588443474516,-0.35505831274115895,1.580904932172955,1.2258466194317958,0.12958662331630283,90.38384927299639,0.06939430405134377,0.26498855835240276,5.048780487804878,0.33528496967561155,0.6246717801678878,2.554913294797688,3.5,Conference USA
21,Houston,61,2132,625,0.293,10.245901639344263,34.950819672131146,0.29315196998123827,198.0,3.2459016393442623,541.0,215,3.58,251,1623,585,68,0.97,9.59016393442623,1.1147540983606556,367.0,6.016393442622951,984,0.462,8.4,3.293900184842884,1.3049907578558226,0.361781848459617,0.823781848459617,0.667,0.3406872990353698,31.48102740345026,0.30476703276548933,1.2233692880130675,1.528136320778557,0.16838649155722327,108.2706847299279,0.07958199356913183,0.2567191844300278,4.175600739371534,0.22425681400825637,0.7013156607871764,2.5353535353535355,3.5,Conference USA
22,Vanderbilt,65,2291,705,0.308,10.846153846153847,35.246153846153845,0.3077258838934963,201.0,3.4655172413793105,579.1,271,4.21,308,1738,631,73,0.97,9.707692307692307,1.123076923076923,389.0,6.706896551724138,1033,0.451,8.9,3.478846153846154,1.3288461538461538,0.373536299765808,0.824536299765808,0.605,0.3557859249894648,108.45960919488867,1.0499947427258365,2.0354174963099463,3.085412239035783,0.15141187925998054,129.8753665115525,0.08470290771175727,0.2783405692233478,4.786738041788983,-0.06874063173349658,0.6016387111299197,2.855721393034826,3.49,SEC
23,Winthrop,64,2235,736,0.329,11.5,34.921875,0.32930648769574944,243.0,3.796875,569.1,266,4.21,334,1708,618,84,0.965,9.65625,1.3125,478.0,7.46875,1107,0.495,7.2,3.841334894613583,1.4619574767176242,0.40077972709551657,0.8957797270955166,0.658,0.3686496624156039,196.92628622186479,1.9064384130864607,1.218326722276733,3.1247651353631936,0.16599552572706935,148.28213772762683,0.09114778694673668,0.2934447866256049,5.282024248813917,0.6509463584498348,0.6451056817481003,1.8847736625514404,3.48,Big South
24,St. John's (NY),59,2053,672,0.327,11.389830508474576,34.79661016949152,0.32732586458840723,211.0,3.5762711864406778,515.2,184,3.21,247,1547,638,89,0.961,10.813559322033898,1.5084745762711864,447.0,7.576271186440678,953,0.464,7.2,3.682611506140918,1.3334627329192545,0.39677829588808816,0.8607782958880882,0.748,0.35949876746096965,131.03076801873326,1.2685055623589903,0.5249926105688119,1.7934981729278021,0.13687286897223574,135.18808704294673,0.08668857847165161,0.3011933174224344,4.314829192546584,0.622869783064655,0.6965809641023514,1.957345971563981,3.44,Big East
25,Ole Miss,66,2292,709,0.309,10.742424242424242,34.72727272727273,0.3093368237347295,230.0,3.484848484848485,580.1,305,4.73,359,1741,674,65,0.974,10.212121212121213,0.9848484848484849,483.0,7.318181818181818,1069,0.466,7.7,3.566915565766801,1.4842268574383726,0.37557427258805515,0.8415742725880552,0.632,0.3476579239009974,75.5594292528205,0.7314889300058919,1.533297538849344,2.264786468855236,0.15706806282722513,118.24497858281451,0.08496490579977835,0.2777777777777778,5.569729357007413,0.4738389876527446,0.6282142067909539,2.152173913043478,3.43,SEC
26,Louisiana,59,2044,613,0.3,10.389830508474576,34.644067796610166,0.2999021526418787,184.0,3.1186440677966103,526.0,207,3.54,254,1578,600,66,0.971,10.169491525423728,1.11864406779661,392.0,6.6440677966101696,901,0.441,7.9,3.1482889733840302,1.2756653992395437,0.3659592897358164,0.8069592897358164,0.689,0.3370877045740663,11.374629302041244,0.11011749955818077,0.9772909126429621,1.087408412201143,0.14090019569471623,103.12001121064192,0.07721359630717582,0.27395281656234954,4.346007604562738,0.26597435786104623,0.6773255812104843,2.516304347826087,3.41,Sun Belt
27,Georgia,70,2541,786,0.309,11.228571428571428,36.3,0.30932703659976385,209.0,2.9857142857142858,627.1,334,4.79,390,1882,694,84,0.968,9.914285714285715,1.2,496.0,7.085714285714285,1208,0.475,6.8,2.998405951115834,1.4272045925689683,0.3722163308589608,0.8472163308589608,0.608,0.3551174844505874,128.0375151057519,1.239527956357923,2.1959229287237796,3.4354508850817025,0.16601101494885917,128.91889238097323,0.07221838286109192,0.27623878267655094,5.597193430074948,0.45082896671100287,0.6089191085391992,2.2822966507177034,3.4,SEC
28,Missouri,63,2170,618,0.285,9.80952380952381,34.44444444444444,0.2847926267281106,160.0,2.5396825396825395,565.1,211,3.36,256,1696,710,83,0.967,11.26984126984127,1.3174603174603174,403.0,6.396825396825397,872,0.402,7.6,2.547169811320755,1.2210228278180852,0.35,0.752,0.696,0.31808595304417037,-92.53790056841673,-0.8958570828439113,1.6429091581530955,0.7470520753091842,0.11705069124423963,75.93033207394151,0.06366892160764027,0.2617967332123412,4.077154485931693,0.13580492040704842,0.6879011925227243,2.975,3.37,Big 12
29,Texas,62,2068,612,0.296,9.870967741935484,33.354838709677416,0.29593810444874274,235.0,3.7903225806451615,546.1,236,3.89,304,1639,648,77,0.967,10.451612903225806,1.2419354838709677,400.0,6.451612903225806,906,0.438,7.3,3.8712629652226966,1.4063358359274858,0.3787305590584279,0.816730559058428,0.623,0.3432452216348109,44.883435887005184,0.43451541146663625,0.9032273806141924,1.3377427920808287,0.14216634429400388,111.93082598721647,0.09556730378202521,0.2722488038277512,5.010071415491668,0.6611117898740975,0.6536660527983614,1.8808510638297873,3.28,Big 12
30,TCU,62,2149,669,0.311,10.790322580645162,34.66129032258065,0.3113075849232201,251.0,4.048387096774194,549.1,276,4.52,327,1648,605,74,0.968,9.758064516129032,1.1935483870967742,431.0,6.951612903225806,976,0.454,9.0,4.112257281553398,1.462393006738299,0.3971061093247588,0.8511061093247588,0.624,0.3607803921568627,144.42977851611124,1.3982210452416095,1.2122372977382077,2.6104583429798174,0.14239181014425314,137.02196873538847,0.09843137254901961,0.28446288612263715,5.359679475505372,0.3624715870519844,0.6390612059737711,2.1792828685258963,3.2,Conference USA
31,South Alabama,60,2166,707,0.326,11.783333333333333,36.1,0.32640812557710064,170.0,2.8333333333333335,542.1,277,4.6,332,1627,681,72,0.97,11.35,1.2,483.0,8.05,1057,0.488,8.0,2.8211432083589427,1.4333148865522967,0.39626471782379213,0.8842647178237921,0.665,0.36582714118107157,173.07569862726533,1.6755414757735827,1.3256928665926524,3.001234342366235,0.16151361329026304,144.24338126863861,0.06648416112631991,0.2947608200455581,5.511898173768677,0.12656839016175706,0.6174392913797385,2.835294117647059,3.12,Sun Belt
32,Southern Miss.,62,2170,682,0.314,11.0,35.0,0.3142857142857143,211.0,3.403225806451613,538.0,287,4.8,328,1614,688,84,0.965,11.096774193548388,1.3548387096774193,492.0,7.935483870967742,1055,0.486,7.0,3.529739776951673,1.5315985130111525,0.39181051786431154,0.8778105178643115,0.677,0.36908733280881195,190.20243576039928,1.84134498625392,0.8196386614762494,2.6609836477301694,0.171889400921659,148.90840197175396,0.08300550747442959,0.27355484751934456,5.486988847583643,0.6338906105023134,0.6476526773961002,1.971563981042654,3.07,Conference USA
33,Evansville,65,2177,614,0.282,9.446153846153846,33.49230769230769,0.28203950390445565,160.0,2.4615384615384617,576.1,217,3.39,255,1729,763,65,0.975,11.738461538461538,1.0,395.0,6.076923076923077,854,0.392,6.6,2.4985540775014456,1.2393681652490887,0.35071283095723016,0.7427128309572302,0.69,0.31265961613787696,-124.33754184596454,-1.2037086084933897,1.5984317138944415,0.3947231054010518,0.10978410656867249,68.16576578448003,0.06267136701919311,0.26268115942028986,3.9836833883006424,0.3474462500704374,0.7028789541453339,2.64375,3.02,Missouri Valley
34,UNCW,64,2326,748,0.322,11.6875,36.34375,0.32158211521926056,245.0,3.828125,568.2,298,4.72,364,1706,747,75,0.97,11.671875,1.171875,560.0,8.75,1166,0.501,7.3,3.8774912075029313,1.4924322421682505,0.39707536557930256,0.8980753655793026,0.687,0.3657321428571429,188.9413505167515,1.8291364517977429,1.2053917173513986,3.0345281691491417,0.17970765262252794,144.10744780260623,0.0875,0.2835314091680815,5.765575501583949,0.6519774244875062,0.6142392810512768,1.8816326530612244,3.02,Coastal Athletic
35,Arkansas,60,2057,584,0.284,9.733333333333333,34.28333333333333,0.28390860476421975,161.0,2.824561403508772,536.0,218,3.66,273,1608,607,90,0.961,10.116666666666667,1.5,366.0,6.421052631578948,916,0.445,7.6,2.8579881656804735,1.280078895463511,0.34805421950153037,0.7930542195015304,0.631,0.3338866755201416,-5.046976626003435,-0.04885965349959473,1.230030111701063,1.1811704582014684,0.1671794871794872,98.5396464612906,0.07127047366091191,0.2505081300813008,4.583955223880597,0.1370934479316307,0.6313675153907748,2.813664596273292,2.99,SEC
36,Baylor,63,2080,590,0.284,9.365079365079366,33.01587301587302,0.28365384615384615,217.0,3.4444444444444446,545.0,250,4.13,306,1635,667,64,0.973,10.587301587301587,1.0158730158730158,394.0,6.253968253968254,863,0.415,5.7,3.5834862385321102,1.4477064220183486,0.3629908103592314,0.7779908103592315,0.614,0.32656993147924224,-45.28152141095573,-0.4383692673896475,0.6531853386792933,0.2148160712896458,0.13131313131313133,88.07008935312498,0.08746473196291818,0.2625354777672658,5.053211009174312,0.9242997440771066,0.6617303489962628,1.6036866359447004,2.93,Big 12
37,Oklahoma St.,61,2154,681,0.316,11.163934426229508,35.31147540983606,0.3161559888579387,162.0,2.6557377049180326,537.0,277,4.64,334,1611,635,71,0.969,10.40983606557377,1.1639344262295082,443.0,7.262295081967213,1123,0.521,6.1,2.7150837988826817,1.3891992551210428,0.3729096989966555,0.8939096989966555,0.626,0.3681092094539527,178.3633777754748,1.7267313643233804,0.8868566131182076,2.613587977441588,0.2051996285979573,147.50880151213877,0.06601466992665037,0.2737276478679505,5.597765363128492,0.5425008126228428,0.5981585368427725,2.240740740740741,2.91,Big 12
38,Mississippi St.,60,2172,668,0.308,11.133333333333333,36.2,0.30755064456721914,162.0,2.7,533.1,250,4.22,302,1600,651,92,0.961,10.85,1.5333333333333334,438.0,7.3,982,0.452,6.9,2.7337499999999997,1.3768523729131494,0.36344799005387485,0.8154479900538749,0.664,0.3434240454914703,45.90198092023262,0.44437592025932987,0.9961022336798788,1.4404781539392086,0.1445672191528545,112.18670572950793,0.06580016246953696,0.27813067150635207,5.098480585256049,0.3575552885137657,0.6374326764450505,2.5246913580246915,2.89,SEC
39,Kentucky,61,2057,615,0.299,10.081967213114755,33.721311475409834,0.2989790957705396,140.0,2.2950819672131146,541.2,238,3.95,310,1625,797,88,0.965,13.065573770491802,1.4426229508196722,500.0,8.19672131147541,1076,0.523,6.0,2.3261538461538462,1.4430894308943087,0.3613154478580701,0.8843154478580701,0.706,0.3639483707151925,150.22578984609876,1.4543320848299126,1.0555468425636692,2.509878927393582,0.2241127856101118,141.55504140384295,0.05924672027084215,0.2467718794835007,5.15521064301552,0.41633949811246596,0.6507496823503643,2.592857142857143,2.81,SEC
40,Ohio St.,58,1978,657,0.332,11.327586206896552,34.10344827586207,0.3321536905965622,186.0,3.206896551724138,479.0,184,3.46,242,1437,556,78,0.962,9.586206896551724,1.3448275862068966,386.0,6.655172413793103,899,0.454,6.7,3.4947807933194155,1.417536534446764,0.394487121554451,0.8484871215544509,0.701,0.35761862917398946,113.15744690619137,1.0954743911927927,-0.05156241844506243,1.0439119727477302,0.12234580384226491,132.49778995769185,0.08172231985940245,0.31497245868803203,4.54697286012526,0.7415288103614449,0.6996537390319474,1.903225806451613,2.76,Big Ten
