Rank,Name,G,W-L,BB
,Binghamton,52,29-23,234
,Prairie View,57,20-37,234
178,UNCW,57,34-23,233
179,Army West Point,56,38-18,231
,UIW,54,28-26,231
,Lafayette,52,15-37,231
,Eastern Mich.,53,27-26,231
,ETSU,55,26-29,231
,UC Santa Barbara,55,35-20,231
,Valparaiso,47,20-27,231
,George Washington,55,21-34,231
187,Villanova,51,14-37,230
,Michigan,56,28-28,230
,Youngstown St.,55,19-36,230
,Western Ky.,59,33-26,230
,Siena,55,14-41,230
,Baylor,55,20-35,230
,VMI,55,26-29,230
,Ole Miss,54,25-29,230
195,Utah Valley,58,34-24,229
,Central Ark.,54,23-31,229
,UNC Asheville,52,26-26,229
,Houston,59,36-23,229
199,North Ala.,51,14-37,228
200,Princeton,47,24-23,227
,Oregon,63,41-22,227
202,Radford,55,Oct-45,226
,San Diego,50,24-25-1,226
204,Washington St.,52,29-23,225
205,UT Martin,56,22-34,224
,Purdue Fort Wayne,56,13-43,224
207,Pepperdine,49,19-30,223
208,Penn St.,50,25-25,221
,California Baptist,58,28-30,221
210,Southeast Mo. St.,56,26-30,220
,Sacramento St.,56,30-26,220
,Winthrop,56,28-28,220
,Bryant,50,26-24,220
214,New Mexico,51,26-25,219
,Wagner,56,32-24,219
216,Little Rock,54,31-23,218
,Jacksonville St.,57,27-30,218
,Rhode Island,52,23-29,218
,Central Conn. St.,50,36-14,218
220,UAlbany,44,9-34-1,217
,Arizona St.,55,32-23,217
,Wichita St.,55,30-25,217
223,FIU,55,21-34,216
,California,52,24-28,216
225,Delaware St.,48,13-35,215
,Creighton,49,25-24,215
227,UAB,53,17-36,214
,Western Ill.,52,Dec-40,214
,Portland,54,31-23,214
,Iona,51,13-38,214
,UNLV,51,21-30,214
,Marist,52,16-36,214
,Longwood,54,23-31,214
234,LMU (CA),53,29-24,212
235,Bucknell,47,23-23-1,211
236,Mount St. Mary's,52,25-27,210
,Penn,50,34-16,210
,UMES,55,18-37,210
239,Southern Ill.,57,30-27,209
,Columbia,45,23-22,209
241,Houston Christian,48,Nov-37,208
,Massachusetts,49,14-35,208
243,NJIT,53,22-31,207
244,South Fla.,60,21-39,206
245,Hawaii,49,29-20,203
,Cal Poly,56,21-35,203
,ULM,54,17-37,203
,Bradley,48,16-32,203
249,Butler,55,Dec-43,202
,Ohio,49,19-30,202
,CSU Bakersfield,52,18-34,202
252,Notre Dame,54,30-24,201
253,The Citadel,54,23-31,200
,Hofstra,52,26-26,200
255,CSUN,51,34-17,198
256,Marshall,53,16-37,197
257,Stony Brook,52,23-29,196
258,Fresno St.,57,30-27,195
259,Harvard,44,20-24,194
260,New Mexico St.,51,14-37,193
,Northwestern,50,Oct-40,193
262,SFA,50,22-28,191
,Mississippi Val.,52,15-37,191
264,Gonzaga,52,18-34,190
265,Nevada,53,20-33,189
266,San Francisco,47,18-29,188
,Alcorn,48,Aug-40,188
268,Illinois St.,50,20-30,187
,Saint Mary's (CA),51,23-28,187
270,Charleston So.,50,22-28,186
,Fordham,55,19-36,186
272,Long Beach St.,55,33-22,185
273,UC Davis,54,17-37,183
274,Lehigh,50,24-26,181
,Monmouth,46,16-30,181
,Florida St.,54,23-31,181
277,San Diego St.,53,24-29,178
278,Purdue,53,24-29,177
279,Yale,40,17-23,175
280,Seattle U,53,21-32,174
,Middle Tenn.,56,27-29,174
282,Omaha,49,21-28,172
,Navy,50,23-27,172
284,Milwaukee,57,25-32,171
285,Norfolk St.,51,Sep-42,166
286,Dartmouth,41,Mar-38,161
287,A&M-Corpus Christi,54,24-30,155
,Pacific,49,14-35,155
,Brown,38,26-Dec,155
290,UC Riverside,52,Nov-41,154
,Northern Colo.,45,Nov-34,154
292,St. Bonaventure,48,Aug-40,148
293,N.C. A&T,47,19-28,146
294,Cornell,35,26-Sep,138
Reclassifying,,,,
NR,Southern Ind.,55,17-38,283
NR,Queens (NC),55,17-38,244
NR,Utah Tech,52,13-39,233
NR,UC San Diego,52,34-18,232
NR,Tarleton St.,52,26-26,223
NR,Merrimack,51,21-30,217
NR,Lindenwood,55,13-42,212
NR,Stonehill,49,14-35,193
NR,Bellarmine,55,13-42,157
NR,St. Thomas (MN),44,Oct-34,130
