Rank,Name,G,W-L,AB,TB,SLG PCT
1,FGCU,60,42-18,2116,1252,0.592
2,Campbell,61,46-15,2177,1222,0.561
3,Maryland,63,42-21,2217,1244,0.561
4,New Mexico,51,26-25,1879,1052,0.56
5,LSU,71,54-17,2412,1337,0.554
6,Arizona,59,33-26,2162,1186,0.549
7,Florida,71,54-17,2366,1290,0.545
8,DBU,63,47-16,2168,1171,0.54
9,Fairfield,55,37-18,1983,1070,0.54
10,Stanford,64,44-20,2354,1269,0.539
11,Georgia Tech,57,30-27,2052,1104,0.538
12,Wake Forest,66,54-12,2269,1217,0.536
13,Oklahoma St.,61,41-20,2085,1117,0.536
14,Virginia Tech,53,30-23,1858,994,0.535
15,Coastal Carolina,63,42-21,2215,1182,0.534
16,VMI,55,26-29,1874,992,0.529
17,Virginia,65,50-15,2310,1215,0.526
18,Alabama St.,59,41-18,2105,1101,0.523
19,Tennessee,66,44-22,2180,1137,0.522
20,Miami (FL),63,42-21,2192,1143,0.521
21,Oral Roberts,66,52-14,2340,1214,0.519
22,Columbia,45,23-22,1643,850,0.517
23,Oregon,63,41-22,2167,1116,0.515
24,Old Dominion,55,32-23,1944,1001,0.515
25,Georgia St.,59,31-28,2057,1055,0.513
26,NC State,57,36-21,1993,1019,0.511
27,Northeastern,60,44-16,2079,1061,0.51
28,Nebraska,57,33-23-1,1957,998,0.51
29,Mercer,58,33-25,1940,988,0.509
30,Morehead St.,56,36-20,1867,948,0.508
31,Sacramento St.,56,30-26,1947,988,0.507
32,Sam Houston,64,39-25,2290,1161,0.507
33,Alabama,64,43-21,2162,1094,0.506
34,BYU,52,24-28,1832,927,0.506
35,Texas Tech,64,41-23,2248,1137,0.506
36,Davidson,54,30-24,1842,931,0.505
37,UCF,59,33-26,2038,1030,0.505
38,Georgia,56,29-27,1903,961,0.505
39,Mississippi St.,53,27-26,1759,888,0.505
40,South Dakota St.,52,24-28,1760,888,0.505
41,UTSA,57,38-19,1994,1003,0.503
42,Kent St.,58,42-16,2013,1012,0.503
43,Troy,62,40-22,2089,1046,0.501
44,South Carolina,63,42-21,2066,1031,0.499
45,Eastern Mich.,53,27-26,1869,931,0.498
46,Samford,62,37-25,2059,1024,0.497
47,Quinnipiac,56,30-26,1977,981,0.496
48,Saint Joseph's,53,28-24-1,1851,918,0.496
49,New Orleans,60,36-24,2023,1002,0.495
50,Texas,64,42-22,2152,1065,0.495
51,West Virginia,60,40-20,2046,1012,0.495
52,Texas Southern,53,31-22,1745,863,0.495
53,Arizona St.,55,32-23,1909,944,0.494
54,Maine,53,32-21,1814,896,0.494
55,Duke,63,39-24,2206,1084,0.491
56,Austin Peay,58,26-32,1990,971,0.488
57,Santa Clara,56,36-20,1950,951,0.488
58,Mount St. Mary's,52,25-27,1773,864,0.487
59,Army West Point,56,38-18,1918,934,0.487
60,Oregon St.,61,41-20,2128,1035,0.486
61,Wichita St.,55,30-25,1907,926,0.486
62,Ole Miss,54,25-29,1815,881,0.485
63,Toledo,55,26-29,1948,945,0.485
64,TCU,68,44-24,2322,1123,0.484
65,Richmond,55,27-28,1901,919,0.483
66,UConn,61,44-17,2120,1024,0.483
67,Ball St.,59,36-23,2017,972,0.482
68,Fla. Atlantic,59,34-25,2071,998,0.482
69,Jacksonville St.,57,27-30,2004,965,0.482
70,Indiana,63,43-20,2197,1055,0.48
71,Auburn,58,34-23-1,1991,955,0.48
72,New Mexico St.,51,14-37,1744,836,0.479
73,Missouri St.,56,33-23,1958,938,0.479
74,Florida A&M,59,29-30,2077,994,0.479
75,UC Santa Barbara,55,35-20,1905,911,0.478
76,Utah Valley,58,34-24,1987,950,0.478
77,Georgetown,57,30-27,1942,927,0.477
78,Iowa,60,44-16,2045,975,0.477
79,Washington,55,35-20,1980,944,0.477
80,Southern Ill.,57,30-27,2008,957,0.477
81,North Carolina,60,36-24,2101,998,0.475
82,Wright St.,62,39-23,2066,981,0.475
83,Delaware,59,30-29,2069,982,0.475
84,Illinois,52,25-27,1806,856,0.474
85,Stetson,58,35-23,1916,908,0.474
86,Louisiana,65,41-24,2169,1025,0.473
87,Wofford,59,40-19,1965,928,0.472
88,Michigan St.,55,33-22,1862,879,0.472
89,Princeton,47,24-23,1628,768,0.472
90,CSUN,51,34-17,1777,838,0.472
91,Southern Miss.,66,46-20,2259,1064,0.471
92,Missouri,54,30-24,1733,816,0.471
93,Washington St.,52,29-23,1753,823,0.469
94,Lipscomb,62,36-26,2033,953,0.469
95,Clemson,63,44-19,2209,1034,0.468
96,Tennessee Tech,55,21-34,1895,887,0.468
97,Arkansas,61,43-18,1990,931,0.468
98,Central Conn. St.,50,36-14,1767,825,0.467
99,Air Force,59,28-31,2108,984,0.467
100,UTRGV,56,30-26,1926,898,0.466
101,UNCW,57,34-23,1963,915,0.466
102,California Baptist,58,28-30,2008,935,0.466
103,Little Rock,54,31-23,1848,860,0.465
104,Houston,59,36-23,2047,950,0.464
105,California,52,24-28,1761,816,0.463
106,ETSU,55,26-29,1882,872,0.463
107,FDU,53,31-21-1,1803,834,0.463
108,Grambling,55,29-26,1811,837,0.462
109,Kennesaw St.,54,25-29,1814,837,0.461
110,North Florida,55,28-27,1923,886,0.461
111,Northern Ky.,57,30-27,1978,911,0.461
112,Rutgers,56,33-23,1918,883,0.46
113,Kansas,57,25-32,1966,905,0.46
114,Charlotte,64,36-28,2140,985,0.46
115,East Carolina,66,47-19,2288,1052,0.46
116,Bryant,50,26-24,1691,777,0.459
117,Lehigh,50,24-26,1694,778,0.459
118,App State,55,30-25,1924,883,0.459
119,James Madison,56,31-25,1909,876,0.459
120,Rhode Island,52,23-29,1795,823,0.458
121,Southern California,58,34-23-1,1942,889,0.458
122,Texas St.,59,36-23,1984,908,0.458
123,UC Irvine,55,38-17,1869,855,0.457
124,St. John's (NY),53,28-25,1849,845,0.457
125,Miami (OH),56,21-35,1946,889,0.457
126,Louisiana Tech,59,28-31,2007,915,0.456
127,Abilene Christian,59,35-24,1952,889,0.455
128,Saint Mary's (CA),51,23-28,1751,797,0.455
129,UT Martin,56,22-34,1885,857,0.455
130,San Jose St.,58,31-27,2002,909,0.454
131,Portland,54,31-23,1960,889,0.454
132,Western Caro.,54,21-33,1902,862,0.453
133,Penn,50,34-16,1780,804,0.452
134,Xavier,64,39-25,2233,1006,0.451
135,Towson,56,19-37,1992,896,0.45
136,Eastern Ky.,59,29-30,2007,902,0.449
137,Texas A&M,65,38-27,2147,963,0.449
138,Kansas St.,59,35-24,1933,866,0.448
139,Saint Louis,56,33-23,1986,889,0.448
