Rank,Name,G,W-L,IP,HB
1,Iona,51,13-38,416,121
2,Akron,55,21-34,468,115
3,Lafayette,52,15-37,417,111
4,LIU,55,19-36,472,108
5,Norfolk St.,51,Sep-42,423,106
6,Dayton,60,26-34,517,105
7,North Ala.,51,14-37,418,104
8,Marshall,53,16-37,466,103
9,Western Mich.,52,21-31,437,101
,Winthrop,56,28-28,496,101
,Butler,55,Dec-43,471,101
,Cincinnati,57,24-33,478,101
13,Rice,58,21-37,506,100
14,Indiana,63,43-20,556,98
15,Iowa,60,44-16,522,97
16,Austin Peay,58,26-32,494,96
17,Coastal Carolina,63,42-21,561,95
,Ga. Southern,56,27-29,479,95
,Davidson,54,30-24,467,95
20,Princeton,47,24-23,397,94
,Jacksonville,58,34-24,512,94
,Georgia St.,59,31-28,515,94
23,Houston Christian,48,Nov-37,409,93
,Louisiana,65,41-24,569,93
,Penn St.,50,25-25,432,93
,FDU,53,31-21-1,468,93
27,Eastern Mich.,53,27-26,463,92
,Evansville,61,37-24,541,92
,UC Riverside,52,Nov-41,447,92
30,Richmond,55,27-28,469,91
31,Youngstown St.,55,19-36,465,90
,Mount St. Mary's,52,25-27,446,90
,Prairie View,57,20-37,459,90
34,Siena,55,14-41,460,89
,Northwestern,50,Oct-40,430,89
36,Texas Southern,53,31-22,432,88
,Southern U.,51,23-28,431,88
,Massachusetts,49,14-35,412,88
,Marist,52,16-36,430,88
40,Northern Colo.,45,Nov-34,357,87
41,Saint Louis,56,33-23,501,86
,BYU,52,24-28,449,86
43,Ohio St.,56,31-25,481,85
,Southern Miss.,66,46-20,580,85
,UMass Lowell,55,20-35,459,85
,Campbell,61,46-15,546,85
,Radford,55,Oct-45,468,85
48,Presbyterian,55,21-34,474,84
,Northern Ky.,57,30-27,498,84
,Miami (OH),56,21-35,490,84
,Minnesota,52,18-34,464,84
,Ark.-Pine Bluff,51,18-33,408,84
53,Wagner,56,32-24,489,83
,St. Bonaventure,48,Aug-40,391,83
55,Arizona St.,55,32-23,484,82
,Niagara,47,24-22-1,407,82
,South Fla.,60,21-39,522,82
,Florida,71,54-17,613,82
,Georgia,56,29-27,483,82
,Quinnipiac,56,30-26,485,82
61,Illinois,52,25-27,462,81
,Oakland,60,29-31,523,81
,Oregon,63,41-22,559,81
,Tennessee Tech,55,21-34,468,81
,Saint Peter's,50,Sep-41,407,81
,Wright St.,62,39-23,539,81
,Villanova,51,14-37,433,81
,UC Davis,54,17-37,471,81
,Bradley,48,16-32,408,81
70,Houston,59,36-23,524,80
,UNC Asheville,52,26-26,451,80
,Purdue Fort Wayne,56,13-43,474,80
,FIU,55,21-34,485,80
,UCF,59,33-26,518,80
75,South Alabama,54,23-31,468,79
,UNCW,57,34-23,500,79
77,Jackson St.,53,28-25,437,78
,VCU,55,25-30,478,78
79,Rutgers,56,33-23,494,77
80,Florida A&M,59,29-30,505,76
,George Washington,55,21-34,483,76
,Delaware,59,30-29,508,76
,SFA,50,22-28,442,76
,High Point,54,20-34,470,76
,Pepperdine,49,19-30,428,76
86,George Mason,63,36-27,555,75
,Liberty,58,27-31,495,75
,Gardner-Webb,56,31-25,492,75
,ULM,54,17-37,465,75
,Southern California,58,34-23-1,514,75
,Southern Ill.,57,30-27,500,75
,Nicholls,58,34-24,522,75
,Saint Joseph's,53,28-24-1,457,75
94,Fairfield,55,37-18,478,74
,Seattle U,53,21-32,451,74
,Tulane,61,19-42,519,74
97,Grambling,55,29-26,462,73
,Rhode Island,52,23-29,450,73
,Sacred Heart,58,28-30,514,73
,Michigan St.,55,33-22,477,73
,Toledo,55,26-29,484,73
,Murray St.,59,31-28,509,73
,San Francisco,47,18-29,413,73
104,Holy Cross,51,16-35,406,72
,Abilene Christian,59,35-24,509,72
,Clemson,63,44-19,561,72
,Mercer,58,33-25,498,72
,Milwaukee,57,25-32,482,72
,Santa Clara,56,36-20,502,72
,UIW,54,28-26,473,72
,Eastern Ky.,59,29-30,513,72
112,Fla. Atlantic,59,34-25,523,71
,Nevada,53,20-33,459,71
,UAlbany,44,9-34-1,366,71
,Kentucky,61,40-21,526,71
116,Alabama A&M,48,14-34,379,70
,Ball St.,59,36-23,504,70
,Middle Tenn.,56,27-29,489,70
,Delaware St.,48,13-35,409,70
,Vanderbilt,62,42-20,547,70
,Baylor,55,20-35,486,70
122,Western Caro.,54,21-33,469,69
,UT Martin,56,22-34,471,69
,Texas,64,42-22,565,69
,A&M-Corpus Christi,54,24-30,461,69
,Mississippi Val.,52,15-37,408,69
,NIU,53,Oct-43,444,69
,Old Dominion,55,32-23,491,69
,Penn,50,34-16,440,69
,Manhattan,56,22-34,471,69
131,Georgetown,57,30-27,491,68
,UAB,53,17-36,463,68
,North Florida,55,28-27,479,68
,Creighton,49,25-24,425,68
,Dartmouth,41,Mar-38,345,68
,Coppin St.,52,21-31,446,68
137,Alcorn,48,Aug-40,387,67
,Arizona,59,33-26,524,67
,Canisius,52,26-25-1,437,67
,Duke,63,39-24,562,67
,San Jose St.,58,31-27,507,67
,New Orleans,60,36-24,503,67
,Notre Dame,54,30-24,474,67
144,Fordham,55,19-36,478,66
,Georgia Tech,57,30-27,498,66
,Hawaii,49,29-20,429,66
,Jacksonville St.,57,27-30,483,66
,Bucknell,47,23-23-1,380,66
,The Citadel,54,23-31,466,66
,Mississippi St.,53,27-26,453,66
,Pittsburgh,55,24-31,475,66
,San Diego St.,53,24-29,456,66
,San Diego,50,24-25-1,434,66
,Lipscomb,62,36-26,539,66
,Nebraska,57,33-23-1,494,66
,VMI,55,26-29,469,66
157,Florida St.,54,23-31,477,65
,Kansas St.,59,35-24,507,65
,Auburn,58,34-23-1,509,65
,Columbia,45,23-22,387,65
,Oral Roberts,66,52-14,582,65
,SIUE,54,26-28,464,65
,Texas A&M,65,38-27,566,65
,USC Upstate,60,38-22,535,65
,New Mexico St.,51,14-37,433,65
,Xavier,64,39-25,561,65
167,Hofstra,52,26-26,444,64
,Longwood,54,23-31,464,64
,UIC,53,28-25,448,64
,Pacific,49,14-35,420,64
,Col. of Charleston,58,36-22,520,64
,Seton Hall,55,31-24,481,64
,Northeastern,60,44-16,530,64
,James Madison,56,31-25,488,64
175,LSU,71,54-17,612,63
,Louisiana Tech,59,28-31,527,63
,App State,55,30-25,479,63
,Bryant,50,26-24,429,63
,Northwestern St.,56,29-27,486,63
,East Carolina,66,47-19,593,63
,Wake Forest,66,54-12,581,63
,Western Ky.,59,33-26,516,63
,Fresno St.,57,30-27,504,63
184,Navy,50,23-27,415,62
,Morehead St.,56,36-20,477,62
,TCU,68,44-24,599,62
,Utah Valley,58,34-24,488,62
,Western Ill.,52,Dec-40,430,62
189,Charleston So.,50,22-28,427,61
,Towson,56,19-37,495,61
,DBU,63,47-16,558,61
,William & Mary,57,32-25,500,61
,Oregon St.,61,41-20,542,61
,Samford,62,37-25,532,61
,UMBC,57,30-27,479,61
,Memphis,57,29-28,496,61
,UNLV,51,21-30,444,61
,Rider,57,36-21,492,61
199,Sam Houston,64,39-25,554,60
,Monmouth,46,16-30,402,60
,UMES,55,18-37,486,60
202,Harvard,44,20-24,380,59
,Illinois St.,50,20-30,435,59
,CSU Bakersfield,52,18-34,446,59
,Troy,62,40-22,541,59
,Ole Miss,54,25-29,459,59
,St. John's (NY),53,28-25,463,59
,Belmont,60,27-33,524,59
,UNC Greensboro,59,25-34,511,59
,Yale,40,17-23,350,59
211,Lehigh,50,24-26,412,58
,Alabama,64,43-21,555,58
,Charlotte,64,36-28,559,58
,Saint Mary's (CA),51,23-28,451,58
,Maryland,63,42-21,555,58
,Boston College,57,37-20,506,58
217,Kent St.,58,42-16,512,57
,Arkansas St.,51,20-31,437,57
,Arkansas,61,43-18,530,57
,UC Irvine,55,38-17,492,57
,NJIT,53,22-31,443,57
,Central Ark.,54,23-31,465,57
,Stetson,58,35-23,494,57
,Maine,53,32-21,454,57
,Missouri,54,30-24,449,57
,Utah,55,22-32-1,479,57
227,Cornell,35,26-Sep,295,56
,Texas St.,59,36-23,520,56
,Portland,54,31-23,473,56
,Air Force,59,28-31,509,56
231,LMU (CA),53,29-24,468,55
,UConn,61,44-17,543,55
,Army West Point,56,38-18,477,55
,West Virginia,60,40-20,527,55
,Michigan,56,28-28,486,55
,Missouri St.,56,33-23,501,55
,Stanford,64,44-20,577,55
,Stony Brook,52,23-29,456,55
,California Baptist,58,28-30,508,55
,South Dakota St.,52,24-28,429,55
241,UT Arlington,58,29-29,497,54
,Binghamton,52,29-23,442,54
243,Louisville,55,31-24,481,53
,Central Conn. St.,50,36-14,442,53
,Oklahoma St.,61,41-20,527,53
,Wichita St.,55,30-25,474,53
,Elon,55,33-22,488,53
248,Alabama St.,59,41-18,514,52
,Bethune-Cookman,60,33-27,520,52
,Cal Poly,56,21-35,495,52
,Ohio,49,19-30,413,52
,UC Santa Barbara,55,35-20,488,52
,Washington,55,35-20,493,52
,CSUN,51,34-17,448,52
255,Kansas,57,25-32,491,51
,Virginia Tech,53,30-23,464,51
,UTRGV,56,30-26,486,51
,Texas Tech,64,41-23,566,51
,N.C. A&T,47,19-28,411,51
,Washington St.,52,29-23,454,51
261,Grand Canyon,58,37-21,518,50
,Oklahoma,60,32-28,526,50
,Southeast Mo. St.,56,26-30,478,50
,Kennesaw St.,54,25-29,466,50
265,Little Rock,54,31-23,468,49
,Brown,38,26-Dec,332,49
,NC State,57,36-21,504,49
,Omaha,49,21-28,410,49
,Cal St. Fullerton,56,32-24,503,49
270,Gonzaga,52,18-34,455,48
,Miami (FL),63,42-21,551,48
,South Carolina,63,42-21,541,48
,Sacramento St.,56,30-26,485,48
274,Tennessee,66,44-22,568,47
,Virginia,65,50-15,573,47
276,Purdue,53,24-29,457,46
,Hartford,37,Apr-33,297,46
278,Southeastern La.,50,25-25,434,45
,Valparaiso,47,20-27,396,45
280,California,52,24-28,450,44
,Bowling Green,50,20-30,422,44
282,Central Mich.,57,34-23,507,43
,North Dakota St.,53,23-30,451,43
,New Mexico,51,26-25,435,43
285,UCLA,53,28-24-1,471,42
,McNeese,58,35-23,513,42
,Wofford,59,40-19,521,42
288,UTSA,57,38-19,503,38
,Eastern Ill.,59,38-21,518,38
290,ETSU,55,26-29,462,37
,Long Beach St.,55,33-22,492,37
292,Lamar University,55,32-23,495,35
,North Carolina,60,36-24,534,35
,Indiana St.,62,45-17,558,35
295,FGCU,60,42-18,509,32
NR,Stonehill,49,14-35,410,95
NR,Southern Ind.,55,17-38,459,92
NR,Tarleton St.,52,26-26,445,81
NR,Lindenwood,55,13-42,452,77
NR,Merrimack,51,21-30,442,67
NR,Queens (NC),55,17-38,467,67
NR,St. Thomas (MN),44,Oct-34,364,67
NR,Bellarmine,55,13-42,454,65
NR,UC San Diego,52,34-18,464,62
NR,Utah Tech,52,13-39,433,49
,,,,,
      ,,,,,
