Rank,Name,G,W-L,SH
259,Jacksonville St.,57,27-30,10
,Arizona St.,55,32-23,10
,Canisius,52,26-25-1,10
,Cornell,35,26-Sep,10
,Miami (FL),63,42-21,10
,Saint Joseph's,53,28-24-1,10
,Southern Ill.,57,30-27,10
,Southern Miss.,66,46-20,10
,Stetson,58,35-23,10
,Dartmouth,41,Mar-38,10
269,Holy Cross,51,16-35,9
,Sacramento St.,56,30-26,9
,UNLV,51,21-30,9
,Milwaukee,57,25-32,9
,Rhode Island,52,23-29,9
,Evansville,61,37-24,9
275,Georgia Tech,57,30-27,8
,Arizona,59,33-26,8
,Utah Valley,58,34-24,8
,Youngstown St.,55,19-36,8
,Tennessee Tech,55,21-34,8
,Delaware St.,48,13-35,8
281,Delaware,59,30-29,7
,Ohio St.,56,31-25,7
,UMBC,57,30-27,7
,San Jose St.,58,31-27,7
285,UAlbany,44,9-34-1,6
,Nevada,53,20-33,6
,Princeton,47,24-23,6
,VCU,55,25-30,6
289,Norfolk St.,51,Sep-42,5
,Missouri St.,56,33-23,5
291,Penn St.,50,25-25,4
,New Mexico,51,26-25,4
293,Washington,55,35-20,2
,Ole Miss,54,25-29,2
,Texas A&M,65,38-27,2
NR,Utah Tech,52,13-39,39
NR,Stonehill,49,14-35,33
NR,St. Thomas (MN),44,Oct-34,29
NR,Southern Ind.,55,17-38,28
NR,Tarleton St.,52,26-26,23
NR,Queens (NC),55,17-38,23
NR,Merrimack,51,21-30,21
NR,UC San Diego,52,34-18,19
NR,Bellarmine,55,13-42,18
NR,Lindenwood,55,13-42,17
