Rank,Name,G,W-L,AB,H,BB,HBP,SF,SH,PCT
1,Campbell,61,46-15,2177,692,351,146,35,24,0.439
2,LSU,71,54-17,2412,744,413,143,42,15,0.432
3,FGCU,60,42-18,2116,681,310,126,35,12,0.432
4,Texas Southern,53,31-22,1745,545,292,93,30,18,0.431
5,Maryland,63,42-21,2217,684,385,102,32,25,0.428
6,Virginia,65,50-15,2310,766,319,82,30,28,0.426
7,Wake Forest,66,54-12,2269,683,424,86,31,23,0.425
8,Fairfield,55,37-18,1983,635,313,63,27,17,0.424
9,UC Irvine,55,38-17,1869,562,304,133,52,46,0.424
10,Wofford,59,40-19,1965,617,294,96,32,86,0.422
11,Jackson St.,53,28-25,1756,544,285,67,31,58,0.419
12,Coastal Carolina,63,42-21,2215,689,313,125,40,34,0.418
13,Grambling,55,29-26,1811,522,338,74,22,40,0.416
14,Alabama St.,59,41-18,2105,699,269,59,36,18,0.416
15,Georgia Tech,57,30-27,2052,662,270,80,31,8,0.416
16,Davidson,54,30-24,1842,537,294,115,24,17,0.416
17,Oral Roberts,66,52-14,2340,750,332,64,34,28,0.414
18,Kentucky,61,40-21,1971,571,303,132,28,55,0.413
19,Iowa,60,44-16,2045,604,326,105,32,28,0.413
20,Northern Ky.,57,30-27,1978,576,333,90,25,37,0.412
21,West Virginia,60,40-20,2046,601,323,106,29,34,0.411
22,UConn,61,44-17,2120,639,335,80,32,30,0.411
23,Texas Tech,64,41-23,2248,681,367,69,39,11,0.41
24,Kent St.,58,42-16,2013,609,286,103,31,36,0.41
25,VMI,55,26-29,1874,604,230,66,29,47,0.409
26,Virginia Tech,53,30-23,1858,554,304,62,25,14,0.409
27,UTSA,57,38-19,1994,614,272,83,24,14,0.408
28,South Carolina,63,42-21,2066,565,380,107,24,21,0.408
29,FDU,53,31-21-1,1803,520,280,100,23,22,0.408
30,Oregon St.,61,41-20,2128,625,373,54,24,35,0.408
31,New Mexico,51,26-25,1879,618,219,37,15,4,0.407
32,Stanford,64,44-20,2354,745,298,64,30,12,0.403
33,Oklahoma,60,32-28,1998,568,350,74,39,24,0.403
34,Saint Louis,56,33-23,1986,588,280,99,34,22,0.403
35,Michigan St.,55,33-22,1862,557,263,79,27,23,0.403
36,Alabama,64,43-21,2162,634,340,77,33,21,0.402
37,Oklahoma St.,61,41-20,2085,627,308,61,23,12,0.402
38,Ga. Southern,56,27-29,1900,539,288,105,29,35,0.401
39,Columbia,45,23-22,1643,503,209,63,16,12,0.401
40,Richmond,55,27-28,1901,579,262,68,34,25,0.401
41,Santa Clara,56,36-20,1950,581,269,84,25,40,0.401
42,Arizona,59,33-26,2162,683,252,81,38,8,0.401
43,TCU,68,44-24,2322,693,335,84,34,29,0.401
44,St. John's (NY),53,28-25,1849,548,256,84,28,23,0.401
45,Georgia St.,59,31-28,2057,614,305,60,25,18,0.4
46,Clemson,63,44-19,2209,676,302,66,33,21,0.4
47,Sam Houston,64,39-25,2290,724,272,66,29,20,0.4
48,North Carolina,60,36-24,2101,593,338,85,19,12,0.4
49,Mercer,58,33-25,1940,564,277,91,27,44,0.399
50,Saint Joseph's,53,28-24-1,1851,564,253,55,27,10,0.399
51,Mississippi St.,53,27-26,1759,503,303,46,28,16,0.399
52,South Alabama,54,23-31,1846,509,297,90,15,35,0.399
53,App State,55,30-25,1924,555,257,111,24,16,0.399
54,James Madison,56,31-25,1909,568,248,83,19,50,0.398
55,Nebraska,57,33-23-1,1957,576,251,103,26,26,0.398
56,Maine,53,32-21,1814,530,255,76,22,21,0.397
57,Central Mich.,57,34-23,1928,500,362,101,33,26,0.397
58,Troy,62,40-22,2089,595,306,104,31,12,0.397
