Rank,Name,G,W-L,R
1,LSU,71,54-17,634
2,Wake Forest,66,54-12,591
3,Campbell,61,46-15,587
4,Coastal Carolina,63,42-21,582
,Virginia,65,50-15,582
6,Maryland,63,42-21,578
,FGCU,60,42-18,578
8,Florida,71,54-17,566
9,Oral Roberts,66,52-14,544
10,Sam Houston,64,39-25,540
11,Stanford,64,44-20,535
12,TCU,68,44-24,532
13,DBU,63,47-16,520
14,Texas Tech,64,41-23,519
,Fairfield,55,37-18,519
16,Oklahoma St.,61,41-20,505
17,Alabama St.,59,41-18,499
,Arizona,59,33-26,499
,Wofford,59,40-19,499
20,Kent St.,58,42-16,493
21,Oregon St.,61,41-20,492
22,South Carolina,63,42-21,491
23,Iowa,60,44-16,489
,Tennessee,66,44-22,489
25,Alabama,64,43-21,488
26,East Carolina,66,47-19,486
,Indiana,63,43-20,486
28,Duke,63,39-24,481
29,UConn,61,44-17,476
,Troy,62,40-22,476
31,Georgia Tech,57,30-27,472
32,Miami (FL),63,42-21,470
33,Louisiana,65,41-24,468
34,Clemson,63,44-19,467
35,West Virginia,60,40-20,465
,New Orleans,60,36-24,465
37,Virginia Tech,53,30-23,464
38,Arkansas,61,43-18,462
39,Northern Ky.,57,30-27,461
40,Georgia St.,59,31-28,460
41,Northeastern,60,44-16,459
42,Southern Miss.,66,46-20,458
43,Texas,64,42-22,457
44,Texas A&M,65,38-27,454
45,Florida A&M,59,29-30,453
46,Oregon,63,41-22,451
47,Jackson St.,53,28-25,448
,Quinnipiac,56,30-26,448
49,VMI,55,26-29,447
,Saint Louis,56,33-23,447
,Mercer,58,33-25,447
52,Delaware,59,30-29,446
,UC Irvine,55,38-17,446
54,North Carolina,60,36-24,445
,Sacred Heart,58,28-30,445
56,Grambling,55,29-26,442
57,Wright St.,62,39-23,441
,New Mexico,51,26-25,441
59,USC Upstate,60,38-22,439
60,Vanderbilt,62,42-20,438
,Grand Canyon,58,37-21,438
62,Texas Southern,53,31-22,437
63,Army West Point,56,38-18,435
64,Houston,59,36-23,434
65,Kentucky,61,40-21,433
,UTSA,57,38-19,433
67,Ga. Southern,56,27-29,431
68,Old Dominion,55,32-23,430
,Ball St.,59,36-23,430
,Nebraska,57,33-23-1,430
71,NC State,57,36-21,429
72,Bethune-Cookman,60,33-27,428
73,Saint Joseph's,53,28-24-1,427
74,Fla. Atlantic,59,34-25,426
75,Davidson,54,30-24,425
76,Charlotte,64,36-28,424
77,Xavier,64,39-25,422
,UCF,59,33-26,422
79,Air Force,59,28-31,421
80,Central Mich.,57,34-23,420
,Stetson,58,35-23,420
82,Auburn,58,34-23-1,419
83,Eastern Ill.,59,38-21,418
,Sacramento St.,56,30-26,418
,Austin Peay,58,26-32,418
86,James Madison,56,31-25,417
,VCU,55,25-30,417
88,Washington,55,35-20,415
89,Kansas St.,59,35-24,412
,Morehead St.,56,36-20,412
,Lipscomb,62,36-26,412
92,Richmond,55,27-28,411
,Utah Valley,58,34-24,411
94,App State,55,30-25,410
95,Eastern Mich.,53,27-26,409
,Samford,62,37-25,409
97,George Mason,63,36-27,408
98,UTRGV,56,30-26,406
99,Eastern Ky.,59,29-30,405
,Jacksonville St.,57,27-30,405
101,Rutgers,56,33-23,404
102,Wagner,56,32-24,402
103,Indiana St.,62,45-17,401
,UNCW,57,34-23,401
,FDU,53,31-21-1,401
106,Murray St.,59,31-28,400
107,Texas St.,59,36-23,399
,Georgia,56,29-27,399
109,Oklahoma,60,32-28,398
,Santa Clara,56,36-20,398
111,St. John's (NY),53,28-25,396
,Mississippi St.,53,27-26,396
113,Miami (OH),56,21-35,395
,Wichita St.,55,30-25,395
115,BYU,52,24-28,393
116,Maine,53,32-21,392
117,William & Mary,57,32-25,391
118,Michigan St.,55,33-22,390
,Portland,54,31-23,390
120,CSUN,51,34-17,388
,Dayton,60,26-34,388
,UMBC,57,30-27,388
,Southern California,58,34-23-1,388
,Abilene Christian,59,35-24,388
125,Rider,57,36-21,387
,Toledo,55,26-29,387
127,UNC Asheville,52,26-26,385
,North Florida,55,28-27,385
129,Louisville,55,31-24,382
130,UT Arlington,58,29-29,379
,UNLV,51,21-30,379
,Oakland,60,29-31,379
133,Col. of Charleston,58,36-22,378
,Arizona St.,55,32-23,378
135,Gardner-Webb,56,31-25,377
,Georgetown,57,30-27,377
137,Columbia,45,23-22,376
138,Western Caro.,54,21-33,374
,Mount St. Mary's,52,25-27,374
,Central Conn. St.,50,36-14,374
,Boston College,57,37-20,374
142,Arkansas St.,51,20-31,372
,Southern Ill.,57,30-27,372
,Missouri St.,56,33-23,372
,Ohio St.,56,31-25,372
146,Towson,56,19-37,371
,Canisius,52,26-25-1,371
,Binghamton,52,29-23,371
,San Jose St.,58,31-27,371
150,Nicholls,58,34-24,370
,Ole Miss,54,25-29,370
152,Utah,55,22-32-1,369
,Western Ky.,59,33-26,369
154,Tulane,61,19-42,368
,McNeese,58,35-23,368
156,Louisiana Tech,59,28-31,367
157,Kennesaw St.,54,25-29,365
158,South Alabama,54,23-31,364
,Liberty,58,27-31,364
,UIC,53,28-25,364
161,Evansville,61,37-24,363
,Cincinnati,57,24-33,363
163,ETSU,55,26-29,361
,Kansas,57,25-32,361
165,Penn,50,34-16,360
,Middle Tenn.,56,27-29,360
,Washington St.,52,29-23,360
,Youngstown St.,55,19-36,360
169,Southeast Mo. St.,56,26-30,359
170,Little Rock,54,31-23,358
,California Baptist,58,28-30,358
,South Dakota St.,52,24-28,358
,Penn St.,50,25-25,358
174,Marist,52,16-36,357
175,Jacksonville,58,34-24,356
,Elon,55,33-22,356
177,UIW,54,28-26,354
178,Missouri,54,30-24,353
179,UC Santa Barbara,55,35-20,352
,Pittsburgh,55,24-31,352
,Hofstra,52,26-26,352
,Illinois,52,25-27,352
183,North Dakota St.,53,23-30,351
,Northwestern St.,56,29-27,351
,LIU,55,19-36,351
186,Stony Brook,52,23-29,350
187,Niagara,47,24-22-1,348
,Purdue,53,24-29,348
,SFA,50,22-28,348
190,UT Martin,56,22-34,347
191,Seton Hall,55,31-24,346
192,Cal St. Fullerton,56,32-24,345
,South Fla.,60,21-39,345
194,SIUE,54,26-28,344
195,UNC Greensboro,59,25-34,343
196,Fresno St.,57,30-27,342
,Long Beach St.,55,33-22,342
198,Bryant,50,26-24,341
199,Manhattan,56,22-34,340
200,Tennessee Tech,55,21-34,339
,UMass Lowell,55,20-35,339
,Western Mich.,52,21-31,339
203,FIU,55,21-34,337
,UCLA,53,28-24-1,337
,George Washington,55,21-34,337
206,New Mexico St.,51,14-37,336
207,Rhode Island,52,23-29,333
,California,52,24-28,333
,High Point,54,20-34,333
210,Lehigh,50,24-26,332
211,San Diego,50,24-25-1,330
212,Pepperdine,49,19-30,327
,Prairie View,57,20-37,327
214,Lamar University,55,32-23,326
215,A&M-Corpus Christi,54,24-30,323
,Winthrop,56,28-28,323
,Central Ark.,54,23-31,323
218,Southern U.,51,23-28,320
219,Purdue Fort Wayne,56,13-43,319
220,Coppin St.,52,21-31,318
,Ohio,49,19-30,318
,Ark.-Pine Bluff,51,18-33,318
,Cal Poly,56,21-35,318
224,Michigan,56,28-28,317
225,Illinois St.,50,20-30,316
,Florida St.,54,23-31,316
227,Fordham,55,19-36,313
,Princeton,47,24-23,313
229,Saint Mary's (CA),51,23-28,312
230,Memphis,57,29-28,311
,Longwood,54,23-31,311
232,Hawaii,49,29-20,309
233,Mississippi Val.,52,15-37,308
234,The Citadel,54,23-31,307
235,Akron,55,21-34,306
236,Notre Dame,54,30-24,305
,Southeastern La.,50,25-25,305
238,Saint Peter's,50,Sep-41,304
,Bucknell,47,23-23-1,304
240,Belmont,60,27-33,302
241,Rice,58,21-37,300
242,Baylor,55,20-35,299
243,Nevada,53,20-33,296
244,Presbyterian,55,21-34,295
,Bowling Green,50,20-30,295
246,Holy Cross,51,16-35,294
247,Seattle U,53,21-32,292
,Houston Christian,48,Nov-37,292
249,Charleston So.,50,22-28,291
250,Delaware St.,48,13-35,289
251,LMU (CA),53,29-24,286
252,Monmouth,46,16-30,285
,Massachusetts,49,14-35,285
,Valparaiso,47,20-27,285
,Iona,51,13-38,285
256,Milwaukee,57,25-32,283
257,North Ala.,51,14-37,280
258,Radford,55,Oct-45,279
,Creighton,49,25-24,279
,Omaha,49,21-28,279
261,Gonzaga,52,18-34,276
,Siena,55,14-41,276
263,NIU,53,Oct-43,275
264,CSU Bakersfield,52,18-34,274
,ULM,54,17-37,274
266,Pacific,49,14-35,273
267,Butler,55,Dec-43,272
268,Alabama A&M,48,14-34,269
269,Harvard,44,20-24,267
,Lafayette,52,15-37,267
271,Marshall,53,16-37,266
272,San Francisco,47,18-29,265
273,UMES,55,18-37,261
274,San Diego St.,53,24-29,260
275,NJIT,53,22-31,258
,Northwestern,50,Oct-40,258
277,Villanova,51,14-37,255
278,N.C. A&T,47,19-28,254
,Bradley,48,16-32,254
280,Minnesota,52,18-34,250
281,Western Ill.,52,Dec-40,244
282,Alcorn,48,Aug-40,242
,Navy,50,23-27,242
284,UC Davis,54,17-37,240
285,Northern Colo.,45,Nov-34,239
,UAlbany,44,9-34-1,239
287,UAB,53,17-36,220
,UC Riverside,52,Nov-41,220
289,Norfolk St.,51,Sep-42,219
290,Yale,40,17-23,211
291,St. Bonaventure,48,Aug-40,209
292,Brown,38,26-Dec,187
293,Cornell,35,26-Sep,173
294,Dartmouth,41,Mar-38,158
295,Hartford,37,Apr-33,128
NR,Tarleton St.,52,26-26,366
NR,Southern Ind.,55,17-38,345
NR,UC San Diego,52,34-18,342
NR,Merrimack,51,21-30,337
NR,Queens (NC),55,17-38,326
NR,Utah Tech,52,13-39,307
NR,Bellarmine,55,13-42,255
NR,Stonehill,49,14-35,244
NR,Lindenwood,55,13-42,241
NR,St. Thomas (MN),44,Oct-34,186
