Rank,Name,G,W-L,IP,HA,PG
1,Wake Forest,66,54-12,581.2,426,6.59
2,Iowa,60,44-16,522.1,391,6.74
3,Vanderbilt,62,42-20,547.2,442,7.26
4,Tennessee,66,44-22,568,474,7.51
5,Penn,50,34-16,440,375,7.67
6,LSU,71,54-17,612.1,522,7.67
7,Alabama,64,43-21,555.2,479,7.76
8,Kent St.,58,42-16,512.1,442,7.76
9,Campbell,61,46-15,546.1,473,7.79
10,Indiana St.,62,45-17,558,494,7.97
11,Kentucky,61,40-21,526.1,466,7.97
12,Oral Roberts,66,52-14,582.1,519,8.02
13,Southern Miss.,66,46-20,580.1,524,8.13
14,Southern California,58,34-23-1,514,466,8.16
15,Duke,63,39-24,562.1,510,8.16
16,Xavier,64,39-25,561.2,510,8.17
17,Rutgers,56,33-23,494.1,450,8.19
18,UC Santa Barbara,55,35-20,488.2,446,8.21
19,East Carolina,66,47-19,593.1,543,8.24
20,Florida,71,54-17,613,562,8.25
21,Texas,64,42-22,565.2,519,8.26
22,Northwestern St.,56,29-27,486.1,448,8.29
23,Lipscomb,62,36-26,539.1,497,8.29
24,Santa Clara,56,36-20,502,463,8.3
25,Louisville,55,31-24,481.1,444,8.3
26,Louisiana,65,41-24,569.2,527,8.33
27,TCU,68,44-24,599.1,557,8.36
28,Lamar University,55,32-23,495,461,8.38
29,McNeese,58,35-23,513.2,480,8.41
30,Seton Hall,55,31-24,481.2,451,8.43
31,Army West Point,56,38-18,477.2,448,8.44
32,Charlotte,64,36-28,559.1,525,8.45
33,Northeastern,60,44-16,530.2,499,8.46
34,South Carolina,63,42-21,541,509,8.47
35,West Virginia,60,40-20,527,496,8.47
36,San Diego St.,53,24-29,456.1,430,8.48
37,Notre Dame,54,30-24,474.2,448,8.49
38,Clemson,63,44-19,561.1,531,8.51
39,Evansville,61,37-24,541.2,513,8.52
40,Ball St.,59,36-23,504.1,479,8.55
41,DBU,63,47-16,558.1,531,8.56
42,Oregon,63,41-22,559,532,8.57
43,CSUN,51,34-17,448.1,427,8.57
44,Liberty,58,27-31,495,473,8.6
45,New Orleans,60,36-24,503,483,8.64
46,Virginia,65,50-15,573.1,551,8.65
47,Wichita St.,55,30-25,474,458,8.7
48,Nebraska,57,33-23-1,494.2,478,8.7
49,Texas Tech,64,41-23,566.1,549,8.72
50,North Carolina,60,36-24,534.2,519,8.74
51,Central Conn. St.,50,36-14,442,430,8.76
52,Ohio St.,56,31-25,481,468,8.76
53,William & Mary,57,32-25,500.1,488,8.78
54,Central Mich.,57,34-23,507.2,496,8.79
55,Oregon St.,61,41-20,542.1,530,8.8
56,Missouri,54,30-24,449,442,8.86
57,NC State,57,36-21,504.2,498,8.88
58,George Mason,63,36-27,555.2,551,8.92
59,Western Ky.,59,33-26,516.2,514,8.95
60,Lehigh,50,24-26,412.1,412,8.99
61,Rider,57,36-21,492,492,9
62,Nicholls,58,34-24,522,523,9.02
63,UNCW,57,34-23,500.2,502,9.02
64,Stanford,64,44-20,577,579,9.03
65,USC Upstate,60,38-22,535.1,538,9.04
66,Indiana,63,43-20,556.1,560,9.06
67,Georgetown,57,30-27,491.1,495,9.07
68,Miami (FL),63,42-21,551.2,556,9.07
69,Brown,38,26-Dec,332.1,335,9.07
