Rank,Name,G,W-L,HR,PG
158,CSUN,51,34-17,53,1.04
159,Washington St.,52,29-23,54,1.04
160,Central Ark.,54,23-31,56,1.04
161,Louisville,55,31-24,57,1.04
162,Ga. Southern,56,27-29,58,1.04
,Saint Louis,56,33-23,58,1.04
164,Southern California,58,34-23-1,60,1.03
165,Lafayette,52,15-37,53,1.02
166,North Dakota St.,53,23-30,54,1.02
167,Florida St.,54,23-31,55,1.02
168,Grambling,55,29-26,56,1.02
,Fordham,55,19-36,56,1.02
170,UT Martin,56,22-34,57,1.02
171,Rice,58,21-37,58,1
,St. John's (NY),53,28-25,53,1
,Memphis,57,29-28,57,1
,SFA,50,22-28,50,1
,Fresno St.,57,30-27,57,1
176,Wofford,59,40-19,58,0.98
177,Sacred Heart,58,28-30,57,0.98
178,Youngstown St.,55,19-36,54,0.98
,Presbyterian,55,21-34,54,0.98
,FIU,55,21-34,54,0.98
181,South Alabama,54,23-31,53,0.98
,UIW,54,28-26,53,0.98
183,Illinois St.,50,20-30,49,0.98
184,Omaha,49,21-28,48,0.98
185,San Francisco,47,18-29,46,0.98
186,Air Force,59,28-31,57,0.97
187,UT Arlington,58,29-29,56,0.97
,Jacksonville,58,34-24,56,0.97
189,UMBC,57,30-27,55,0.96
190,Ohio,49,19-30,47,0.96
191,Michigan St.,55,33-22,52,0.95
,UC Irvine,55,38-17,52,0.95
193,Portland,54,31-23,51,0.94
194,Canisius,52,26-25-1,49,0.94
195,Bradley,48,16-32,45,0.94
196,Purdue Fort Wayne,56,13-43,52,0.93
197,NJIT,53,22-31,49,0.92
198,Western Mich.,52,21-31,48,0.92
199,UNLV,51,21-30,47,0.92
200,Penn,50,34-16,46,0.92
201,Eastern Ill.,59,38-21,54,0.92
202,James Madison,56,31-25,51,0.91
203,George Washington,55,21-34,50,0.91
,Akron,55,21-34,50,0.91
205,Binghamton,52,29-23,47,0.9
206,Bowling Green,50,20-30,45,0.9
207,VCU,55,25-30,49,0.89
,Siena,55,14-41,49,0.89
209,Marshall,53,16-37,47,0.89
210,Kentucky,61,40-21,54,0.89
211,USC Upstate,60,38-22,53,0.88
212,Charleston So.,50,22-28,44,0.88
,Penn St.,50,25-25,44,0.88
214,Middle Tenn.,56,27-29,49,0.88
215,Utah,55,22-32-1,48,0.87
216,Purdue,53,24-29,46,0.87
,Seattle U,53,21-32,46,0.87
218,Marist,52,16-36,45,0.87
219,Grand Canyon,58,37-21,50,0.86
220,Wagner,56,32-24,48,0.86
,Cornell,35,26-Sep,30,0.86
222,McNeese,58,35-23,48,0.83
223,Belmont,60,27-33,49,0.82
224,ULM,54,17-37,44,0.81
225,Liberty,58,27-31,47,0.81
,Col. of Charleston,58,36-22,47,0.81
227,Bucknell,47,23-23-1,38,0.81
228,Central Mich.,57,34-23,46,0.81
229,Arkansas St.,51,20-31,41,0.8
230,Harvard,44,20-24,35,0.8
231,Stony Brook,52,23-29,41,0.79
232,Villanova,51,14-37,40,0.78
233,Oklahoma,60,32-28,47,0.78
234,Monmouth,46,16-30,36,0.78
235,Longwood,54,23-31,42,0.78
236,Massachusetts,49,14-35,38,0.78
237,Gonzaga,52,18-34,40,0.77
238,Manhattan,56,22-34,43,0.77
239,Northwestern,50,Oct-40,38,0.76
,Saint Peter's,50,Sep-41,38,0.76
241,Creighton,49,25-24,37,0.76
242,Rider,57,36-21,43,0.75
243,Lamar University,55,32-23,41,0.75
,Baylor,55,20-35,41,0.75
245,North Ala.,51,14-37,38,0.75
246,Hawaii,49,29-20,36,0.73
247,Seton Hall,55,31-24,40,0.73
248,Oakland,60,29-31,43,0.72
249,Cal Poly,56,21-35,40,0.71
