Rank,Name,IP,W-L,BB,HA,WHIP
1,Wake Forest,581.2,54-12,183,426,1.05
2,Tennessee,568,44-22,183,474,1.16
3,Indiana St.,558,45-17,193,494,1.23
4,Vanderbilt,547.2,42-20,251,442,1.27
5,East Carolina,593.1,47-19,214,543,1.28
6,Xavier,561.2,39-25,211,510,1.28
7,Oral Roberts,582.1,52-14,229,519,1.28
8,Alabama,555.2,43-21,236,479,1.29
9,Northeastern,530.2,44-16,185,499,1.29
10,LSU,612.1,54-17,271,522,1.3
11,Virginia,573.1,50-15,203,551,1.32
12,Santa Clara,502,36-20,198,463,1.32
13,South Carolina,541,42-21,205,509,1.32
14,Southern Miss.,580.1,46-20,242,524,1.32
15,Southern California,514,34-23-1,216,466,1.33
16,Kent St.,512.1,42-16,240,442,1.33
17,Wichita St.,474,30-25,177,458,1.34
18,Lamar University,495,32-23,203,461,1.34
19,Iowa,522.1,44-16,310,391,1.34
20,Lipscomb,539.1,36-26,229,497,1.35
21,Northwestern St.,486.1,29-27,207,448,1.35
22,Kentucky,526.1,40-21,245,466,1.35
23,Nebraska,494.2,33-23-1,191,478,1.35
24,Penn,440,34-16,222,375,1.36
25,Wofford,521,40-19,138,571,1.36
26,Evansville,541.2,37-24,225,513,1.36
27,UC Santa Barbara,488.2,35-20,220,446,1.36
28,Charlotte,559.1,36-28,238,525,1.36
29,Duke,562.1,39-24,258,510,1.37
30,William & Mary,500.1,32-25,197,488,1.37
31,Notre Dame,474.2,30-24,202,448,1.37
32,DBU,558.1,47-16,234,531,1.37
33,UC Irvine,492,38-17,170,506,1.37
34,West Virginia,527,40-20,230,496,1.38
35,TCU,599.1,44-24,269,557,1.38
36,Campbell,546.1,46-15,282,473,1.38
37,Army West Point,477.2,38-18,214,448,1.39
38,Elon,488.1,33-22,155,522,1.39
39,UCLA,471.2,28-24-1,173,481,1.39
40,Oregon St.,542.1,41-20,222,530,1.39
41,Louisiana,569.2,41-24,263,527,1.39
42,McNeese,513.2,35-23,237,480,1.4
43,CSUN,448.1,34-17,200,427,1.4
44,Texas,565.2,42-22,273,519,1.4
45,Clemson,561.1,44-19,255,531,1.4
46,NC State,504.2,36-21,210,498,1.4
47,Long Beach St.,492.1,33-22,193,499,1.41
48,San Diego St.,456.1,24-29,212,430,1.41
49,Nicholls,522,34-24,212,523,1.41
50,Col. of Charleston,520.2,36-22,210,526,1.41
51,Miami (FL),551.2,42-21,224,556,1.41
52,Florida,613,54-17,305,562,1.41
53,Wright St.,539,39-23,216,549,1.42
54,Southeast Mo. St.,478.1,26-30,181,498,1.42
55,Central Mich.,507.2,34-23,225,496,1.42
56,Seton Hall,481.2,31-24,234,451,1.42
57,Western Ky.,516.2,33-26,221,514,1.42
58,LMU (CA),468,29-24,166,509,1.44
59,Louisville,481.1,31-24,254,444,1.45
60,North Carolina,534.2,36-24,262,519,1.46
61,Central Conn. St.,442,36-14,217,430,1.46
62,Murray St.,509.1,31-28,229,517,1.46
63,Memphis,496.2,29-28,222,506,1.47
64,Rutgers,494.1,33-23,276,450,1.47
65,Saint Mary's (CA),451.1,23-28,194,469,1.47
66,Washington,493.2,35-20,207,521,1.47
67,George Mason,555.2,36-27,270,551,1.48
68,Boston College,506,37-20,201,547,1.48
69,Alabama St.,514.2,41-18,227,535,1.48
70,UIW,473,28-26,205,496,1.48
71,Eastern Ill.,518,38-21,209,560,1.48
72,UTSA,503.2,38-19,194,554,1.49
73,Fresno St.,504.1,30-27,195,554,1.49
74,Michigan St.,477.1,33-22,222,487,1.49
75,Indiana,556.1,43-20,267,560,1.49
76,UTRGV,486,30-26,229,494,1.49
77,Portland,473.1,31-23,227,479,1.49
78,UConn,543,44-17,252,559,1.49
79,Gardner-Webb,492,31-25,235,500,1.49
80,Missouri St.,501.2,33-23,239,511,1.5
81,Arkansas,530.2,43-18,257,537,1.5
82,Missouri,449,30-24,230,442,1.5
83,Texas Tech,566.1,41-23,302,549,1.5
84,Georgetown,491.1,30-27,245,495,1.51
85,Kansas St.,507,35-24,215,550,1.51
86,Belmont,524.2,27-33,248,544,1.51
87,Hawaii,429,29-20,201,450,1.52
88,UNCW,500.2,34-23,259,502,1.52
89,USC Upstate,535.1,38-22,276,538,1.52
90,Lehigh,412.1,24-26,215,412,1.52
91,Fairfield,478.2,37-18,233,495,1.52
92,Washington St.,454.1,29-23,188,505,1.53
93,Oregon,559,41-22,321,532,1.53
94,Illinois,462,25-27,199,506,1.53
95,North Dakota St.,451,23-30,200,489,1.53
96,Winthrop,496,28-28,255,503,1.53
97,Creighton,425,25-24,221,429,1.53
98,Fla. Atlantic,523,34-25,244,556,1.53
99,New Orleans,503,36-24,287,483,1.53
100,Stetson,494,35-23,239,518,1.53
101,Yale,350.1,17-23,171,368,1.54
102,Grand Canyon,518,37-21,195,602,1.54
103,Rider,492,36-21,265,492,1.54
104,Texas St.,520.2,36-23,260,544,1.54
105,Jacksonville,512.1,34-24,267,525,1.55
106,Oklahoma St.,527.2,41-20,263,554,1.55
107,Stanford,577,44-20,316,579,1.55
108,Rice,506,21-37,252,533,1.55
109,Old Dominion,491,32-23,232,531,1.55
110,UCF,518.2,33-26,249,557,1.55
111,Purdue,457,24-29,217,494,1.56
112,Minnesota,464.1,18-34,246,477,1.56
113,Michigan,486.2,28-28,245,514,1.56
114,Bethune-Cookman,520,33-27,226,585,1.56
115,Sam Houston,554,39-25,243,623,1.56
116,Cal Poly,495.2,21-35,205,570,1.56
117,St. John's (NY),463.1,28-25,232,493,1.56
118,Ohio St.,481,31-25,285,468,1.57
119,UAB,463.2,17-36,217,511,1.57
120,Arizona St.,484,32-23,236,526,1.57
121,Cal St. Fullerton,503,32-24,232,561,1.58
122,Georgia St.,515.1,31-28,257,556,1.58
123,NJIT,443.2,22-31,201,499,1.58
124,North Florida,479.2,28-27,221,538,1.58
125,Southern Ill.,500.2,30-27,262,531,1.58
126,Central Ark.,465.1,23-31,239,499,1.59
127,Navy,415.1,23-27,180,479,1.59
128,California Baptist,508.1,28-30,256,552,1.59
129,Houston,524.1,36-23,298,536,1.59
130,New Mexico,435.2,26-25,155,538,1.59
131,Florida St.,477.2,23-31,267,494,1.59
132,Brown,332.1,26-Dec,195,335,1.59
133,Samford,532.1,37-25,269,580,1.59
134,Charleston So.,427.1,22-28,206,476,1.6
135,Sacred Heart,514.2,28-30,250,572,1.6
136,Oklahoma,526.1,32-28,273,568,1.6
