Rank,Name,G,W-L,SF
1,UC Irvine,55,38-17,52
2,USC Upstate,60,38-22,48
3,LSU,71,54-17,42
4,Rutgers,56,33-23,41
5,Coastal Carolina,63,42-21,40
6,George Mason,63,36-27,39
,Indiana,63,43-20,39
,Oklahoma,60,32-28,39
,Texas Tech,64,41-23,39
,Marist,52,16-36,39
,Wright St.,62,39-23,39
12,Arizona,59,33-26,38
13,Grand Canyon,58,37-21,37
,Lamar University,55,32-23,37
15,Alabama St.,59,41-18,36
16,Campbell,61,46-15,35
,East Carolina,66,47-19,35
,DBU,63,47-16,35
,McNeese,58,35-23,35
,Texas A&M,65,38-27,35
,FGCU,60,42-18,35
,Louisiana,65,41-24,35
23,Kansas St.,59,35-24,34
,Richmond,55,27-28,34
,Saint Louis,56,33-23,34
,Oral Roberts,66,52-14,34
,UMBC,57,30-27,34
,UNLV,51,21-30,34
,TCU,68,44-24,34
30,Alabama,64,43-21,33
,Arkansas,61,43-18,33
,Binghamton,52,29-23,33
,Cal St. Fullerton,56,32-24,33
,Lipscomb,62,36-26,33
,Clemson,63,44-19,33
,Wagner,56,32-24,33
,Winthrop,56,28-28,33
,Central Mich.,57,34-23,33
39,Florida,71,54-17,32
,Houston,59,36-23,32
,Iowa,60,44-16,32
,UConn,61,44-17,32
,Nicholls,58,34-24,32
,Vanderbilt,62,42-20,32
,Southern Miss.,66,46-20,32
,Stetson,58,35-23,32
,Wofford,59,40-19,32
,Maryland,63,42-21,32
,Dayton,60,26-34,32
50,Georgia Tech,57,30-27,31
,Kent St.,58,42-16,31
,Jackson St.,53,28-25,31
,Pepperdine,49,19-30,31
,Troy,62,40-22,31
,Wake Forest,66,54-12,31
,Oakland,60,29-31,31
,Long Beach St.,55,33-22,31
58,LMU (CA),53,29-24,30
,Eastern Ill.,59,38-21,30
,Virginia,65,50-15,30
,Washington St.,52,29-23,30
,Monmouth,46,16-30,30
,Southern California,58,34-23-1,30
,Stanford,64,44-20,30
,Texas Southern,53,31-22,30
,Texas,64,42-22,30
,Washington,55,35-20,30
68,Ga. Southern,56,27-29,29
,Indiana St.,62,45-17,29
,Air Force,59,28-31,29
,VMI,55,26-29,29
,Ole Miss,54,25-29,29
,Western Mich.,52,21-31,29
,Sam Houston,64,39-25,29
,Seton Hall,55,31-24,29
,Northwestern St.,56,29-27,29
,West Virginia,60,40-20,29
78,Kentucky,61,40-21,28
,Louisiana Tech,59,28-31,28
,Jacksonville,58,34-24,28
,Sacramento St.,56,30-26,28
,Army West Point,56,38-18,28
,VCU,55,25-30,28
,Mississippi St.,53,27-26,28
,St. John's (NY),53,28-25,28
,Manhattan,56,22-34,28
,UNC Asheville,52,26-26,28
,Northeastern,60,44-16,28
,Gardner-Webb,56,31-25,28
90,Kansas,57,25-32,27
,UMass Lowell,55,20-35,27
,Auburn,58,34-23-1,27
,Boston College,57,37-20,27
,Evansville,61,37-24,27
,Fairfield,55,37-18,27
,Middle Tenn.,56,27-29,27
,Samford,62,37-25,27
,Missouri,54,30-24,27
,UNCW,57,34-23,27
,Mercer,58,33-25,27
,Michigan St.,55,33-22,27
,Saint Joseph's,53,28-24-1,27
103,Arizona St.,55,32-23,26
,Baylor,55,20-35,26
,Bethune-Cookman,60,33-27,26
,Canisius,52,26-25-1,26
,NIU,53,Oct-43,26
,Western Ky.,59,33-26,26
,SFA,50,22-28,26
,Ark.-Pine Bluff,51,18-33,26
,Nebraska,57,33-23-1,26
,Col. of Charleston,58,36-22,26
113,George Washington,55,21-34,25
,Georgia St.,59,31-28,25
,Harvard,44,20-24,25
,Liberty,58,27-31,25
,ETSU,55,26-29,25
,Virginia Tech,53,30-23,25
,Wichita St.,55,30-25,25
,Xavier,64,39-25,25
,Saint Mary's (CA),51,23-28,25
,San Diego,50,24-25-1,25
