Rank,Name,G,W-L,AB,H
1,Virginia,65,50-15,2310,766
2,Oral Roberts,66,52-14,2340,750
3,Stanford,64,44-20,2354,745
4,LSU,71,54-17,2412,744
5,Sam Houston,64,39-25,2290,724
6,Alabama St.,59,41-18,2105,699
7,TCU,68,44-24,2322,693
8,Campbell,61,46-15,2177,692
9,Coastal Carolina,63,42-21,2215,689
10,Florida,71,54-17,2366,686
11,Maryland,63,42-21,2217,684
12,Wake Forest,66,54-12,2269,683
,Arizona,59,33-26,2162,683
14,FGCU,60,42-18,2116,681
,Texas Tech,64,41-23,2248,681
16,Clemson,63,44-19,2209,676
17,East Carolina,66,47-19,2288,668
18,Georgia Tech,57,30-27,2052,662
19,Indiana,63,43-20,2197,655
20,Miami (FL),63,42-21,2192,649
21,DBU,63,47-16,2168,647
22,Oregon,63,41-22,2167,646
23,Southern Miss.,66,46-20,2259,639
,UConn,61,44-17,2120,639
25,Fairfield,55,37-18,1983,635
26,Alabama,64,43-21,2162,634
27,Air Force,59,28-31,2108,631
28,Texas,64,42-22,2152,630
29,Louisiana,65,41-24,2169,629
30,Oklahoma St.,61,41-20,2085,627
31,Oregon St.,61,41-20,2128,625
32,New Mexico,51,26-25,1879,618
33,Tennessee,66,44-22,2180,617
,Duke,63,39-24,2206,617
,Wofford,59,40-19,1965,617
36,Georgia St.,59,31-28,2057,614
,Northeastern,60,44-16,2079,614
,UTSA,57,38-19,1994,614
39,Xavier,64,39-25,2233,613
40,Florida A&M,59,29-30,2077,612
41,Kent St.,58,42-16,2013,609
42,Bethune-Cookman,60,33-27,2054,607
,Grand Canyon,58,37-21,2052,607
44,Iowa,60,44-16,2045,604
,VMI,55,26-29,1874,604
46,Jacksonville St.,57,27-30,2004,602
47,West Virginia,60,40-20,2046,601
,Quinnipiac,56,30-26,1977,601
49,Delaware,59,30-29,2069,599
50,Portland,54,31-23,1960,595
,Troy,62,40-22,2089,595
52,Fla. Atlantic,59,34-25,2071,594
,NC State,57,36-21,1993,594
54,Houston,59,36-23,2047,593
,North Carolina,60,36-24,2101,593
56,New Orleans,60,36-24,2023,592
,Eastern Ill.,59,38-21,2063,592
58,Austin Peay,58,26-32,1990,591
,Nicholls,58,34-24,2046,591
,Sacred Heart,58,28-30,2052,591
61,Saint Louis,56,33-23,1986,588
62,Utah Valley,58,34-24,1987,585
63,Washington,55,35-20,1980,584
64,USC Upstate,60,38-22,2050,582
65,Santa Clara,56,36-20,1950,581
66,UNCW,57,34-23,1963,580
,UCF,59,33-26,2038,580
