Rank,Name,G,W-L,IP,R,ER,ERA
1,Wake Forest,66,54-12,581.2,218,183,2.83
2,Tennessee,66,44-22,568,267,229,3.63
3,Northeastern,60,44-16,530.2,260,221,3.75
4,Virginia,65,50-15,573.1,278,243,3.81
5,Indiana St.,62,45-17,558,252,238,3.84
6,Lamar University,55,32-23,495,253,218,3.96
7,Oral Roberts,66,52-14,582.1,279,261,4.03
8,Penn,50,34-16,440,232,203,4.15
9,William & Mary,57,32-25,500.1,282,232,4.17
10,Texas,64,42-22,565.2,295,263,4.18
11,Iowa,60,44-16,522.1,268,243,4.19
12,South Carolina,63,42-21,541,284,252,4.19
13,Kent St.,58,42-16,512.1,274,239,4.2
14,UC Santa Barbara,55,35-20,488.2,253,228,4.2
15,McNeese,58,35-23,513.2,293,243,4.26
16,Alabama,64,43-21,555.2,293,263,4.26
17,Vanderbilt,62,42-20,547.2,291,260,4.27
18,Duke,63,39-24,562.1,314,268,4.29
19,Clemson,63,44-19,561.1,307,268,4.3
20,Kentucky,61,40-21,526.1,272,253,4.33
21,East Carolina,66,47-19,593.1,300,286,4.34
22,Rider,57,36-21,492,286,240,4.39
,UC Irvine,55,38-17,492,275,240,4.39
24,Louisville,55,31-24,481.1,276,235,4.39
25,Southern California,58,34-23-1,514,294,251,4.39
26,DBU,63,47-16,558.1,302,273,4.4
27,Wichita St.,55,30-25,474,289,232,4.41
28,Long Beach St.,55,33-22,492.1,270,241,4.41
29,Army West Point,56,38-18,477.2,269,234,4.41
30,NC State,57,36-21,504.2,294,248,4.42
31,Seton Hall,55,31-24,481.2,279,237,4.43
32,LSU,71,54-17,612.1,341,304,4.47
33,UCLA,53,28-24-1,471.2,274,236,4.5
34,West Virginia,60,40-20,527,305,264,4.51
35,Southern Miss.,66,46-20,580.1,331,291,4.51
36,Elon,55,33-22,488.1,288,246,4.53
37,Col. of Charleston,58,36-22,520.2,307,263,4.55
38,Xavier,64,39-25,561.2,313,284,4.55
39,Rutgers,56,33-23,494.1,279,250,4.55
40,Santa Clara,56,36-20,502,294,255,4.57
41,Campbell,61,46-15,546.1,334,278,4.58
42,Alabama St.,59,41-18,514.2,316,262,4.58
43,Nicholls,58,34-24,522,306,266,4.59
44,Notre Dame,54,30-24,474.2,276,243,4.61
