Rank,Name,G,W-L,IP,BB,PG
1,Wofford,59,40-19,521,138,2.38
2,Wake Forest,66,54-12,581.2,183,2.83
3,Elon,55,33-22,488.1,155,2.86
4,Tennessee,66,44-22,568,183,2.9
5,UC Irvine,55,38-17,492,170,3.11
6,Indiana St.,62,45-17,558,193,3.11
7,Northeastern,60,44-16,530.2,185,3.14
8,Virginia,65,50-15,573.1,203,3.19
9,LMU (CA),53,29-24,468,166,3.19
10,New Mexico,51,26-25,435.2,155,3.2
11,East Carolina,66,47-19,593.1,214,3.25
12,UCLA,53,28-24-1,471.2,173,3.3
13,Wichita St.,55,30-25,474,177,3.36
14,Xavier,64,39-25,561.2,211,3.38
15,Grand Canyon,58,37-21,518,195,3.39
16,Southeast Mo. St.,56,26-30,478.1,181,3.41
17,South Carolina,63,42-21,541,205,3.41
18,UTSA,57,38-19,503.2,194,3.47
19,Nebraska,57,33-23-1,494.2,191,3.48
20,Fresno St.,57,30-27,504.1,195,3.48
21,Arizona,59,33-26,524.1,203,3.48
22,Long Beach St.,55,33-22,492.1,193,3.53
23,Oral Roberts,66,52-14,582.1,229,3.54
24,William & Mary,57,32-25,500.1,197,3.54
25,Santa Clara,56,36-20,502,198,3.55
26,Boston College,57,37-20,506,201,3.58
27,Wright St.,62,39-23,539,216,3.61
28,Col. of Charleston,58,36-22,520.2,210,3.63
29,Eastern Ill.,59,38-21,518,209,3.63
30,Miami (FL),63,42-21,551.2,224,3.65
31,Nicholls,58,34-24,522,212,3.66
32,Oregon St.,61,41-20,542.1,222,3.68
33,Lamar University,55,32-23,495,203,3.69
34,Cal Poly,56,21-35,495.2,205,3.72
35,Washington St.,52,29-23,454.1,188,3.72
36,Evansville,61,37-24,541.2,225,3.74
37,NC State,57,36-21,504.2,210,3.75
38,Southern Miss.,66,46-20,580.1,242,3.75
39,DBU,63,47-16,558.1,234,3.77
40,Washington,55,35-20,493.2,207,3.77
41,Southern California,58,34-23-1,514,216,3.78
42,Kansas St.,59,35-24,507,215,3.82
43,Quinnipiac,56,30-26,485.1,206,3.82
44,Lipscomb,62,36-26,539.1,229,3.82
45,Alabama,64,43-21,555.2,236,3.82
