Rank,Name,G,W-L,3B
1,Michigan St.,55,33-22,30
2,Arizona,59,33-26,29
3,UTSA,57,38-19,28
,Southern California,58,34-23-1,28
5,Florida A&M,59,29-30,24
,New Mexico,51,26-25,24
,Utah Valley,58,34-24,24
8,Jackson St.,53,28-25,23
,UNLV,51,21-30,23
,A&M-Corpus Christi,54,24-30,23
,Delaware,59,30-29,23
12,Grambling,55,29-26,22
,Penn,50,34-16,22
,Butler,55,Dec-43,22
,Iona,51,13-38,22
16,Air Force,59,28-31,21
,Fresno St.,57,30-27,21
18,Nicholls,58,34-24,20
,Wright St.,62,39-23,20
20,Florida,71,54-17,19
,Liberty,58,27-31,19
,Indiana,63,43-20,19
,Troy,62,40-22,19
,Oral Roberts,66,52-14,19
,Louisiana,65,41-24,19
,Texas Tech,64,41-23,19
,Morehead St.,56,36-20,19
,Oklahoma,60,32-28,19
,Sam Houston,64,39-25,19
30,Florida St.,54,23-31,18
,LSU,71,54-17,18
,Abilene Christian,59,35-24,18
,Alabama A&M,48,14-34,18
,Quinnipiac,56,30-26,18
,Penn St.,50,25-25,18
,McNeese,58,35-23,18
,Memphis,57,29-28,18
,Murray St.,59,31-28,18
,NIU,53,Oct-43,18
,Old Dominion,55,32-23,18
,Wofford,59,40-19,18
42,James Madison,56,31-25,17
,Ball St.,59,36-23,17
,Mississippi Val.,52,15-37,17
,Saint Joseph's,53,28-24-1,17
,Santa Clara,56,36-20,17
,Virginia Tech,53,30-23,17
48,Iowa,60,44-16,16
,Northern Colo.,45,Nov-34,16
,Little Rock,54,31-23,16
,UC Irvine,55,38-17,16
,Campbell,61,46-15,16
,Canisius,52,26-25-1,16
,Coppin St.,52,21-31,16
,VMI,55,26-29,16
,DBU,63,47-16,16
,West Virginia,60,40-20,16
,Sacred Heart,58,28-30,16
,Seton Hall,55,31-24,16
,Texas,64,42-22,16
,New Orleans,60,36-24,16
,Jacksonville,58,34-24,16
63,Georgia Tech,57,30-27,15
,Kent St.,58,42-16,15
,Kentucky,61,40-21,15
,Akron,55,21-34,15
,Central Conn. St.,50,36-14,15
,Army West Point,56,38-18,15
,Ohio St.,56,31-25,15
,Col. of Charleston,58,36-22,15
,Southern U.,51,23-28,15
,Tennessee,66,44-22,15
,UT Martin,56,22-34,15
,Missouri,54,30-24,15
,Norfolk St.,51,Sep-42,15
,Washington St.,52,29-23,15
77,Longwood,54,23-31,14
,Michigan,56,28-28,14
,BYU,52,24-28,14
,Sacramento St.,56,30-26,14
,UC Riverside,52,Nov-41,14
,The Citadel,54,23-31,14
,East Carolina,66,47-19,14
,Evansville,61,37-24,14
,Virginia,65,50-15,14
,Grand Canyon,58,37-21,14
,William & Mary,57,32-25,14
,Purdue,53,24-29,14
,San Diego St.,53,24-29,14
,South Alabama,54,23-31,14
,South Dakota St.,52,24-28,14
,Southern Miss.,66,46-20,14
,Stanford,64,44-20,14
,Stony Brook,52,23-29,14
,UIW,54,28-26,14
,Northeastern,60,44-16,14
,Louisville,55,31-24,14
98,Jacksonville St.,57,27-30,13
,Northern Ky.,57,30-27,13
,Brown,38,26-Dec,13
,Dayton,60,26-34,13
,Fairfield,55,37-18,13
,Wagner,56,32-24,13
,Western Ill.,52,Dec-40,13
,Youngstown St.,55,19-36,13
,Pittsburgh,55,24-31,13
,Rutgers,56,33-23,13
,St. John's (NY),53,28-25,13
,Southern Ill.,57,30-27,13
,Missouri St.,56,33-23,13
,Maryland,63,42-21,13
,Nebraska,57,33-23-1,13
,Nevada,53,20-33,13
,Baylor,55,20-35,13
115,George Washington,55,21-34,12
,Miami (OH),56,21-35,12
,UMass Lowell,55,20-35,12
,Houston,59,36-23,12
,UIC,53,28-25,12
,Alabama,64,43-21,12
,UAB,53,17-36,12
,Arizona St.,55,32-23,12
,Bethune-Cookman,60,33-27,12
,Bowling Green,50,20-30,12
,Bryant,50,26-24,12
,CSUN,51,34-17,12
,Columbia,45,23-22,12
,UConn,61,44-17,12
,Eastern Ky.,59,29-30,12
,FDU,53,31-21-1,12
,Navy,50,23-27,12
,VCU,55,25-30,12
,Kennesaw St.,54,25-29,12
,San Diego,50,24-25-1,12
,Omaha,49,21-28,12
,Georgetown,57,30-27,12
137,Fla. Atlantic,59,34-25,11
,Ga. Southern,56,27-29,11
,Gonzaga,52,18-34,11
,Lafayette,52,15-37,11
,Alabama St.,59,41-18,11
,Binghamton,52,29-23,11
,Bradley,48,16-32,11
,CSU Bakersfield,52,18-34,11
,UC Santa Barbara,55,35-20,11
,Cincinnati,57,24-33,11
,Clemson,63,44-19,11
,Utah,55,22-32-1,11
,Gardner-Webb,56,31-25,11
,Western Caro.,54,21-33,11
,Western Ky.,59,33-26,11
,Winthrop,56,28-28,11
,Milwaukee,57,25-32,11
,Saint Louis,56,33-23,11
,Saint Mary's (CA),51,23-28,11
,Samford,62,37-25,11
,San Jose St.,58,31-27,11
,Southeast Mo. St.,56,26-30,11
,UT Arlington,58,29-29,11
,USC Upstate,60,38-22,11
,Manhattan,56,22-34,11
,Monmouth,46,16-30,11
,N.C. A&T,47,19-28,11
,Oklahoma St.,61,41-20,11
,Oregon,63,41-22,11
166,FIU,55,21-34,10
,Miami (FL),63,42-21,10
,Kansas St.,59,35-24,10
,Kansas,57,25-32,10
,LMU (CA),53,29-24,10
,Arkansas,61,43-18,10
,Auburn,58,34-23-1,10
,Dartmouth,41,Mar-38,10
,Delaware St.,48,13-35,10
,ETSU,55,26-29,10
,Towson,56,19-37,10
,Vanderbilt,62,42-20,10
,Villanova,51,14-37,10
,Xavier,64,39-25,10
,SFA,50,22-28,10
,Texas A&M,65,38-27,10
,TCU,68,44-24,10
,Seattle U,53,21-32,10
,California Baptist,58,28-30,10
,UNCW,57,34-23,10
,NC State,57,36-21,10
,North Dakota St.,53,23-30,10
,Northwestern St.,56,29-27,10
,Notre Dame,54,30-24,10
,Oakland,60,29-31,10
,Pacific,49,14-35,10
,UTRGV,56,30-26,10
,Hawaii,49,29-20,10
194,Hofstra,52,26-26,9
,Middle Tenn.,56,27-29,9
,Bucknell,47,23-23-1,9
,Cal Poly,56,21-35,9
,Eastern Ill.,59,38-21,9
,Central Ark.,54,23-31,9
,Princeton,47,24-23,9
,Radford,55,Oct-45,9
,Richmond,55,27-28,9
,Southeastern La.,50,25-25,9
,SIUE,54,26-28,9
,Texas St.,59,36-23,9
,Stetson,58,35-23,9
,Texas Southern,53,31-22,9
,Toledo,55,26-29,9
,FGCU,60,42-18,9
,Presbyterian,55,21-34,9
,North Florida,55,28-27,9
,NJIT,53,22-31,9
,Niagara,47,24-22-1,9
,Illinois St.,50,20-30,9
215,George Mason,63,36-27,8
,Oregon St.,61,41-20,8
,App State,55,30-25,8
,Arkansas St.,51,20-31,8
,Austin Peay,58,26-32,8
,Cal St. Fullerton,56,32-24,8
,Central Mich.,57,34-23,8
,Coastal Carolina,63,42-21,8
,Creighton,49,25-24,8
,Davidson,54,30-24,8
,Duke,63,39-24,8
,Eastern Mich.,53,27-26,8
,Tulane,61,19-42,8
,Elon,55,33-22,8
,Wichita St.,55,30-25,8
,Portland,54,31-23,8
,Prairie View,57,20-37,8
,South Carolina,63,42-21,8
,Belmont,60,27-33,8
,Ark.-Pine Bluff,51,18-33,8
,Marist,52,16-36,8
,Marshall,53,16-37,8
,UNC Asheville,52,26-26,8
,UNC Greensboro,59,25-34,8
,UAlbany,44,9-34-1,8
240,Fordham,55,19-36,7
,Ole Miss,54,25-29,7
,Georgia,56,29-27,7
,Lamar University,55,32-23,7
,Lehigh,50,24-26,7
,LIU,55,19-36,7
,Alcorn,48,Aug-40,7
,Long Beach St.,55,33-22,7
,California,52,24-28,7
,UC Davis,54,17-37,7
,UCF,59,33-26,7
,Wake Forest,66,54-12,7
,Rhode Island,52,23-29,7
,Rice,58,21-37,7
,Saint Peter's,50,Sep-41,7
,San Francisco,47,18-29,7
,South Fla.,60,21-39,7
,Maine,53,32-21,7
,UMBC,57,30-27,7
,North Carolina,60,36-24,7
,Ohio,49,19-30,7
,Georgia St.,59,31-28,7
262,Holy Cross,51,16-35,6
,Houston Christian,48,Nov-37,6
,Louisiana Tech,59,28-31,6
,Indiana St.,62,45-17,6
,Charleston So.,50,22-28,6
,Cornell,35,26-Sep,6
,Minnesota,52,18-34,6
,Siena,55,14-41,6
,UMES,55,18-37,6
,Massachusetts,49,14-35,6
,New Mexico St.,51,14-37,6
,Pepperdine,49,19-30,6
,Yale,40,17-23,6
275,Harvard,44,20-24,5
,Illinois,52,25-27,5
,UCLA,53,28-24-1,5
,North Ala.,51,14-37,5
,Rider,57,36-21,5
,Lipscomb,62,36-26,5
,Mount St. Mary's,52,25-27,5
,Valparaiso,47,20-27,5
283,Hartford,37,Apr-33,4
,Boston College,57,37-20,4
,Mississippi St.,53,27-26,4
,Tennessee Tech,55,21-34,4
,ULM,54,17-37,4
,Mercer,58,33-25,4
,Washington,55,35-20,4
290,Purdue Fort Wayne,56,13-43,3
,Western Mich.,52,21-31,3
,Charlotte,64,36-28,3
,High Point,54,20-34,3
,St. Bonaventure,48,Aug-40,3
295,Northwestern,50,Oct-40,2
NR,UC San Diego,52,34-18,19
NR,Southern Ind.,55,17-38,16
NR,Tarleton St.,52,26-26,16
NR,Utah Tech,52,13-39,12
NR,Lindenwood,55,13-42,12
NR,St. Thomas (MN),44,Oct-34,11
NR,Queens (NC),55,17-38,11
NR,Merrimack,51,21-30,10
NR,Stonehill,49,14-35,6
NR,Bellarmine,55,13-42,4
      ,,,,
