Rank,Name,G,W-L,HBP
1,Campbell,61,46-15,146
2,LSU,71,54-17,143
3,UC Irvine,55,38-17,133
4,Kentucky,61,40-21,132
5,Indiana St.,62,45-17,127
6,FGCU,60,42-18,126
7,Coastal Carolina,63,42-21,125
8,Southeastern La.,50,25-25,119
9,Davidson,54,30-24,115
10,William & Mary,57,32-25,114
11,George Mason,63,36-27,112
12,App State,55,30-25,111
13,UCF,59,33-26,110
14,VCU,55,25-30,108
15,South Carolina,63,42-21,107
16,West Virginia,60,40-20,106
17,Iowa,60,44-16,105
,Ga. Southern,56,27-29,105
19,Duke,63,39-24,104
,Troy,62,40-22,104
21,Kent St.,58,42-16,103
,Nebraska,57,33-23-1,103
23,Maryland,63,42-21,102
24,Central Mich.,57,34-23,101
25,FDU,53,31-21-1,100
,Dayton,60,26-34,100
27,Saint Louis,56,33-23,99
28,Wofford,59,40-19,96
29,Charleston So.,50,22-28,95
,Southern Miss.,66,46-20,95
31,Sacred Heart,58,28-30,94
,Stetson,58,35-23,94
33,Texas Southern,53,31-22,93
,Purdue,53,24-29,93
,Northeastern,60,44-16,93
36,Washington St.,52,29-23,92
,Notre Dame,54,30-24,92
38,Mercer,58,33-25,91
,Louisville,55,31-24,91
,Southeast Mo. St.,56,26-30,91
,Saint Peter's,50,Sep-41,91
42,South Alabama,54,23-31,90
,USC Upstate,60,38-22,90
,Louisiana Tech,59,28-31,90
,Florida,71,54-17,90
,Northern Ky.,57,30-27,90
47,Northwestern St.,56,29-27,89
48,Missouri,54,30-24,88
,Wright St.,62,39-23,88
,Wagner,56,32-24,88
,Fordham,55,19-36,88
52,Xavier,64,39-25,87
53,Wake Forest,66,54-12,86
54,Utah Valley,58,34-24,85
,Pacific,49,14-35,85
,North Carolina,60,36-24,85
57,St. John's (NY),53,28-25,84
,Santa Clara,56,36-20,84
,Gardner-Webb,56,31-25,84
,TCU,68,44-24,84
,South Fla.,60,21-39,84
62,Texas St.,59,36-23,83
,Boston College,57,37-20,83
,James Madison,56,31-25,83
,UTSA,57,38-19,83
66,Miami (OH),56,21-35,82
,Virginia,65,50-15,82
,Vanderbilt,62,42-20,82
69,Arizona,59,33-26,81
,Southern U.,51,23-28,81
71,UConn,61,44-17,80
,Georgia Tech,57,30-27,80
73,Michigan St.,55,33-22,79
,Michigan,56,28-28,79
,Rutgers,56,33-23,79
,UMBC,57,30-27,79
,Rhode Island,52,23-29,79
,Tulane,61,19-42,79
,Utah,55,22-32-1,79
,Central Ark.,54,23-31,79
,Nicholls,58,34-24,79
82,Tennessee,66,44-22,78
,Prairie View,57,20-37,78
,Eastern Ill.,59,38-21,78
85,San Diego,50,24-25-1,77
,Lipscomb,62,36-26,77
,Bryant,50,26-24,77
,Alabama,64,43-21,77
,Arkansas,61,43-18,77
,Holy Cross,51,16-35,77
91,Samford,62,37-25,76
,Maine,53,32-21,76
,Western Mich.,52,21-31,76
,Eastern Mich.,53,27-26,76
,Mount St. Mary's,52,25-27,76
96,Indiana,63,43-20,75
,Longwood,54,23-31,75
98,Middle Tenn.,56,27-29,74
,Oklahoma,60,32-28,74
,Grambling,55,29-26,74
,Long Beach St.,55,33-22,74
,Rider,57,36-21,74
103,Western Ky.,59,33-26,73
,Miami (FL),63,42-21,73
,Washington,55,35-20,73
,UCLA,53,28-24-1,73
,Siena,55,14-41,73
,Southern California,58,34-23-1,73
,Louisiana,65,41-24,73
110,Quinnipiac,56,30-26,72
,Air Force,59,28-31,72
,Coppin St.,52,21-31,72
,Jacksonville St.,57,27-30,72
,Purdue Fort Wayne,56,13-43,72
,Fla. Atlantic,59,34-25,72
,McNeese,58,35-23,72
117,Manhattan,56,22-34,71
,Ball St.,59,36-23,71
,East Carolina,66,47-19,71
,North Dakota St.,53,23-30,71
121,UNC Asheville,52,26-26,70
,UNC Greensboro,59,25-34,70
,Bucknell,47,23-23-1,70
,San Diego St.,53,24-29,70
125,Oregon,63,41-22,69
,Texas Tech,64,41-23,69
,Illinois,52,25-27,69
,Auburn,58,34-23-1,69
