Rank,Name,G,W-L,PO,A,E,PCT
1,Oral Roberts,66,52-14,1747,585,38,0.984
2,Kentucky,61,40-21,1579,563,35,0.984
3,Indiana St.,62,45-17,1674,636,41,0.983
4,Creighton,49,25-24,1275,509,32,0.982
5,Boston College,57,37-20,1518,511,37,0.982
6,Oregon St.,61,41-20,1627,503,39,0.982
7,Houston,59,36-23,1573,534,39,0.982
8,Louisiana,65,41-24,1709,575,43,0.982
9,Arkansas,61,43-18,1592,512,41,0.981
10,New Orleans,60,36-24,1509,531,40,0.981
11,Georgia,56,29-27,1450,432,37,0.981
12,Abilene Christian,59,35-24,1527,498,40,0.981
13,Iowa,60,44-16,1567,503,41,0.981
14,Vanderbilt,62,42-20,1643,457,42,0.98
15,Oklahoma St.,61,41-20,1583,546,44,0.98
16,UIC,53,28-25,1344,485,38,0.98
17,Binghamton,52,29-23,1328,427,37,0.979
18,Virginia Tech,53,30-23,1394,496,40,0.979
19,Texas,64,42-22,1697,607,49,0.979
20,Ole Miss,54,25-29,1379,406,38,0.979
21,Wake Forest,66,54-12,1745,554,49,0.979
22,Charlotte,64,36-28,1678,520,47,0.979
23,Illinois,52,25-27,1386,472,40,0.979
24,Miami (FL),63,42-21,1655,487,47,0.979
25,Toledo,55,26-29,1452,462,42,0.979
26,Southern Ill.,57,30-27,1501,549,45,0.979
27,Samford,62,37-25,1597,497,46,0.979
28,Alabama,64,43-21,1667,514,48,0.978
29,VCU,55,25-30,1434,465,42,0.978
30,DBU,63,47-16,1675,449,47,0.978
31,UAB,53,17-36,1391,459,41,0.978
32,Nebraska,57,33-23-1,1484,495,44,0.978
33,TCU,68,44-24,1798,629,54,0.978
34,Xavier,64,39-25,1685,551,50,0.978
35,Mercer,58,33-25,1495,514,45,0.978
36,San Diego,50,24-25-1,1304,422,39,0.978
37,Wofford,59,40-19,1563,558,48,0.978
38,East Carolina,66,47-19,1780,514,52,0.978
39,Texas A&M,65,38-27,1699,589,52,0.978
40,Virginia,65,50-15,1720,520,51,0.978
41,Duke,63,39-24,1687,505,50,0.978
42,SIUE,54,26-28,1393,441,42,0.978
43,Yale,40,17-23,1051,385,33,0.978
44,Auburn,58,34-23-1,1527,474,46,0.978
45,Northeastern,60,44-16,1592,598,51,0.977
46,Florida,71,54-17,1839,602,57,0.977
47,Clemson,63,44-19,1684,578,53,0.977
48,Notre Dame,54,30-24,1424,533,46,0.977
49,Nicholls,58,34-24,1566,599,51,0.977
50,UConn,61,44-17,1629,484,50,0.977
51,Grand Canyon,58,37-21,1554,514,49,0.977
52,Arizona,59,33-26,1573,589,52,0.977
53,LMU (CA),53,29-24,1404,459,45,0.976
54,Gonzaga,52,18-34,1367,454,44,0.976
55,Cal St. Fullerton,56,32-24,1509,473,48,0.976
56,Washington,55,35-20,1481,535,49,0.976
57,Tennessee,66,44-22,1704,465,53,0.976
58,UTSA,57,38-19,1511,483,49,0.976
59,McNeese,58,35-23,1541,613,53,0.976
60,Evansville,61,37-24,1625,565,54,0.976
61,Oregon,63,41-22,1677,547,55,0.976
62,Rutgers,56,33-23,1483,513,50,0.976
63,Lamar University,55,32-23,1485,533,51,0.975
64,Air Force,59,28-31,1529,567,53,0.975
65,Saint Joseph's,53,28-24-1,1371,432,46,0.975
66,NC State,57,36-21,1514,516,52,0.975
67,Hofstra,52,26-26,1332,494,47,0.975
68,Michigan,56,28-28,1460,509,51,0.975
69,Kansas St.,59,35-24,1521,525,53,0.975
70,South Carolina,63,42-21,1623,536,56,0.975
71,Army West Point,56,38-18,1433,492,50,0.975
72,UC Irvine,55,38-17,1476,487,51,0.975
73,Seton Hall,55,31-24,1445,554,52,0.975
74,CSUN,51,34-17,1345,534,49,0.975
75,LSU,71,54-17,1837,420,59,0.975
76,Gardner-Webb,56,31-25,1476,549,53,0.974
77,Cal Poly,56,21-35,1487,537,53,0.974
78,New Mexico,51,26-25,1307,562,49,0.974
79,Western Mich.,52,21-31,1311,480,47,0.974
80,South Fla.,60,21-39,1566,605,57,0.974
81,Long Beach St.,55,33-22,1477,465,51,0.974
82,The Citadel,54,23-31,1399,464,49,0.974
83,Milwaukee,57,25-32,1446,561,53,0.974
84,Jacksonville St.,57,27-30,1451,512,52,0.974
85,Utah Valley,58,34-24,1466,532,53,0.974
86,North Carolina,60,36-24,1604,469,55,0.974
