Rank,Name,G,W-L,2B
1,Virginia,65,50-15,172
2,Coastal Carolina,63,42-21,153
3,Arizona,59,33-26,151
4,Sam Houston,64,39-25,147
5,Louisiana,65,41-24,145
,Oregon,63,41-22,145
,Stanford,64,44-20,145
8,Oklahoma St.,61,41-20,144
9,TCU,68,44-24,143
10,Georgia Tech,57,30-27,142
11,Maryland,63,42-21,141
,Wright St.,62,39-23,141
13,Air Force,59,28-31,140
14,Kent St.,58,42-16,139
,Texas Tech,64,41-23,139
,Austin Peay,58,26-32,139
17,Alabama St.,59,41-18,137
18,Richmond,55,27-28,136
,West Virginia,60,40-20,136
20,DBU,63,47-16,135
21,VMI,55,26-29,134
22,Southern Miss.,66,46-20,133
23,Oral Roberts,66,52-14,132
,Clemson,63,44-19,132
25,Indiana,63,43-20,131
,Utah Valley,58,34-24,131
,East Carolina,66,47-19,131
28,Wake Forest,66,54-12,130
,North Carolina,60,36-24,130
,Texas,64,42-22,130
31,Iowa,60,44-16,129
,Northern Ky.,57,30-27,129
,NC State,57,36-21,129
,Campbell,61,46-15,129
35,Florida,71,54-17,128
,San Jose St.,58,31-27,128
,Grand Canyon,58,37-21,128
38,BYU,52,24-28,127
,Oregon St.,61,41-20,127
,FGCU,60,42-18,127
,UConn,61,44-17,127
42,Cal St. Fullerton,56,32-24,126
43,LSU,71,54-17,125
,New Mexico,51,26-25,125
,Portland,54,31-23,125
,Eastern Mich.,53,27-26,125
47,Duke,63,39-24,124
,Fla. Atlantic,59,34-25,124
49,Bethune-Cookman,60,33-27,123
,Nicholls,58,34-24,123
,Youngstown St.,55,19-36,123
52,James Madison,56,31-25,121
53,Indiana St.,62,45-17,120
54,Washington St.,52,29-23,119
,Southern Ill.,57,30-27,119
,Wichita St.,55,30-25,119
57,Arkansas St.,51,20-31,118
,Miami (OH),56,21-35,118
,McNeese,58,35-23,118
,Fairfield,55,37-18,118
61,Hofstra,52,26-26,117
,Missouri St.,56,33-23,117
,Wagner,56,32-24,117
,Purdue Fort Wayne,56,13-43,117
65,Kansas,57,25-32,116
,Kentucky,61,40-21,116
,North Dakota St.,53,23-30,116
,Col. of Charleston,58,36-22,116
,Quinnipiac,56,30-26,116
,Louisiana Tech,59,28-31,116
71,Florida A&M,59,29-30,115
,Jacksonville St.,57,27-30,115
,Oakland,60,29-31,115
,UT Martin,56,22-34,115
,Delaware,59,30-29,115
76,Houston,59,36-23,114
,UMBC,57,30-27,114
,Samford,62,37-25,114
,Vanderbilt,62,42-20,114
80,Western Ky.,59,33-26,113
81,Auburn,58,34-23-1,112
,Ball St.,59,36-23,112
,Tennessee,66,44-22,112
,Rider,57,36-21,112
,St. John's (NY),53,28-25,112
,Virginia Tech,53,30-23,112
87,App State,55,30-25,111
,Sacramento St.,56,30-26,111
,Penn,50,34-16,111
