,Rank,Team,Conference
0,1,Florida,SEC
1,2,Louisville,ACC
2,3,Miami,ACC
3,4,Texas A&M,SEC
4,5,Coastal Carolina,BigSou
5,6,Texas Christian,Big12
6,7,Clemson,ACC
7,8,North Carolina State,ACC
8,9,Ole Miss,SEC
9,10,LSU,SEC
10,11,Florida State,ACC
11,12,Arizona,Pac12
12,13,South Carolina,SEC
13,14,Texas Tech,Big12
14,15,Mississippi State,SEC
15,16,Vanderbilt,SEC
16,17,UL Lafayette,SBC
17,18,UC Santa Barbara,BigWest
18,19,North Carolina,ACC
19,20,Southern Miss,ConfUSA
20,21,Oklahoma State,Big12
21,22,Georgia Tech,ACC
22,23,Virginia,ACC
23,24,Rice,ConfUSA
24,25,Dallas Baptist,MVC
25,26,Boston College,ACC
26,27,East Carolina,AAC
27,28,Wake Forest,ACC
28,29,Duke,ACC
29,30,UNC Wilmington,CAA
30,31,Louisiana Tech,ConfUSA
31,32,Tulane,AAC
32,33,Gonzaga,WCC
33,34,Florida Atlantic,ConfUSA
34,35,Bryant,NEC
35,36,Ohio State,Big10
36,37,Wright State,Horiz
37,38,Arizona State,Pac12
38,39,Michigan,Big10
39,40,Sam Houston State,Sthland
40,41,Long Beach State,BigWest
41,42,Cal State Fullerton,BigWest
42,43,South Alabama,SBC
43,44,Southeastern Louisiana,Sthland
44,45,Georgia,SEC
45,46,Oregon State,Pac12
46,47,New Mexico,MWC
47,48,Connecticut,AAC
48,49,Creighton,BigEast
49,50,Minnesota,Big10
50,51,Northwestern State,Sthland
51,52,Washington,Pac12
52,53,Nebraska,Big10
53,54,West Virginia,Big12
54,55,Illinois,Big10
55,56,BYU,WCC
56,57,Houston,AAC
57,58,Southeast Missouri State,OVC
58,59,Oral Roberts,Summ
59,60,Maryland,Big10
60,61,St. Mary's CA,WCC
61,62,Col of Charleston,CAA
62,63,North Florida,AtlSun
63,64,Marshall,ConfUSA
64,65,Alabama,SEC
65,66,Hartford,AmEast
66,67,Oklahoma,Big12
67,68,California,Pac12
68,69,Indiana State,MVC
69,70,Kentucky,SEC
70,71,Kent State,MAC
71,72,Xavier,BigEast
72,73,Iowa,Big10
73,74,Stanford,Pac12
74,75,VCU,Atl10
75,76,UNC Greensboro,SoCon
76,77,Lamar,Sthland
77,78,Michigan State,Big10
78,79,USC,Pac12
79,80,Oregon,Pac12
80,81,Georgia Southern,SBC
81,82,Old Dominion,ConfUSA
82,83,Missouri State,MVC
83,84,Jacksonville,AtlSun
84,85,Pittsburgh,ACC
85,86,New Orleans,Sthland
86,87,Nevada,MWC
87,88,Tennessee,SEC
88,89,William and Mary,CAA
89,90,Utah,Pac12
90,91,Pepperdine,WCC
91,92,Jacksonville State,OVC
92,93,Troy,SBC
93,94,Fresno State,MWC
94,95,Mercer,SoCon
95,96,Notre Dame,ACC
96,97,Western Carolina,SoCon
97,98,Florida International,ConfUSA
