,team,power_rating,conference,week,year
1,Georgia,26.1,SEC,16,2021
2,Ohio State,20.9,Big Ten,16,2021
3,Alabama,17.8,SEC,16,2021
4,Cincinnati,16.3,Big 12,16,2021
5,Michigan,15.5,Big Ten,16,2021
6,Texas A&M,15.3,SEC,16,2021
7,Pittsburgh,13.4,ACC,16,2021
8,NC State,12.4,ACC,16,2021
9,Wisconsin,12.1,Big Ten,16,2021
10,Oklahoma,12.0,SEC,16,2021
11,Notre Dame,11.5,FBS Independents,16,2021
12,Arizona State,11.2,Big 12,16,2021
13,Oklahoma State,11.1,Big 12,16,2021
14,Clemson,10.7,ACC,16,2021
15,Baylor,10.6,Big 12,16,2021
16,Coastal Carolina,10.5,Sun Belt,16,2021
17,Western Kentucky,10.3,Conference USA,16,2021
18,Utah,10.3,Big 12,16,2021
19,Houston,10.0,Big 12,16,2021
20,Tennessee,8.8,SEC,16,2021
21,Penn State,8.6,Big Ten,16,2021
22,Arkansas,8.6,SEC,16,2021
23,Auburn,8.5,SEC,16,2021
24,Minnesota,8.4,Big Ten,16,2021
25,Florida,8.3,SEC,16,2021
26,Kentucky,8.0,SEC,16,2021
27,Ole Miss,7.1,SEC,16,2021
28,Mississippi State,7.0,SEC,16,2021
29,BYU,6.9,Big 12,16,2021
30,Iowa State,6.7,Big 12,16,2021
31,Fresno State,6.6,Mountain West,16,2021
32,Miami,6.5,ACC,16,2021
33,Nebraska,6.5,Big Ten,16,2021
34,App State,6.5,Sun Belt,16,2021
35,SMU,6.4,ACC,16,2021
36,Kansas State,6.4,Big 12,16,2021
37,Oregon State,6.1,Pac-12,16,2021
38,Oregon,6.0,Big Ten,16,2021
39,UCF,5.9,Big 12,16,2021
40,Air Force,5.9,Mountain West,16,2021
41,Texas,5.6,SEC,16,2021
42,UCLA,5.0,Big Ten,16,2021
43,Purdue,5.0,Big Ten,16,2021
44,San Diego State,4.9,Mountain West,16,2021
45,Michigan State,4.4,Big Ten,16,2021
46,Toledo,4.4,Mid-American,16,2021
47,Boise State,4.4,Mountain West,16,2021
48,Virginia,4.0,ACC,16,2021
49,Iowa,3.3,Big Ten,16,2021
50,UAB,3.1,American Athletic,16,2021
51,Wake Forest,3.1,ACC,16,2021
52,Louisville,3.0,ACC,16,2021
53,Marshall,3.0,Sun Belt,16,2021
54,Louisiana,2.9,Sun Belt,16,2021
55,Army,2.8,American Athletic,16,2021
56,North Carolina,2.5,ACC,16,2021
57,Texas Tech,2.3,Big 12,16,2021
58,Florida State,2.3,ACC,16,2021
59,LSU,2.2,SEC,16,2021
60,UTSA,2.1,American Athletic,16,2021
