,Rank,Team,Conference
0,1,Clemson,ACC
1,2,Florida State,ACC
2,3,Texas,Big12
3,4,South Carolina,SEC
4,5,Georgia Tech,ACC
5,6,Wake Forest,ACC
6,7,Houston,ConfUSA
7,8,Stanford,Pac10
8,9,LSU,SEC
9,10,Rice,WAC
10,11,Florida,SEC
11,12,Alabama,SEC
12,13,North Carolina,ACC
13,14,Nebraska,Big12
14,15,Richmond,Atl10
15,16,Miami,IndyNCAA
16,17,UL Lafayette,SBC
17,18,Wichita State,MVC
18,19,South Alabama,SBC
19,20,Georgia,SEC
20,21,Long Beach State,BigWest
21,22,Notre Dame,BigEast
22,23,Arkansas,SEC
23,24,Arizona State,Pac10
24,25,Baylor,Big12
25,26,Cal State Fullerton,BigWest
26,27,James Madison,CAA
27,28,Texas Tech,Big12
28,29,USC,Pac10
29,30,Stetson,AtlSun
30,31,Ole Miss,SEC
31,32,Oklahoma,Big12
32,33,East Carolina,ConfUSA
33,34,Coastal Carolina,BigSou
34,35,Florida International,SBC
35,36,Auburn,SEC
36,37,Florida Atlantic,AtlSun
37,38,South Florida,ConfUSA
38,39,Southwest Missouri State,MVC
39,40,Central Florida,AtlSun
40,41,North Carolina State,ACC
41,42,Louisville,ConfUSA
42,43,Oklahoma State,Big12
43,44,Cal State Northridge,BigWest
44,45,Delaware,CAA
45,46,Rutgers,BigEast
46,47,Texas Christian,ConfUSA
47,48,UNC Wilmington,CAA
48,49,Elon,BigSou
49,50,Mississippi State,SEC
50,51,Tennessee,SEC
51,52,Texas A&M,Big12
52,53,Tulane,ConfUSA
53,54,San Jose State,WAC
54,55,Marist,MAAC
55,56,Southern Miss,ConfUSA
56,57,Southwest Texas State,Sthland
57,58,Northwestern State,Sthland
58,59,Liberty,BigSou
59,60,George Washington,Atl10
60,61,Creighton,MVC
61,62,Arizona,Pac10
62,63,Bethune-Cookman,MEAC
63,64,VCU,CAA
64,65,California,Pac10
65,66,Maryland,ACC
66,67,Kansas State,Big12
67,68,Virginia,ACC
68,69,Western Kentucky,SBC
69,70,Vanderbilt,SEC
70,71,Washington,Pac10
71,72,Virginia Tech,BigEast
72,73,Boston College,BigEast
73,74,Fresno State,WAC
74,75,New Orleans,SBC
75,76,William and Mary,CAA
76,77,Southern Illinois,MVC
77,78,Minnesota,Big10
78,79,Southern,SWAC
79,80,UC Irvine,BigWest
80,81,Southeast Missouri State,OVC
81,82,Ohio State,Big10
82,83,Michigan State,Big10
83,84,Kent State,MAC
84,85,Duke,ACC
85,86,Maine,AmEast
86,87,San Diego State,MWC
87,88,Oregon State,Pac10
88,89,San Diego,WCC
89,90,Georgia Southern,SoCon
90,91,New Mexico State,SBC
91,92,Jacksonville,AtlSun
92,93,Lamar,Sthland
93,94,Cal Poly,BigWest
94,95,Cincinnati,ConfUSA
95,96,Indiana State,MVC
96,97,St. John's,BigEast
97,98,Missouri,Big12
98,99,Old Dominion,CAA
99,100,McNeese State,Sthland
100,101,Northern Iowa,MVC
101,102,Indiana,Big10
102,103,Pittsburgh,BigEast
103,104,Col of Charleston,SoCon
104,105,UNC Greensboro,SoCon
105,106,Dayton,Atl10
106,107,Seton Hall,BigEast
107,108,Citadel,SoCon
108,109,Louisiana-Monroe,Sthland
109,110,Illinois,Big10
110,111,UCLA,Pac10
111,112,George Mason,CAA
