Team,Date,Opponent,Location,Result,home_team,away_team,home_score,away_score,home_elo,away_elo
NC State,2024-02-16,VCU,Home,W6 - 1,NC State,VCU,6,1,1661.88,1467.56
NC State,2024-02-17,VCU,Home,L6 - 9,NC State,VCU,6,9,1661.88,1467.56
NC State,2024-02-18,VCU,Home,W5 - 3,NC State,VCU,5,3,1661.88,1467.56
NC State,2024-02-23,Hawaii,Away,W17 - 12,Hawaii,NC State,12,17,1584.02,1661.88
NC State,2024-02-24,Hawaii,Away,L5 - 7,Hawaii,NC State,7,5,1584.02,1661.88
NC State,2024-02-25,Hawaii,Away,W10 - 8(8 Innings),Hawaii,NC State,8,10,1584.02,1661.88
NC State,2024-02-28,Queens (NC),Home,W17 - 2,NC State,Queens (NC),17,2,1661.88,1171.66
NC State,2024-03-01,Towson,Home,W6 - 5,NC State,Towson,6,5,1661.88,1257.11
NC State,2024-03-02,Towson,Home,W15 - 4(7 Innings),NC State,Towson,15,4,1661.88,1257.11
NC State,2024-03-02,Towson,Home,W10 - 0(7 Innings),NC State,Towson,10,0,1661.88,1257.11
NC State,2024-03-03,Towson,Home,W14 - 4(7 Innings),NC State,Towson,14,4,1661.88,1257.11
NC State,2024-03-08,Boston College,Home,W5 - 4(11 Innings),NC State,Boston College,5,4,1661.88,1391.68
NC State,2024-03-08,Boston College,Home,W9 - 1,NC State,Boston College,9,1,1661.88,1391.68
NC State,2024-03-10,Boston College,Home,W18 - 16,NC State,Boston College,18,16,1661.88,1391.68
NC State,2024-03-12,UNC Greensboro,Home,L3 - 18,NC State,UNC Greensboro,3,18,1661.88,1489.68
NC State,2024-03-15,Georgia Tech,Away,L5 - 8,Georgia Tech,NC State,8,5,1541.42,1661.88
NC State,2024-03-16,Georgia Tech,Away,L7 - 8,Georgia Tech,NC State,8,7,1541.42,1661.88
NC State,2024-03-17,Georgia Tech,Away,L5 - 15(7 Innings),Georgia Tech,NC State,15,5,1541.42,1661.88
