"Year","Team","ERA","W","L","APP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","BAA","WP","HBP","BK","SFA","SHA"
2001,"Miami, Florida",3.87,53,12,65,65,1,2,1,20,588.1,584,322,253,223,536,102,14,53,2232,.262,50,76,8,18,27
2001,"Michigan State",6.32,29,27,56,56,7,0,0,12,443.0,562,361,311,175,312,107,11,60,1822,.308,31,70,6,15,19
2001,"Mississippi",4.64,39,23,63,63,5,6,5,18,550.1,581,350,284,214,418,109,11,48,2147,.271,21,41,17,27,19
2001,"Mount St. Mary's",8.06,12,37,49,49,4,0,0,4,371.2,538,440,333,262,335,110,9,30,1616,.333,56,53,7,23,23
2001,"Nevada",6.28,30,26,56,56,6,1,1,15,495.2,612,401,346,237,383,105,11,57,2000,.306,44,39,11,28,28
2001,"North Carolina-Charlotte",6.03,24,31,55,55,6,1,1,8,474.2,551,394,318,229,371,104,7,49,1910,.288,74,44,7,26,22
2001,"North Carolina-Greensboro",4.58,31,28,59,59,1,4,3,16,520.1,589,355,265,202,376,101,17,27,2088,.282,35,63,7,18,46
2001,"North Carolina",5.90,31,26,57,57,1,3,2,9,499.0,617,416,327,289,315,96,8,52,1989,.310,74,43,10,37,38
2001,"North Carolina State",5.05,32,29,61,61,3,0,0,12,542.0,636,385,304,185,447,111,17,46,2188,.291,48,60,9,17,38
2001,"North Carolina-Wilmington",3.20,33,22,55,55,12,4,1,6,481.2,450,229,171,140,390,77,4,30,1830,.246,41,37,3,18,21
2001,"Northwestern",5.40,24,32,56,56,13,5,1,7,455.1,563,362,273,197,346,101,16,32,1865,.302,43,34,6,20,33
2001,"Notre Dame",3.22,49,13,63,63,21,7,1,8,547.2,506,236,196,151,420,103,9,22,2061,.246,31,40,3,13,44
2001,"Oakland",9.44,11,43,54,54,5,0,0,4,398.2,591,521,418,284,289,103,7,67,1714,.345,81,57,4,34,41
2001,"Ohio State",4.07,43,17,61,61,8,8,4,15,497.2,552,274,225,150,350,70,5,44,1935,.285,35,43,10,19,30
2001,"Old Dominion",5.01,19,32,51,51,3,0,0,8,447.1,517,323,249,190,326,114,11,27,1783,.290,39,37,10,20,31
2001,"Pittsburgh",5.33,18,27,45,45,13,2,0,3,363.1,416,272,215,200,260,75,14,33,1438,.289,50,50,4,18,31
2001,"Princeton",6.40,23,25,48,48,12,2,0,7,389.1,541,327,277,140,223,96,17,45,1629,.332,28,28,5,29,23
2001,"Purdue",5.45,32,24,56,56,15,3,1,5,462.1,587,340,280,166,337,106,15,50,1907,.308,47,45,4,13,20
2001,"Quinnipiac",7.41,5,37,42,42,5,0,0,0,313.1,464,358,258,170,180,89,9,45,1349,.344,33,42,3,14,22
2001,"Richmond",4.28,27,26,53,53,11,1,0,6,454.0,455,285,216,151,387,88,6,37,1751,.260,31,44,5,22,33
2001,"Samford",5.53,19,33,54,54,12,0,0,4,431.2,515,321,265,197,362,110,11,52,1727,.298,33,36,5,25,36
2001,"San Diego State",4.26,34,26,60,60,4,3,2,12,534.2,551,329,253,215,520,92,13,34,2088,.264,60,53,15,27,28
2001,"San Francisco",4.57,28,26,54,54,5,1,1,9,474.1,532,310,241,199,371,96,9,43,1887,.282,30,45,6,23,23
2001,"Santa Clara",5.63,23,33,56,56,3,2,1,9,498.1,622,350,312,150,296,111,7,50,2016,.309,53,44,9,26,39
2001,"South Alabama",3.72,45,19,64,64,8,1,1,12,552.1,515,286,228,251,470,102,4,34,2072,.249,54,55,7,17,31
2001,"Southeast Missouri State",3.94,34,20,54,54,8,8,4,7,429.0,383,240,188,216,441,71,11,29,1596,.240,35,43,16,13,33
