"Year","Team","ERA","W","L","APP","GS","CG","SHO","CBO","SV","IP","H","R","ER","BB","SO","2B","3B","HR","AB","BAA","WP","HBP","BK","SFA","SHA"
2005,"Dallas Baptist",5.09,32,23,55,55,2,2,2,8,471.2,542,323,267,164,259,95,17,41,1895,.286,38,32,7,15,30
2005,"Dartmouth",5.41,14,21,35,35,8,3,2,4,276.0,356,195,166,72,185,74,7,22,1127,.316,14,31,0,15,18
2005,"Davidson",6.16,26,24,50,50,2,0,0,9,436.2,558,354,299,171,314,109,5,42,1764,.316,52,61,12,25,33
2005,"Dayton",4.41,36,23,59,59,18,5,2,12,465.1,544,303,228,138,314,101,14,38,1855,.293,36,35,4,23,31
2005,"Delaware",4.82,27,31,58,58,3,3,2,9,504.0,529,323,270,250,444,106,11,51,1953,.271,55,62,4,17,22
2005,"Delaware State",5.74,19,27,46,46,5,0,0,4,382.2,456,318,244,158,282,69,12,46,1555,.293,33,50,12,20,23
2005,"Duke",6.72,14,39,53,53,1,1,1,6,461.0,610,443,344,181,330,131,14,42,1944,.314,43,50,4,25,33
2005,"Duquesne",6.71,21,34,55,55,7,2,2,6,447.2,578,396,334,231,309,117,11,42,1858,.311,58,67,10,24,25
2005,"East Carolina",5.25,35,26,61,61,4,6,4,8,535.1,579,356,312,211,385,108,8,58,2077,.279,38,59,7,21,30
2005,"Eastern Illinois",6.69,17,39,56,56,5,2,1,5,456.1,586,421,339,276,312,116,12,36,1870,.313,73,65,11,33,35
2005,"Eastern Kentucky",6.02,26,31,57,57,5,3,1,13,476.2,579,392,319,249,337,120,10,27,1920,.302,51,57,8,31,47
2005,"Eastern Michigan",6.61,22,34,56,56,2,0,0,11,467.0,593,402,343,263,338,87,9,59,1898,.312,43,56,13,15,39
2005,"East Tennessee State",6.40,31,22,53,53,0,1,1,15,464.0,607,399,330,193,327,112,21,63,1926,.315,24,45,7,22,40
2005,"Elon",4.99,32,25,57,57,0,4,4,5,501.2,580,347,278,207,375,123,9,44,1999,.290,44,60,11,22,46
2005,"Evansville",4.46,35,23,58,58,5,2,1,15,502.0,538,303,249,195,366,102,10,24,1931,.279,45,41,9,20,47
2005,"Fairfield",7.78,15,33,48,48,7,2,1,4,384.0,549,373,332,181,239,117,17,32,1614,.340,33,42,5,21,31
2005,"Fairleigh Dickinson",6.51,12,26,38,38,8,1,0,3,287.2,348,282,208,152,212,64,3,27,1170,.297,53,54,6,20,28
2005,"Florida A&M",5.68,19,33,52,52,7,3,1,5,429.1,526,354,271,214,326,87,16,24,1745,.301,60,66,3,19,19
2005,"Florida Atlantic",4.55,37,24,61,61,2,4,3,20,548.1,628,343,277,203,441,104,4,52,2171,.289,48,51,12,15,29
2005,"Florida",3.98,48,23,71,71,3,2,2,17,637.1,682,342,282,194,504,113,7,47,2467,.276,29,38,9,26,44
2005,"Florida International",4.59,38,21,59,59,4,5,2,11,524.0,532,320,267,234,413,87,11,45,2028,.262,43,74,10,13,27
2005,"Florida State",3.53,53,20,73,73,2,2,2,18,649.2,629,322,255,249,538,95,5,40,2464,.255,33,65,7,16,49
2005,"Fordham",4.62,34,21,55,55,10,5,3,10,448.0,481,309,230,200,315,78,18,28,1761,.273,42,56,7,20,29
2005,"Fresno State",4.30,30,29,59,59,3,2,2,13,515.0,537,321,246,212,437,80,8,43,2024,.265,41,68,12,17,30
2005,"Furman",5.06,30,29,59,59,2,1,1,14,519.1,605,365,292,193,391,94,6,46,2073,.292,64,51,7,30,19
2005,"Gardner-Webb",4.53,28,30,58,58,8,2,1,12,503.0,585,328,253,184,416,105,17,51,2029,.288,56,56,12,19,26
2005,"George Mason",4.05,35,19,54,54,6,2,0,11,467.0,504,291,210,148,387,94,10,47,1864,.270,31,33,6,19,19
2005,"Georgetown",5.47,25,31,56,56,5,3,3,8,480.1,554,367,292,206,370,107,12,56,1909,.290,65,62,1,28,39
2005,"George Washington",4.01,41,19,60,60,10,4,2,17,500.1,526,281,223,192,454,93,11,40,1938,.271,35,37,2,18,26
2005,"Georgia",4.88,30,25,55,55,1,1,1,14,487.0,533,301,264,184,449,95,8,34,1914,.278,53,35,4,15,30
2005,"Georgia Southern",5.28,38,22,60,60,8,0,0,10,530.1,602,364,311,209,436,121,12,57,2116,.285,49,50,14,15,31
2005,"Georgia State",5.22,25,32,57,57,5,1,1,12,497.0,617,359,288,190,350,93,8,52,2009,.307,48,51,9,22,34
2005,"Georgia Tech",4.34,45,19,64,64,1,3,3,10,574.2,612,347,277,260,474,96,8,47,2245,.273,53,54,4,24,31
2005,"Gonzaga",4.59,28,26,54,54,5,3,1,10,478.1,527,281,244,155,269,89,7,35,1864,.283,30,39,8,20,37
2005,"Grambling State",8.65,13,31,44,44,12,0,0,4,335.0,479,408,322,211,220,"","","","","","","","","",""
2005,"Harvard",5.35,29,17,46,46,4,2,0,16,386.2,427,290,230,205,297,85,12,29,1510,.283,64,37,9,18,22
2005,"Hawaii-Hilo",7.12,6,34,40,40,3,1,0,0,326.0,407,314,258,204,197,73,14,17,1302,.313,43,49,9,28,39
2005,"Hawaii",4.16,28,27,55,55,1,4,4,11,506.2,513,286,234,172,401,122,14,24,1936,.265,41,48,11,18,47
2005,"High Point",6.16,19,36,55,55,1,2,1,8,476.0,590,404,326,281,372,98,15,47,1895,.311,62,68,6,36,34
2005,"Hofstra",7.00,24,32,56,56,4,2,2,7,477.1,635,449,371,207,233,125,10,83,1980,.321,45,61,4,32,22
2005,"Holy Cross",6.21,13,23,36,36,6,3,2,5,297.1,352,234,205,113,231,72,4,24,1199,.294,28,46,5,19,10
2005,"Houston",4.01,29,30,59,59,3,2,1,14,527.0,553,301,235,186,488,106,9,39,2063,.268,40,64,12,15,25
2005,"Illinois-Chicago",4.65,38,21,60,60,7,3,2,13,507.1,631,328,262,138,260,88,9,37,2052,.308,43,46,7,16,44
2005,"Illinois",4.60,33,23,57,57,13,3,1,9,479.2,561,295,245,145,282,100,14,40,1898,.296,40,44,9,24,31
2005,"Illinois State",4.91,26,27,53,53,3,1,1,5,447.0,486,316,244,195,305,104,14,26,1749,.278,25,80,7,16,34
2005,"Indiana",5.06,26,30,56,56,2,5,5,11,459.0,541,325,258,174,292,84,10,34,1846,.293,49,49,8,28,35
2005,"Indiana State",4.52,30,28,58,58,7,3,1,9,493.1,532,328,248,263,355,87,16,21,1911,.278,55,67,11,33,44
2005,"Iona",6.65,11,38,49,49,6,3,1,7,395.0,510,374,292,203,229,123,8,31,1637,.312,41,60,10,23,27
2005,"Iowa",4.94,27,29,57,57,2,1,1,9,464.2,509,321,255,216,286,86,12,29,1799,.283,45,81,11,28,34
2005,"IPFW",6.52,24,25,49,49,6,2,2,8,393.1,521,335,285,165,202,76,3,58,1612,.323,37,53,3,23,35
2005,"Jackson State",8.05,24,21,46,46,8,3,1,4,360.0,471,388,322,284,221,"","","","","","","","","",""
2005,"Jacksonville",5.13,23,31,54,54,1,1,1,13,473.2,521,326,270,218,338,94,13,46,1828,.285,47,61,4,20,37
2005,"Jacksonville State",4.29,35,25,60,60,5,2,2,10,516.1,552,319,246,235,397,86,10,33,2036,.271,46,45,7,19,18
2005,"James Madison",6.18,20,35,55,55,1,1,1,8,483.2,582,390,332,184,375,"","","","","","","","","",""
2005,"Kansas",4.73,36,28,64,64,3,2,1,11,563.2,611,383,296,232,462,125,12,37,2222,.275,61,57,11,21,50
2005,"Kansas State",4.22,30,25,55,55,2,2,1,11,480.0,502,271,225,161,302,101,11,34,1862,.270,15,46,6,19,40
2005,"Kent State",4.60,33,20,53,53,1,2,1,12,456.0,476,277,233,181,361,124,13,39,1759,.271,33,48,6,15,34
2005,"Kentucky",5.23,29,27,56,56,3,1,1,11,487.1,581,367,283,192,288,106,14,55,1972,.295,26,54,2,28,32
2005,"Lafayette",5.80,18,26,44,44,7,2,0,3,353.2,465,272,228,110,245,83,6,26,1455,.320,30,44,4,16,25
2005,"Lamar",4.17,38,23,61,61,4,4,3,14,535.0,518,315,248,238,458,89,13,28,2047,.253,46,50,3,25,38
2005,"LaSalle",5.24,18,34,52,52,5,3,2,11,422.1,496,370,246,225,338,91,5,27,1715,.289,45,43,8,19,34
2005,"Lehigh",4.46,26,21,48,48,9,4,1,6,387.2,408,242,192,154,315,61,10,32,1497,.273,30,44,5,15,27
2005,"LeMoyne",4.45,25,22,47,47,6,6,3,8,388.2,374,249,192,169,338,66,4,21,1498,.250,41,37,8,9,18
2005,"Liberty",4.41,27,16,43,43,6,2,1,9,375.1,383,225,184,164,299,62,6,21,1446,.265,35,32,3,9,25
2005,"Lipscomb",6.16,23,33,56,56,2,1,1,8,482.0,588,408,330,239,359,103,14,56,1947,.302,67,46,9,26,39
2005,"Long Beach State",2.53,37,22,59,59,6,6,3,13,522.0,433,192,147,128,435,75,19,14,1903,.228,21,51,11,18,48
2005,"Long Island",6.51,13,25,38,38,7,1,0,2,291.2,398,262,211,128,195,87,12,24,1226,.325,34,28,5,11,17
2005,"Longwood",5.56,16,32,48,48,2,2,2,5,382.0,480,317,236,145,252,76,11,36,1568,.306,52,38,7,29,33
2005,"Louisiana-Lafayette",3.80,48,19,67,67,3,4,3,13,599.0,586,288,253,190,549,92,11,45,2317,.253,66,56,6,16,33
2005,"Louisiana-Monroe",4.41,26,29,55,55,4,1,1,10,493.2,540,322,242,210,452,102,20,37,1957,.276,39,33,8,22,35
2005,"Louisiana State",3.86,40,22,62,62,8,3,0,14,557.0,566,294,239,176,428,118,7,36,2146,.264,31,60,6,18,35
2005,"Louisiana Tech",5.79,17,39,56,56,4,1,0,9,491.1,551,374,316,258,425,122,14,56,1965,.280,63,41,15,24,31
2005,"Louisville",4.64,32,24,56,56,0,3,3,11,492.2,535,291,254,203,343,120,11,47,1905,.281,35,43,8,15,39
2005,"Loyola Marymount",5.53,31,27,58,58,1,1,1,16,506.1,615,367,311,256,365,120,7,45,2042,.301,59,50,8,29,31
2005,"Maine",4.13,35,19,54,54,2,5,3,17,460.0,501,280,211,185,329,70,5,23,1789,.280,37,35,6,18,30
2005,"Manhattan",4.50,27,21,48,48,12,6,1,4,390.1,445,243,195,147,287,68,6,12,1537,.290,40,42,8,21,19
2005,"Marist",4.59,33,21,54,54,12,2,1,12,455.0,505,277,232,147,273,116,10,24,1777,.284,31,47,9,29,32
2005,"Marshall",6.69,16,34,50,50,2,0,0,7,427.2,540,374,318,222,284,"","","","","","","","","",""
2005,"Maryland-Baltimore County",5.39,16,34,50,50,10,0,0,4,420.2,530,304,252,129,236,"","","","","","","","","",""
2005,"Maryland-Eastern Shore",8.98,6,41,47,47,0,1,1,2,364.0,542,442,363,247,151,113,18,37,1549,.350,45,53,17,41,25
2005,"Maryland",5.18,25,31,56,56,1,0,0,9,495.0,563,362,285,177,347,115,9,44,1980,.284,43,65,9,22,31
2005,"Massachusetts",5.80,16,33,49,49,9,4,0,4,403.2,487,332,260,210,319,111,10,32,1640,.297,54,58,3,21,31
2005,"McNeese State",5.39,23,31,54,54,4,1,1,11,464.1,506,337,278,232,367,125,19,28,1816,.279,64,55,5,28,26
2005,"Memphis",7.19,13,42,55,55,2,0,0,5,470.1,681,470,376,215,275,119,11,71,2022,.337,39,43,7,24,27
2005,"Mercer",5.17,28,26,54,54,6,8,7,5,463.0,502,314,266,210,375,91,5,49,1811,.277,43,27,6,17,26
2005,"Miami, Florida",4.19,41,19,61,61,3,4,3,12,549.2,530,314,256,205,490,89,8,45,2122,.250,44,67,8,16,30
2005,"Miami, Ohio",3.33,45,18,63,63,12,6,4,11,562.2,554,264,208,139,467,80,14,33,2182,.254,31,39,7,10,41
2005,"Michigan",3.96,42,19,61,61,5,4,4,15,513.0,518,271,226,185,348,70,7,27,1948,.266,32,62,11,18,48
2005,"Michigan State",5.60,22,31,53,53,5,3,2,5,433.2,519,361,270,197,290,94,10,28,1752,.296,35,58,6,31,50
2005,"Middle Tennessee State",5.59,32,23,55,55,5,2,1,7,490.2,606,357,305,187,330,99,14,42,1973,.307,43,64,8,23,26
2005,"Minnesota",4.92,33,29,62,62,7,5,4,11,514.1,611,333,281,187,393,94,23,35,2025,.302,42,57,1,27,47
2005,"Mississippi",3.67,48,20,68,68,4,5,3,18,600.1,596,283,245,196,562,84,6,46,2301,.259,34,40,5,12,36
2005,"Mississippi State",3.51,42,22,64,64,5,3,1,12,558.1,569,274,218,199,431,87,17,39,2153,.264,39,41,8,13,29
2005,"Mississippi Valley State",6.95,19,28,47,47,3,2,1,7,354.2,454,345,274,181,266,"","","","","","","","","",""
2005,"Missouri",3.17,40,23,63,63,2,7,7,11,559.2,519,258,197,194,486,67,12,34,2104,.247,26,52,6,12,49
2005,"Monmouth",4.21,30,24,54,54,5,0,0,12,438.2,477,271,205,168,304,"","","","","","","","","",""
2005,"Morehead State",5.44,29,28,57,57,11,4,3,8,471.2,518,354,285,210,351,116,7,49,1853,.280,44,65,16,20,36
2005,"Mount St. Mary's",6.85,18,27,45,45,6,1,1,8,351.0,489,320,267,127,277,94,10,40,1481,.330,37,43,3,18,33
2005,"Murray State",4.89,28,31,59,59,7,3,2,10,491.0,566,360,267,210,387,93,16,32,1979,.286,49,65,10,16,45
2005,"Navy",6.38,12,33,46,46,6,2,2,6,373.2,537,349,265,139,304,"","","","","","","","","",""
2005,"Nebraska",2.69,57,15,72,72,7,5,3,23,643.0,530,235,192,187,538,96,6,38,2335,.227,23,43,9,14,43
2005,"Nevada",5.84,26,27,53,53,6,1,1,10,462.1,567,365,300,178,339,105,10,52,1865,.304,29,37,16,12,39
2005,"Nevada-Las Vegas",5.50,35,29,64,64,1,1,1,12,576.0,738,455,352,265,415,134,22,51,2341,.315,55,52,11,31,46
2005,"New Mexico",8.05,26,32,58,58,6,1,0,9,512.0,750,537,458,255,398,153,29,76,2193,.342,55,86,4,16,30
2005,"New Mexico State",7.26,28,29,57,57,1,1,0,16,484.2,664,473,391,264,369,133,17,69,2054,.323,65,65,20,26,24
2005,"New Orleans",6.63,14,34,49,49,0,1,1,4,426.1,562,399,314,178,277,126,14,60,1789,.314,37,43,9,24,30
2005,"New York Tech",5.15,24,22,46,46,5,3,1,7,386.1,426,293,221,199,250,87,15,29,1494,.285,39,54,3,25,27
2005,"Niagara",4.65,25,28,53,53,10,4,1,7,427.1,464,278,221,195,391,85,10,35,1667,.278,40,47,2,15,33
2005,"Nicholls State",5.92,22,31,53,53,2,3,3,11,448.1,524,345,295,239,322,94,11,35,1788,.293,37,50,12,30,19
2005,"Norfolk State",5.54,14,36,50,50,10,0,0,3,401.0,475,331,247,237,262,79,19,22,1609,.295,53,43,12,23,28
2005,"North Carolina-Asheville",6.43,11,42,53,53,3,0,0,6,456.0,599,431,326,236,323,99,18,44,1860,.322,55,48,11,32,49
2005,"North Carolina-Charlotte",5.41,31,23,54,54,2,2,2,16,481.0,583,349,289,218,345,116,16,51,1918,.304,60,54,8,20,33
2005,"North Carolina-Greensboro",4.39,31,22,53,53,8,1,0,15,467.1,493,274,228,154,410,96,14,34,1791,.275,38,38,5,18,30
2005,"North Carolina",3.17,41,19,61,61,5,7,5,14,557.1,483,272,196,232,496,75,10,35,2063,.234,32,80,2,14,41
2005,"North Carolina State",4.47,41,19,60,60,2,7,6,15,535.0,557,331,266,197,419,"","","","","","","","","",""
2005,"North Carolina-Wilmington",4.26,40,19,59,59,2,3,2,13,522.1,561,307,247,164,400,114,8,38,2050,.274,45,72,6,24,18
2005,"North Dakota State",8.65,9,43,53,53,4,0,0,5,402.2,533,444,387,301,289,115,15,38,1674,.318,83,71,11,25,24
2005,"Northeastern",4.70,26,23,49,49,5,4,4,7,417.2,422,265,218,228,361,62,10,24,1588,.266,49,41,6,15,21
2005,"Northern Colorado",7.68,22,34,56,56,3,0,0,8,460.1,621,445,393,215,276,123,19,76,1910,.325,42,57,8,35,34
2005,"Northern Illinois",5.49,16,36,53,53,6,1,0,6,472.1,641,407,288,191,319,91,13,25,1976,.324,57,64,12,24,48
2005,"Northern Iowa",5.17,26,28,54,54,2,3,2,10,463.0,539,331,266,226,354,96,13,37,1832,.294,44,50,9,25,39
2005,"Northwestern",5.58,26,28,54,54,6,0,0,11,448.1,535,352,278,192,288,81,17,39,1798,.298,40,62,9,17,20
2005,"Northwestern State",3.91,40,18,58,58,4,7,5,19,502.1,472,260,218,233,357,92,9,31,1883,.251,40,63,12,18,22
2005,"Notre Dame",4.41,38,24,63,63,10,3,3,13,557.1,640,351,273,204,342,104,14,31,2206,.290,25,74,9,21,55
2005,"Oakland",6.06,14,38,52,52,7,2,1,4,402.1,527,339,271,167,243,85,10,36,1674,.315,33,56,7,32,29
2005,"Ohio",4.29,25,25,51,51,6,4,2,10,453.1,520,276,216,186,338,96,7,29,1805,.288,53,41,2,15,33
2005,"Ohio State",3.78,40,20,60,60,11,2,1,9,498.0,503,268,209,142,322,81,6,33,1921,.262,30,49,3,20,31
2005,"Oklahoma",4.77,35,26,61,61,2,2,1,14,545.1,616,353,289,217,426,105,19,38,2128,.289,45,53,13,24,51
2005,"Oklahoma State",3.97,34,25,59,59,8,4,3,9,524.1,522,278,231,185,439,84,7,34,2008,.260,36,46,8,17,31
2005,"Old Dominion",5.01,22,33,55,55,2,0,0,7,494.0,584,349,275,187,401,108,6,36,1990,.293,46,52,6,19,38
2005,"Oral Roberts",2.96,42,20,62,62,13,14,5,8,525.1,438,214,173,196,437,65,3,29,1903,.230,38,42,3,15,35
2005,"Oregon State",3.06,46,12,58,58,4,3,2,21,517.0,428,226,176,190,463,63,4,31,1907,.224,40,67,11,18,33
2005,"Pacific",4.52,30,28,58,58,3,4,3,12,518.0,541,322,260,230,405,90,8,43,1967,.275,37,74,10,21,48
2005,"Penn State",5.18,28,27,55,55,8,5,1,11,455.1,542,315,262,180,377,104,11,24,1821,.298,48,41,5,17,35
2005,"Pennsylvania",6.16,11,26,37,37,5,0,0,4,299.1,384,261,205,153,215,68,4,23,1223,.314,43,56,3,25,20
2005,"Pepperdine",3.84,41,23,64,64,4,4,2,22,572.0,606,290,244,207,434,97,12,32,2201,.275,39,51,11,20,36
2005,"Pittsburgh",4.03,33,22,55,55,12,4,2,11,465.0,466,262,208,179,444,59,12,29,1777,.262,30,54,6,17,28
2005,"Portland",6.72,17,36,53,53,8,0,0,7,458.1,606,401,342,205,222,122,13,48,1899,.319,38,74,13,27,33
2005,"Prairie View A&M",6.01,31,27,58,58,6,3,2,8,441.2,506,399,295,229,309,"","","","","","","","","",""
2005,"Princeton",4.83,17,24,41,41,8,3,1,6,330.0,340,240,177,163,217,61,7,20,1300,.262,26,43,4,20,31
2005,"Purdue",4.68,27,30,57,57,9,4,3,8,461.2,562,307,240,159,322,77,13,31,1866,.301,21,41,5,17,32
2005,"Quinnipiac",5.39,26,24,50,50,14,2,0,6,396.0,445,321,237,217,265,65,13,36,1574,.283,51,39,8,26,25
2005,"Radford",6.74,15,40,55,55,2,0,0,6,470.1,626,438,352,213,270,112,24,56,1960,.319,52,59,5,26,37
2005,"Rhode Island",3.75,34,21,55,55,10,5,2,11,451.1,424,223,188,141,420,84,8,37,1731,.245,21,49,4,13,28
2005,"Rice",3.31,45,19,64,64,7,4,3,10,565.1,464,248,208,209,571,88,5,28,2062,.225,54,61,12,15,39
2005,"Richmond",6.33,22,35,57,57,8,2,2,8,475.0,557,417,334,296,374,111,12,47,1907,.292,53,57,5,22,36
2005,"Rider",6.93,21,29,50,50,8,2,1,10,400.0,515,369,308,176,263,104,16,42,1668,.309,40,40,8,20,18
2005,"Rutgers",5.40,32,21,53,53,5,0,0,9,454.2,541,327,273,215,260,93,9,33,1817,.298,56,51,8,25,23
2005,"Sacred Heart",4.73,20,32,53,53,17,6,1,3,416.2,469,289,219,153,290,81,12,14,1640,.286,54,71,7,22,28
2005,"Samford",6.21,20,36,56,56,11,1,0,5,464.0,570,379,320,221,341,99,10,43,1894,.301,50,50,7,23,25
2005,"Sam Houston State",4.79,24,29,55,55,6,1,0,7,489.0,559,310,260,218,312,87,10,49,1918,.291,33,51,12,19,35
2005,"San Diego",3.81,30,27,58,58,4,6,3,9,514.1,530,279,218,203,376,100,12,24,1969,.269,34,58,8,18,40
2005,"San Diego State",6.19,24,35,61,59,4,3,1,6,518.0,635,437,356,245,417,117,24,51,2118,.300,45,64,7,30,28
2005,"San Francisco",2.86,38,18,56,56,8,6,4,10,493.2,426,194,157,165,374,77,8,27,1817,.234,21,41,8,9,30
2005,"San Jose State",4.46,28,28,57,57,7,4,2,9,510.2,560,287,253,186,330,113,12,50,1982,.283,30,40,8,24,30
2005,"Santa Clara",4.51,28,28,56,56,6,2,1,9,501.0,577,299,251,205,367,98,8,37,1965,.294,36,38,25,21,33
2005,"Savannah State",6.40,22,21,43,43,11,2,0,6,334.2,432,309,238,116,231,78,11,33,1412,.306,36,53,9,26,14
2005,"Seton Hall",6.07,17,35,52,52,4,0,0,2,433.0,543,398,292,234,342,81,21,41,1756,.309,72,63,10,35,25
2005,"Siena",4.57,29,23,52,52,14,5,2,7,429.2,447,278,218,169,302,81,10,24,1661,.269,45,52,7,22,37
2005,"South Alabama",4.78,34,27,62,62,8,3,0,9,551.2,648,388,293,196,521,97,10,53,2224,.291,41,62,15,25,34
2005,"South Carolina",3.78,41,23,64,64,2,5,4,15,564.1,543,274,237,189,491,88,9,47,2131,.255,42,50,5,17,48
2005,"South Dakota State",7.76,17,37,54,54,8,1,0,9,417.1,583,451,360,274,"","","","","","","","","","",""
2005,"Southeastern Louisiana",4.96,29,31,60,60,15,3,1,3,539.1,629,352,297,216,417,112,14,29,2135,.295,59,55,4,23,26
2005,"Southeast Missouri State",5.33,24,32,56,56,9,1,0,6,468.0,521,313,277,215,313,"","","","","","","","","",""
2005,"Southern California",4.09,41,22,63,63,3,6,4,16,554.2,574,305,252,201,491,95,8,38,2149,.267,35,52,6,24,26
2005,"Southern",5.04,29,18,47,47,3,3,2,5,389.1,408,249,218,197,357,"","","","","","","","","",""
2005,"Southern Illinois",3.38,38,21,59,59,7,6,5,13,519.2,490,252,195,194,430,78,9,26,1982,.247,36,59,11,22,33
2005,"Southern Mississippi",5.13,41,20,62,62,3,1,0,15,552.1,642,361,315,202,444,142,14,62,2196,.292,27,40,5,19,32
2005,"Southern Utah",5.16,26,28,54,54,4,2,2,11,439.2,543,341,252,164,276,110,12,40,1777,.306,36,64,9,23,28
2005,"South Florida",4.90,33,31,64,64,0,4,4,15,552.1,588,359,301,281,409,"","","","","","","","","",""
2005,"",4.99,26,29,55,55,2,1,1,4,485.1,481,349,269,245,444,88,11,38,1881,.256,81,68,9,19,29
2005,"Stanford",3.77,34,25,59,59,5,5,4,11,527.0,525,264,221,177,431,96,7,37,1999,.263,34,72,9,11,41
2005,"St. Bonaventure",5.32,24,25,49,49,7,2,2,10,377.0,466,286,223,162,289,78,16,31,1534,.304,33,39,7,19,37
2005,"Stetson",5.31,35,28,63,63,0,3,3,10,547.0,638,389,323,237,389,125,10,39,2163,.295,61,60,10,28,38
2005,"St. Francis",8.11,7,36,44,44,7,0,0,1,334.0,490,377,301,160,212,118,20,25,1433,.342,42,69,10,28,18
2005,"St. John's",3.38,41,18,59,59,3,10,9,19,508.1,413,239,191,222,499,80,5,23,1867,.221,48,38,2,8,35
2005,"St. Joseph's",7.28,14,38,52,52,9,2,1,4,414.1,601,421,335,201,263,152,22,44,1774,.339,41,53,9,29,32
2005,"St. Louis",7.23,13,40,53,53,3,2,0,7,463.1,618,457,372,276,287,123,23,51,1935,.319,54,62,12,25,20
2005,"St. Mary's",5.34,20,30,50,50,3,1,1,6,434.2,519,302,258,158,261,103,8,36,1741,.298,21,43,7,21,33
2005,"Stony Brook",4.18,23,28,51,51,9,5,3,6,426.0,442,238,198,158,328,84,11,28,1653,.267,27,29,8,15,23
2005,"St. Peter's",9.73,5,45,50,50,5,0,0,1,396.2,656,571,429,282,258,141,18,39,1812,.362,72,83,6,32,19
2005,"Temple",6.06,17,33,50,50,13,1,0,5,404.0,492,330,272,211,263,82,23,22,1602,.307,39,61,5,19,38
2005,"Tennessee",3.61,46,21,67,67,10,6,4,13,585.1,535,291,235,237,568,101,6,45,2217,.241,39,38,7,17,31
2005,"Tennessee-Martin",5.77,12,43,55,55,8,0,0,6,450.2,586,364,289,163,251,123,17,39,1831,.320,24,52,8,45,52
2005,"Tennessee Tech",7.99,13,42,55,55,5,3,1,3,447.1,638,476,397,276,258,140,22,46,1892,.337,75,71,16,35,32
2005,"Texas A&M-Corpus Christi",4.11,31,21,53,53,10,3,0,5,444.2,460,279,203,206,372,79,18,35,1730,.266,33,35,10,16,31
2005,"Texas A&M",3.66,30,25,56,56,2,2,1,12,486.2,437,228,198,203,392,67,11,31,1786,.245,39,53,2,11,33
2005,"Texas-Arlington",4.91,26,32,58,58,12,5,2,9,513.1,584,321,280,173,311,99,12,43,2000,.292,15,41,9,23,46
2005,"Texas Christian",4.01,41,20,61,61,7,8,7,6,540.2,523,310,241,251,544,95,11,29,2087,.251,47,44,21,23,36
2005,"Texas",2.80,56,16,72,72,6,12,9,21,646.0,548,245,201,237,521,70,8,24,2344,.234,27,47,6,17,53
2005,"Texas-Pan American",6.84,15,38,54,54,2,1,1,8,458.0,640,445,348,222,325,136,28,39,1932,.331,39,45,13,26,34
2005,"Texas-San Antonio",5.16,27,34,61,61,8,2,0,9,533.2,604,371,306,240,334,98,14,43,2122,.285,56,38,9,27,40
2005,"Texas Southern",6.70,22,24,47,47,16,2,0,3,358.2,434,334,267,168,342,"","","","","","","","","",""
2005,"Texas State",4.36,32,26,58,58,5,3,3,9,508.0,514,287,246,234,378,90,15,27,1914,.269,57,71,11,24,30
2005,"Texas Tech",5.40,34,25,59,59,4,3,1,11,520.0,594,391,312,242,397,118,17,52,2057,.289,45,76,13,26,31
2005,"Toledo",6.65,15,39,54,54,8,1,0,4,457.1,574,412,338,259,289,113,10,40,1826,.314,48,84,3,22,45
2005,"Towson",5.38,34,24,58,58,4,6,4,9,505.0,630,379,302,174,360,111,15,64,2079,.303,44,34,12,21,29
2005,"Troy",4.17,37,21,58,58,9,1,0,11,511.1,509,333,237,222,493,90,8,49,1984,.257,59,41,10,17,33
2005,"Tulane",3.84,56,12,68,68,4,8,5,22,602.0,591,290,257,183,579,117,14,35,2311,.256,31,41,8,11,35
2005,"UC Davis",3.96,27,29,56,56,5,4,2,9,497.1,506,273,219,173,382,84,9,25,1891,.268,45,49,14,18,44
2005,"UC Irvine",3.66,31,25,56,56,3,5,4,16,501.2,498,235,204,144,437,108,19,27,1909,.261,39,44,6,16,29
2005,"UCLA",5.65,15,41,56,56,5,2,1,6,487.1,565,374,306,250,379,100,4,38,1933,.292,42,72,17,29,42
2005,"UC Riverside",4.84,28,27,55,55,8,1,1,6,485.1,536,333,261,178,336,112,14,15,1901,.282,42,57,17,30,50
2005,"UC Santa Barbara",5.36,26,30,56,56,3,1,1,15,496.2,610,368,296,174,309,106,12,47,1996,.306,28,59,9,24,38
2005,"Utah",7.00,19,36,55,55,2,1,0,6,470.2,606,424,366,195,320,141,25,54,1917,.316,33,62,11,33,38
2005,"Utah Valley State",6.99,17,39,56,56,6,1,0,5,464.2,649,450,361,222,265,144,22,63,1943,.334,50,65,8,34,17
2005,"Valparaiso",6.02,16,26,42,42,3,2,2,7,340.2,405,286,228,154,233,71,10,32,1359,.298,48,39,4,19,25
2005,"Vanderbilt",3.38,34,21,55,55,3,5,4,16,495.2,429,223,186,189,514,93,5,26,1848,.232,36,55,3,14,34
2005,"Vermont",3.63,29,19,49,49,10,5,1,7,394.1,363,204,159,168,401,"","","","","","","","","",""
2005,"Villanova",4.40,28,21,51,51,9,3,1,10,433.2,453,250,212,177,332,67,9,21,1669,.271,37,52,6,15,27
2005,"Virginia Commonwealth",5.24,33,22,55,55,4,4,3,9,472.2,521,342,275,216,398,116,4,47,1876,.278,53,52,8,22,25
