,Rank,Team,Conference
0,1,Clemson,ACC
1,2,Rice,ConfUSA
2,3,Cal State Fullerton,BigWest
3,4,North Carolina,ACC
4,5,Georgia Tech,ACC
5,6,Alabama,SEC
6,7,Oklahoma,Big12
7,8,Miami,ACC
8,9,Georgia,SEC
9,10,Florida State,ACC
10,11,Texas,Big12
11,12,Oregon State,Pac10
12,13,Nebraska,Big12
13,14,North Carolina State,ACC
14,15,Col of Charleston,SoCon
15,16,Virginia,ACC
16,17,Winthrop,BigSou
17,18,Ole Miss,SEC
18,19,Oklahoma State,Big12
19,20,Arkansas,SEC
20,21,Troy,SBC
21,22,Pepperdine,WCC
22,23,UCLA,Pac10
23,24,Elon,SoCon
24,25,Houston,ConfUSA
25,26,South Carolina,SEC
26,27,Wake Forest,ACC
27,28,Kentucky,SEC
28,29,Tulane,ConfUSA
29,30,Fresno State,WAC
30,31,Baylor,Big12
31,32,Arizona State,Pac10
32,33,Kansas,Big12
33,34,Vanderbilt,SEC
34,35,Mississippi State,SEC
35,36,Hawaii,WAC
36,37,Stanford,Pac10
37,38,LSU,SEC
38,39,South Alabama,SBC
39,40,Southern Miss,ConfUSA
40,41,Oral Roberts,MCC
41,42,Missouri,Big12
42,43,UC Irvine,BigWest
43,44,Florida,SEC
44,45,Notre Dame,BigEast
45,46,Wichita State,MVC
46,47,San Francisco,WCC
47,48,Jacksonville,AtlSun
48,49,UNC Wilmington,CAA
49,50,Long Beach State,BigWest
50,51,Evansville,MVC
51,52,Kent State,MAC
52,53,Michigan,Big10
53,54,Missouri State,MVC
54,55,Old Dominion,CAA
55,56,UL Lafayette,SBC
56,57,East Carolina,ConfUSA
57,58,Maryland,ACC
58,59,San Diego,WCC
59,60,Connecticut,BigEast
60,61,Texas Tech,Big12
61,62,Ball State,MAC
62,63,Texas Christian,MWC
63,64,Auburn,SEC
64,65,USC,Pac10
65,66,Texas A&M,Big12
66,67,UC Riverside,BigWest
67,68,Kansas State,Big12
68,69,Stetson,AtlSun
69,70,Tennessee,SEC
70,71,Middle Tennessee,SBC
71,72,Florida International,SBC
72,73,St. John's,BigEast
73,74,Birmingham-Southern,BigSou
74,75,James Madison,CAA
75,76,Arizona,Pac10
76,77,Washington,Pac10
77,78,Dallas Baptist,IndyNCAA
78,79,Georgia Southern,SoCon
79,80,Memphis,ConfUSA
80,81,Citadel,SoCon
81,82,VCU,CAA
82,83,McNeese State,Sthland
83,84,Pacific,BigWest
84,85,Boston College,ACC
85,86,Cal Poly,BigWest
86,87,Minnesota,Big10
87,88,Cal State Northridge,BigWest
88,89,Louisiana Tech,WAC
89,90,California,Pac10
90,91,North Florida,AtlSun
91,92,Western Carolina,SoCon
92,93,Mercer,AtlSun
93,94,Lamar,Sthland
94,95,Florida Atlantic,AtlSun
95,96,Furman,SoCon
96,97,San Jose State,WAC
97,98,Louisville,BigEast
98,99,Ohio State,Big10
99,100,Coastal Carolina,BigSou
100,101,UT San Antonio,Sthland
101,102,Creighton,MVC
102,103,Le Moyne,MAAC
103,104,Purdue,Big10
104,105,Northeastern,CAA
105,106,Liberty,BigSou
106,107,Rutgers,BigEast
107,108,UNLV,MWC
108,109,Rhode Island,Atl10
109,110,Western Michigan,MAC
110,111,Virginia Tech,ACC
111,112,New Orleans,SBC
112,113,UT Arlington,Sthland
113,114,Washington State,Pac10
114,115,East Tennessee State,AtlSun
115,116,UC Santa Barbara,BigWest
116,117,West Virginia,BigEast
117,118,Miami-Ohio,MAC
118,119,Southern Illinois,MVC
119,120,UNC Greensboro,SoCon
120,121,Gonzaga,WCC
121,122,Texas State,Sthland
122,123,Manhattan,MAAC
123,124,UNC Charlotte,Atl10
124,125,Loyola Marymount,WCC
125,126,Samford,OVC
126,127,Central Michigan,MAC
127,128,Georgia State,CAA
128,129,Saint Louis,Atl10
129,130,High Point,BigSou
130,131,Santa Clara,WCC
131,132,Central Florida,ConfUSA
