,team,conference,avg_talent,season,sp_conf_rating,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownConversions,thirdDowns,totalYards,turnovers,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,qb_average_ppa,qb_total_ppa,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_success_rate,Defense_success_rate,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Offense_power_success,Offense_stuff_rate,Defense_power_success,Defense_stuff_rate,Defense_ppa,Offense_points_per_opportunity,Defense_points_per_opportunity,Defense_havoc_total,Offense_field_position_average_predicted_points,Defense_field_position_average_predicted_points,Offense_field_position_average_start,Defense_field_position_average_start,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,adjusted_metric,average_metric,in_house_pr,ranking,power_ranking,calculated_rank,combined_rank,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,offensive_rank,defensive_total,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,power_rating,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving
0,Ohio State,Big Ten,89.89596847031777,2015,72.49777502796088,280.0,11.0,19.0,9.0,9.0,13.0,3.0,142.0,9.0,1.0,410.0,17.0,2455.0,325.0,204.0,12.0,19.0,76.0,656.0,22827.0,1.0,392.0,30.0,567.0,39.0,3188.0,70.0,172.0,5643.0,18.0,42.800000000000004,58.753119092627614,58.0347290640394,380.45,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",0.32233333333333336,31.34833333333333,24.851,3.0,4.0,57.0,79.976,69.399,70.438,13.0,12.0,1.0,8.0,7.0,1.0,89.97549733623322,79.90088686253799,24.410978047049326,63.9318416043383,70.43791517450718,76.49853463864811,33.39340706536987,48.1078947368421,71.93648929442588,74.28924018826415,71.91291963846533,76.81586333888615,40.944489209371554,71.07304785894206,14.941860465116264,66.5,73.8,7.499797729814626,58.2,45.84475842396148,58.753119092627614,67.0,7.196261682242977,71.91291963846533,89.97549733623322,24.410978047049326,908.1451679119796,76.81586333888613,59.227959697733,70.43791517450718,74.28924018826413,79.90088686253799,63.931841604338295,216.87245437936417,67.15772653548835,20.6,1.0,111.62400983021402,1.0,1.3159958374039724,0.7223514732873431,7.0,44.484313725490196,5.0,1777.4911568224488,47.0,399.55,90.0,79.0,437.70229975921507,14,429.9240764904109,16,3.0,9.0,8.0,97.0,63.0,46.0,52.0,26.4,0.8909230769230769,57,5.8,2.55,0.39,5,1.386,5
1,Alabama,SEC,100.0,2015,100.0,329.0,12.0,24.0,7.0,8.0,15.0,4.0,462.0,10.0,25.75,803.0,39.0,3407.0,446.0,301.0,19.0,22.0,89.0,835.0,30191.0,100.0,597.0,47.0,642.0,33.0,2999.0,80.0,215.0,6406.0,17.0,27.400000000000006,45.69035916824198,48.41514778325123,503.18,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.2225,70.972,27.35,1.0,1.0,1.0,91.622,74.736,61.655,15.0,14.0,1.0,9.0,8.0,1.0,69.42988276600187,95.30460958137584,27.128095735084088,37.11897804351972,61.20553717073305,72.86342789196534,29.42152977507986,60.790789473684214,36.55595453604607,87.04555197492363,63.29563656991373,94.24662854676879,67.73617998086732,66.83375314861459,23.51162790697674,67.2,72.3,10.0,73.6,100.0,45.69035916824198,61.07692307692305,4.392523364485982,63.29563656991373,69.42988276600187,27.128095735084088,1000.0,94.24662854676879,36.90931989924433,61.20553717073305,87.04555197492363,95.30460958137586,37.11897804351971,201.056009558487,62.872109211939694,13.7,2.0,111.57311314723233,2.0,0.8706917260144241,0.835,13.0,38.39187124931806,15.0,1458.7518806807777,81.0,396.82,88.0,85.0,390.1778630573925,41,434.574140063295,14,1.0,41.0,2.0,91.0,113.0,14.0,107.0,26.4,0.7684285714285713,3,9.61,6.21,2.35,1,4.322,1
2,Ole Miss,SEC,70.5251662698087,2015,100.0,340.0,7.0,15.0,9.0,8.0,13.0,4.0,356.0,14.0,1.0,602.0,35.0,4351.0,489.0,318.0,15.0,35.0,79.0,702.0,20691.0,1.0,112.0,30.0,463.0,29.0,2380.0,70.0,169.0,6731.0,23.0,49.400000000000006,61.44801512287337,44.3551724137931,344.85,#13294b,#c8102e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/145.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/145.png']",0.239,100.8245,23.601,4.0,8.0,23.0,73.002,85.366,45.888,13.0,10.0,3.0,8.0,6.0,2.0,93.28798372139775,63.02984008224411,45.059553266386416,74.40812148717134,86.41513660400918,13.298136645962728,56.08717816827232,66.5241528478731,52.85088149331169,69.36322193794062,81.81337616822432,73.67832560146726,45.47824113904305,55.61209068010072,57.40697674418604,68.0,68.5,10.0,51.6,30.136075949367097,61.44801512287337,54.3076923076923,-2.710280373831779,81.81337616822432,93.28798372139775,45.059553266386416,732.0469660891699,73.67832560146726,53.49244332493703,86.41513660400918,69.36322193794064,63.02984008224412,74.40812148717134,214.20983703121175,71.92730951652491,19.5,3.0,101.57488347306796,3.0,2.1866875634183964,0.9589548656287854,23.0,21.433333333333337,111.0,1528.1105225815186,72.0,435.15,104.0,50.0,431.57345525435346,15,457.2615201941942,8,19.0,6.0,31.0,51.0,34.0,66.0,71.0,21.2,0.8039999999999999,7,4.99,2.14,-0.66,8,0.595,9
3,Oklahoma,SEC,72.09130470481975,2015,100.0,351.0,9.0,17.0,9.0,7.0,13.0,2.0,317.0,9.0,1.0,708.0,33.0,4006.0,439.0,292.0,20.0,38.0,80.0,800.0,23941.0,1.0,165.0,22.0,574.0,32.0,2887.0,79.0,181.0,6893.0,18.0,29.600000000000005,69.79470699432893,51.99963054187191,399.02,#a32036,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",0.40149999999999997,100.617,26.244,2.0,3.0,26.0,80.184,81.167,44.339,13.0,11.0,2.0,9.0,8.0,1.0,84.82249995651574,60.79396625624224,42.77400106772765,79.7792426560068,79.63073944718266,64.70865587614354,43.25256009644154,21.760690789473642,66.29392416676681,63.13287958266798,81.89971524532712,58.548756608048336,66.94439899135813,50.00125944584383,40.65116279069767,68.8,70.8,10.0,71.4,54.03886610804065,69.79470699432893,47.538461538461554,1.5887850467289582,81.89971524532712,84.82249995651574,42.77400106772765,746.2845882256343,58.54875660804832,41.27329974811083,79.63073944718266,63.13287958266798,60.793966256242264,79.77924265600682,210.5571571602478,68.48888816105718,17.9,7.0,99.81829402183449,5.0,2.5190310564124285,1.0719771151941908,32.0,30.954545454545453,55.0,1768.6335269345736,48.0,380.98,78.0,101.0,447.0894311351821,11,390.96062284990353,37,16.0,18.0,36.0,57.0,22.0,16.0,98.0,20.3,0.8553846153846153,32,5.82,2.52,-0.12,6,1.126,6
4,Clemson,ACC,76.38057311766153,2015,81.59372248530568,393.0,8.0,14.0,12.0,9.0,15.0,2.0,137.0,15.0,1.0,865.0,39.0,4373.0,528.0,356.0,16.0,35.0,84.0,694.0,28733.0,1.0,78.0,29.0,679.0,34.0,3345.0,109.0,232.0,7718.0,27.0,53.800000000000004,82.25860113421551,57.120320197044336,478.88,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",0.25933333333333336,73.35,22.273,5.0,2.0,17.0,84.092,83.904,30.771,15.0,14.0,1.0,9.0,9.0,0.0,86.43299361865292,89.27555700416735,25.41049718935355,26.8043531279055,79.46419861725883,65.61822660098521,23.770810101543447,71.58634868421052,12.517089770229177,82.45727747894323,87.07807330865936,76.44713561333477,53.01037024625401,29.30352644836273,50.75581395348837,71.5,69.5,8.326702044118697,47.2,89.27750044571223,82.25860113421551,24.69230769230768,-0.8411214953271156,87.07807330865936,86.43299361865292,25.41049718935355,785.2779374332868,76.44713561333477,54.48992443324937,79.46419861725883,82.45727747894323,89.27555700416735,26.804353127905514,211.70117723927132,64.97414617271356,18.4,4.0,99.46675282557305,6.0,2.7981634213049604,0.8837635274312781,17.0,22.869142351900976,108.0,1996.9177486163753,23.0,421.12,114.0,30.0,397.0783258848161,34,409.8435756322789,24,13.0,15.0,3.0,95.0,122.0,83.0,68.0,20.1,0.8098571428571428,11,8.55,4.87,1.69,2,3.242,2
5,Stanford,ACC,70.74735199934312,2015,81.59372248530568,309.0,13.0,16.0,5.0,6.0,14.0,2.0,125.0,8.0,25.75,1265.0,51.0,2965.0,318.0,213.0,8.0,30.0,78.0,648.0,29232.0,20.8,154.0,18.0,610.0,33.0,3132.0,91.0,182.0,6097.0,13.0,47.2,93.56219281663518,86.51551724137931,487.2,#8c1515,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/24.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/24.png']",0.5609999999999999,80.56750000000001,21.382,7.0,5.0,13.0,60.545,84.065,65.703,14.0,12.0,2.0,10.0,9.0,1.0,96.54621473742938,48.057626229771984,27.13060544884334,67.00584604874717,85.6376885705551,70.22880924069982,22.571517089121713,50.82565789473682,55.60763779210082,46.129471743316024,87.30096882049631,52.519491748202014,22.746543459474545,56.11083123425689,24.279069767441882,67.9,72.6,8.326702044118697,53.800000000000004,92.94874309146016,93.56219281663518,55.153846153846104,4.9532710280373635,87.30096882049631,96.54621473742938,27.13060544884334,734.0668363576648,52.51949174820202,60.22544080604534,85.6376885705551,46.129471743316024,48.05762622977199,67.00584604874717,205.4316455292741,61.75124212977716,15.6,6.0,99.18552779645631,7.0,4.021115137078089,0.8827534059640725,16.0,38.059477124183,17.0,2700.732272993938,2.0,352.8,68.0,116.0,445.52663514140255,12,344.42480122431675,84,18.0,3.0,66.0,90.0,57.0,57.0,45.0,20.0,0.8399285714285715,20,6.83,3.3,0.24,3,1.703,3
6,Florida State,ACC,87.53863207159864,2015,81.59372248530568,268.0,4.0,9.0,6.0,7.0,13.0,0.0,104.0,9.0,1.0,624.0,25.0,3325.0,419.0,264.0,8.0,22.0,89.0,702.0,22944.0,1.0,127.0,36.0,425.0,27.0,2187.0,61.0,162.0,5512.0,15.0,49.400000000000006,47.33724007561439,41.63633004926108,382.4,#782f40,#ceb888,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']",0.12233333333333335,54.428666666666665,18.007,13.0,24.0,52.0,70.262,69.962,48.768,13.0,10.0,3.0,8.0,6.0,2.0,70.76596106999935,65.63005134307227,51.42801954366948,72.5657921285061,68.04368502526285,30.35486926866237,67.67515100736168,23.14473684210526,76.72947292363874,61.052037868325144,68.01154113724667,73.57804676803947,22.641603212636205,62.968513853904284,16.220930232558118,67.1,73.2,8.326702044118697,51.6,46.70520591905864,47.33724007561439,61.92307692307697,6.074766355140184,68.01154113724667,70.76596106999935,51.42801954366948,886.714837014533,73.57804676803946,53.49244332493703,68.04368502526285,61.052037868325144,65.63005134307227,72.56579212850612,195.86153551928638,64.91425782980586,11.5,5.0,99.02496986481816,8.0,5.875459207502454,0.7916863130017688,10.0,34.58777777777779,33.0,1335.51438635675,92.0,397.6,78.0,101.0,419.2477409061066,21,388.9210681062451,40,4.0,38.0,23.0,34.0,40.0,66.0,71.0,19.9,0.8813333333333334,52,4.09,0.82,-1.52,20,-0.512,24
7,Georgia,SEC,85.88849659249527,2015,100.0,241.0,5.0,12.0,10.0,10.0,13.0,1.0,258.0,8.0,1.0,579.0,32.0,2406.0,327.0,199.0,12.0,14.0,67.0,592.0,22743.0,60.400000000000006,394.0,30.0,486.0,22.0,2498.0,49.0,158.0,4904.0,18.0,40.60000000000001,22.4843100189036,38.25911330049261,379.05,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",0.08766666666666667,31.594666666666665,15.885,19.0,16.0,44.0,79.561,54.787,54.553,13.0,10.0,3.0,8.0,5.0,3.0,67.84037655136078,82.91218628362998,19.720968610140233,61.54484349234389,57.40836503696701,44.98916256157635,42.362012582562684,54.40789473684208,60.88749411662063,79.86428047927033,53.07255507343125,94.35499684468925,44.94977767599693,65.83627204030225,48.197674418604635,67.0,69.9,10.0,60.400000000000006,45.22700124799431,22.4843100189036,62.76923076923077,-0.09345794392521611,53.07255507343125,67.84037655136078,19.720968610140233,871.7136053863208,94.35499684468925,67.20780856423174,57.40836503696701,79.86428047927033,82.91218628362998,61.544843492343894,198.27350634818816,61.54850340895204,12.5,17.0,98.46742415448578,9.0,11.099609563588999,0.6791221294953186,3.0,34.12708333333334,37.0,1019.1830585065804,112.0,400.95,92.0,75.0,351.2297124563405,69,482.16937037200086,3,6.0,42.0,7.0,110.0,71.0,38.0,32.0,19.6,0.852,30,4.2,1.11,-1.2,18,-0.164,19
8,USC,Big Ten,92.52290828475245,2015,72.49777502796088,308.0,17.0,26.0,5.0,9.0,14.0,2.0,284.0,7.0,1.0,984.0,54.0,3776.0,463.0,309.0,14.0,30.0,103.0,961.0,24548.0,40.6,255.0,27.0,527.0,26.0,2355.0,74.0,189.0,6131.0,12.0,25.200000000000003,52.951606805293025,67.16662561576355,409.13,#9e2237,#ffcc00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",0.4165,83.1195,18.785,12.0,33.0,2.0,66.901,71.06,43.757,14.0,8.0,6.0,10.0,6.0,4.0,75.98565512389632,41.23450989720061,44.01997644024587,73.95744062992918,73.31236394245116,51.29248768472904,44.29897953214726,37.90789473684211,76.9143406572133,55.6613142907687,77.59352838097857,50.736756931707845,44.321387219436396,23.568010075566747,45.0,72.0,70.1,7.499797729814626,75.80000000000001,58.499955428775195,52.951606805293025,20.46153846153844,0.28037383177567676,77.59352838097857,75.98565512389632,44.01997644024587,932.0264389522949,50.73675693170785,21.19899244332494,73.31236394245116,55.6613142907687,41.23450989720062,73.95744062992918,181.52240690493113,60.695210054081976,5.2,17.0,97.4889087472665,10.0,8.63378963527807,1.031086629989032,29.0,25.76666666666666,95.0,1902.0721517967727,37.0,430.87,82.0,94.0,390.07100118001495,42,381.4122571436617,49,2.0,26.0,81.0,53.0,38.0,9.0,123.0,19.1,0.7552857142857142,2,,,,114,,114
9,Michigan,Big Ten,82.28204286066179,2015,72.49777502796088,265.0,6.0,16.0,6.0,2.0,13.0,1.0,97.0,10.0,25.75,795.0,29.0,3090.0,415.0,258.0,10.0,21.0,87.0,778.0,26101.0,1.0,205.0,18.0,491.0,27.0,2057.0,86.0,186.0,5147.0,16.0,58.2,79.48884688090739,33.175,435.02,#00274c,#ffcb05,"['http://a.espncdn.com/i/teamlogos/ncaa/500/130.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/130.png']",0.11499999999999999,68.72550000000001,17.226,15.0,22.0,49.0,71.022,70.602,65.103,13.0,10.0,3.0,8.0,6.0,2.0,71.29393894343573,87.01686565639005,25.232906113648625,52.14357198842515,59.399973854891115,75.16871921182265,24.88005438017649,16.73441828254846,53.082208911676744,78.99014945156502,74.18019859813086,84.35802136152768,36.24173352594255,63.96599496221663,14.813953488372107,67.5,73.7,7.499797729814626,42.8,69.92405063291139,79.48884688090739,58.53846153846153,7.009345794392516,74.18019859813086,71.29393894343573,25.232906113648625,838.9276623696526,84.35802136152768,44.01637279596977,59.399973854891115,78.99014945156502,87.01686565639007,52.143571988425144,194.6972400959349,62.34623433472595,11.0,10.0,96.77580503426029,11.0,7.876058527659161,0.9273743552601961,21.0,45.00268199233717,3.0,1491.8515457321507,76.0,344.98,52.0,126.0,394.12178606432207,38,387.13918914050515,42,9.0,37.0,6.0,96.0,99.0,92.0,92.0,18.7,0.8826153846153846,54,3.89,0.66,-1.47,23,-0.464,23
