,Rank,Team,Conference
0,1,UCLA,Pac12
1,2,Florida,SEC
2,3,Alabama,SEC
3,4,Ole Miss,SEC
4,5,East Carolina,AAC
5,6,Oklahoma,Big12
6,7,Miami,ACC
7,8,Clemson,ACC
8,9,Oklahoma State,Big12
9,10,Cal State Northridge,BigWest
10,11,Northeastern,CAA
11,12,North Carolina State,ACC
12,13,UT Arlington,SBC
13,14,Texas Christian,Big12
14,15,Texas A&M,SEC
15,16,Wichita State,AAC
16,17,Florida State,ACC
17,18,West Virginia,Big12
18,19,Wright State,Horiz
19,20,UC Santa Barbara,BigWest
20,21,Georgia,SEC
21,22,Central Florida,AAC
22,23,Xavier,BigEast
23,24,San Diego,WCC
24,25,Illinois State,MVC
25,26,Dallas Baptist,MVC
26,27,Kent State,MAC
27,28,Tulane,AAC
28,29,Georgia Southern,SBC
29,30,Florida Atlantic,ConfUSA
30,31,Notre Dame,ACC
31,32,Pepperdine,WCC
32,33,Coastal Carolina,SBC
33,34,Texas,Big12
34,35,Louisville,ACC
35,36,Southern Miss,ConfUSA
36,37,LSU,SEC
37,38,Iowa,Big10
38,39,Indiana,Big10
39,40,Mercer,SoCon
40,41,Santa Clara,WCC
41,42,Arizona State,Pac12
42,43,San Diego State,MWC
43,44,Texas Tech,Big12
44,45,Arizona,Pac12
45,46,USC,Pac12
46,47,Arkansas,SEC
47,48,Middle Tennessee,ConfUSA
48,49,Southern Illinois,MVC
49,50,Mississippi State,SEC
50,51,Col of Charleston,CAA
51,52,Oregon State,Pac12
52,53,Utah,Pac12
53,54,Northwestern State,Sthland
54,55,East Tennessee state,SoCon
55,56,Georgia Tech,ACC
56,57,Virginia Tech,ACC
57,58,Vanderbilt,SEC
58,59,Penn,Ivy
59,60,Eastern Illinois,OVC
60,61,Virginia,ACC
61,62,Appalachian State,SBC
62,63,Western Michigan,MAC
63,64,Michigan,Big10
64,65,New Mexico,MWC
65,66,Illinois,Big10
66,67,Louisiana Tech,ConfUSA
67,68,Connecticut,AAC
68,69,North Carolina,ACC
69,70,Louisiana-Monroe,SBC
70,71,Northwestern,Big10
71,72,Rhode Island,Atl10
72,73,UNC Greensboro,SoCon
73,74,UNC Wilmington,CAA
74,75,Long Beach State,BigWest
75,76,Abilene Christian,Sthland
76,77,Duke,ACC
77,78,New Mexico State,WAC
78,79,Maryland,Big10
79,80,Belmont,OVC
80,81,Hawaii,BigWest
81,82,Lipscomb,AtlSun
82,83,BYU,WCC
83,84,UC Riverside,BigWest
84,85,Incarnate Word,Sthland
85,86,Missouri,SEC
