,Rank,Team,Conference
0,1,Arizona State,Pac10
1,2,Coastal Carolina,BigSou
2,3,Virginia,ACC
3,4,Florida,SEC
4,5,UCLA,Pac10
5,6,Texas,Big12
6,7,South Carolina,SEC
7,8,Louisville,BigEast
8,9,Texas Christian,MWC
9,10,Vanderbilt,SEC
10,11,Alabama,SEC
11,12,Cal State Fullerton,BigWest
12,13,Miami,ACC
13,14,Arkansas,SEC
14,15,Oklahoma,Big12
15,16,Clemson,ACC
16,17,Georgia Tech,ACC
17,18,Florida State,ACC
18,19,Auburn,SEC
19,20,Texas A&M,Big12
20,21,Col of Charleston,SoCon
21,22,LSU,SEC
22,23,Oregon,Pac10
23,24,North Carolina,ACC
24,25,Washington State,Pac10
25,26,Connecticut,BigEast
26,27,Ole Miss,SEC
27,28,Oregon State,Pac10
28,29,Arizona,Pac10
29,30,Rice,ConfUSA
30,31,Citadel,SoCon
31,32,Kentucky,SEC
32,33,San Diego,WCC
33,34,Baylor,Big12
34,35,Virginia Tech,ACC
35,36,Florida Atlantic,SBC
36,37,Stanford,Pac10
37,38,Western Kentucky,SBC
38,39,UC Irvine,BigWest
39,40,UL Lafayette,SBC
40,41,Kansas State,Big12
41,42,Florida Gulf Coast,AtlSun
42,43,California,Pac10
43,44,St. John's,BigEast
44,45,Tennessee,SEC
45,46,Boston College,ACC
46,47,Elon,SoCon
47,48,Liberty,BigSou
48,49,Texas State,Sthland
49,50,New Mexico,MWC
50,51,Southeastern Louisiana,Sthland
51,52,Western Carolina,SoCon
52,53,Florida International,SBC
53,54,North Carolina State,ACC
54,54,Appalachian State,SoCon
55,56,Rutgers,BigEast
56,57,Wichita State,MVC
57,58,Pittsburgh,BigEast
58,59,Kansas,Big12
59,60,Texas Tech,Big12
60,61,Southern Miss,ConfUSA
61,62,USC,Pac10
62,63,Troy,SBC
63,64,Northwestern State,Sthland
64,65,Nebraska,Big12
65,66,Georgia Southern,SoCon
66,67,Middle Tennessee,SBC
67,68,Washington,Pac10
68,69,Hawaii,WAC
69,70,Michigan,Big10
70,71,Mississippi State,SEC
71,72,Samford,SoCon
72,73,South Alabama,SBC
73,74,UC Riverside,BigWest
74,75,Missouri,Big12
75,76,James Madison,CAA
76,77,Fresno State,WAC
77,78,Central Florida,ConfUSA
78,79,East Carolina,ConfUSA
79,80,Michigan State,Big10
80,81,UNC Charlotte,Atl10
81,82,Illinois State,MVC
82,83,Duke,ACC
83,84,Houston,ConfUSA
84,85,Radford,BigSou
85,86,Jacksonville State,OVC
86,87,Manhattan,MAAC
87,88,Tulane,ConfUSA
88,89,Minnesota,Big10
89,90,VMI,BigSou
90,91,Stephen F. Austin,Sthland
91,92,Evansville,MVC
92,93,South Florida,BigEast
93,94,Portland,WCC
94,95,Long Beach State,BigWest
95,96,Oklahoma State,Big12
96,97,Arkansas State,SBC
97,98,Winthrop,BigSou
98,99,Ohio State,Big10
99,100,UNC Wilmington,CAA
100,101,San Diego State,MWC
101,102,Indiana,Big10
102,103,Memphis,ConfUSA
103,104,High Point,BigSou
104,105,Bethune-Cookman,MEAC
105,106,West Virginia,BigEast
106,107,Iowa,Big10
107,108,Jacksonville,AtlSun
108,109,Central Michigan,MAC
109,110,BYU,MWC
110,111,Alabama-Birmingham,ConfUSA
111,112,North Florida,AtlSun
112,113,Marshall,ConfUSA
113,114,Nevada,WAC
114,115,Le Moyne,IndyNCAA
115,116,Lamar,Sthland
116,117,Kent State,MAC
117,118,Georgia,SEC
118,119,Ball State,MAC
119,120,Oral Roberts,Summ
120,121,Cal State Northridge,BigWest
121,122,Bowling Green,MAC
122,123,McNeese State,Sthland
123,124,Mercer,AtlSun
124,125,Indiana State,MVC
125,126,UT Arlington,Sthland
126,127,New Mexico State,WAC
127,128,Cal State Bakersfield,IndyNCAA
128,129,Pacific,BigWest
129,130,Austin Peay,OVC
130,131,Dallas Baptist,IndyNCAA
131,131,Marist,MAAC
132,133,Toledo,MAC
133,134,San Francisco,WCC
134,135,Cincinnati,BigEast
135,136,East Tennessee State,AtlSun
136,137,Wake Forest,ACC
137,138,Utah,MWC
138,139,Rider,MAAC
139,140,Arkansas-Little Rock,SBC
140,141,UT San Antonio,Sthland
141,142,Cal Poly,BigWest
142,143,Dartmouth,Ivy
143,144,Villanova,BigEast
144,145,Canisius,MAAC
145,146,UNLV,MWC
146,147,VCU,CAA
147,148,Columbia,Ivy
148,149,Illinois,Big10
149,150,Pepperdine,WCC
150,151,Nicholls State,Sthland
151,152,Kennesaw State,AtlSun
152,153,Miami-Ohio,MAC
153,154,Purdue,Big10
154,155,George Mason,CAA
155,156,Army,Patriot
156,157,Louisiana Tech,WAC
157,158,UC Davis,BigWest
158,159,South Dakota State,Summ
159,160,Utah Valley,GWC
160,161,UC Santa Barbara,BigWest
161,162,Stetson,AtlSun
162,163,Murray State,OVC
163,164,Penn State,Big10
164,165,Georgia State,CAA
165,166,Longwood,IndyNCAA
166,167,Seton Hall,BigEast
167,168,Southern Illinois,MVC
168,169,Belmont,AtlSun
169,170,Maryland,ACC
170,171,Eastern Kentucky,OVC
171,172,William and Mary,CAA
172,173,Rhode Island,Atl10
173,174,Tennessee Tech,OVC
174,175,Southeast Missouri State,OVC
175,176,Siena,MAAC
176,177,Wright State,Horiz
177,178,Creighton,MVC
178,179,Gardner-Webb,BigSou
179,180,Xavier,Atl10
180,181,Georgetown,BigEast
181,182,Northwestern,Big10
182,183,Cornell,Ivy
183,184,Binghamton,AmEast
184,185,Bryant,NEC
185,186,Missouri State,MVC
186,186,Eastern Michigan,MAC
187,188,Gonzaga,WCC
188,189,Loyola Marymount,WCC
189,190,Sacred Heart,NEC
190,191,Notre Dame,BigEast
191,192,Central Connecticut State,NEC
192,193,Delaware,CAA
193,194,Charleston Southern,BigSou
194,195,Centenary-LA,Summ
195,196,Lipscomb,AtlSun
196,197,Louisiana-Monroe,SBC
197,198,Sam Houston State,Sthland
198,199,Towson,CAA
199,200,Morehead State,OVC
200,201,Northern Illinois,MAC
201,202,Northern Colorado,GWC
202,203,Texas A&M Corpus Christi,Sthland
203,204,Maine,AmEast
204,205,Stony Brook,AmEast
205,206,Saint Louis,Atl10
206,207,Santa Clara,WCC
207,208,San Jose State,WAC
208,209,Milwaukee,Horiz
209,210,Richmond,Atl10
210,211,Massachusetts,Atl10
211,212,Bucknell,Patriot
212,213,St. Mary's CA,WCC
213,214,Davidson,SoCon
214,215,Central Arkansas,Sthland
215,216,Hofstra,CAA
216,217,Wofford,SoCon
217,218,Lehigh,Patriot
218,219,Holy Cross,Patriot
219,220,Illinois-Chicago,Horiz
220,221,Old Dominion,CAA
221,222,UNC Asheville,BigSou
222,223,Sacramento State,WAC
223,224,Buffalo,MAC
224,225,UNC Greensboro,SoCon
225,226,Campbell,AtlSun
226,227,Penn,Ivy
227,228,New Orleans,SBC
228,229,USC Upstate,AtlSun
229,230,Eastern Illinois,OVC
230,231,Southern,SWAC
231,232,Harvard,Ivy
232,233,Bradley,MVC
233,234,Fordham,Atl10
234,235,Tennessee-Martin,OVC
235,236,George Washington,Atl10
236,237,North Carolina A&T,MEAC
237,238,Furman,SoCon
238,239,Wagner,NEC
239,240,Brown,Ivy
240,241,Houston Baptist,GWC
241,242,Dayton,Atl10
242,243,Monmouth,NEC
243,244,Yale,Ivy
244,245,Akron,MAC
245,246,Northeastern,CAA
246,247,Ohio,MAC
247,248,Air Force,MWC
248,249,Niagara,MAAC
249,250,Saint Joseph's,Atl10
250,251,Fairfield,MAAC
251,252,Seattle,IndyNCAA
252,253,Lafayette,Patriot
253,254,Oakland,Summ
254,255,Texas Southern,SWAC
255,256,Presbyterian,BigSou
256,257,New York Tech,GWC
257,258,Princeton,Ivy
258,259,Jackson State,SWAC
259,260,Navy,Patriot
260,261,Southern Utah,Summ
261,262,LaSalle,Atl10
262,263,Valparaiso,Horiz
263,264,Duquesne,Atl10
264,265,St. Bonaventure,Atl10
265,266,Temple,Atl10
266,267,SIU-Edwardsville,OVC
267,268,UT Pan American,GWC
268,269,North Dakota,GWC
269,270,Grambling State,SWAC
270,271,St. Peter's,MAAC
271,272,Western Michigan,MAC
272,273,IPFW,Summ
273,274,North Dakota State,Summ
274,275,Youngstown State,Horiz
275,276,Alcorn State,SWAC
276,277,Mount St. Mary's,NEC
277,278,Long Island,NEC
278,279,Albany,AmEast
279,280,Butler,Horiz
280,281,Quinnipiac,NEC
281,282,Western Illinois,Summ
282,283,Fairleigh Dickinson,NEC
283,284,Hartford,AmEast
284,285,Norfolk State,MEAC
285,286,Mississippi Valley State,SWAC
286,287,Iona,MAAC
287,288,Cleveland State,Horiz
288,289,New Jersey Tech,GWC
289,290,UMBC,AmEast
290,291,Savannah State,IndyNCAA
291,292,Arkansas-Pine Bluff,SWAC
292,293,Delaware State,MEAC
293,294,Coppin State,MEAC
294,295,Prairie View A&M,SWAC
295,296,Florida A&M,MEAC
296,297,UMES,MEAC
297,298,Chicago State,GWC
298,299,Alabama State,SWAC
299,300,NC Central,IndyNCAA
300,301,Alabama A&M,SWAC
