,team,power_rating,conference,week,year
1,Georgia,26.3,SEC,16,2022
2,Ohio State,24.6,Big Ten,16,2022
3,Alabama,24.1,SEC,16,2022
4,Michigan,20.5,Big Ten,16,2022
5,LSU,18.7,SEC,16,2022
6,Tennessee,17.5,SEC,16,2022
7,Penn State,16.8,Big Ten,16,2022
8,Clemson,15.7,ACC,16,2022
9,Florida State,13.6,ACC,16,2022
10,Oregon,12.9,Big Ten,16,2022
11,Notre Dame,12.9,FBS Independents,16,2022
12,Texas,12.7,SEC,16,2022
13,Washington,11.4,Big Ten,16,2022
14,Utah,11.4,Big 12,16,2022
15,UCLA,11.3,Big Ten,16,2022
16,Minnesota,10.9,Big Ten,16,2022
17,Texas A&M,10.8,SEC,16,2022
18,USC,10.5,Big Ten,16,2022
19,Wisconsin,10.0,Big Ten,16,2022
20,Mississippi State,9.8,SEC,16,2022
21,Maryland,9.5,Big Ten,16,2022
22,Oregon State,8.7,Pac-12,16,2022
23,Ole Miss,7.9,SEC,16,2022
24,Kansas State,7.3,Big 12,16,2022
25,Illinois,7.0,Big Ten,16,2022
26,Oklahoma,7.0,SEC,16,2022
27,TCU,6.9,Big 12,16,2022
28,UCF,6.9,Big 12,16,2022
29,Florida,6.6,SEC,16,2022
30,Kentucky,6.5,SEC,16,2022
31,Pittsburgh,6.3,ACC,16,2022
32,Tulane,6.2,American Athletic,16,2022
33,North Carolina,5.7,ACC,16,2022
34,Louisville,5.6,ACC,16,2022
35,Texas Tech,5.2,Big 12,16,2022
36,Air Force,5.0,Mountain West,16,2022
37,Duke,4.8,ACC,16,2022
38,Baylor,4.5,Big 12,16,2022
39,Cincinnati,4.4,Big 12,16,2022
40,Iowa,4.4,Big Ten,16,2022
41,NC State,4.3,ACC,16,2022
42,Boise State,4.2,Mountain West,16,2022
43,Memphis,4.2,American Athletic,16,2022
44,Auburn,4.2,SEC,16,2022
45,Marshall,4.1,Sun Belt,16,2022
46,Miami,4.1,ACC,16,2022
47,Western Kentucky,3.5,Conference USA,16,2022
48,South Carolina,3.5,SEC,16,2022
49,Fresno State,3.0,Mountain West,16,2022
50,Wake Forest,2.5,ACC,16,2022
51,Syracuse,2.5,ACC,16,2022
52,Arkansas,2.5,SEC,16,2022
53,Iowa State,2.5,Big 12,16,2022
54,Houston,2.4,Big 12,16,2022
55,Missouri,1.8,SEC,16,2022
56,UTSA,1.7,American Athletic,16,2022
57,SMU,1.6,ACC,16,2022
58,East Carolina,1.4,American Athletic,16,2022
59,Washington State,0.7,Pac-12,16,2022
60,Oklahoma State,0.7,Big 12,16,2022
61,West Virginia,0.7,Big 12,16,2022
62,Kansas,0.6,Big 12,16,2022
63,Nebraska,0.6,Big Ten,16,2022
64,San José State,0.1,Mountain West,16,2022
65,Purdue,-0.0,Big Ten,16,2022
