,Unnamed: 0,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RPG,RS,TB,SLG,KP9,WP9,WHIP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference_x,expected_wins,Wins,Losses,avg_expected_wins,total_expected_wins,rem_avg_expected_wins,rem_total_expected_wins,RPI,Conference_y,KPI_Score,Norm_RPI,wins_above_expected,SOR,RemSOS,SOS,bubble_expected_wins,bubble_total_expected_wins,wins_above_bubble,Prelim_WAB,KPI,Prelim_AVG,final_bubble_expected_wins,final_bubble_total_expected_wins,WAB,AVG,Resume,resume_quality,RQI,Norm_Rating,Norm_RQI,Norm_SOS,NET_Score,NET,Norm_Resume,aRQI,Q1,Q2,Q3,Q4,Rating Rank,PRR,win_percentage,completed_games,wpoe_pct,WPOE,Remaining_Wins,Games_Remaining,Remaining_Losses,Remaining_RQ,Projected_Wins,Projected_Losses,Projected_Record,Projected_RQ,Projected_Norm_RQI,Projected_NET_Score,Projected_NET,pNET_Score,pRating,pResume_Quality,pPYTHAG,poWAR_z,pOPS,pBA,pRPG,ppWAR_z,pKP9,pWHIP,pERA,pwOBA,pwRAA,pfWAR,pISO,pwRC+,pBB%,pBABIP,pRA9,pFIP,pLOB%,pK/BB
0,2,Arkansas,63,2094,560,0.267,8.88888888888889,33.23809523809524,0.2674307545367717,360,5.714285714285714,558.0,234,3.77,257,1674,547,45,0.98,8.682539682539682,0.7142857142857143,70,0.387,1.1111111111111112,7.666666666666667,483,1009,0.482,10.6,3.52,1.23,0.869,0.76,0.3654800307219661,200.22424894445547,1.8453471439378537,2.038343322268157,3.8836904662060094,0.214422158548233,151.85323448939795,0.1382488479262673,0.2117370892018779,4.145161290322581,0.3715126870381393,0.7266591688404508,3.01,4.69,SEC,41.08439999999999,50,13,0.38984920634920645,24.560500000000005,10.0,0,15,SEC,1.0367652570787247,95.3489932885906,25.44,1,1,10,0.5164761904761905,32.538000000000004,15.77,1,1,1.0,0.5432904761904763,34.22730000000001,1,1.0,1,0.13334849206349192,1,0.948,1.0,0.9063866408210111,0.9831502633067314,1,0.9866266629744301,1,25-8,5-2,8-3,12-0,2,2,0.7936507936507936,63.0,0.1415174603174605,5.0,0.0,,0.0,,50.0,13.0,50-13,,,0.42315026330673144,1,99,99,99,98,95,92,50,95,97,94,95,91,92,95,98,97,92,98,8,96,96,94,93
1,14,Mississippi St.,68,2316,644,0.278,9.470588235294118,34.05882352941177,0.2780656303972366,306,4.5,603.2,271,4.04,304,1811,515,60,0.975,7.573529411764706,0.8823529411764706,73,0.375,1.0735294117647058,7.0,476,1017,0.439,12.2,3.97,1.26,0.8140000000000001,0.694,0.3440821428571428,81.54115920673168,0.7515160928248353,2.7156806036484595,3.467196696473295,0.1610535405872193,119.6389836405527,0.1092857142857142,0.2424371538133787,4.535809018567639,0.1466695454132235,0.6962901626615364,3.07,3.92,SEC,41.22390000000001,50,18,0.38533529411764705,26.2028,10.0,0,107,SEC,0.9101126708863201,64.78523489932886,23.8,2,1,7,0.5121882352941177,34.82880000000001,13.35,2,3,2.3,0.5390426470588235,36.6549,2,2.3,2,0.07918941176470581,5,0.8966666666666666,0.9440729823385435,0.9186340664840347,0.9364993548669885,2,0.9404388515021851,2,20-14,5-0,12-1,13-3,14,14,0.7352941176470589,68.0,0.12906029411764697,9.0,0.0,,0.0,,50.0,18.0,50-18,,,0.4078184847574041,2,99,95,99,91,77,72,68,87,99,99,93,85,71,77,97,72,71,70,59,89,98,84,94
2,5,Vanderbilt,67,2291,653,0.285,9.74626865671642,34.19402985074627,0.2850283718900043,301,4.492537313432836,598.0,230,3.46,267,1794,510,65,0.973,7.611940298507463,0.9701492537313432,53,0.378,0.7910447761194029,6.776119402985074,454,1101,0.481,11.9,3.73,1.11,0.859,0.725,0.3558496732026143,152.5495050197664,1.4059575445102683,2.6103461134153623,4.016303657925631,0.1955477957223919,137.35485245971796,0.1092955700798838,0.2430675909878683,4.018394648829431,0.2040763740937486,0.7141710359955055,3.19,4.46,SEC,43.40240000000002,49,18,0.39859402985074643,26.70580000000001,10.0,0,9,SEC,0.8790591908671627,97.34228187919463,22.29,4,1,19,0.5255835820895526,35.21410000000002,12.0,4,5,4.3,0.5522522388059701,37.000899999999994,4,4.3,4,0.062235746268656605,7,0.9326666666666665,0.926565891295027,0.8826596451956724,0.9214071490855584,3,0.9202935704236905,4,21-14,4-2,7-1,17-1,5,5,0.7313432835820896,67.0,0.0835462686567161,34.0,0.0,,0.0,,49.0,18.0,49-18,,,0.40253024996034337,3,98,98,98,96,91,91,80,82,98,99,98,96,86,91,98,93,86,70,61,97,98,91,97
3,12,Tennessee,68,2357,657,0.279,9.661764705882351,34.661764705882355,0.2787441663131099,336,4.941176470588236,614.2,240,3.51,291,1844,633,59,0.977,9.308823529411764,0.8676470588235294,79,0.383,1.161764705882353,6.985294117647059,475,1109,0.471,9.0,2.49,1.16,0.854,0.71,0.3581121560431904,173.53128301584272,1.599334042631325,2.7029027535640897,4.302236796195414,0.1917691981332202,140.76099189871107,0.1170323928944618,0.234479865771812,4.264083360468902,0.3068561865731951,0.6935075824779804,3.63,4.04,SEC,42.68670000000002,50,18,0.3988088235294118,27.119000000000003,10.0,0,1,SEC,0.8647443212859207,100.0,22.88,3,1,20,0.5269764705882353,35.834399999999995,12.33,3,6,4.0,0.5539588235294118,37.669200000000004,3,4.0,3,0.06423352941176466,6,0.9046666666666667,0.9286288889034052,0.8820768537107275,0.9204205243270508,4,0.921978598161594,3,20-12,8-4,8-1,14-1,11,11,0.7352941176470589,68.0,0.1075485294117644,17.0,0.0,,0.0,,50.0,18.0,50-18,,,0.40038834654114375,6,98,95,98,93,93,89,71,86,99,71,97,96,88,93,99,92,88,87,40,94,97,82,99
4,17,Notre Dame,47,1605,451,0.281,9.595744680851064,34.148936170212764,0.2809968847352025,211,4.48936170212766,421.0,185,3.95,205,1263,493,32,0.982,10.48936170212766,0.6808510638297872,53,0.379,1.127659574468085,7.0638297872340425,332,760,0.474,7.9,4.06,1.36,0.853,0.707,0.3538780737704918,99.53351129329964,0.9173408403801782,0.1081273034562896,1.025468143836468,0.1925233644859813,134.3866343308507,0.1080942622950819,0.2369230769230769,4.382422802850356,1.136270095021764,0.7335236782841119,1.95,3.65,ACC,28.42829999999999,34,13,0.385168085106383,18.1029,10.0,0,4,ACC,0.933537502360292,99.00335570469798,15.9,11,1,6,0.5212553191489362,24.499000000000002,8.16,7,2,6.7,0.5498446808510637,25.842699999999997,7,6.7,6,0.05520202127659571,8,0.8786666666666666,0.9193025614953584,0.9190877483082682,0.9156174052464544,5,0.9192718738972027,5,9-4,21-8,2-1,2-0,17,17,0.723404255319149,47.0,0.11854680851063859,13.0,0.0,,0.0,,34.0,13.0,34-13,,,0.4008079708090537,4,98,94,98,93,82,88,74,87,54,31,79,87,83,82,72,92,83,66,46,92,61,95,49
5,1,Texas,67,2186,601,0.275,8.970149253731343,32.62686567164179,0.2749313815187557,379,5.656716417910448,595.2,194,2.93,211,1787,709,50,0.98,10.582089552238806,0.746268656716418,74,0.394,1.1044776119402986,6.7164179104477615,450,959,0.439,8.6,3.23,1.14,0.833,0.8,0.3514146164978292,125.7372443633181,1.1588449750501133,2.18863096774636,3.347475942796473,0.1637694419030192,130.6779304139831,0.1371201157742402,0.2401982875168995,3.190524193548387,0.6805068409073617,0.799683698934144,2.64,5.47,Big 12,48.56980000000001,50,17,0.41470298507462683,27.785099999999996,10.0,0,12,Big 12,0.888868375890582,96.34563758389261,22.21,5,1,36,0.5491417910447762,36.792500000000004,11.35,5,4,4.7,0.5768089552238804,38.646199999999986,5,4.7,5,0.051982014925373105,9,1.0,0.9159774431388182,0.8389518322182605,0.9135261438366521,6,0.9049737844358814,6,14-12,5-0,20-4,11-1,1,1,0.746268656716418,67.0,0.021346268656716294,98.0,0.0,,0.0,,50.0,17.0,50-17,,,0.40057877567891387,5,97,99,97,98,87,79,63,80,98,55,98,99,81,87,96,74,81,98,54,99,87,99,84
6,13,Ole Miss,67,2278,656,0.288,9.791044776119405,34.0,0.2879719051799824,295,4.402985074626866,586.1,312,4.79,354,1759,453,57,0.975,6.7611940298507465,0.8507462686567164,87,0.385,1.2985074626865671,7.134328358208955,478,1038,0.456,11.7,3.39,1.36,0.841,0.634,0.357845142439737,163.86030155499037,1.510202390936077,2.6004974837069,4.110699874642977,0.1676909569798068,140.35900627956755,0.1077428780131482,0.2469723183391003,5.435932434738099,0.0529562731753313,0.6420536135893158,3.46,3.93,SEC,40.759100000000004,45,22,0.3880417910447758,25.99879999999998,10.0,0,7,SEC,0.7926718146571227,98.00671140939598,19.0,6,1,9,0.5141761194029854,34.44980000000002,8.76,6,9,7.0,0.5409059701492536,36.24069999999999,6,7.0,7,0.01379843283582087,13,0.8973333333333333,0.876547418512866,0.9112906317379054,0.8829347685659632,7,0.8815107346878716,7,21-16,2-2,9-3,13-1,13,13,0.6716417910447762,67.0,0.0632970149253731,49.0,0.0,,0.0,,45.0,22.0,45-22,,,0.39206821419875826,7,97,95,96,83,92,83,84,88,98,98,79,64,87,92,98,78,87,65,68,69,99,49,98
7,9,TCU,60,2052,592,0.288,9.866666666666667,34.2,0.2884990253411306,346,5.766666666666667,527.2,242,4.13,280,1583,590,53,0.976,9.833333333333334,0.8833333333333333,63,0.402,1.05,7.8,468,938,0.457,10.3,3.45,1.32,0.859,0.719,0.3556956688386355,143.620685615026,1.323665956582547,1.6198833388127238,2.943549295395271,0.168615984405458,137.1230008281751,0.1326178612495208,0.2554112554112554,4.779969650986343,0.4874884011982112,0.6987051138308868,3.0,4.09,Big 12,38.574499999999986,41,19,0.4083316666666666,24.499899999999997,10.0,0,34,Big 12,0.8054209664234523,89.03691275167785,16.5,9,1,32,0.5387816666666665,32.32689999999999,7.04,11,8,9.3,0.5660683333333331,33.96409999999998,11,9.3,9,0.0,16,0.9079999999999999,0.8622985577003852,0.8562388871218489,0.8656239303321409,8,0.86143289047488,10,10-12,17-2,5-5,9-0,9,9,0.6833333333333333,60.0,0.040425000000000266,75.0,0.0,,0.0,,41.0,19.0,41-19,,,0.3827367380199251,8,97,96,95,95,90,91,84,96,95,92,86,84,85,90,94,80,85,97,81,85,95,85,93
8,55,Oregon,55,1890,546,0.289,9.927272727272728,34.36363636363637,0.2888888888888888,255,4.636363636363637,495.0,204,3.71,231,1485,537,40,0.981,9.763636363636364,0.7272727272727273,85,0.392,1.5454545454545454,6.890909090909091,379,860,0.455,9.3,3.31,1.31,0.847,0.712,0.3591125541125541,144.78182705150277,1.3343675026979964,1.2087527809845864,2.543120283682583,0.1661375661375661,142.26707860029444,0.1103896103896103,0.2553413236060448,4.2,0.5855290801731762,0.7392870004797729,2.82,2.11,Pac-12,29.768399999999993,39,16,0.42025636363636376,23.114100000000008,10.0,0,32,Pac-12,0.725522355608189,89.70134228187919,15.89,12,1,45,0.5499236363636363,30.245799999999996,7.28,10,13,11.7,0.5767072727272727,31.718899999999998,10,11.7,12,0.015568636363636312,10,0.7759999999999999,0.8783754075300045,0.8238840622607563,0.8620777459673019,9,0.8705909296343977,9,15-7,7-6,4-0,13-3,55,55,0.7090909090909091,55.0,0.16784727272727284,2.0,0.0,,0.0,,39.0,16.0,39-16,,,0.3701875177504993,13,96,80,97,94,91,86,86,85,90,78,87,93,89,91,91,77,89,73,81,95,90,96,90
9,105,Stanford,56,1999,566,0.283,10.107142857142858,35.69642857142857,0.2831415707853927,237,4.232142857142857,510.2,263,4.64,292,1532,514,44,0.979,9.178571428571429,0.7857142857142857,45,0.368,0.8035714285714286,6.785714285714286,380,930,0.465,8.5,4.02,1.36,0.833,0.618,0.3503571428571428,101.4424948798146,0.9349348002914816,1.0460876486274522,1.9810224489189336,0.1820910455227613,129.08591715817414,0.1007653061224489,0.2381188118811881,5.150921207369659,1.0452181355760823,0.6729733460880405,2.11,0.96,Pac-12,25.671599999999994,39,17,0.4028803571428571,22.561299999999996,10.0,0,3,Pac-12,0.6871223169517658,99.33557046979865,16.44,10,1,25,0.5356553571428571,29.996699999999993,7.45,9,15,11.3,0.5633517857142859,31.54770000000001,9,11.3,10,0.01547785714285714,11,0.6993333333333333,0.8782816649654004,0.8710297170569549,0.8612335618904164,10,0.877245672407051,8,18-9,7-5,2-2,12-1,105,105,0.6964285714285714,56.0,0.23800714285714292,1.0,0.0,,0.0,,39.0,17.0,39-17,,,0.3693958295097922,17,96,63,97,79,83,79,77,83,86,51,79,70,80,83,88,88,80,47,48,78,66,71,59
