,Rank,Team,Conference
0,1,Miami,ACC
1,2,North Carolina,ACC
2,3,Florida State,ACC
3,4,Rice,ConfUSA
4,5,Arizona State,Pac10
5,6,Arizona,Pac10
6,7,Coastal Carolina,BigSou
7,8,LSU,SEC
8,9,Stanford,Pac10
9,10,North Carolina State,ACC
10,11,Georgia Tech,ACC
11,12,UC Irvine,BigWest
12,13,Wichita State,MVC
13,14,Georgia,SEC
14,15,Cal State Fullerton,BigWest
15,16,Nebraska,Big12
16,17,Oklahoma State,Big12
17,18,Texas A&M,Big12
18,19,Texas,Big12
19,20,East Carolina,ConfUSA
20,21,UNC Wilmington,CAA
21,22,Florida,SEC
22,23,South Carolina,SEC
23,24,San Diego,WCC
24,25,Long Beach State,BigWest
25,26,Clemson,ACC
26,27,Kentucky,SEC
27,28,Southern Miss,ConfUSA
28,29,Virginia,ACC
29,30,California,Pac10
30,31,Michigan,Big10
31,32,Oral Roberts,Summ
32,33,Pepperdine,WCC
33,34,Texas Christian,MWC
34,35,Houston,ConfUSA
35,36,Vanderbilt,SEC
36,37,Oklahoma,Big12
37,38,Arkansas,SEC
38,39,Dallas Baptist,IndyNCAA
39,40,Ole Miss,SEC
40,41,Elon,SoCon
41,42,UCLA,Pac10
42,43,Missouri,Big12
43,44,Washington State,Pac10
44,45,UC Davis,BigWest
45,46,Fresno State,WAC
46,47,Tulane,ConfUSA
47,48,New Orleans,SBC
48,49,Alabama,SEC
49,50,Kansas State,Big12
50,51,Baylor,Big12
51,52,Missouri State,MVC
52,53,Col of Charleston,SoCon
53,54,UNC Charlotte,Atl10
54,55,Louisville,BigEast
55,56,Wake Forest,ACC
56,57,St. John's,BigEast
57,58,USC,Pac10
58,59,Boston College,ACC
59,60,James Madison,CAA
60,61,Oregon State,Pac10
61,62,UC Santa Barbara,BigWest
62,63,Central Florida,ConfUSA
63,64,UT San Antonio,Sthland
64,65,South Florida,BigEast
65,66,New Mexico,MWC
66,67,Florida Gulf Coast,AtlSun
67,68,Santa Clara,WCC
68,69,Auburn,SEC
69,70,Marshall,ConfUSA
70,71,Texas Tech,Big12
71,72,Georgia Southern,SoCon
72,73,Appalachian State,SoCon
73,74,Troy,SBC
74,75,Duke,ACC
75,76,San Francisco,WCC
76,77,San Diego State,MWC
77,78,Florida Atlantic,SBC
78,79,William and Mary,CAA
79,80,Kent State,MAC
80,81,Loyola Marymount,WCC
81,82,Canisius,MAAC
82,83,Cincinnati,BigEast
83,84,Sam Houston State,Sthland
84,85,UNC Greensboro,SoCon
85,86,Western Kentucky,SBC
86,87,Jacksonville State,OVC
87,88,Virginia Tech,ACC
88,89,Maryland,ACC
89,90,George Mason,CAA
90,91,Creighton,MVC
91,92,St. Mary's CA,WCC
92,93,Washington,Pac10
93,94,Cal Poly,BigWest
94,95,Tennessee,SEC
95,96,Louisiana-Monroe,SBC
