,Team,BB,BBPG,HBP,OBP,HBPPG,TB,SLG,WP9,IP,RA,ER,ERA,RS,RPG,KP9,WHIP,G,AB,H,BA,HPG,ABPG,HPAB,PO,A,E,PCT,APG,EPG,OPS,PYTHAG,Team Link,Record,ELO,ELO_Rank,ELO Delta,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,expected_wins,Wins,Losses,avg_expected_wins,total_expected_wins,rem_avg_expected_wins,rem_total_expected_wins,Projected_RPI,Conference,RPI,KPI_Score,Norm_RPI,wins_above_expected,SOR,RemSOS,SOS,bubble_expected_wins,bubble_total_expected_wins,wins_above_bubble,Prelim_WAB,KPI,Prelim_AVG,final_bubble_expected_wins,final_bubble_total_expected_wins,WAB,AVG,Resume,resume_quality,RQI,Norm_Rating,Norm_RQI,Norm_SOS,NET_Score,NET,combined_rank,Norm_Resume,aRQI,Q1,Q2,Q3,Q4,Rating Rank,PRR,win_percentage,completed_games,wpoe_pct,WPOE,Remaining_Wins,Games_Remaining,Remaining_Losses,Remaining_RQ,Projected_Wins,Projected_Losses,Projected_Record,Projected_RQ,Projected_Norm_RQI,Projected_NET_Score,Projected_NET,pNET_Score,pRating,pResume_Quality,pPYTHAG,poWAR_z,pOPS,pBA,pRPG,ppWAR_z,pKP9,pWHIP,pERA,pwOBA,pwRAA,pfWAR,pISO,pwRC+,pBB%,pBABIP,pRA9,pFIP,pLOB%,pK/BB
25,Stony Brook,221.0,4.25,65.0,0.378,1.25,816,0.467,4.65,439.2,376.0,335.0,6.86,362,6.961538461538462,7.3,1.7,52.0,1747.0,491.0,0.281,9.442307692307692,33.59615384615385,0.28105323411562677,1319.0,534.0,52.0,0.973,10.26923076923077,1.0,0.845,0.483,/baseball/2025/schedule/Stony-Brook,25-27,1347.01,176,,0.3638558909444985,132.80320583817002,1.0615079505120015,-0.9006021503830877,0.16090580012891387,0.18603319977103605,135.33265577332182,0.10759493670886076,0.23868778280542988,7.704918032786885,3.016641575230357,0.6335850442581981,1.56,-1.71,19.545699999999997,25,27,0.4884153846153847,25.397600000000004,10.0,0,150,Coastal Athletic,151,-0.41057692307692306,50.16778523489933,-0.4,28,1,24,0.23509615384615382,12.224999999999998,11.85,30,33,30.3,0.2528538461538461,13.148399999999997,30,30.3,29,-0.33843308344198186,155,0.3993333333333334,0.3474977112320736,0.44498081792313204,0.35091570853142184,26,176,0.3475205722297445,26,1-0,0-0,0-0,24-27,29,29,0.4807692307692308,52.0,0.10489038461538469,13.0,0.0,,0.0,,25.0,27.0,25-27,,,0.04911127360592291,27,39,32,39,34,54,52,46,58,18,19,19,15,63,54,34,80,63,44,32,20,39,51,63
26,Gonzaga,206.0,3.8867924528301887,53.0,0.36,1.0,747,0.401,4.42,464.2,340.0,304.0,5.89,319,6.018867924528302,8.6,1.54,53.0,1862.0,509.0,0.273,9.60377358490566,35.132075471698116,0.27336197636949516,1394.0,476.0,52.0,0.973,8.981132075471699,0.9811320754716981,0.761,0.471,/baseball/2025/schedule/Gonzaga,26-27,1390.46,139,,0.32142857142857145,-23.805303480724838,-0.19027792853083025,-0.48283144654283794,-0.6731093750736682,0.12781954887218044,93.80526703090605,0.0980952380952381,0.24933262146289376,6.591986212839294,3.094661449457386,0.5184796060883846,0.0,-2.65,17.715199999999996,26,27,0.4947000000000001,26.219100000000005,10.0,0,148,West Coast,149,-0.27648889744577076,50.83221476510067,-0.22,27,1,27,0.24437924528301894,12.952100000000003,12.12,28,10,21.7,0.2619018867924528,13.880799999999997,27,21.3,23,-0.34293536936360725,159,0.3366666666666667,0.34122052133412073,0.4230633606628692,0.34094005716169334,27,139,0.3412397144950978,27,6-10,0-0,0-0,20-17,32,32,0.49056603773584906,53.0,0.15631698113207554,7.0,0.0,,0.0,,26.0,27.0,26-27,,,0.04458741008131454,32,37,25,37,32,15,17,30,23,27,56,66,56,15,15,15,32,15,15,46,61,27,18,21
27,Utah Valley,288.0,4.88135593220339,122.0,0.419,2.0677966101694913,1052,0.506,4.32,500.1,408.0,358.0,6.44,507,8.59322033898305,8.4,1.64,59.0,2079.0,645.0,0.31,10.932203389830509,35.23728813559322,0.31024531024531027,1501.0,491.0,73.0,0.965,8.322033898305085,1.2372881355932204,0.925,0.598,/baseball/2025/schedule/Utah-Valley,29-27,1387.5,142,+24,0.3793297252289758,221.8754884690635,1.7734707046202298,0.32214057980998495,2.095611284430215,0.19576719576719576,150.47827277196313,0.11990008326394672,0.267425320056899,7.34253149370126,2.732131643310922,0.6506264692339384,1.94,1.03,39.486399999999996,33,27,0.5726483333333332,34.35889999999999,10.0,0,159,Western Athletic,157,-0.406391723356009,48.1744966442953,-1.36,29,1,35,0.29321,17.5926,14.23,23,32,28.0,0.31278833333333317,18.76729999999999,24,28.3,27,-0.3570309039548023,167,0.5820000000000001,0.3215682049592084,0.15122027086548073,0.3385961891690293,28,142,0.32152825625571774,29,0-2,0-0,0-0,33-25,16,16,0.55,60.0,-0.10810666666666657,38.0,0.0,,0.0,,33.0,27.0,33-27,,,0.05931173247953903,21,34,63,32,77,92,94,91,94,80,50,39,27,89,92,97,87,89,70,82,30,63,61,80
28,Winthrop,288.0,4.8,154.0,0.416,2.566666666666667,938,0.451,3.93,519.1,440.0,384.0,6.65,528,8.8,8.3,1.62,60.0,2079.0,622.0,0.299,10.366666666666667,34.65,0.29918229918229916,1557.0,517.0,76.0,0.965,8.616666666666667,1.2666666666666666,0.867,0.583,/baseball/2025/schedule/Winthrop,31-29,1374.93,153,-1,0.36281791297000426,148.6399475323585,1.1880924490750193,0.7145555613481049,1.9026480104231243,0.151996151996152,134.31669446950423,0.12167300380228137,0.2736892736892737,7.628587940666538,2.633349835902018,0.6270970363488885,2.1,0.24,33.6301,31,29,0.5528566666666666,33.17139999999999,10.0,0,181,Big South,181,-0.4185879629629629,40.20134228187919,-2.17,31,1,34,0.29779166666666657,17.867499999999993,11.99,27,35,31.0,0.3167533333333334,19.005200000000002,28,31.3,31,-0.35453590395480233,166,0.5293333333333333,0.32504679096374595,0.2202432709583626,0.3384101090467532,29,153,0.3250222132383526,28,0-0,3-0,0-0,28-29,20,20,0.5166666666666667,60.0,-0.04383499999999996,31.0,0.0,,0.0,,31.0,29.0,31-29,,,0.05610447301167486,24,32,54,34,70,66,80,87,97,97,43,48,24,58,66,92,46,58,77,89,25,70,46,88
29,Illinois St.,271.0,4.839285714285714,56.0,0.393,1.0,925,0.476,4.7,475.0,379.0,318.0,6.03,411,7.339285714285714,7.4,1.65,56.0,1944.0,576.0,0.296,10.285714285714286,34.714285714285715,0.2962962962962963,1425.0,503.0,55.0,0.972,8.982142857142858,0.9821428571428571,0.869,0.537,/baseball/2025/schedule/Illinois-State,28-28,1371.94,160,-1,0.37201906412478336,182.9712883468858,1.462505939294271,-0.23623540024713593,1.2262705390471351,0.17952674897119342,143.32267894464414,0.11741767764298093,0.25545962417470797,7.181052631578947,2.969348294376748,0.6577216390403725,1.58,0.7,33.241299999999995,28,28,0.531239285714286,29.749400000000016,10.0,0,161,Missouri Valley,161,-0.43916018788467764,46.84563758389262,-1.75,30,1,32,0.26925714285714286,15.0784,11.88,29,38,32.3,0.28777500000000006,16.115400000000005,29,32.3,33,-0.3691078087167072,172,0.56,0.3047303084129578,0.2956334092733449,0.3214553744692842,30,160,0.30472817507727423,31,2-1,2-0,0-0,24-27,18,18,0.5,56.0,-0.0935946428571428,35.0,0.0,,0.0,,28.0,28.0,28-28,,,0.056794758776328204,23,30,58,27,58,87,82,81,73,32,26,34,48,87,87,61,66,87,63,68,32,51,66,67
30,UNC Greensboro,205.0,3.7962962962962963,82.0,0.353,1.5185185185185186,705,0.394,3.99,469.0,360.0,315.0,6.04,276,5.111111111111111,9.1,1.55,54.0,1789.0,452.0,0.253,8.37037037037037,33.129629629629626,0.25265511458915596,1407.0,495.0,73.0,0.963,9.166666666666666,1.3518518518518519,0.747,0.381,/baseball/2025/schedule/UNCG,21-33,1325.09,191,,0.3246293639406982,-11.715675833175665,-0.09364444904810337,-0.11724394221864057,-0.21088839126674394,0.1257685858021241,96.93816716344925,0.09803921568627451,0.22560975609756098,6.908315565031983,2.4246795518871305,0.6613470391191001,2.27,-1.5,15.334599999999998,21,33,0.3899537037037039,21.05750000000001,10.0,0,153,Southern,153,-0.38202239229024937,49.50335570469798,-0.06,26,1,8,0.16949814814814815,9.1529,11.1,31,29,28.7,0.1833999999999999,9.903599999999994,31,28.7,28,-0.3622005335844318,170,0.41333333333333333,0.314360589216414,0.7883637540433303,0.32094985763651246,31,191,0.31447174883796186,30,3-7,0-1,0-0,18-25,28,28,0.3888888888888889,54.0,0.10491481481481485,12.0,0.0,,0.0,,21.0,33.0,21-33,,,0.04792526419207798,30,27,34,30,13,18,11,13,6,44,76,62,44,18,18,25,27,18,13,13,46,87,70,99
31,Elon,288.0,5.052631578947368,59.0,0.387,1.0350877192982457,788,0.412,4.62,484.2,421.0,363.0,6.74,380,6.666666666666667,7.4,1.67,57.0,1914.0,539.0,0.282,9.456140350877194,33.578947368421055,0.28160919540229884,1454.0,506.0,76.0,0.963,8.87719298245614,1.3333333333333333,0.7989999999999999,0.453,/baseball/2025/schedule/Elon,25-32,1348.73,174,,0.3434269662921348,64.943705565336,0.5191008707825981,0.10649220779230592,0.6255930785749041,0.1154649947753396,115.33705140077228,0.12445980985306827,0.25746652935118436,7.825278810408922,2.5590113689093372,0.5802975339422657,1.6,-0.72,25.15570000000002,25,32,0.49873859649122787,28.42809999999999,10.0,0,212,Coastal Athletic,212,-0.4171557365636313,29.902684563758385,-3.43,32,1,28,0.24641403508771934,14.045600000000002,9.94,32,34,32.7,0.26419649122807004,15.059199999999993,32,32.7,34,-0.39105950044603033,185,0.4653333333333334,0.27412475826243815,0.40897884465499745,0.2866836385327285,32,174,0.27415638321838764,32,1-3,1-0,0-0,23-29,24,24,0.43859649122807015,57.0,-0.002731578947368807,28.0,0.0,,0.0,,25.0,32.0,25-32,,,0.048604177017594334,29,25,44,25,30,39,37,54,46,51,26,28,18,37,39,46,20,37,87,70,15,75,23,70
32,North Dakota St.,213.0,4.096153846153846,61.0,0.354,1.1730769230769231,629,0.367,4.47,437.1,324.0,294.0,6.05,245,4.711538461538462,7.5,1.59,52.0,1713.0,436.0,0.255,8.384615384615385,32.94230769230769,0.2545242265032107,1312.0,441.0,47.0,0.974,8.48076923076923,0.9038461538461539,0.721,0.375,/baseball/2025/schedule/North-Dakota-State,20-33,1303.05,218,-3,0.320873253493014,-24.71030420161036,-0.19751168056547397,-0.948484420619063,-1.145996101184537,0.11266783420899007,93.26172800820456,0.1062874251497006,0.23468208092485549,6.67124227865477,3.0425737356238223,0.508403668383938,0.0,-3.02,14.907799999999995,20,33,0.4448000000000002,23.57440000000001,10.0,0,143,The Summit League,140,-0.4494855174774312,53.82214765100671,-3.57,33,1,15,0.22046792452830183,11.684799999999997,7.49,34,40,35.7,0.23609811320754706,12.513199999999994,34,35.7,37,-0.39528253917492806,190,0.312,0.26823690118068916,0.597088507844417,0.2711766358452865,33,218,0.2683140209614304,33,1-2,0-0,0-0,19-31,35,35,0.37735849056603776,53.0,0.09607924528301898,15.0,0.0,,0.0,,20.0,33.0,20-33,,,0.03821082153462561,33,23,18,23,11,13,5,17,3,15,31,52,42,13,13,11,18,13,37,25,58,34,15,21
33,Santa Clara,205.0,4.1,93.0,0.37,1.86,643,0.393,5.1,427.0,331.0,286.0,6.03,281,5.62,9.1,1.65,50.0,1636.0,424.0,0.259,8.48,32.72,0.2591687041564792,1281.0,432.0,45.0,0.974,8.64,0.9,0.763,0.426,/baseball/2025/schedule/Santa-Clara,20-30,1323.61,197,,0.33471841704718414,24.57371894972713,0.19641994238128113,-1.1464719716643943,-0.9500520292831132,0.13386308068459657,106.81322019946865,0.10400811770674784,0.2324455205811138,6.976580796252927,3.0858155734128374,0.4825171336926849,0.0,-2.51,16.0291,20,30,0.49072000000000005,24.536,10.0,0,213,West Coast,213,-0.3548027210884353,29.570469798657726,-4.54,34,1,25,0.24094399999999994,12.047199999999997,7.08,35,24,31.0,0.2584099999999999,12.920499999999997,35,31.0,30,-0.42390023728813564,210,0.34600000000000003,0.22833745262811003,0.43694352270259995,0.23609324474241708,34,197,0.22838637333903086,34,2-9,1-2,0-0,17-19,31,31,0.4,50.0,0.07941800000000004,18.0,0.0,,0.0,,20.0,30.0,20-30,,,0.03778040947012279,34,20,27,20,27,27,20,20,17,13,76,34,48,30,27,13,42,30,23,20,44,30,13,21
34,Fordham,240.0,4.137931034482759,101.0,0.384,1.7413793103448276,809,0.413,5.4,502.0,437.0,371.0,6.65,354,6.103448275862069,7.2,1.72,58.0,1959.0,553.0,0.282,9.53448275862069,33.775862068965516,0.2822868810617662,1506.0,553.0,84.0,0.961,9.53448275862069,1.4482758620689655,0.7969999999999999,0.405,/baseball/2025/schedule/Fordham,25-33,1293.14,226,,0.33411051212938003,25.329251478295166,0.20245898173190272,0.3210810064446782,0.5235399881765809,0.13067891781521185,106.21820962307338,0.1078167115902965,0.25478348439073517,7.834661354581673,2.812163684906069,0.5903288803710455,1.34,-3.46,17.450100000000003,25,33,0.5364862068965517,31.116199999999996,10.0,0,190,Atlantic 10,194,-0.3704057197591679,35.88255033557047,-6.12,35,1,33,0.26933620689655174,15.621500000000001,8.28,33,27,31.7,0.2882913793103449,16.720900000000004,33,31.7,32,-0.44205423728813564,216,0.2826666666666667,0.20302673105441268,0.27733488761014324,0.20826158297166886,35,226,0.20304415723882152,35,3-0,0-1,0-0,22-32,36,36,0.43103448275862066,58.0,0.13017068965517237,10.0,0.0,,0.0,,25.0,33.0,25-33,,,0.03193130533128165,35,18,15,18,23,30,34,54,25,77,13,15,24,25,30,44,34,25,46,66,13,58,30,52
35,CSU Bakersfield,248.0,4.428571428571429,123.0,0.373,2.1964285714285716,637,0.348,4.0,484.1,385.0,310.0,5.76,303,5.410714285714286,6.3,1.59,56.0,1831.0,458.0,0.25,8.178571428571429,32.69642857142857,0.2501365374112507,1453.0,504.0,76.0,0.963,9.0,1.3571428571428572,0.721,0.392,/baseball/2025/schedule/Cal-State-Bakersfield,16-38,1246.24,250,,0.30424892703862655,-88.29710611368529,-0.7057666985922991,0.11032431904434502,-0.5954423795479541,0.0977607864554888,76.9900220619212,0.11826418693371483,0.23309897241752298,7.157612063623218,2.5458385454016845,0.6077286533918326,1.58,-2.87,17.603599999999986,18,38,0.48442678571428577,27.127900000000004,10.0,0,244,Big West,242,-0.40166879251700677,19.93624161073825,-9.13,38,1,22,0.24623214285714298,13.789000000000007,3.31,37,31,35.3,0.2624053571428571,14.6947,37,35.3,36,-0.5077238801452785,252,0.322,0.11146861459515933,0.45889096844040456,0.12534024636229404,36,250,0.11155008944646078,38,4-10,0-0,0-0,14-28,34,34,0.32142857142857145,56.0,0.007078571428571712,27.0,0.0,,0.0,,18.0,38.0,18-38,,,0.02852889408269707,36,15,20,11,18,6,5,11,11,56,8,52,58,6,6,18,13,6,66,23,34,77,42,67
36,UIW,216.0,4.32,83.0,0.39,1.66,803,0.468,6.2,420.2,447.0,408.0,8.73,359,7.18,7.0,2.0,50.0,1715.0,495.0,0.289,9.9,34.3,0.2886297376093295,1262.0,487.0,44.0,0.975,9.74,0.88,0.8580000000000001,0.401,/baseball/2025/schedule/Incarnate-Word,17-33,1218.34,264,,0.3707915437561455,156.77740673822646,1.2531358912831982,-1.5539885566389164,-0.3008526653557182,0.17959183673469387,142.1211956522923,0.10619469026548672,0.2478386167146974,9.574012375059496,3.8496983575613553,0.599163592080559,1.13,-4.58,12.267499999999995,17,33,0.5191020000000003,25.955100000000016,10.0,0,241,Southland,240,-0.4401816893424036,20.600671140939596,-8.96,37,1,30,0.27793399999999996,13.896699999999997,2.25,39,39,38.3,0.294998,14.749899999999998,38,38.0,39,-0.5073462372881354,251,0.20800000000000002,0.11199513289478713,0.3379619249609819,0.11833556667054589,37,264,0.1120481249103523,37,1-5,0-0,0-0,16-28,38,38,0.34,50.0,0.09465000000000012,16.0,0.0,,0.0,,17.0,33.0,17-33,,,0.021066930414127504,37,13,11,13,20,73,68,68,70,6,11,1,1,85,73,20,68,85,34,39,1,1,34,42
37,Siena,203.0,3.759259259259259,87.0,0.377,1.6111111111111112,762,0.413,5.71,457.1,454.0,386.0,7.6,331,6.12962962962963,7.3,1.84,54.0,1843.0,518.0,0.281,9.592592592592593,34.129629629629626,0.28106348345089527,1372.0,463.0,75.0,0.961,8.574074074074074,1.3888888888888888,0.79,0.359,/baseball/2025/schedule/Siena,22-32,1238.74,256,,0.34775186567164174,76.78072554191861,0.6137152344661321,-0.8001524906075758,-0.18643725614144369,0.13239283776451438,119.57021484012638,0.09468283582089553,0.2594390507011866,8.938963027783855,3.561966112087211,0.5987195230907854,1.28,-7.7,8.500700000000002,22,32,0.6160092592592592,33.2645,10.0,0,255,MAAC,255,-0.3349500293944738,15.617449664429529,-11.26,39,1,41,0.34717962962962967,18.747700000000002,2.11,38,20,32.3,0.36834629629629634,19.890700000000002,39,32.7,34,-0.5027134965473948,245,0.0,0.11845420588211829,0.0,0.11066629603002011,38,256,0.11842642690156778,36,2-6,2-1,0-0,18-25,41,41,0.4074074074074074,54.0,0.24998703703703698,1.0,0.0,,0.0,,22.0,32.0,22-32,,,0.007787908667556121,41,11,3,15,5,44,27,46,27,23,19,6,6,44,44,27,37,44,8,75,3,6,32,49
38,Western Ill.,215.0,4.3,57.0,0.369,1.14,649,0.387,4.47,418.1,360.0,310.0,6.67,281,5.62,5.7,1.77,50.0,1675.0,455.0,0.272,9.1,33.5,0.2716417910447761,1255.0,423.0,65.0,0.963,8.46,1.3,0.756,0.389,/baseball/2025/schedule/Western-Illinois,17-32,1240.95,255,,0.33438356164383565,23.391590140276776,0.186971080647552,-1.3972690820869207,-1.2102980014393687,0.11582089552238806,106.48546745274771,0.10908168442415017,0.24896998234255444,7.749342262616598,3.3308855533300203,0.646758829670011,1.27,-6.01,8.822,18,32,0.529674,26.4837,10.0,0,228,Ohio Valley,223,-0.4313996598639455,26.24832214765101,-8.48,36,1,31,0.2653980000000001,13.269900000000005,3.82,36,36,36.0,0.28369200000000006,14.184600000000003,36,36.0,38,-0.5107662372881357,255,0.11266666666666669,0.10722689075630233,0.3010923086082108,0.10762582968197103,39,255,0.10727235460143825,39,0-2,1-1,0-0,17-29,40,40,0.36,50.0,0.18356,3.0,0.0,,0.0,,18.0,32.0,18-32,,,0.014498448704599914,39,8,6,8,15,25,13,26,17,11,6,11,20,27,25,8,23,27,49,44,18,8,58,46
39,Merrimack,220.0,4.313725490196078,76.0,0.355,1.4901960784313726,680,0.406,4.66,425.1,380.0,325.0,6.88,277,5.431372549019608,5.5,1.68,51.0,1673.0,410.0,0.245,8.03921568627451,32.80392156862745,0.24506873879258817,1275.0,515.0,66.0,0.964,10.098039215686274,1.2941176470588236,0.761,0.359,/baseball/2025/schedule/Merrimack,16-33-1,1196.72,280,,0.30234704112337013,-90.75266069660448,-0.7253941668919818,-1.4122842393268746,-2.1376784062188565,0.05917513448894202,75.12847726843196,0.11033099297893681,0.24260355029585798,8.045165843330981,3.6986029518800922,0.6271024873494405,1.19,-4.48,16.222299999999994,16,33,0.6040448979591838,29.598200000000006,10.0,0,265,MAAC,266,-0.47253748438150767,11.963087248322154,-13.6,41,1,38,0.3541448979591836,17.353099999999994,-2.29,40,41,40.7,0.3732244897959183,18.287999999999997,40,40.7,41,-0.5796358699411968,281,0.21466666666666664,0.011207275411780857,0.0417254456148064,0.024546049248863624,40,280,0.011214432301231878,40,0-3,3-3,0-0,13-27,37,37,0.32653061224489793,49.0,-0.004536734693877442,29.0,0.0,,0.0,,16.0,33.0,16-33,,,0.014812444081108175,38,6,13,6,5,3,17,3,13,8,3,25,13,3,3,3,6,3,51,37,11,3,49,44
40,Canisius,216.0,4.8,86.0,0.372,1.9111111111111112,635,0.424,5.87,380.0,366.0,331.0,7.84,268,5.955555555555556,8.2,1.86,45.0,1499.0,373.0,0.249,8.28888888888889,33.31111111111111,0.24883255503669113,1140.0,405.0,61.0,0.962,9.0,1.3555555555555556,0.796,0.361,/baseball/2025/schedule/Canisius,14-31,1199.94,279,,0.34705979155238614,63.02535516348519,0.5037673237452325,-2.041925908811327,-1.5381585850660946,0.17478318879252835,118.89282038493099,0.11848601206801974,0.21031746031746032,8.66842105263158,3.240734012796193,0.6070662006809984,1.4,-5.51,12.2536,14,31,0.6086977777777779,27.391400000000004,10.0,0,288,MAAC,289,-0.4363416477702192,4.322147651006702,-13.39,40,1,40,0.35217333333333334,15.8478,-2.76,41,37,39.3,0.3725244444444444,16.763599999999997,41,39.3,40,-0.5876742372881356,284,0.14600000000000002,0.0,0.025498630078756523,0.009572531658690065,41,279,5.9797450309802e-06,41,2-8,0-0,0-0,12-23,39,39,0.3111111111111111,45.0,0.03880888888888889,24.0,0.0,,0.0,,14.0,31.0,14-31,,,0.009572531403703765,40,3,8,3,8,37,32,8,20,3,36,3,3,42,37,6,63,42,68,6,6,15,39,56
