,Rank,Team,Conference
0,1,UCLA,Pac12
1,2,Florida,SEC
2,3,Florida State,ACC
3,4,Arizona,Pac12
4,5,Baylor,Big12
5,6,Oregon,Pac12
6,7,South Carolina,SEC
7,8,North Carolina,ACC
8,9,Arkansas,SEC
9,10,LSU,SEC
10,11,Stanford,Pac12
11,12,Purdue,Big10
12,13,North Carolina State,ACC
13,14,Virginia,ACC
14,15,Arizona State,Pac12
15,16,Texas A&M,Big12
16,17,Miami,ACC
17,18,Kentucky,SEC
18,19,Rice,ConfUSA
19,20,Cal State Fullerton,BigWest
20,21,Central Florida,ConfUSA
21,22,Mississippi State,SEC
22,23,Dallas Baptist,IndyNCAA
23,24,Oklahoma,Big12
24,25,Vanderbilt,SEC
25,26,Ole Miss,SEC
26,27,Oregon State,Pac12
27,28,Georgia Tech,ACC
28,29,Pepperdine,WCC
29,30,Clemson,ACC
30,31,Texas Christian,MWC
31,32,Maryland,ACC
32,33,Appalachian State,SoCon
33,34,St. John's,BigEast
34,35,East Carolina,ConfUSA
35,36,San Diego,WCC
36,37,Missouri State,MVC
37,38,Virginia Tech,ACC
38,39,Wake Forest,ACC
39,40,New Mexico State,WAC
40,41,Coastal Carolina,BigSou
41,42,Louisville,BigEast
42,43,UNC Wilmington,CAA
43,44,Samford,SoCon
44,45,Kent State,MAC
45,46,Wichita State,MVC
46,47,Gonzaga,WCC
47,48,Col of Charleston,SoCon
48,49,Stony Brook,AmEast
49,50,Sam Houston State,Sthland
50,51,Michigan State,Big10
51,52,Texas,Big12
52,53,Auburn,SEC
53,54,Indiana State,MVC
54,55,Washington,Pac12
55,56,Elon,SoCon
56,57,Georgia,SEC
57,58,Illinois State,MVC
58,59,California,Pac12
59,60,UT Arlington,Sthland
60,61,Stetson,AtlSun
61,62,Southeastern Louisiana,Sthland
62,63,New Mexico,MWC
63,64,Liberty,BigSou
64,65,Tulane,ConfUSA
65,66,Cal Poly,BigWest
66,67,Belmont,AtlSun
67,68,Utah Valley,GWC
68,69,Long Beach State,BigWest
69,70,Texas Tech,Big12
70,71,South Florida,BigEast
71,72,Ohio State,Big10
72,73,Texas State,Sthland
73,74,Missouri,Big12
74,75,Nevada,WAC
75,76,Kennesaw State,AtlSun
76,77,Connecticut,BigEast
77,78,Memphis,ConfUSA
78,79,Indiana,Big10
79,80,Washington State,Pac12
80,81,Mercer,AtlSun
81,82,Florida Atlantic,SBC
82,83,Fresno State,WAC
83,84,Illinois,Big10
84,85,Evansville,MVC
85,86,Georgia Southern,SoCon
86,87,Oral Roberts,Summ
