,team,power_rating,conference,week,year
124,Ball State,-13.2,Mid-American,17,2024
125,Purdue,-13.5,Big Ten,17,2024
126,UL Monroe,-13.7,Sun Belt,17,2024
127,San Diego State,-14.0,Mountain West,17,2024
128,Wyoming,-14.5,Mountain West,17,2024
129,Middle Tennessee,-14.8,Conference USA,17,2024
130,Kennesaw State,-15.1,Conference USA,17,2024
131,New Mexico State,-16.1,Conference USA,17,2024
132,UTEP,-17.8,Conference USA,17,2024
133,Southern Miss,-20.0,Sun Belt,17,2024
134,Kent State,-23.8,Mid-American,17,2024
