,team,power_rating,conference,week,year
1,Ohio State,22.5,Big Ten,12,2024
2,Notre Dame,20.6,FBS Independents,12,2024
3,Alabama,20.4,SEC,12,2024
4,Texas,19.5,SEC,12,2024
5,Penn State,18.5,Big Ten,12,2024
6,Oregon,18.4,Big Ten,12,2024
7,Ole Miss,18.0,SEC,12,2024
8,Georgia,17.0,SEC,12,2024
9,Tennessee,15.1,SEC,12,2024
10,Clemson,13.1,ACC,12,2024
11,Texas A&M,12.5,SEC,12,2024
12,Miami,11.6,ACC,12,2024
13,USC,11.1,Big Ten,12,2024
14,LSU,10.7,SEC,12,2024
15,Boise State,9.8,Mountain West,12,2024
16,South Carolina,9.5,SEC,12,2024
17,SMU,9.4,ACC,12,2024
18,Arkansas,8.3,SEC,12,2024
19,TCU,8.1,Big 12,12,2024
20,California,8.0,ACC,12,2024
21,Indiana,7.9,Big Ten,12,2024
22,Iowa,7.7,Big Ten,12,2024
23,Louisville,7.3,ACC,12,2024
24,BYU,7.3,Big 12,12,2024
25,Missouri,7.3,SEC,12,2024
26,Florida,7.2,SEC,12,2024
27,Minnesota,7.1,Big Ten,12,2024
28,Oklahoma,7.1,SEC,12,2024
29,Auburn,7.1,SEC,12,2024
30,Pittsburgh,6.5,ACC,12,2024
31,Colorado,6.5,Big 12,12,2024
32,Iowa State,6.0,Big 12,12,2024
33,Virginia Tech,5.9,ACC,12,2024
34,Washington,5.6,Big Ten,12,2024
35,Kansas State,5.5,Big 12,12,2024
36,Arizona State,5.2,Big 12,12,2024
37,Nebraska,5.0,Big Ten,12,2024
38,Tulane,4.9,American Athletic,12,2024
39,Syracuse,4.4,ACC,12,2024
40,Baylor,4.3,Big 12,12,2024
41,Kentucky,4.2,SEC,12,2024
42,Kansas,4.2,Big 12,12,2024
43,Wisconsin,3.4,Big Ten,12,2024
44,Duke,3.3,ACC,12,2024
45,Cincinnati,3.2,Big 12,12,2024
46,Washington State,3.0,Pac-12,12,2024
47,Virginia,2.9,ACC,12,2024
48,Illinois,2.9,Big Ten,12,2024
49,Memphis,2.7,American Athletic,12,2024
50,UCF,2.4,Big 12,12,2024
51,Army,2.3,American Athletic,12,2024
52,Vanderbilt,2.1,SEC,12,2024
53,UCLA,2.1,Big Ten,12,2024
54,Boston College,2.1,ACC,12,2024
55,Navy,1.3,American Athletic,12,2024
56,NC State,1.0,ACC,12,2024
57,James Madison,0.1,Sun Belt,12,2024
58,North Carolina,0.0,ACC,12,2024
59,UNLV,-0.0,Mountain West,12,2024
60,Georgia Tech,-0.1,ACC,12,2024
61,Maryland,-0.1,Big Ten,12,2024
62,Texas Tech,-0.1,Big 12,12,2024
63,West Virginia,-0.1,Big 12,12,2024
64,Rutgers,-0.3,Big Ten,12,2024
65,Louisiana,-0.3,Sun Belt,12,2024
66,Michigan State,-0.5,Big Ten,12,2024
67,Texas State,-0.6,Sun Belt,12,2024
68,Mississippi State,-1.0,SEC,12,2024
69,Oklahoma State,-1.0,Big 12,12,2024
70,Western Kentucky,-1.1,Conference USA,12,2024
71,East Carolina,-1.2,American Athletic,12,2024
72,Miami (OH),-1.6,Mid-American,12,2024
73,Toledo,-1.8,Mid-American,12,2024
74,UConn,-2.0,FBS Independents,12,2024
75,Utah,-2.1,Big 12,12,2024
76,Fresno State,-2.1,Mountain West,12,2024
