Rank,Name,G,W-L,AB,H,BB,HBP,SF,SH,PCT
1,Austin Peay,56,35-21,2038,732,293,84,23,21,0.455
2,UC Irvine,59,45-14,2129,668,351,175,37,40,0.444
3,Wofford,62,42-20,2142,716,317,108,41,55,0.438
4,Georgia,60,43-17,2049,621,361,128,27,9,0.433
5,Northern Ky.,59,35-24,2047,644,359,74,24,50,0.43
6,Northeastern,55,38-17,1928,597,300,116,30,14,0.427
7,Virginia,63,46-17,2261,752,314,76,37,33,0.425
8,Troy,59,37-22,1969,572,382,101,36,6,0.424
9,Grambling,54,26-28,1803,558,284,98,32,17,0.424
10,Oakland,58,31-27,1981,591,334,110,20,17,0.423
11,Jackson St.,56,36-20,1850,599,266,73,35,68,0.422
12,Morehead St.,61,37-24,2178,696,321,84,28,18,0.422
13,New Mexico,54,28-26,1883,600,289,64,28,20,0.421
14,Bowling Green,53,33-20,1858,562,310,83,20,11,0.421
15,Oregon St.,61,45-16,2057,611,394,61,24,23,0.42
16,ETSU,56,36-20,1923,611,314,54,40,18,0.42
17,Georgia Tech,58,33-25,1968,600,360,47,23,23,0.42
18,Coastal Carolina,61,36-25,2057,609,325,132,36,33,0.418
19,Virginia Tech,54,32-22,1863,582,290,74,36,17,0.418
20,Campbell,53,31-22,1814,529,319,96,30,22,0.418
21,Western Mich.,55,32-23,1908,597,287,75,33,41,0.416
22,Texas A&M,68,53-15,2339,697,422,64,26,5,0.415
23,Tennessee,73,60-13,2463,764,382,70,26,6,0.413
24,Wright St.,56,32-24,1973,615,297,64,28,19,0.413
25,Dayton,55,33-22,1887,563,275,116,32,16,0.413
26,Fairfield,58,34-24,1987,603,313,75,28,16,0.412
27,Florida St.,66,49-17,2317,729,333,77,35,20,0.412
28,Col. of Charleston,55,41-14,1926,589,299,64,22,17,0.412
29,South Carolina,62,37-25,2039,559,382,109,23,37,0.411
30,Duke,60,40-20,2091,648,295,87,32,12,0.411
31,Oklahoma,61,40-21,2080,646,311,66,34,18,0.411
32,App State,55,33-21-1,1948,576,273,124,25,11,0.411
33,Samford,58,36-22,1963,609,286,72,35,3,0.41
34,Iowa,54,31-23,1872,563,278,86,24,23,0.41
35,Hawaii,53,37-16,1777,522,301,74,36,34,0.41
36,VMI,56,27-29,1810,530,287,94,32,41,0.41
37,Nicholls,60,38-22,2038,617,322,79,48,21,0.409
38,William & Mary,58,32-26,1927,521,356,121,35,17,0.409
39,Niagara,55,38-17,1946,593,279,77,24,18,0.408
40,New Mexico St.,54,25-29,1861,558,263,89,18,17,0.408
41,Prairie View,55,29-26,1738,515,272,75,30,60,0.408
42,Southern U.,51,22-29,1681,473,268,93,9,29,0.407
43,Alabama St.,56,29-27,1927,618,245,52,28,46,0.406
44,Louisville,56,32-24,1922,597,238,87,23,26,0.406
45,Purdue,57,33-24,1915,552,282,113,22,33,0.406
46,Evansville,65,39-26,2240,669,326,99,30,7,0.406
47,Utah Valley,58,29-29,2019,583,271,144,25,6,0.406
48,North Carolina,64,48-16,2213,668,364,41,32,17,0.405
49,High Point,62,35-27,2100,616,333,80,30,29,0.405
50,Bucknell,46,22-24,1466,416,246,65,24,15,0.404
51,Creighton,52,35-17,1740,502,270,82,24,29,0.404
52,Texas Southern,48,23-25,1496,404,272,80,27,24,0.403
53,Columbia,44,26-18,1589,487,191,85,29,11,0.403
54,Georgetown,57,36-21,1981,570,304,90,18,34,0.403
55,USC Upstate,60,36-24,2099,637,265,100,24,8,0.403
56,Arizona St.,58,32-26,2080,652,273,52,22,8,0.403
57,Wake Forest,60,38-22,2040,565,378,66,23,15,0.402
58,Indiana St.,59,44-15,2028,597,263,118,21,14,0.402
59,Rutgers,53,28-25,1860,571,208,102,19,44,0.402
60,Oklahoma St.,61,42-19,2096,592,377,61,30,22,0.402
61,Merrimack,59,33-26,2095,630,282,91,29,11,0.402
62,Illinois,56,35-21,1938,569,288,71,15,19,0.401
63,FGCU,56,30-26,1922,548,266,121,21,12,0.401
64,Texas Tech,59,33-26,2056,612,307,68,29,5,0.401
65,Bethune-Cookman,59,32-27,1961,545,304,121,33,28,0.401
66,Pittsburgh,55,26-29,1836,518,297,75,14,15,0.401
