Rank,Name,G,W-L,SH
1,Western Ky.,58,36-22,78
2,Jackson St.,56,36-20,68
3,Prairie View,55,29-26,60
4,Wofford,62,42-20,55
5,James Madison,61,36-25,55
6,CSUN,54,30-24,55
7,CSU Bakersfield,53,15-38,55
8,Southeast Mo. St.,63,36-27,52
9,Northern Ky.,59,35-24,50
10,San Diego,56,41-15,49
11,Cal Poly,57,35-22,48
12,South Alabama,56,31-25,48
13,Longwood,52,23-29,47
14,Mercer,58,29-29,47
15,Mount St. Mary's,57,22-34-1,46
16,East Carolina,63,46-17,46
17,Cal St. Fullerton,54,16-38,46
18,Alabama St.,56,29-27,46
19,Kentucky,62,46-16,45
20,Yale,41,18-23,45
21,Rutgers,53,28-25,44
22,Nebraska,62,40-22,44
23,UC Davis,56,29-27,43
24,A&M-Corpus Christi,57,22-35,43
25,UCF,58,37-21,42
26,Boston College,53,22-31,42
27,Sacred Heart,58,35-23,41
28,Western Mich.,55,32-23,41
29,VMI,56,27-29,41
30,ULM,55,25-30,40
31,George Washington,57,31-26,40
32,George Mason,53,21-32,40
33,UC Irvine,59,45-14,40
34,South Carolina,62,37-25,37
35,UMES,48,0-48,37
36,Arkansas St.,54,21-32-1,37
37,Presbyterian,56,29-27,36
38,UNC Greensboro,54,33-21,35
39,Eastern Ill.,53,20-33,35
40,Seton Hall,54,24-30,35
41,Omaha,51,18-32-1,35
42,Southern California,59,31-28,34
43,Towson,54,15-39,34
44,Hawaii,53,37-16,34
45,Western Caro.,54,28-26,34
46,Georgetown,57,36-21,34
47,Army West Point,54,31-23,34
48,Purdue,57,33-24,33
49,Utah,55,33-22,33
50,Ga. Southern,59,33-26,33
51,Bryant,57,36-21,33
52,Coastal Carolina,61,36-25,33
53,Virginia,63,46-17,33
54,The Citadel,53,21-32,32
55,West Virginia,60,36-24,32
56,Grand Canyon,61,36-25,31
57,Kennesaw St.,56,32-24,31
58,UNCW,61,40-21,31
59,St. John's (NY),57,38-18-1,31
60,Texas,60,36-24,31
61,Lafayette,49,14-35,31
62,Abilene Christian,58,33-25,31
63,Fresno St.,62,33-29,31
64,Long Beach St.,55,25-29-1,31
65,Tulane,62,36-26,31
66,Rice,59,23-36,30
67,Air Force,55,27-28,30
68,Wichita St.,61,32-29,30
69,California Baptist,62,38-24,30
70,Massachusetts,53,24-29,30
71,Binghamton,50,21-29,30
72,Jacksonville,58,27-31,30
73,Miami (OH),54,27-27,30
74,SIUE,56,21-34-1,29
75,Southern U.,51,22-29,29
76,UIC,55,35-20,29
77,Michigan,60,32-28,29
78,UAB,55,26-29,29
79,Creighton,52,35-17,29
80,High Point,62,35-27,29
81,N.C. A&T,53,25-28,28
82,Oregon,60,40-20,28
83,Quinnipiac,50,20-30,28
84,Louisiana,62,42-20,28
85,LIU,58,33-25,28
86,Middle Tenn.,56,20-36,28
87,Mississippi St.,63,40-23,28
88,Bethune-Cookman,59,32-27,28
89,UC Riverside,52,16-36,28
90,Winthrop,49,19-29-1,28
91,Central Ark.,56,26-30,27
92,Gardner-Webb,53,22-31,27
93,Seattle U,53,17-36,27
94,McNeese,59,32-27,27
95,South Fla.,55,26-29,27
96,FIU,57,27-30,27
97,North Dakota St.,51,20-30-1,27
98,Monmouth,48,18-30,26
99,Northwestern,52,18-34,26
100,Richmond,59,27-32,26
101,Louisville,56,32-24,26
