Rank,Name,G,W-L,2B
196,Iona,50,Dec-38,93
197,Santa Clara,52,26-26,92
198,UNC Greensboro,54,33-21,92
199,Canisius,48,18-30,92
200,Youngstown St.,60,16-44,92
201,TCU,54,33-21,92
202,Illinois,56,35-21,91
203,Akron,54,15-39,91
204,UCF,58,37-21,91
205,Central Mich.,55,17-38,91
206,ULM,55,25-30,91
207,Old Dominion,57,31-26,91
208,Eastern Ill.,53,20-33,90
209,Florida A&M,56,29-27,90
210,Navy,51,28-23,90
211,Valparaiso,52,14-38,90
212,William & Mary,58,32-26,90
213,Southern U.,51,22-29,90
214,Baylor,53,22-31,90
215,Belmont,58,26-32,90
216,Presbyterian,56,29-27,90
217,Omaha,51,18-32-1,90
218,Miami (OH),54,27-27,90
219,Holy Cross,53,26-27,89
220,Charlotte,58,24-34,89
221,Cal St. Fullerton,54,16-38,89
222,BYU,52,21-31,89
223,Cincinnati,57,32-25,88
224,Marshall,55,18-37,88
225,Bowling Green,53,33-20,87
226,Central Conn. St.,42,18-24,87
227,Pepperdine,53,15-38,87
228,Northwestern St.,55,22-33,87
229,UNC Asheville,50,22-28,87
230,Fordham,52,19-33,86
231,Western Ill.,50,13-37,86
232,Pittsburgh,55,26-29,86
233,North Dakota St.,51,20-30-1,86
234,Ole Miss,56,27-29,86
235,Houston Christian,49,18-31,85
236,A&M-Corpus Christi,57,22-35,85
237,Boston College,53,22-31,85
238,Saint Peter's,52,Dec-40,85
239,Siena,52,Dec-40,85
240,Davidson,52,24-28,85
241,Charleston So.,54,22-32,84
242,UTRGV,54,29-25,84
243,Northern Colo.,55,16-38-1,84
244,Northwestern,52,18-34,84
245,CSUN,54,30-24,84
246,Lipscomb,56,22-34,83
247,Bethune-Cookman,59,32-27,83
248,SFA,54,Oct-44,83
249,Norfolk St.,53,Dec-41,83
250,Seton Hall,54,24-30,83
251,Elon,53,21-32,83
252,Lafayette,49,14-35,82
253,Princeton,44,18-26,82
254,UAB,55,26-29,82
255,Fla. Atlantic,57,28-29,81
256,Gonzaga,53,21-32,81
257,Jacksonville,58,27-31,81
258,Quinnipiac,50,20-30,81
259,Towson,54,15-39,81
260,CSU Bakersfield,53,15-38,81
261,The Citadel,53,21-32,81
262,Lehigh,48,24-23-1,81
263,Winthrop,49,19-29-1,80
264,San Francisco,55,21-34,80
265,Delaware St.,49,22-27,80
266,Alabama A&M,51,13-38,80
267,Massachusetts,53,24-29,79
268,Toledo,59,27-32,79
269,South Alabama,56,31-25,79
270,North Florida,52,21-30-1,79
271,Ohio,50,18-32,79
272,Washington,51,19-31-1,79
273,UCLA,52,19-33,78
274,Wagner,56,26-30,78
275,Rhode Island,47,19-28,77
276,Central Ark.,56,26-30,77
277,Gardner-Webb,53,22-31,76
278,Rider,51,28-23,76
279,Monmouth,48,18-30,76
280,Missouri,55,23-32,74
281,Mississippi Val.,46,Dec-34,74
282,Manhattan,52,22-30,71
283,St. Bonaventure,49,18-31,71
284,Maine,49,Dec-37,70
285,UAlbany,50,15-34-1,68
286,Texas Southern,48,23-25,67
287,Arkansas St.,54,21-32-1,65
288,Dartmouth,39,13-26,65
289,Brown,39,28-Nov,65
290,Harvard,39,13-26,61
291,Alcorn,49,Jun-43,60
292,Coppin St.,45,Dec-33,56
293,UMES,48,0-48,56
294,Cornell,38,17-21,55
295,Yale,41,18-23,53
296,Tarleton St.,61,32-29,106
297,UC San Diego,53,30-23,99
298,Utah Tech,56,14-42,97
299,Queens (NC),55,14-41,91
300,Southern Ind.,59,27-32,85
301,Lindenwood,54,16-38,84
302,Le Moyne,50,22-27-1,79
303,Bellarmine,55,Oct-45,75
304,Stonehill,47,18-29,71
305,St. Thomas (MN),46,22-24,67
      ,,,,
