Rank,Name,IP,W-L,BB,HA,WHIP
1,Arkansas,523.2,44-16,227,415,1.23
2,Lamar University,517.1,44-15,198,437,1.23
3,Hawaii,476.1,37-16,162,432,1.25
4,UC Santa Barbara,516,44-14,213,432,1.25
5,Tennessee,622,60-13,210,568,1.25
6,Oklahoma St.,544.1,42-19,198,486,1.26
7,Texas A&M,592,53-15,219,527,1.26
8,Mississippi St.,553,40-23,217,481,1.26
9,Nebraska,547.1,40-22,177,522,1.28
10,UCF,509.2,37-21,216,438,1.28
11,East Carolina,554,46-17,243,474,1.29
12,San Diego,511.1,41-15,204,461,1.3
13,DBU,525.2,45-15,224,461,1.3
14,Old Dominion,495.1,31-26,184,463,1.31
15,Oregon St.,530.2,45-16,225,470,1.31
16,LSU,575.2,43-23,267,501,1.33
17,Cal Poly,516,35-22,196,496,1.34
18,Duke,524.1,40-20,278,426,1.34
19,Col. of Charleston,491.2,41-14,170,494,1.35
20,Sam Houston,504,34-24,170,511,1.35
21,Vanderbilt,522.2,38-23,235,478,1.36
22,Louisiana,540,42-20,271,468,1.37
23,Long Beach St.,495.2,25-29-1,208,471,1.37
24,Arizona,524.2,36-23,149,576,1.38
25,Clemson,536.2,44-16,242,501,1.38
26,Kentucky,543.1,46-16,268,490,1.4
27,Southern Miss.,550.2,43-20,229,540,1.4
28,Sacramento St.,500.2,26-31,180,521,1.4
29,Portland,495.2,37-19,221,476,1.41
30,California,487,36-19,210,476,1.41
31,Wake Forest,523.1,38-22,277,462,1.41
32,North Carolina,558.2,48-16,249,542,1.42
33,Fairfield,496,34-24,187,516,1.42
34,Oregon,535.1,40-20,279,483,1.42
35,TCU,475.1,33-21,238,440,1.43
36,San Francisco,481.1,21-34,216,471,1.43
37,Northeastern,483,38-17,190,501,1.43
38,Louisiana Tech,567,45-19,257,556,1.43
39,South Carolina,532.2,37-25,260,504,1.43
40,Army West Point,438.2,31-23,231,399,1.44
41,Utah,492,33-22,171,539,1.44
42,Georgetown,501.1,36-21,252,473,1.45
43,Stony Brook,449.2,24-28,182,470,1.45
44,UNCW,543.1,40-21,296,493,1.45
45,Indiana St.,514,44-15,270,477,1.45
46,Fresno St.,536.2,33-29,183,598,1.46
47,William & Mary,506,32-26,245,492,1.46
48,Southern California,523.1,31-28,249,514,1.46
49,Saint Louis,462.1,37-16,188,487,1.46
50,Seton Hall,470.2,24-30,247,441,1.46
51,Kansas St.,546.2,35-26,243,557,1.46
52,Western Ky.,495.1,36-22,200,525,1.46
53,Rutgers,462.1,28-25,232,445,1.46
54,Stetson,539.1,41-22,252,540,1.47
55,Oral Roberts,527,27-32-1,244,530,1.47
56,UAB,479.1,26-29,207,497,1.47
57,Southeastern La.,497.1,30-28,215,516,1.47
58,Grand Canyon,527.2,36-25,206,570,1.47
59,Alabama,489,33-24,220,500,1.47
60,West Virginia,527.1,36-24,278,499,1.47
61,Oklahoma,533.2,40-21,266,522,1.48
62,Texas,537,36-24,258,535,1.48
63,Yale,354.2,18-23,181,343,1.48
64,Wofford,534.2,42-20,201,589,1.48
65,St. John's (NY),510.2,38-18-1,253,502,1.48
66,UConn,530.1,35-26,248,537,1.48
67,Illinois,490.1,35-21,240,487,1.48
68,Florida St.,584.1,49-17,304,563,1.48
69,Wichita St.,527.2,32-29,273,512,1.49
70,Nicholls,521.1,38-22,256,521,1.49
71,Coastal Carolina,534.1,36-25,235,562,1.49
72,Bethune-Cookman,512.2,32-27,232,533,1.49
73,Presbyterian,486,29-27,219,507,1.49
74,Rice,521,23-36,285,494,1.5
75,UNC Greensboro,474.1,33-21,222,488,1.5
76,Missouri,476,23-32,220,493,1.5
77,Ga. Southern,500.1,33-26,209,541,1.5
78,Kansas,470.1,31-23,215,491,1.5
79,Notre Dame,447.2,27-25,217,455,1.5
80,Purdue,499,33-24,205,545,1.5
81,UTSA,492.2,32-24,196,545,1.5
82,UC Irvine,537.2,45-14,240,569,1.5
83,UC Davis,503,29-27,222,538,1.51
84,Sacred Heart,510,35-23,257,514,1.51
85,Texas St.,483.1,27-29,232,500,1.51
86,ETSU,476.2,36-20,202,521,1.52
87,Binghamton,428.2,21-29,200,451,1.52
88,Saint Mary's (CA),489,34-22,229,515,1.52
89,Abilene Christian,493.1,33-25,233,518,1.52
90,Santa Clara,466,26-26,214,496,1.52
91,NC State,527,38-23,290,514,1.53
92,Tennessee Tech,482,29-26,187,550,1.53
93,Kennesaw St.,473.2,32-24,251,474,1.53
94,Southeast Mo. St.,548.2,36-27,237,604,1.53
95,Murray St.,500.1,37-20,201,566,1.53
96,Little Rock,496.1,32-24,273,488,1.53
97,ULM,478,25-30,231,502,1.53
98,Virginia Tech,470,32-22,227,494,1.53
99,Troy,499.2,37-22,258,509,1.54
100,Western Mich.,480.1,32-23,207,531,1.54
101,UCLA,463,19-33,229,483,1.54
102,Florida,580,36-30,305,587,1.54
103,USC Upstate,516,36-24,255,540,1.54
104,Evansville,551.2,39-26,264,586,1.54
105,Creighton,452.1,35-17,231,467,1.54
106,Tulane,545,36-26,249,592,1.54
107,California Baptist,540.1,38-24,264,570,1.54
108,FDU,481.1,26-30,250,496,1.55
109,Lehigh,390.1,24-23-1,196,409,1.55
110,Monmouth,418.1,18-30,196,453,1.55
111,Georgia,515.1,43-17,271,530,1.55
112,CSU Bakersfield,474.1,15-38,234,504,1.56
113,Indiana,523,33-26-1,281,533,1.56
114,VCU,539,38-23,274,565,1.56
115,Navy,418.2,28-23,223,429,1.56
116,Washington,459,19-31-1,212,503,1.56
117,UTRGV,471.2,29-25,217,518,1.56
118,Miami (FL),501.2,27-30,243,539,1.56
119,Bryant,490.2,36-21,254,511,1.56
120,Dayton,481.1,33-22,206,545,1.56
121,Ole Miss,480.1,27-29,247,503,1.56
122,Marshall,479,18-37,235,513,1.56
123,CSUN,478.2,30-24,230,518,1.56
124,Toledo,511.2,27-32,267,533,1.56
125,South Fla.,468,26-29,228,504,1.56
126,Central Ark.,489,26-30,247,518,1.56
127,George Washington,498.2,31-26,291,492,1.57
128,LMU (CA),475,24-30,249,497,1.57
129,Virginia,554.2,46-17,273,599,1.57
130,UT Arlington,478,22-34,156,596,1.57
131,Houston,472,26-28,247,498,1.58
132,Fla. Atlantic,485.1,28-29,262,505,1.58
133,South Alabama,484.2,31-25,273,494,1.58
134,Iowa,470.2,31-23,327,418,1.58
135,Cincinnati,498,32-25,254,536,1.59
136,Missouri St.,486.2,23-34,262,514,1.59
137,Kent St.,465.2,27-27,210,533,1.6
138,Samford,487.1,36-22,250,529,1.6
139,High Point,542.1,35-27,288,579,1.6
140,Maryland,488.1,34-22,259,523,1.6
141,Washington St.,466,21-32,211,536,1.6
142,Cal St. Fullerton,472.2,16-38,208,552,1.61
143,Georgia Tech,497.1,33-25,248,552,1.61
144,James Madison,530.2,36-25,257,598,1.61
145,UIC,475,35-20,214,552,1.61
146,Louisville,483,32-24,235,544,1.61
147,UMBC,454.2,27-25,246,488,1.61
148,Auburn,451.1,27-26,213,517,1.62
149,Gardner-Webb,454.1,22-31,273,462,1.62
150,BYU,461,21-31,253,494,1.62
151,Omaha,435.2,18-32-1,255,451,1.62
152,Charlotte,492.2,24-34,280,519,1.62
153,Minnesota,421,25-23,236,447,1.62
154,Southern Ill.,527,33-27,278,578,1.62
155,Penn,426.1,24-25,237,458,1.63
156,App State,479.2,33-21-1,290,493,1.63
157,New Orleans,484.2,31-26,224,568,1.63
158,Alabama St.,470.1,29-27,251,518,1.64
159,Saint Joseph's,474.1,29-26,263,513,1.64
160,Florida A&M,467.2,29-27,225,541,1.64
161,The Citadel,460.2,21-32,263,492,1.64
162,Ohio St.,475,29-26,261,518,1.64
163,FGCU,479.2,30-26,257,530,1.64
164,Charleston So.,465,22-32,243,520,1.64
165,A&M-Corpus Christi,493.2,22-35,235,576,1.64
166,Stanford,481,22-33,290,502,1.65
167,Belmont,500.1,26-32,290,534,1.65
168,Winthrop,413.1,19-29-1,207,474,1.65
169,Liberty,499,24-34,298,525,1.65
170,Canisius,408,18-30,231,443,1.65
171,Xavier,493.2,30-27,280,536,1.65
172,Michigan St.,450.2,24-27,235,510,1.65
173,Northwestern St.,463,22-33,232,535,1.66
174,Pittsburgh,465.1,26-29,226,545,1.66
175,Massachusetts,442.1,24-29,217,518,1.66
176,Utah Valley,503,29-29,248,590,1.67
177,Air Force,468.2,27-28,199,582,1.67
178,Wagner,489,26-30,277,538,1.67
179,Jackson St.,469.2,36-20,297,487,1.67
180,VMI,473.2,27-29,200,591,1.67
181,Jacksonville,500.1,27-31,250,586,1.67
182,UT Martin,482.1,21-35,280,527,1.67
183,Michigan,535.1,32-28,305,591,1.67
184,Radford,429.1,16-34,241,478,1.67
185,San Jose St.,498,24-33,266,568,1.67
186,Nevada,445,25-26,262,484,1.68
187,Mercer,505,29-29,232,617,1.68
188,UNLV,450,26-26,196,561,1.68
189,Fordham,444.1,19-33,254,495,1.69
190,UIW,477.1,26-31,230,575,1.69
191,Baylor,463.1,22-31,264,518,1.69
192,Northwestern,446.2,18-34,205,549,1.69
193,Milwaukee,463.2,19-36,313,471,1.69
194,Merrimack,510,33-26,298,567,1.7
195,LIU,499.2,33-25,256,592,1.7
196,Boston College,459,22-31,241,538,1.7
197,Campbell,464.2,31-22,285,504,1.7
198,Seattle U,454.2,17-36,230,543,1.7
199,Lipscomb,473.1,22-34,237,568,1.7
200,Niagara,473.2,38-17,325,481,1.7
201,Penn St.,458.1,29-24,265,516,1.7
202,Western Caro.,467,28-26,276,520,1.7
203,Illinois St.,483,30-27,261,563,1.71
204,Ball St.,504.2,35-23-1,312,553,1.71
205,FIU,494.2,27-30,294,555,1.72
206,George Mason,460.1,21-32,248,544,1.72
207,Villanova,435.1,18-33,249,500,1.72
208,North Florida,449.2,21-30-1,270,505,1.72
209,McNeese,518.2,32-27,316,578,1.72
210,Arkansas St.,464,21-32-1,271,529,1.72
211,Arizona St.,503,32-26,305,563,1.73
212,Central Conn. St.,366.2,18-24,227,406,1.73
213,N.C. A&T,459.2,25-28,274,520,1.73
214,Delaware,495.1,31-26,277,580,1.73
215,Manhattan,440.2,22-30,296,469,1.74
216,Texas Tech,510.1,33-26,297,591,1.74
217,Northern Ky.,498,35-24,301,566,1.74
218,UMass Lowell,469,24-31,266,551,1.74
219,Valparaiso,436,14-38,210,553,1.75
220,Princeton,380.2,18-26,228,439,1.75
221,Columbia,384,26-18,250,423,1.75
222,Rider,438,28-23,262,509,1.76
223,Morehead St.,521,37-24,290,631,1.77
224,Harvard,332,13-26,243,344,1.77
225,North Ala.,456.2,18-35-1,282,526,1.77
226,Mount St. Mary's,490,22-34-1,321,549,1.78
227,Hofstra,488.2,24-33,306,563,1.78
228,Richmond,508,27-32,281,624,1.78
229,Elon,459,21-32,264,555,1.78
230,Bowling Green,455.1,33-20,250,564,1.79
231,Bradley,412.1,13-37-1,214,526,1.79
232,Memphis,489.1,23-32,312,567,1.8
233,Ark.-Pine Bluff,400.2,15-34,241,480,1.8
234,Eastern Ill.,461.1,20-33,296,535,1.8
235,Quinnipiac,421.2,20-30,256,504,1.8
236,Akron,456.1,15-39,224,599,1.8
237,Holy Cross,424.1,26-27,253,513,1.81
238,San Diego St.,466.1,17-37,363,481,1.81
239,Pepperdine,459,15-38,245,587,1.81
240,Rhode Island,405.2,19-28,254,483,1.82
241,UNC Asheville,434,22-28,272,517,1.82
242,Central Mich.,462.1,17-38,268,576,1.83
243,Oakland,498.1,31-27,272,638,1.83
244,Austin Peay,470.1,35-21,337,522,1.83
245,Miami (OH),473,27-27,329,535,1.83
246,St. Bonaventure,413.2,18-31,225,532,1.83
247,Davidson,437,24-28,284,517,1.83
248,Brown,328,28-Nov,199,404,1.84
249,North Dakota St.,437.1,20-30-1,276,530,1.84
250,Marist,454.1,20-35,300,540,1.85
251,Gonzaga,452.2,21-32,289,548,1.85
