Rank,Name,G,W-L,BB
1,Texas A&M,68,53-15,422
2,Oregon St.,61,45-16,394
3,Troy,59,37-22,382
4,Tennessee,73,60-13,382
5,South Carolina,62,37-25,382
6,Wake Forest,60,38-22,378
7,Oklahoma St.,61,42-19,377
8,North Carolina,64,48-16,364
9,Georgia,60,43-17,361
10,Georgia Tech,58,33-25,360
11,Northern Ky.,59,35-24,359
12,William & Mary,58,32-26,356
13,UC Irvine,59,45-14,351
14,Delaware,57,31-26,337
15,NC State,61,38-23,334
16,Oakland,58,31-27,334
17,High Point,62,35-27,333
18,Florida St.,66,49-17,333
19,LSU,66,43-23,332
20,Evansville,65,39-26,326
21,Jacksonville,58,27-31,326
22,Coastal Carolina,61,36-25,325
23,Southern Ill.,60,33-27,323
24,Nicholls,60,38-22,322
25,Kansas St.,61,35-26,321
26,Morehead St.,61,37-24,321
27,Cincinnati,57,32-25,320
28,Campbell,53,31-22,319
29,Wofford,62,42-20,317
30,Virginia,63,46-17,314
31,ETSU,56,36-20,314
32,Fairfield,58,34-24,313
33,Ohio St.,55,29-26,312
34,Oklahoma,61,40-21,311
35,Mississippi St.,63,40-23,310
36,Bowling Green,53,33-20,310
37,Southeast Mo. St.,63,36-27,310
38,Rider,51,28-23,310
39,Texas Tech,59,33-26,307
40,VCU,61,38-23,306
41,Clemson,60,44-16,305
42,Bethune-Cookman,59,32-27,304
43,Michigan,60,32-28,304
44,Georgetown,57,36-21,304
45,Stetson,63,41-22,301
46,Hawaii,53,37-16,301
47,Ole Miss,56,27-29,301
48,Northeastern,55,38-17,300
49,Arkansas,60,44-16,300
50,Missouri St.,57,23-34,299
51,UNCW,61,40-21,299
52,Col. of Charleston,55,41-14,299
53,LIU,58,33-25,298
54,Tulane,62,36-26,298
55,Pittsburgh,55,26-29,297
56,Wright St.,56,32-24,297
57,Kentucky,62,46-16,296
58,Mount St. Mary's,57,22-34-1,295
59,Holy Cross,53,26-27,295
60,Duke,60,40-20,295
61,Wagner,56,26-30,294
62,Tennessee Tech,55,29-26,294
63,Austin Peay,56,35-21,293
64,Oral Roberts,60,27-32-1,291
65,Liberty,58,24-34,291
66,New Orleans,57,31-26,290
67,Virginia Tech,54,32-22,290
68,Murray St.,57,37-20,289
69,UMBC,52,27-25,289
70,New Mexico,54,28-26,289
71,Indiana,60,33-26-1,288
72,Illinois,56,35-21,288
73,FDU,56,26-30,288
74,Western Mich.,55,32-23,287
75,VMI,56,27-29,287
76,Lamar University,59,44-15,286
77,Samford,58,36-22,286
78,Quinnipiac,50,20-30,286
79,Southern Miss.,63,43-20,284
80,Louisiana Tech,64,45-19,284
81,Grambling,54,26-28,284
82,Florida,66,36-30,284
83,Memphis,55,23-32,284
84,Florida A&M,56,29-27,283
85,Mercer,58,29-29,283
86,UIC,55,35-20,282
87,Merrimack,59,33-26,282
88,Purdue,57,33-24,282
89,Nebraska,62,40-22,282
90,Niagara,55,38-17,279
91,Iowa,54,31-23,278
92,Auburn,53,27-26,278
93,Xavier,57,30-27,278
94,Manhattan,52,22-30,277
95,Fla. Atlantic,57,28-29,276
96,Kansas,54,31-23,276
97,Dayton,55,33-22,275
98,Texas St.,56,27-29,275
99,Sacred Heart,58,35-23,274
100,Abilene Christian,58,33-25,274
101,Miami (FL),57,27-30,274
102,Toledo,59,27-32,273
103,Lipscomb,56,22-34,273
104,Coppin St.,45,Dec-33,273
105,App State,55,33-21-1,273
106,Arizona St.,58,32-26,273
107,Kent St.,54,27-27,273
108,Texas Southern,48,23-25,272
109,Ga. Southern,59,33-26,272
110,Maryland,56,34-22,272
111,Prairie View,55,29-26,272
112,Sam Houston,58,34-24,271
113,Utah Valley,58,29-29,271
114,South Alabama,56,31-25,270
115,Creighton,52,35-17,270
116,Army West Point,54,31-23,270
117,Davidson,52,24-28,269
118,Presbyterian,56,29-27,269
119,Southern U.,51,22-29,268
120,Georgia St.,57,25-32,267
121,Kennesaw St.,56,32-24,266
122,Jackson St.,56,36-20,266
123,FGCU,56,30-26,266
124,East Carolina,63,46-17,265
125,USC Upstate,60,36-24,265
126,UAB,55,26-29,264
127,James Madison,61,36-25,264
128,Indiana St.,59,44-15,263
129,New Mexico St.,54,25-29,263
130,Charlotte,58,24-34,263
131,Longwood,52,23-29,263
132,UAlbany,50,15-34-1,262
133,St. John's (NY),57,38-18-1,262
134,West Virginia,60,36-24,261
135,Southeastern La.,58,30-28,261
136,Delaware St.,49,22-27,260
137,San Diego,56,41-15,258
138,Boston College,53,22-31,258
139,Miami (OH),54,27-27,257
140,Saint Joseph's,55,29-26,257
141,Houston,54,26-28,256
142,Western Caro.,54,28-26,256
143,Grand Canyon,61,36-25,255
144,George Washington,57,31-26,255
145,Oregon,60,40-20,254
146,Bryant,57,36-21,253
147,Penn,49,24-25,252
148,NJIT,54,26-28,252
149,UTRGV,54,29-25,251
150,Marist,55,20-35,251
151,FIU,57,27-30,251
152,UC Santa Barbara,58,44-14,251
153,CSUN,54,30-24,251
154,South Fla.,55,26-29,250
155,Texas,60,36-24,250
156,UConn,61,35-26,250
157,NIU,54,21-33,250
158,Richmond,59,27-32,250
159,Elon,53,21-32,250
160,UIW,57,26-31,249
161,Western Ky.,58,36-22,249
162,Siena,52,Dec-40,248
163,Saint Louis,53,37-16,247
164,Minnesota,48,25-23,247
165,Bucknell,46,22-24,246
166,Penn St.,53,29-24,246
167,Alabama St.,56,29-27,245
168,Northwestern St.,55,22-33,245
169,Pacific,55,Nov-44,244
170,Rice,59,23-36,244
171,Portland,56,37-19,244
172,Central Ark.,56,26-30,243
173,UNLV,52,26-26,242
174,Sacramento St.,57,26-31,242
175,BYU,52,21-31,242
176,UNC Asheville,50,22-28,241
177,Alabama A&M,51,13-38,240
178,UMass Lowell,55,24-31,240
179,San Jose St.,57,24-33,239
180,Wichita St.,61,32-29,238
181,Ball St.,59,35-23-1,238
182,Louisville,56,32-24,238
183,DBU,60,45-15,238
184,UCLA,52,19-33,237
185,Arkansas St.,54,21-32-1,236
186,LMU (CA),54,24-30,235
187,Gardner-Webb,53,22-31,234
188,UNC Greensboro,54,33-21,234
189,UCF,58,37-21,234
190,Akron,54,15-39,234
191,Radford,50,16-34,233
192,Vanderbilt,61,38-23,233
193,San Francisco,55,21-34,232
194,Utah,55,33-22,232
195,Eastern Ky.,58,21-37,232
196,California,55,36-19,232
197,Arizona,59,36-23,232
198,McNeese,59,32-27,231
199,Belmont,58,26-32,231
200,North Florida,52,21-30-1,230
201,Butler,55,20-35,230
202,Michigan St.,51,24-27,230
203,Charleston So.,54,22-32,229
204,Northern Colo.,55,16-38-1,229
205,Purdue Fort Wayne,56,19-37,228
206,Marshall,55,18-37,228
207,Saint Mary's (CA),56,34-22,228
208,Valparaiso,52,14-38,227
209,Santa Clara,52,26-26,227
210,Villanova,51,18-33,226
211,Massachusetts,53,24-29,226
212,Missouri,55,23-32,226
213,Jacksonville St.,52,18-34,226
214,Alabama,57,33-24,225
215,Lehigh,48,24-23-1,225
216,Northwestern,52,18-34,224
217,Air Force,55,27-28,224
218,Hofstra,57,24-33,223
219,North Dakota St.,51,20-30-1,223
220,Navy,51,28-23,222
221,Canisius,48,18-30,222
222,Baylor,53,22-31,222
223,TCU,54,33-21,220
224,Western Ill.,50,13-37,219
225,UT Martin,56,21-35,218
226,Rhode Island,47,19-28,218
227,Ark.-Pine Bluff,49,15-34,218
228,Long Beach St.,55,25-29-1,217
229,Eastern Mich.,52,14-38,217
230,UT Arlington,56,22-34,217
231,Fresno St.,62,33-29,217
232,Illinois St.,57,30-27,217
233,Southern California,59,31-28,216
234,Louisiana,62,42-20,216
235,Old Dominion,57,31-26,216
236,ULM,55,25-30,216
237,Washington,51,19-31-1,215
238,Pepperdine,53,15-38,215
239,North Ala.,54,18-35-1,213
240,Saint Peter's,52,Dec-40,213
241,Youngstown St.,60,16-44,212
242,Central Mich.,55,17-38,212
243,California Baptist,62,38-24,211
244,Little Rock,56,32-24,211
245,SIUE,56,21-34-1,211
246,Cal St. Fullerton,54,16-38,211
247,Omaha,51,18-32-1,211
248,Eastern Ill.,53,20-33,211
249,Notre Dame,52,27-25,210
250,A&M-Corpus Christi,57,22-35,210
251,Maine,49,Dec-37,208
252,Rutgers,53,28-25,208
253,Ohio,50,18-32,208
254,Cal Poly,57,35-22,206
255,Stanford,55,22-33,206
256,Nevada,51,25-26,204
257,Seattle U,53,17-36,204
258,Stony Brook,52,24-28,204
259,Binghamton,50,21-29,202
260,Brown,39,28-Nov,201
261,Norfolk St.,53,Dec-41,201
