Rank,Name,G,W-L,AB,H
166,Pittsburgh,55,26-29,1836,518
167,Mount St. Mary's,57,22-34-1,1920,518
168,Eastern Ky.,58,21-37,1926,517
169,Prairie View,55,29-26,1738,515
170,Purdue Fort Wayne,56,19-37,1884,511
171,Sacramento St.,57,26-31,1936,511
172,Houston,54,26-28,1831,510
173,CSUN,54,30-24,1830,507
174,Belmont,58,26-32,1966,507
175,George Mason,53,21-32,1792,507
176,Tennessee Tech,55,29-26,1852,506
177,Penn,49,24-25,1753,504
178,LMU (CA),54,24-30,1839,504
179,Washington St.,53,21-32,1860,503
180,Creighton,52,35-17,1740,502
181,Texas St.,56,27-29,1856,502
182,Rice,59,23-36,2001,502
183,San Diego St.,54,17-37,1856,498
184,Milwaukee,55,19-36,1850,498
185,Western Ky.,58,36-22,1801,498
186,Northern Colo.,55,16-38-1,1858,495
187,N.C. A&T,53,25-28,1807,494
188,Wagner,56,26-30,1901,493
189,Towson,54,15-39,1842,493
190,Charlotte,58,24-34,1906,493
191,ULM,55,25-30,1804,493
192,Delaware St.,49,22-27,1724,492
193,UC Riverside,52,16-36,1804,492
194,UC Davis,56,29-27,1926,491
195,Baylor,53,22-31,1797,491
196,Elon,53,21-32,1788,489
197,TCU,54,33-21,1804,488
198,South Dakota St.,49,20-29,1719,487
199,Columbia,44,26-18,1589,487
200,Lipscomb,56,22-34,1842,486
201,UT Arlington,56,22-34,1869,485
202,Marist,55,20-35,1821,482
203,Fla. Atlantic,57,28-29,1859,481
204,Santa Clara,52,26-26,1814,480
205,UMBC,52,27-25,1785,480
206,Kent St.,54,27-27,1830,480
207,Seton Hall,54,24-30,1820,478
208,Auburn,53,27-26,1733,478
209,Central Ark.,56,26-30,1832,477
210,Minnesota,48,25-23,1688,477
211,Memphis,55,23-32,1876,477
212,Pepperdine,53,15-38,1804,476
213,Northwestern St.,55,22-33,1818,476
214,Seattle U,53,17-36,1807,475
215,Davidson,52,24-28,1723,474
216,Southern U.,51,22-29,1681,473
217,Ark.-Pine Bluff,49,15-34,1616,472
218,Massachusetts,53,24-29,1769,471
219,CSU Bakersfield,53,15-38,1813,471
220,Central Mich.,55,17-38,1826,471
221,UAB,55,26-29,1831,471
222,Charleston So.,54,22-32,1812,471
223,Norfolk St.,53,Dec-41,1849,470
224,Notre Dame,52,27-25,1747,468
225,NIU,54,21-33,1809,467
226,Ohio,50,18-32,1706,467
227,UCLA,52,19-33,1770,467
228,Ole Miss,56,27-29,1827,466
229,Presbyterian,56,29-27,1779,466
230,St. Bonaventure,49,18-31,1678,466
231,Boston College,53,22-31,1737,466
232,Rider,51,28-23,1746,465
233,Omaha,51,18-32-1,1751,464
234,Old Dominion,57,31-26,1861,464
235,Binghamton,50,21-29,1723,463
236,Missouri,55,23-32,1822,461
237,Army West Point,54,31-23,1672,458
238,Stony Brook,52,24-28,1758,458
239,North Dakota St.,51,20-30-1,1746,458
240,UNC Asheville,50,22-28,1689,456
241,The Citadel,53,21-32,1733,456
242,North Ala.,54,18-35-1,1799,454
243,Valparaiso,52,14-38,1745,452
244,Manhattan,52,22-30,1723,451
245,Bradley,51,13-37-1,1672,450
246,Arkansas St.,54,21-32-1,1768,450
247,Navy,51,28-23,1627,449
248,Akron,54,15-39,1797,449
249,Gonzaga,53,21-32,1788,449
250,BYU,52,21-31,1783,448
251,Quinnipiac,50,20-30,1668,448
252,Long Beach St.,55,25-29-1,1827,447
253,Jacksonville St.,52,18-34,1730,446
254,Longwood,52,23-29,1660,445
255,Gardner-Webb,53,22-31,1730,443
256,Washington,51,19-31-1,1781,442
257,Central Conn. St.,42,18-24,1506,442
258,Fordham,52,19-33,1727,441
259,Iona,50,Dec-38,1702,440
260,South Alabama,56,31-25,1781,440
261,SFA,54,Oct-44,1765,437
262,Siena,52,Dec-40,1700,437
263,Monmouth,48,18-30,1650,437
264,Saint Peter's,52,Dec-40,1713,434
265,Villanova,51,18-33,1731,432
266,Cal St. Fullerton,54,16-38,1780,431
267,Radford,50,16-34,1644,431
268,Holy Cross,53,26-27,1684,426
269,Marshall,55,18-37,1814,422
270,Northwestern,52,18-34,1751,422
271,North Florida,52,21-30-1,1709,421
272,Houston Christian,49,18-31,1590,419
273,Western Ill.,50,13-37,1663,416
274,Bucknell,46,22-24,1466,416
275,Alabama A&M,51,13-38,1597,414
276,Maine,49,Dec-37,1588,414
277,San Francisco,55,21-34,1764,412
278,Texas Southern,48,23-25,1496,404
279,Winthrop,49,19-29-1,1567,403
280,Lehigh,48,24-23-1,1520,398
281,Canisius,48,18-30,1607,398
282,Harvard,39,13-26,1384,394
283,Cornell,38,17-21,1364,393
284,Mississippi Val.,46,Dec-34,1455,393
285,Alcorn,49,Jun-43,1511,393
286,Princeton,44,18-26,1524,388
287,Pacific,55,Nov-44,1799,387
288,UAlbany,50,15-34-1,1584,385
289,Rhode Island,47,19-28,1549,374
290,Lafayette,49,14-35,1515,369
291,Coppin St.,45,Dec-33,1511,362
292,Dartmouth,39,13-26,1340,354
293,UMES,48,0-48,1541,343
294,Yale,41,18-23,1328,341
295,Brown,39,28-Nov,1291,325
296,Tarleton St.,61,32-29,2051,586
297,Southern Ind.,59,27-32,1984,554
298,Queens (NC),55,14-41,1851,493
299,St. Thomas (MN),46,22-24,1641,487
300,Bellarmine,55,Oct-45,1793,487
301,UC San Diego,53,30-23,1795,480
302,Utah Tech,56,14-42,1845,466
303,Stonehill,47,18-29,1649,462
304,Lindenwood,54,16-38,1813,461
305,Le Moyne,50,22-27-1,1688,425
