Rank,Name,G,W-L,HBP
197,Eastern Mich.,52,14-38,65
198,Iona,50,Dec-38,65
199,Ball St.,59,35-23-1,65
200,Col. of Charleston,55,41-14,64
201,North Florida,52,21-30-1,64
202,Wright St.,56,32-24,64
203,Saint Joseph's,55,29-26,64
204,Texas A&M,68,53-15,64
205,Valparaiso,52,14-38,64
206,New Mexico,54,28-26,64
207,Milwaukee,55,19-36,63
208,Kansas,54,31-23,63
209,BYU,52,21-31,63
210,NC State,61,38-23,62
211,St. Bonaventure,49,18-31,62
212,Youngstown St.,60,16-44,62
213,UCF,58,37-21,62
214,Minnesota,48,25-23,62
215,Baylor,53,22-31,62
216,Boston College,53,22-31,62
217,Oklahoma St.,61,42-19,61
218,Oregon St.,61,45-16,61
219,Penn St.,53,29-24,61
220,Marist,55,20-35,61
221,CSU Bakersfield,53,15-38,61
222,Fla. Atlantic,57,28-29,61
223,Saint Peter's,52,Dec-40,61
224,Gardner-Webb,53,22-31,60
225,UCLA,52,19-33,60
226,California,55,36-19,60
227,San Diego St.,54,17-37,60
228,South Fla.,55,26-29,59
229,UNC Asheville,50,22-28,58
230,Missouri St.,57,23-34,58
231,Ohio,50,18-32,58
232,North Ala.,54,18-35-1,58
233,Elon,53,21-32,57
234,Kennesaw St.,56,32-24,57
235,UIC,55,35-20,57
236,UC Riverside,52,16-36,57
237,Hofstra,57,24-33,57
238,Ole Miss,56,27-29,56
239,Stanford,55,22-33,56
240,UMES,48,0-48,56
241,Purdue Fort Wayne,56,19-37,56
242,Mississippi Val.,46,Dec-34,56
243,Murray St.,57,37-20,55
244,Rice,59,23-36,55
245,UT Arlington,56,22-34,55
246,Eastern Ky.,58,21-37,55
247,Arizona,59,36-23,55
248,Cornell,38,17-21,55
249,Miami (FL),57,27-30,55
250,Grand Canyon,61,36-25,54
251,Pacific,55,Nov-44,54
252,Marshall,55,18-37,54
253,ETSU,56,36-20,54
254,SFA,54,Oct-44,54
255,Houston Christian,49,18-31,53
256,Charlotte,58,24-34,53
257,Belmont,58,26-32,52
258,Alabama St.,56,29-27,52
259,UMass Lowell,55,24-31,52
260,Arizona St.,58,32-26,52
261,Northwestern,52,18-34,51
262,Delaware St.,49,22-27,51
263,Southern Ill.,60,33-27,51
264,Siena,52,Dec-40,51
265,NIU,54,21-33,50
266,A&M-Corpus Christi,57,22-35,50
267,Towson,54,15-39,50
268,Saint Mary's (CA),56,34-22,50
269,Yale,41,18-23,49
270,Brown,39,28-Nov,49
271,Michigan St.,51,24-27,49
272,Seattle U,53,17-36,48
273,Norfolk St.,53,Dec-41,47
274,Oral Roberts,60,27-32-1,47
275,Georgia Tech,58,33-25,47
276,Little Rock,56,32-24,47
277,UC Davis,56,29-27,47
278,Radford,50,16-34,47
279,Tennessee Tech,55,29-26,46
280,Florida A&M,56,29-27,46
281,Binghamton,50,21-29,46
282,Middle Tenn.,56,20-36,45
283,Eastern Ill.,53,20-33,45
284,Alcorn,49,Jun-43,45
285,Princeton,44,18-26,44
286,Georgia St.,57,25-32,42
287,Dartmouth,39,13-26,41
288,North Carolina,64,48-16,41
289,Nevada,51,25-26,39
290,Kansas St.,61,35-26,39
291,UT Martin,56,21-35,39
292,Sam Houston,58,34-24,37
293,Harvard,39,13-26,37
294,Washington,51,19-31-1,37
295,Central Conn. St.,42,18-24,35
296,UC San Diego,53,30-23,92
297,Tarleton St.,61,32-29,91
298,Southern Ind.,59,27-32,86
299,Stonehill,47,18-29,71
300,Le Moyne,50,22-27-1,65
301,Queens (NC),55,14-41,64
302,Lindenwood,54,16-38,62
303,Utah Tech,56,14-42,57
304,Bellarmine,55,Oct-45,52
305,St. Thomas (MN),46,22-24,48
