Rank,Name,G,W-L,AB,TB,SLG PCT
135,San Jose St.,57,24-33,1999,901,0.451
136,Army West Point,54,31-23,1672,753,0.45
137,Richmond,59,27-32,2002,900,0.45
138,South Fla.,55,26-29,1816,814,0.448
139,Cincinnati,57,32-25,1948,873,0.448
140,Mississippi St.,63,40-23,2094,938,0.448
141,Maryland,56,34-22,1909,854,0.447
142,Southern Ill.,60,33-27,2097,938,0.447
143,Ga. Southern,59,33-26,1954,873,0.447
144,Sam Houston,58,34-24,1957,874,0.447
145,Stetson,63,41-22,2104,939,0.446
146,Portland,56,37-19,1979,882,0.446
147,NJIT,54,26-28,1905,847,0.445
148,Central Conn. St.,42,18-24,1506,669,0.444
149,LIU,58,33-25,1950,863,0.443
150,Miami (OH),54,27-27,1863,824,0.442
151,UTSA,56,32-24,1958,866,0.442
152,Butler,55,20-35,1943,856,0.441
153,Toledo,59,27-32,2008,884,0.44
154,Arizona,59,36-23,2050,900,0.439
155,LMU (CA),54,24-30,1839,807,0.439
156,Southern U.,51,22-29,1681,737,0.438
157,UTRGV,54,29-25,1837,805,0.438
158,McNeese,59,32-27,1982,867,0.437
159,Utah,55,33-22,1923,841,0.437
160,Valparaiso,52,14-38,1745,763,0.437
161,BYU,52,21-31,1783,779,0.437
162,Radford,50,16-34,1644,718,0.437
163,St. John's (NY),57,38-18-1,1951,850,0.436
164,Kansas St.,61,35-26,2094,911,0.435
165,Stanford,55,22-33,1899,826,0.435
166,George Mason,53,21-32,1792,779,0.435
167,Ole Miss,56,27-29,1827,794,0.435
168,UCF,58,37-21,1983,860,0.434
169,Michigan St.,51,24-27,1772,767,0.433
170,Michigan,60,32-28,2040,883,0.433
171,Elon,53,21-32,1788,770,0.431
172,Jacksonville St.,52,18-34,1730,745,0.431
173,Little Rock,56,32-24,1951,838,0.43
174,Saint Joseph's,55,29-26,1899,815,0.429
175,Houston Christian,49,18-31,1590,680,0.428
176,Delaware St.,49,22-27,1724,737,0.427
177,Belmont,58,26-32,1966,835,0.425
178,Prairie View,55,29-26,1738,738,0.425
179,VCU,61,38-23,2106,893,0.424
180,George Washington,57,31-26,1977,838,0.424
181,Binghamton,50,21-29,1723,730,0.424
182,Hofstra,57,24-33,1996,844,0.423
183,Boston College,53,22-31,1737,734,0.423
184,Charlotte,58,24-34,1906,805,0.422
185,Memphis,55,23-32,1876,791,0.422
186,SIUE,56,21-34-1,1902,801,0.421
187,William & Mary,58,32-26,1927,808,0.419
188,Cal Poly,57,35-22,1976,828,0.419
189,Quinnipiac,50,20-30,1668,698,0.418
190,Northwestern St.,55,22-33,1818,759,0.417
191,Texas St.,56,27-29,1856,774,0.417
192,Western Ky.,58,36-22,1801,747,0.415
193,Kennesaw St.,56,32-24,1876,778,0.415
194,CSUN,54,30-24,1830,758,0.414
195,ULM,55,25-30,1804,747,0.414
196,TCU,54,33-21,1804,746,0.414
197,Bradley,51,13-37-1,1672,689,0.412
198,Youngstown St.,60,16-44,1998,823,0.412
199,Harvard,39,13-26,1384,570,0.412
200,Maine,49,Dec-37,1588,654,0.412
201,Mount St. Mary's,57,22-34-1,1920,789,0.411
202,Sacramento St.,57,26-31,1936,794,0.41
203,FDU,56,26-30,1897,778,0.41
204,Sacred Heart,58,35-23,1939,794,0.409
205,Ohio,50,18-32,1706,697,0.409
206,Ark.-Pine Bluff,49,15-34,1616,660,0.408
207,Rhode Island,47,19-28,1549,632,0.408
208,Baylor,53,22-31,1797,733,0.408
209,Massachusetts,53,24-29,1769,721,0.408
210,Marist,55,20-35,1821,742,0.407
211,Washington St.,53,21-32,1860,757,0.407
212,San Diego St.,54,17-37,1856,755,0.407
213,Villanova,51,18-33,1731,704,0.407
214,Purdue Fort Wayne,56,19-37,1884,765,0.406
215,Gardner-Webb,53,22-31,1730,702,0.406
216,UNC Asheville,50,22-28,1689,685,0.406
217,Presbyterian,56,29-27,1779,720,0.405
218,Northern Colo.,55,16-38-1,1858,751,0.404
219,Santa Clara,52,26-26,1814,733,0.404
220,Old Dominion,57,31-26,1861,751,0.404
221,Texas Southern,48,23-25,1496,603,0.403
222,UMass Lowell,55,24-31,1913,770,0.403
223,North Ala.,54,18-35-1,1799,724,0.402
224,Fla. Atlantic,57,28-29,1859,748,0.402
225,Princeton,44,18-26,1524,613,0.402
226,NIU,54,21-33,1809,727,0.402
227,Hawaii,53,37-16,1777,713,0.401
228,Southern California,59,31-28,2015,807,0.4
229,N.C. A&T,53,25-28,1807,723,0.4
230,Mississippi Val.,46,Dec-34,1455,582,0.4
231,Oral Roberts,60,27-32-1,2048,819,0.4
232,South Alabama,56,31-25,1781,712,0.4
233,Missouri,55,23-32,1822,728,0.4
234,Canisius,48,18-30,1607,642,0.4
235,Abilene Christian,58,33-25,1900,759,0.399
236,UMBC,52,27-25,1785,713,0.399
237,Holy Cross,53,26-27,1684,671,0.398
238,Siena,52,Dec-40,1700,676,0.398
239,Longwood,52,23-29,1660,656,0.395
240,Milwaukee,55,19-36,1850,731,0.395
241,Winthrop,49,19-29-1,1567,618,0.394
242,Omaha,51,18-32-1,1751,690,0.394
243,Rider,51,28-23,1746,688,0.394
244,UCLA,52,19-33,1770,696,0.393
245,A&M-Corpus Christi,57,22-35,1917,753,0.393
246,Norfolk St.,53,Dec-41,1849,726,0.393
247,Washington,51,19-31-1,1781,699,0.392
248,Saint Peter's,52,Dec-40,1713,669,0.391
249,Northwestern,52,18-34,1751,682,0.389
250,Charleston So.,54,22-32,1812,705,0.389
251,Rice,59,23-36,2001,778,0.389
252,Arkansas St.,54,21-32-1,1768,687,0.389
253,Central Mich.,55,17-38,1826,709,0.388
254,Manhattan,52,22-30,1723,669,0.388
255,Iona,50,Dec-38,1702,660,0.388
256,UT Arlington,56,22-34,1869,724,0.387
257,St. Bonaventure,49,18-31,1678,650,0.387
258,Lafayette,49,14-35,1515,585,0.386
259,Akron,54,15-39,1797,693,0.386
260,UC Riverside,52,16-36,1804,693,0.384
261,Seton Hall,54,24-30,1820,699,0.384
262,Dartmouth,39,13-26,1340,512,0.382
263,North Dakota St.,51,20-30-1,1746,667,0.382
264,Jacksonville,58,27-31,1923,734,0.382
265,Navy,51,28-23,1627,621,0.382
266,Central Ark.,56,26-30,1832,698,0.381
267,The Citadel,53,21-32,1733,660,0.381
268,Seattle U,53,17-36,1807,688,0.381
269,Alabama A&M,51,13-38,1597,607,0.38
270,Bethune-Cookman,59,32-27,1961,743,0.379
271,SFA,54,Oct-44,1765,668,0.378
272,Long Beach St.,55,25-29-1,1827,690,0.378
273,Lehigh,48,24-23-1,1520,574,0.378
274,Pepperdine,53,15-38,1804,681,0.377
275,Towson,54,15-39,1842,693,0.376
276,Monmouth,48,18-30,1650,620,0.376
277,UAB,55,26-29,1831,688,0.376
278,Brown,39,28-Nov,1291,485,0.376
279,Western Ill.,50,13-37,1663,621,0.373
