Rank,Name,G,W-L,HR,PG
1,Austin Peay,56,35-21,146,2.61
2,Tennessee,73,60-13,184,2.52
3,Georgia,60,43-17,151,2.52
4,Morehead St.,61,37-24,129,2.11
5,Campbell,53,31-22,112,2.11
6,Florida,66,36-30,136,2.06
7,Merrimack,59,33-26,120,2.03
8,Texas A&M,68,53-15,136,2
9,Missouri St.,57,23-34,114,2
10,Wright St.,56,32-24,112,2
11,Florida St.,66,49-17,131,1.98
12,Columbia,44,26-18,87,1.98
13,Oregon St.,61,45-16,118,1.93
14,Oklahoma St.,61,42-19,118,1.93
15,Duke,60,40-20,115,1.92
16,DBU,60,45-15,115,1.92
17,Wake Forest,60,38-22,113,1.88
18,Texas,60,36-24,112,1.87
19,Illinois,56,35-21,104,1.86
20,Delaware,57,31-26,105,1.84
21,Georgia St.,57,25-32,105,1.84
22,Virginia,63,46-17,116,1.84
23,Saint Mary's (CA),56,34-22,103,1.84
24,Utah Valley,58,29-29,106,1.83
25,Clemson,60,44-16,109,1.82
26,Virginia Tech,54,32-22,98,1.81
27,USC Upstate,60,36-24,108,1.8
28,North Carolina,64,48-16,115,1.8
29,Indiana St.,59,44-15,106,1.8
30,Murray St.,57,37-20,102,1.79
31,Arizona St.,58,32-26,102,1.76
32,App State,55,33-21-1,96,1.75
33,LSU,66,43-23,114,1.73
34,Southeast Mo. St.,63,36-27,107,1.7
35,Western Caro.,54,28-26,91,1.69
36,Notre Dame,52,27-25,87,1.67
37,Texas Tech,59,33-26,98,1.66
38,NC State,61,38-23,101,1.66
39,Georgia Tech,58,33-25,95,1.64
40,Northeastern,55,38-17,90,1.64
41,Oregon,60,40-20,98,1.63
42,South Dakota St.,49,20-29,80,1.63
43,South Carolina,62,37-25,101,1.63
44,Mercer,58,29-29,94,1.62
45,Xavier,57,30-27,92,1.61
46,Samford,58,36-22,92,1.59
47,Alabama,57,33-24,90,1.58
48,Kent St.,54,27-27,85,1.57
49,Lipscomb,56,22-34,88,1.57
50,Louisville,56,32-24,88,1.57
51,Bowling Green,53,33-20,83,1.57
52,California Baptist,62,38-24,97,1.56
53,Col. of Charleston,55,41-14,85,1.55
54,Auburn,53,27-26,81,1.53
55,Ball St.,59,35-23-1,90,1.53
56,Fairfield,58,34-24,88,1.52
57,West Virginia,60,36-24,91,1.52
58,Toledo,59,27-32,89,1.51
59,Northern Ky.,59,35-24,88,1.49
60,High Point,62,35-27,92,1.48
61,Southeastern La.,58,30-28,86,1.48
62,Evansville,65,39-26,96,1.48
63,Miami (FL),57,27-30,84,1.47
64,California,55,36-19,81,1.47
65,Tulane,62,36-26,91,1.47
66,New Mexico St.,54,25-29,79,1.46
67,Coastal Carolina,61,36-25,89,1.46
68,FIU,57,27-30,83,1.46
69,Arkansas,60,44-16,87,1.45
70,UC Santa Barbara,58,44-14,84,1.45
71,Houston,54,26-28,78,1.44
72,James Madison,61,36-25,88,1.44
73,Davidson,52,24-28,75,1.44
74,Troy,59,37-22,85,1.44
75,Bryant,57,36-21,82,1.44
76,Kentucky,62,46-16,89,1.44
77,UConn,61,35-26,87,1.43
78,Minnesota,48,25-23,68,1.42
79,UNCW,61,40-21,86,1.41
80,FGCU,56,30-26,78,1.39
81,Nevada,51,25-26,71,1.39
82,Louisiana Tech,64,45-19,89,1.39
83,Indiana,60,33-26-1,83,1.38
84,Maryland,56,34-22,77,1.38
85,Cornell,38,17-21,52,1.37
86,Valparaiso,52,14-38,71,1.37
87,Ole Miss,56,27-29,76,1.36
88,San Jose St.,57,24-33,77,1.35
89,East Carolina,63,46-17,85,1.35
90,BYU,52,21-31,70,1.35
91,Tennessee Tech,55,29-26,74,1.35
92,Penn St.,53,29-24,71,1.34
93,ETSU,56,36-20,75,1.34
94,Georgetown,57,36-21,76,1.33
95,Illinois St.,57,30-27,76,1.33
96,New Mexico,54,28-26,72,1.33
97,Pittsburgh,55,26-29,73,1.33
98,UT Martin,56,21-35,74,1.32
99,Eastern Ill.,53,20-33,70,1.32
100,Purdue,57,33-24,75,1.32
101,Liberty,58,24-34,76,1.31
102,VMI,56,27-29,73,1.3
103,Niagara,55,38-17,71,1.29
104,Louisiana,62,42-20,80,1.29
105,Middle Tenn.,56,20-36,72,1.29
106,Cincinnati,57,32-25,73,1.28
107,NJIT,54,26-28,69,1.28
108,Belmont,58,26-32,74,1.28
109,Kansas,54,31-23,68,1.26
110,Mississippi St.,63,40-23,79,1.25
111,UNLV,52,26-26,65,1.25
112,Fresno St.,62,33-29,77,1.24
113,LIU,58,33-25,72,1.24
114,Memphis,55,23-32,68,1.24
115,Grand Canyon,61,36-25,75,1.23
116,New Orleans,57,31-26,70,1.23
117,Wichita St.,61,32-29,74,1.21
118,Rhode Island,47,19-28,57,1.21
119,Wofford,62,42-20,75,1.21
120,Elon,53,21-32,64,1.21
121,Saint Louis,53,37-16,64,1.21
122,Eastern Ky.,58,21-37,70,1.21
123,Lamar University,59,44-15,71,1.2
124,Michigan,60,32-28,72,1.2
125,UIC,55,35-20,66,1.2
126,Oklahoma,61,40-21,73,1.2
127,Alabama St.,56,29-27,67,1.2
128,Ga. Southern,59,33-26,70,1.19
129,UNC Greensboro,54,33-21,64,1.19
130,Western Mich.,55,32-23,65,1.18
131,Dayton,55,33-22,65,1.18
132,Vanderbilt,61,38-23,72,1.18
133,San Diego,56,41-15,66,1.18
134,Jacksonville St.,52,18-34,61,1.17
135,Air Force,55,27-28,64,1.16
136,Nebraska,62,40-22,72,1.16
137,Eastern Mich.,52,14-38,60,1.15
138,Richmond,59,27-32,68,1.15
139,Houston Christian,49,18-31,56,1.14
140,UIW,57,26-31,65,1.14
141,Kansas St.,61,35-26,69,1.13
142,Miami (OH),54,27-27,61,1.13
143,Butler,55,20-35,62,1.13
144,Penn,49,24-25,55,1.12
145,Charlotte,58,24-34,65,1.12
146,UC Irvine,59,45-14,66,1.12
147,Southern Ill.,60,33-27,67,1.12
148,LMU (CA),54,24-30,60,1.11
149,Army West Point,54,31-23,60,1.11
150,Maine,49,Dec-37,54,1.1
151,Washington,51,19-31-1,56,1.1
152,Saint Joseph's,55,29-26,60,1.09
153,Villanova,51,18-33,55,1.08
154,UTRGV,54,29-25,58,1.07
155,Little Rock,56,32-24,60,1.07
156,Florida A&M,56,29-27,60,1.07
157,UCF,58,37-21,62,1.07
158,Nicholls,60,38-22,64,1.07
159,South Fla.,55,26-29,58,1.05
160,South Alabama,56,31-25,59,1.05
161,Fla. Atlantic,57,28-29,60,1.05
162,Old Dominion,57,31-26,60,1.05
163,Stetson,63,41-22,66,1.05
164,Gardner-Webb,53,22-31,55,1.04
165,Massachusetts,53,24-29,55,1.04
166,Boston College,53,22-31,55,1.04
167,North Ala.,54,18-35-1,56,1.04
168,Ohio St.,55,29-26,57,1.04
169,Missouri,55,23-32,57,1.04
170,Southern Miss.,63,43-20,65,1.03
171,Northwestern St.,55,22-33,56,1.02
172,William & Mary,58,32-26,59,1.02
173,Delaware St.,49,22-27,49,1
174,Northwestern,52,18-34,52,1
175,Iowa,54,31-23,54,1
176,Stanford,55,22-33,55,1
177,VCU,61,38-23,61,1
178,Binghamton,50,21-29,50,1
179,Oakland,58,31-27,58,1
