Rank,Name,G,W-L,R
1,Tennessee,73,60-13,657
2,Wofford,62,42-20,617
3,Austin Peay,56,35-21,608
4,Florida St.,66,49-17,588
5,Virginia,63,46-17,581
6,Texas A&M,68,53-15,575
7,Morehead St.,61,37-24,571
8,Northern Ky.,59,35-24,545
9,Georgia,60,43-17,544
10,North Carolina,64,48-16,541
11,UC Irvine,59,45-14,536
12,Coastal Carolina,61,36-25,528
13,Oregon St.,61,45-16,518
14,Troy,59,37-22,516
15,Evansville,65,39-26,510
16,Samford,58,36-22,506
17,Wright St.,56,32-24,505
18,Merrimack,59,33-26,504
19,Duke,60,40-20,501
20,Oklahoma St.,61,42-19,498
21,East Carolina,63,46-17,498
22,Nicholls,60,38-22,494
23,Oklahoma,61,40-21,492
24,Bowling Green,53,33-20,488
25,Wake Forest,60,38-22,487
26,Texas Tech,59,33-26,485
27,USC Upstate,60,36-24,484
28,Clemson,60,44-16,484
29,App State,55,33-21-1,484
30,Southeast Mo. St.,63,36-27,483
31,Indiana,60,33-26-1,482
32,Arizona St.,58,32-26,482
33,Kentucky,62,46-16,481
34,ETSU,56,36-20,478
35,Delaware,57,31-26,478
36,Oakland,58,31-27,475
37,Northeastern,55,38-17,474
38,LSU,66,43-23,468
39,DBU,60,45-15,467
40,Louisiana Tech,64,45-19,465
41,NC State,61,38-23,464
42,Murray St.,57,37-20,464
43,Georgia Tech,58,33-25,461
44,South Carolina,62,37-25,461
45,Campbell,53,31-22,460
46,Virginia Tech,54,32-22,459
47,Fairfield,58,34-24,458
48,Niagara,55,38-17,458
49,Florida,66,36-30,458
50,Col. of Charleston,55,41-14,457
51,Purdue,57,33-24,457
52,Indiana St.,59,44-15,456
53,Louisville,56,32-24,455
54,New Mexico,54,28-26,454
55,Utah Valley,58,29-29,453
56,Jackson St.,56,36-20,452
57,High Point,62,35-27,451
58,Tulane,62,36-26,451
59,Grand Canyon,61,36-25,448
60,James Madison,61,36-25,445
61,Southern Miss.,63,43-20,445
62,New Mexico St.,54,25-29,443
63,Iowa,54,31-23,443
64,Illinois,56,35-21,442
65,Southern Ill.,60,33-27,442
66,Grambling,54,26-28,441
67,Louisiana,62,42-20,437
68,Georgetown,57,36-21,435
69,VCU,61,38-23,434
70,Stetson,63,41-22,430
71,UNCW,61,40-21,430
72,Dayton,55,33-22,430
73,Georgia St.,57,25-32,429
74,UC Santa Barbara,58,44-14,429
75,Texas,60,36-24,428
76,UNC Greensboro,54,33-21,427
77,California Baptist,62,38-24,426
78,William & Mary,58,32-26,425
79,Fresno St.,62,33-29,425
80,Alabama St.,56,29-27,425
81,Wichita St.,61,32-29,424
82,Mount St. Mary's,57,22-34-1,424
83,Alabama,57,33-24,424
84,Mississippi St.,63,40-23,423
85,Cincinnati,57,32-25,423
86,Oregon,60,40-20,420
87,UIW,57,26-31,420
88,San Diego,56,41-15,419
89,Nebraska,62,40-22,419
90,Western Caro.,54,28-26,419
91,LIU,58,33-25,418
92,Western Mich.,55,32-23,418
93,Illinois St.,57,30-27,417
94,Missouri St.,57,23-34,417
95,Saint Louis,53,37-16,416
96,Mercer,58,29-29,416
97,Bryant,57,36-21,416
98,Columbia,44,26-18,416
99,Prairie View,55,29-26,416
100,New Orleans,57,31-26,415
101,Lamar University,59,44-15,413
