Rank,Name,G,W-L,SF
195,California Baptist,62,38-24,21
196,Michigan St.,51,24-27,21
197,UAB,55,26-29,21
198,Arkansas St.,54,21-32-1,21
199,Baylor,53,22-31,21
200,Bryant,57,36-21,21
201,UCLA,52,19-33,21
202,UCF,58,37-21,21
203,Central Mich.,55,17-38,21
204,FDU,56,26-30,21
205,Fla. Atlantic,57,28-29,21
206,Gonzaga,53,21-32,21
207,Indiana St.,59,44-15,21
208,Marist,55,20-35,21
209,Charlotte,58,24-34,21
210,Belmont,58,26-32,20
211,Coppin St.,45,Dec-33,20
212,Old Dominion,57,31-26,20
213,San Diego St.,54,17-37,20
214,Stanford,55,22-33,20
215,Stony Brook,52,24-28,20
216,Air Force,55,27-28,20
217,Villanova,51,18-33,20
218,Washington St.,53,21-32,20
219,Western Caro.,54,28-26,20
220,Alcorn,49,Jun-43,20
221,Little Rock,56,32-24,20
222,Bowling Green,53,33-20,20
223,CSUN,54,30-24,20
224,UC Santa Barbara,58,44-14,20
225,California,55,36-19,20
226,UC Davis,56,29-27,20
227,Oakland,58,31-27,20
228,Elon,53,21-32,19
229,ULM,55,25-30,19
230,Rutgers,53,28-25,19
231,Missouri St.,57,23-34,19
232,Valparaiso,52,14-38,19
233,Iona,50,Dec-38,19
234,Minnesota,48,25-23,19
235,Mississippi Val.,46,Dec-34,19
236,Boston College,53,22-31,19
237,Eastern Mich.,52,14-38,19
238,Georgia St.,57,25-32,19
239,Youngstown St.,60,16-44,19
240,Ark.-Pine Bluff,49,15-34,18
241,New Mexico St.,54,25-29,18
242,Northwestern St.,55,22-33,18
243,Northwestern,52,18-34,18
244,Notre Dame,52,27-25,18
245,Ohio,50,18-32,18
246,Middle Tenn.,56,20-36,18
247,Bradley,51,13-37-1,18
248,The Citadel,53,21-32,18
249,Davidson,52,24-28,18
250,Florida,66,36-30,18
251,Fordham,52,19-33,18
252,Georgetown,57,36-21,18
253,Memphis,55,23-32,18
254,UMass Lowell,55,24-31,17
255,San Francisco,55,21-34,17
256,Brown,39,28-Nov,17
257,Penn,49,24-25,17
258,Houston,54,26-28,17
259,Lafayette,49,14-35,17
260,Monmouth,48,18-30,17
261,Marshall,55,18-37,17
262,Seattle U,53,17-36,17
263,Sacred Heart,58,35-23,16
264,Rhode Island,47,19-28,16
265,Lehigh,48,24-23-1,16
266,Radford,50,16-34,16
267,Central Conn. St.,42,18-24,16
268,Yale,41,18-23,16
269,South Alabama,56,31-25,15
270,Missouri,55,23-32,15
271,Massachusetts,53,24-29,15
272,Illinois,56,35-21,15
273,UConn,61,35-26,15
274,UC Riverside,52,16-36,15
275,Washington,51,19-31-1,15
276,Pacific,55,Nov-44,14
277,SFA,54,Oct-44,14
278,Harvard,39,13-26,14
279,Cal St. Fullerton,54,16-38,14
280,Norfolk St.,53,Dec-41,14
281,Pittsburgh,55,26-29,14
282,Winthrop,49,19-29-1,13
283,CSU Bakersfield,53,15-38,13
284,Towson,54,15-39,12
285,Dartmouth,39,13-26,12
286,North Dakota St.,51,20-30-1,12
287,Santa Clara,52,26-26,11
288,Seton Hall,54,24-30,11
289,Canisius,48,18-30,11
290,Princeton,44,18-26,10
291,Cornell,38,17-21,10
292,Western Ill.,50,13-37,10
293,Southern U.,51,22-29,9
294,Gardner-Webb,53,22-31,9
295,UMES,48,0-48,4
296,Southern Ind.,59,27-32,30
297,Lindenwood,54,16-38,27
298,Stonehill,47,18-29,25
299,UC San Diego,53,30-23,25
300,Tarleton St.,61,32-29,22
301,Le Moyne,50,22-27-1,18
302,Queens (NC),55,14-41,17
303,St. Thomas (MN),46,22-24,16
304,Bellarmine,55,Oct-45,16
305,Utah Tech,56,14-42,12
      ,,,,
