Rank,Name,G,W-L,IP,HB
1,Saint Peter's,52,Dec-40,422,131
2,San Diego St.,54,17-37,466,118
3,Siena,52,Dec-40,424,116
4,Coppin St.,45,Dec-33,388,114
5,Towson,54,15-39,463,113
6,Youngstown St.,60,16-44,491,112
7,UMES,48,0-48,388,110
8,Lafayette,49,14-35,389,110
9,Gardner-Webb,53,22-31,454,109
10,Nevada,51,25-26,445,109
11,Dayton,55,33-22,481,108
12,Rice,59,23-36,521,107
13,NIU,54,21-33,455,106
14,Northern Colo.,55,16-38-1,451,105
15,Elon,53,21-32,459,104
16,Alcorn,49,Jun-43,373,104
17,Butler,55,20-35,470,104
18,Ark.-Pine Bluff,49,15-34,400,104
19,Pepperdine,53,15-38,459,102
20,Bryant,57,36-21,490,102
21,SFA,54,Oct-44,440,101
22,Marist,55,20-35,454,100
23,Marshall,55,18-37,479,100
24,Iona,50,Dec-38,422,100
25,Hofstra,57,24-33,488,99
26,Liberty,58,24-34,499,99
27,Norfolk St.,53,Dec-41,466,99
28,Florida A&M,56,29-27,467,98
29,Eastern Mich.,52,14-38,425,98
30,Richmond,59,27-32,508,98
31,Nicholls,60,38-22,521,98
32,Tulane,62,36-26,545,97
33,Alabama A&M,51,13-38,402,97
34,Iowa,54,31-23,470,97
35,Austin Peay,56,35-21,470,96
36,Princeton,44,18-26,380,95
37,Omaha,51,18-32-1,435,95
38,Georgia St.,57,25-32,487,95
39,Pacific,55,Nov-44,465,94
40,Prairie View,55,29-26,455,94
41,FIU,57,27-30,494,94
42,Long Beach St.,55,25-29-1,495,94
43,William & Mary,58,32-26,506,93
44,Xavier,57,30-27,493,93
45,Fordham,52,19-33,444,93
46,Toledo,59,27-32,511,93
47,Milwaukee,55,19-36,463,92
48,Eastern Ky.,58,21-37,481,92
49,Charleston So.,54,22-32,465,92
50,Campbell,53,31-22,464,91
51,Lipscomb,56,22-34,473,91
52,George Washington,57,31-26,498,91
53,Mount St. Mary's,57,22-34-1,490,91
54,Missouri,55,23-32,476,91
55,Seattle U,53,17-36,454,90
56,Georgetown,57,36-21,501,90
57,Western Caro.,54,28-26,467,90
58,Charlotte,58,24-34,492,89
59,Maine,49,Dec-37,399,89
60,Massachusetts,53,24-29,442,89
61,San Francisco,55,21-34,481,89
62,Louisiana Tech,64,45-19,567,89
63,Cal Poly,57,35-22,516,89
64,Oregon St.,61,45-16,530,88
65,Delaware St.,49,22-27,423,88
66,VCU,61,38-23,539,88
67,Old Dominion,57,31-26,495,88
68,Kentucky,62,46-16,543,87
69,Merrimack,59,33-26,510,87
70,UAB,55,26-29,479,87
71,Davidson,52,24-28,437,87
72,Oregon,60,40-20,535,87
73,Jackson St.,56,36-20,469,86
74,Texas St.,56,27-29,483,86
75,VMI,56,27-29,473,86
76,Texas Southern,48,23-25,379,85
77,Wake Forest,60,38-22,523,85
78,Rhode Island,47,19-28,405,85
79,Columbia,44,26-18,384,85
80,UNCW,61,40-21,543,85
81,Bucknell,46,22-24,362,85
82,San Diego,56,41-15,511,84
83,Jacksonville,58,27-31,500,84
84,Gonzaga,53,21-32,452,83
85,NJIT,54,26-28,470,83
86,South Carolina,62,37-25,532,83
87,Ohio,50,18-32,430,83
88,Northern Ky.,59,35-24,498,83
89,FDU,56,26-30,481,82
90,Florida,66,36-30,580,82
91,South Dakota St.,49,20-29,415,82
92,Northwestern,52,18-34,446,82
93,Radford,50,16-34,429,82
94,UC Riverside,52,16-36,454,82
95,Delaware,57,31-26,495,81
96,Florida St.,66,49-17,584,81
97,Indiana,60,33-26-1,523,81
98,Arkansas St.,54,21-32-1,464,81
99,Central Ark.,56,26-30,489,81
100,Grand Canyon,61,36-25,527,81
101,Morehead St.,61,37-24,521,81
102,New Orleans,57,31-26,484,81
103,ETSU,56,36-20,476,80
104,Lehigh,48,24-23-1,390,80
105,Louisiana,62,42-20,540,80
106,Vanderbilt,61,38-23,522,80
107,South Fla.,55,26-29,468,80
108,Middle Tenn.,56,20-36,473,80
109,UAlbany,50,15-34-1,404,80
110,DBU,60,45-15,525,80
111,UNC Asheville,50,22-28,434,80
112,Michigan,60,32-28,535,80
113,George Mason,53,21-32,460,79
114,Quinnipiac,50,20-30,421,79
115,Penn,49,24-25,426,79
116,Oral Roberts,60,27-32-1,527,79
117,Ga. Southern,59,33-26,500,78
118,Grambling,54,26-28,439,78
119,Illinois,56,35-21,490,78
120,Murray St.,57,37-20,500,78
121,A&M-Corpus Christi,57,22-35,493,78
122,Minnesota,48,25-23,421,78
123,UCLA,52,19-33,463,78
124,Manhattan,52,22-30,440,78
125,Jacksonville St.,52,18-34,447,77
