Rank,Name,G,W-L,IP,HA,PG
1,Arkansas,60,44-16,523.2,415,7.13
2,Duke,60,40-20,524.1,426,7.31
3,UC Santa Barbara,58,44-14,516,432,7.53
4,Lamar University,59,44-15,517.1,437,7.6
5,East Carolina,63,46-17,554,474,7.7
6,UCF,58,37-21,509.2,438,7.73
7,Louisiana,62,42-20,540,468,7.8
8,Mississippi St.,63,40-23,553,481,7.83
9,LSU,66,43-23,575.2,501,7.83
10,DBU,60,45-15,525.2,461,7.89
11,Wake Forest,60,38-22,523.1,462,7.95
12,Oregon St.,61,45-16,530.2,470,7.97
13,Iowa,54,31-23,470.2,418,7.99
14,Texas A&M,68,53-15,592,527,8.01
15,Oklahoma St.,61,42-19,544.1,486,8.04
16,San Diego,56,41-15,511.1,461,8.11
17,Kentucky,62,46-16,543.1,490,8.12
18,Oregon,60,40-20,535.1,483,8.12
19,Hawaii,53,37-16,476.1,432,8.16
20,UNCW,61,40-21,543.1,493,8.17
21,Army West Point,54,31-23,438.2,399,8.19
22,Tennessee,73,60-13,622,568,8.22
23,Vanderbilt,61,38-23,522.2,478,8.23
24,TCU,54,33-21,475.1,440,8.33
25,Indiana St.,59,44-15,514,477,8.35
26,Clemson,60,44-16,536.2,501,8.4
27,Old Dominion,57,31-26,495.1,463,8.41
28,Seton Hall,54,24-30,470.2,441,8.43
29,Georgetown,57,36-21,501.1,473,8.49
30,South Carolina,62,37-25,532.2,504,8.52
31,West Virginia,60,36-24,527.1,499,8.52
32,Rice,59,23-36,521,494,8.53
33,Long Beach St.,55,25-29-1,495.2,471,8.55
34,Nebraska,62,40-22,547.1,522,8.58
35,Portland,56,37-19,495.2,476,8.64
36,Cal Poly,57,35-22,516,496,8.65
37,Rutgers,53,28-25,462.1,445,8.66
38,Florida St.,66,49-17,584.1,563,8.67
39,Yale,41,18-23,354.2,343,8.7
40,North Carolina,64,48-16,558.2,542,8.73
41,Wichita St.,61,32-29,527.2,512,8.73
42,William & Mary,58,32-26,506,492,8.75
43,NC State,61,38-23,527,514,8.78
44,California,55,36-19,487,476,8.8
