Rank,Name,G,W-L,IP,SO,K/9
1,Arkansas,60,44-16,523.2,706,12.1
2,Wake Forest,60,38-22,523.1,690,11.9
3,TCU,54,33-21,475.1,606,11.5
4,LSU,66,43-23,575.2,733,11.5
5,Iowa,54,31-23,470.2,578,11.1
6,Oklahoma St.,61,42-19,544.1,663,11
7,Texas A&M,68,53-15,592,715,10.9
8,Florida,66,36-30,580,689,10.7
9,Florida St.,66,49-17,584.1,694,10.7
10,Georgia,60,43-17,515.1,606,10.6
11,Duke,60,40-20,524.1,612,10.5
12,Charlotte,58,24-34,492.2,572,10.4
13,Mississippi St.,63,40-23,553,639,10.4
14,Indiana St.,59,44-15,514,592,10.4
15,Houston,54,26-28,472,540,10.3
16,Vanderbilt,61,38-23,522.2,595,10.2
17,East Carolina,63,46-17,554,630,10.2
18,Arizona St.,58,32-26,503,572,10.2
19,Ole Miss,56,27-29,480.1,542,10.2
20,William & Mary,58,32-26,506,570,10.1
21,Indiana,60,33-26-1,523,589,10.1
22,Tennessee,73,60-13,622,700,10.1
23,Penn,49,24-25,426.1,476,10
24,San Diego,56,41-15,511.1,569,10
25,DBU,60,45-15,525.2,584,10
26,Omaha,51,18-32-1,435.2,483,10
27,Louisiana,62,42-20,540,597,10
28,South Carolina,62,37-25,532.2,588,9.9
29,Saint Joseph's,55,29-26,474.1,521,9.9
30,Ball St.,59,35-23-1,504.2,553,9.9
31,Southern Miss.,63,43-20,550.2,602,9.8
32,Louisiana Tech,64,45-19,567,619,9.8
33,Kansas St.,61,35-26,546.2,590,9.7
34,Stanford,55,22-33,481,517,9.7
35,Little Rock,56,32-24,496.1,531,9.6
36,Presbyterian,56,29-27,486,519,9.6
37,Winthrop,49,19-29-1,413.1,440,9.6
38,Clemson,60,44-16,536.2,571,9.6
39,Portland,56,37-19,495.2,527,9.6
40,Grand Canyon,61,36-25,527.2,561,9.6
41,San Diego St.,54,17-37,466.1,494,9.5
42,Auburn,53,27-26,451.1,478,9.5
43,Longwood,52,23-29,431.2,457,9.5
44,Gonzaga,53,21-32,452.2,479,9.5
