Rank,Name,G,W-L,IP,R,ER,ERA
124,ULM,55,25-30,478,341,308,5.8
125,James Madison,61,36-25,530.2,380,342,5.8
126,North Florida,52,21-30-1,449.2,373,290,5.8
127,Missouri,55,23-32,476,348,307,5.8
128,Saint Joseph's,55,29-26,474.1,356,307,5.83
129,Liberty,58,24-34,499,387,323,5.83
130,Coastal Carolina,61,36-25,534.1,380,346,5.83
131,UT Arlington,56,22-34,478,358,311,5.86
132,Central Ark.,56,26-30,489,346,319,5.87
133,Ole Miss,56,27-29,480.1,369,314,5.88
134,Notre Dame,52,27-25,447.2,321,293,5.89
135,Cincinnati,57,32-25,498,369,326,5.89
136,LMU (CA),54,24-30,475,348,311,5.89
137,BYU,52,21-31,461,346,302,5.9
138,Michigan,60,32-28,535.1,405,351,5.9
139,USC Upstate,60,36-24,516,398,339,5.91
140,Murray St.,57,37-20,500.1,380,329,5.92
141,Wagner,56,26-30,489,383,322,5.93
142,Illinois,56,35-21,490.1,358,323,5.93
143,Auburn,53,27-26,451.1,337,298,5.94
144,Southern Ill.,60,33-27,527,406,348,5.94
145,South Fla.,55,26-29,468,345,310,5.96
146,Omaha,51,18-32-1,435.2,333,289,5.97
147,High Point,62,35-27,542.1,411,363,6.02
148,Missouri St.,57,23-34,486.2,392,326,6.03
149,Kent St.,54,27-27,465.2,352,312,6.03
150,FGCU,56,30-26,479.2,368,322,6.04
151,NC State,61,38-23,527,383,354,6.05
152,Florida,66,36-30,580,413,390,6.05
153,Ball St.,59,35-23-1,504.2,388,340,6.06
154,Alabama St.,56,29-27,470.1,392,317,6.07
155,Marshall,55,18-37,479,386,324,6.09
156,Dayton,55,33-22,481.1,371,326,6.1
157,Gardner-Webb,53,22-31,454.1,353,308,6.1
158,FIU,57,27-30,494.2,445,338,6.15
159,Washington St.,53,21-32,466,349,319,6.16
160,Evansville,65,39-26,551.2,418,378,6.17
161,Pittsburgh,55,26-29,465.1,366,320,6.19
162,Texas Tech,59,33-26,510.1,398,351,6.19
163,Indiana,60,33-26-1,523,410,361,6.21
164,Samford,58,36-22,487.1,397,337,6.22
165,Milwaukee,55,19-36,463.2,376,322,6.25
166,Winthrop,49,19-29-1,413.1,348,288,6.27
167,Xavier,57,30-27,493.2,399,344,6.27
168,The Citadel,53,21-32,460.2,357,322,6.29
169,Ohio St.,55,29-26,475,377,335,6.35
170,Mercer,58,29-29,505,401,357,6.36
171,McNeese,59,32-27,518.2,416,368,6.39
172,Penn,49,24-25,426.1,350,303,6.4
173,ETSU,56,36-20,476.2,386,340,6.42
174,Jacksonville,58,27-31,500.1,417,357,6.42
175,Massachusetts,53,24-29,442.1,365,316,6.43
176,Charlotte,58,24-34,492.2,405,352,6.43
177,San Jose St.,57,24-33,498,408,356,6.43
178,UNLV,52,26-26,450,366,322,6.44
179,UIW,57,26-31,477.1,406,342,6.45
180,A&M-Corpus Christi,57,22-35,493.2,409,354,6.45
181,UT Martin,56,21-35,482.1,419,346,6.46
182,LIU,58,33-25,499.2,400,359,6.47
183,Georgia Tech,58,33-25,497.1,388,358,6.48
184,UIC,55,35-20,475,363,342,6.48
185,N.C. A&T,53,25-28,459.2,389,331,6.48
186,Illinois St.,57,30-27,483,388,348,6.48
187,Canisius,48,18-30,408,336,294,6.49
188,Michigan St.,51,24-27,450.2,359,325,6.49
189,New Orleans,57,31-26,484.2,393,350,6.5
190,Louisville,56,32-24,483,389,349,6.5
191,Baylor,53,22-31,463.1,389,335,6.51
192,Radford,50,16-34,429.1,362,311,6.52
193,Stanford,55,22-33,481,384,349,6.53
194,Arizona St.,58,32-26,503,414,365,6.53
195,Air Force,55,27-28,468.2,388,341,6.55
196,Belmont,58,26-32,500.1,398,367,6.6
197,Memphis,55,23-32,489.1,411,360,6.62
198,Boston College,53,22-31,459,379,338,6.63
199,Delaware,57,31-26,495.1,404,365,6.63
200,Villanova,51,18-33,435.1,364,321,6.64
201,Penn St.,53,29-24,458.1,381,338,6.64
202,Merrimack,59,33-26,510,424,378,6.67
203,Holy Cross,53,26-27,424.1,366,315,6.68
204,UMass Lowell,55,24-31,469,394,349,6.7
205,Central Conn. St.,42,18-24,366.2,302,273,6.7
206,Fordham,52,19-33,444.1,374,333,6.74
207,Northwestern St.,55,22-33,463,393,347,6.75
208,Charleston So.,54,22-32,465,428,349,6.75
209,Rider,51,28-23,438,351,329,6.76
210,Nevada,51,25-26,445,370,335,6.78
211,Bowling Green,53,33-20,455.1,390,344,6.8
212,Arkansas St.,54,21-32-1,464,426,351,6.81
213,Harvard,39,13-26,332,292,253,6.86
214,Lipscomb,56,22-34,473.1,409,362,6.88
215,Quinnipiac,50,20-30,421.2,397,324,6.92
216,App State,55,33-21-1,479.2,403,369,6.92
217,UNC Asheville,50,22-28,434,370,335,6.95
218,Northwestern,52,18-34,446.2,373,345,6.95
219,North Dakota St.,51,20-30-1,437.1,380,338,6.96
220,Miami (OH),54,27-27,473,400,366,6.96
221,Western Caro.,54,28-26,467,417,362,6.98
222,Campbell,53,31-22,464.2,404,361,6.99
223,North Ala.,54,18-35-1,456.2,407,355,7
224,Morehead St.,61,37-24,521,454,411,7.1
225,Seattle U,53,17-36,454.2,400,359,7.11
226,NJIT,54,26-28,470.2,444,372,7.11
227,Longwood,52,23-29,431.2,392,342,7.13
228,George Mason,53,21-32,460.1,417,365,7.14
229,St. Bonaventure,49,18-31,413.2,397,328,7.14
230,Richmond,59,27-32,508,464,403,7.14
231,Ark.-Pine Bluff,49,15-34,400.2,400,319,7.17
232,Utah Valley,58,29-29,503,450,401,7.17
233,Princeton,44,18-26,380.2,359,304,7.19
234,Rhode Island,47,19-28,405.2,371,324,7.19
235,Bucknell,46,22-24,362,361,291,7.23
236,VMI,56,27-29,473.2,441,381,7.24
237,Elon,53,21-32,459,449,370,7.25
238,Mount St. Mary's,57,22-34-1,490,457,395,7.26
239,Eastern Ill.,53,20-33,461.1,434,372,7.26
240,San Diego St.,54,17-37,466.1,436,378,7.3
241,Gonzaga,53,21-32,452.2,409,370,7.36
242,Columbia,44,26-18,384,364,314,7.36
243,Georgia St.,57,25-32,487.1,469,399,7.37
244,Northern Ky.,59,35-24,498,450,408,7.37
245,Middle Tenn.,56,20-36,473.1,473,388,7.38
246,Davidson,52,24-28,437,394,363,7.48
247,Austin Peay,56,35-21,470.1,443,391,7.48
248,Valparaiso,52,14-38,436,417,363,7.49
249,Central Mich.,55,17-38,462.1,429,385,7.49
250,Towson,54,15-39,463,465,386,7.5
251,Siena,52,Dec-40,424,465,354,7.51
252,Brown,39,28-Nov,328,315,274,7.52
253,Oakland,58,31-27,498.1,460,417,7.53
254,Akron,54,15-39,456.1,453,385,7.59
255,Pepperdine,53,15-38,459,436,389,7.63
256,UC Riverside,52,16-36,454,455,385,7.63
257,Norfolk St.,53,Dec-41,466.2,502,396,7.64
258,South Dakota St.,49,20-29,415.2,458,353,7.64
259,Jacksonville St.,52,18-34,447,421,383,7.71
260,New Mexico,54,28-26,462,442,396,7.71
261,Southern U.,51,22-29,420.2,447,364,7.79
262,Cornell,38,17-21,331,314,287,7.8
263,Delaware St.,49,22-27,423.1,420,368,7.82
264,Iona,50,Dec-38,422.1,451,369,7.86
265,Bradley,51,13-37-1,412.1,428,361,7.88
266,SIUE,56,21-34-1,473,470,415,7.9
267,Marist,55,20-35,454.1,439,400,7.92
268,Houston Christian,49,18-31,401.1,406,358,8.03
269,Prairie View,55,29-26,455.2,496,409,8.08
270,Hofstra,57,24-33,488.2,487,439,8.09
271,Dartmouth,39,13-26,333,364,302,8.16
272,Eastern Ky.,58,21-37,481.2,505,438,8.18
273,Wright St.,56,32-24,482,491,439,8.2
274,New Mexico St.,54,25-29,453.1,480,419,8.32
275,Ohio,50,18-32,430,442,398,8.33
276,Purdue Fort Wayne,56,19-37,461.2,491,428,8.34
277,UAlbany,50,15-34-1,404.1,425,375,8.35
278,Grambling,54,26-28,439,445,408,8.36
279,NIU,54,21-33,455.1,458,424,8.38
280,Eastern Mich.,52,14-38,425.1,472,401,8.49
281,Pacific,55,Nov-44,465,505,446,8.63
282,Northern Colo.,55,16-38-1,451,507,436,8.7
283,Maine,49,Dec-37,399.1,456,394,8.88
284,Texas Southern,48,23-25,379.2,422,383,9.08
285,Western Ill.,50,13-37,420.1,482,425,9.1
286,Mississippi Val.,46,Dec-34,361,440,376,9.37
287,SFA,54,Oct-44,440,554,462,9.45
288,Lafayette,49,14-35,389.2,490,410,9.47
289,Butler,55,20-35,470.2,551,497,9.5
290,Saint Peter's,52,Dec-40,422.1,538,470,10.02
291,Coppin St.,45,Dec-33,388,499,438,10.16
292,Alabama A&M,51,13-38,402.1,570,457,10.22
293,Youngstown St.,60,16-44,491,633,562,10.3
294,UMES,48,0-48,388.2,567,489,11.32
295,Alcorn,49,Jun-43,373.1,599,508,12.25
296,UC San Diego,53,30-23,477.1,308,281,5.3
297,Tarleton St.,61,32-29,528.1,356,326,5.55
298,Southern Ind.,59,27-32,509.2,372,325,5.74
299,Lindenwood,54,16-38,464.1,344,308,5.97
300,St. Thomas (MN),46,22-24,398.1,318,281,6.35
301,Le Moyne,50,22-27-1,428.2,380,314,6.59
302,Stonehill,47,18-29,403.2,364,297,6.62
303,Utah Tech,56,14-42,475.2,477,427,8.08
304,Queens (NC),55,14-41,462,514,451,8.79
305,Bellarmine,55,Oct-45,431,587,518,10.82
