Rank,Name,App,W-L,IP,SO,BB,K/BB
1,Arizona,0,36-23,524,515,149,3.46
2,Oklahoma St.,0,42-19,544,663,198,3.35
3,Tennessee,0,60-13,622,700,210,3.33
4,Texas A&M,0,53-15,592,715,219,3.26
5,Arkansas,0,44-16,523,706,227,3.11
6,Fresno St.,0,33-29,536,558,183,3.05
7,Nebraska,0,40-22,547,527,177,2.98
8,Mississippi St.,0,40-23,553,639,217,2.94
9,Hawaii,0,37-16,476,471,162,2.91
10,Old Dominion,0,31-26,495,522,184,2.84
11,San Diego,0,41-15,511,569,204,2.79
12,Sam Houston,0,34-24,504,471,170,2.77
13,LSU,0,43-23,575,733,267,2.75
14,Grand Canyon,0,36-25,527,561,206,2.72
15,Southern Miss.,0,43-20,550,602,229,2.63
16,DBU,0,45-15,525,584,224,2.61
17,East Carolina,0,46-17,554,630,243,2.59
18,Fairfield,0,34-24,496,484,187,2.59
19,Sacramento St.,0,26-31,500,459,180,2.55
20,TCU,0,33-21,475,606,238,2.55
21,Vanderbilt,0,38-23,522,595,235,2.53
22,UC Santa Barbara,0,44-14,516,538,213,2.53
23,Wake Forest,0,38-22,523,690,277,2.49
24,Oregon St.,0,45-16,530,557,225,2.48
25,Wofford,0,42-20,534,497,201,2.47
26,Western Ky.,0,36-22,495,490,200,2.45
27,Kansas St.,0,35-26,546,590,243,2.43
28,California,0,36-19,487,506,210,2.41
29,Louisiana Tech,0,45-19,567,619,257,2.41
30,Cal Poly,0,35-22,516,471,196,2.4
31,Portland,0,37-19,495,527,221,2.38
32,UTSA,0,32-24,492,466,196,2.38
33,Utah,0,33-22,492,406,171,2.37
34,Presbyterian,0,29-27,486,519,219,2.37
35,Clemson,0,44-16,536,571,242,2.36
36,UCF,0,37-21,509,509,216,2.36
37,Long Beach St.,0,25-29-1,495,489,208,2.35
38,Murray St.,0,37-20,500,470,201,2.34
39,UC Irvine,0,45-14,537,561,240,2.34
40,William & Mary,0,32-26,506,570,245,2.33
41,Lamar University,0,44-15,517,458,198,2.31
42,Kansas,0,31-23,470,495,215,2.3
43,Tennessee Tech,0,29-26,482,430,187,2.3
44,Florida St.,0,49-17,584,694,304,2.28
45,South Carolina,0,37-25,532,588,260,2.26
46,Florida,0,36-30,580,689,305,2.26
47,ETSU,0,36-20,476,456,202,2.26
48,Dayton,0,33-22,481,463,206,2.25
49,Auburn,0,27-26,451,478,213,2.24
50,Alabama,0,33-24,489,493,220,2.24
51,Georgia,0,43-17,515,606,271,2.24
52,Abilene Christian,0,33-25,493,520,233,2.23
53,Kent St.,0,27-27,465,466,210,2.22
54,North Carolina,0,48-16,558,549,249,2.2
55,Louisiana,0,42-20,540,597,271,2.2
56,Duke,0,40-20,524,612,278,2.2
57,Ole Miss,0,27-29,480,542,247,2.19
58,Indiana St.,0,44-15,514,592,270,2.19
59,Northeastern,0,38-17,483,416,190,2.19
60,UTRGV,0,29-25,471,475,217,2.19
61,Houston,0,26-28,472,540,247,2.19
62,UConn,0,35-26,530,541,248,2.18
63,Virginia Tech,0,32-22,470,494,227,2.18
64,Cal St. Fullerton,0,16-38,472,452,208,2.17
65,Coastal Carolina,0,36-25,534,510,235,2.17
66,Western Mich.,0,32-23,480,444,207,2.14
67,Col. of Charleston,0,41-14,491,364,170,2.14
68,UT Arlington,0,22-34,478,333,156,2.13
69,VMI,0,27-29,473,426,200,2.13
70,Winthrop,0,19-29-1,413,440,207,2.13
71,Oklahoma,0,40-21,533,564,266,2.12
72,Louisville,0,32-24,483,496,235,2.11
73,Miami (FL),0,27-30,501,512,243,2.11
74,Pittsburgh,0,26-29,465,474,226,2.1
75,Indiana,0,33-26-1,523,589,281,2.1
76,Missouri,0,23-32,476,459,220,2.09
77,Kentucky,0,46-16,543,555,268,2.07
78,Georgia Tech,0,33-25,497,510,248,2.06
79,Santa Clara,0,26-26,466,440,214,2.06
80,Tulane,0,36-26,545,511,249,2.05
81,Saint Louis,0,37-16,462,385,188,2.05
82,Charlotte,0,24-34,492,572,280,2.04
83,ULM,0,25-30,478,471,231,2.04
84,Purdue,0,33-24,499,417,205,2.03
85,Nicholls,0,38-22,521,519,256,2.03
86,UAB,0,26-29,479,419,207,2.02
87,Penn,0,24-25,426,476,237,2.01
88,Ga. Southern,0,33-26,500,419,209,2
89,USC Upstate,0,36-24,516,510,255,2
90,Southern California,0,31-28,523,497,249,2
91,FDU,0,26-30,481,498,250,1.99
92,Saint Mary's (CA),0,34-22,489,456,229,1.99
93,Saint Joseph's,0,29-26,474,521,263,1.98
94,South Fla.,0,26-29,468,451,228,1.98
95,Oral Roberts,0,27-32-1,527,482,244,1.98
96,Southeast Mo. St.,0,36-27,548,468,237,1.97
97,Oregon,0,40-20,535,550,279,1.97
98,Binghamton,0,21-29,428,394,200,1.97
99,UNLV,0,26-26,450,385,196,1.96
100,LMU (CA),0,24-30,475,488,249,1.96
101,Stetson,0,41-22,539,492,252,1.95
102,Little Rock,0,32-24,496,531,273,1.95
103,New Orleans,0,31-26,484,435,224,1.94
104,West Virginia,0,36-24,527,538,278,1.94
105,Central Ark.,0,26-30,489,478,247,1.94
106,Texas,0,36-24,537,497,258,1.93
