,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,OBP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
1,Texas,72,2434,734,0.302,10.194444444444445,33.80555555555556,0.30156121610517667,237.0,3.2916666666666665,646.0,201,2.8,245,1938,783,62,0.978,10.875,0.8611111111111112,470.0,6.527777777777778,1078,0.443,7.258513931888545,3.3018575851393193,1.215170278637771,0.37236363636363634,0.8153636363636363,0.767,0.34009470361276745,34.89274780511795,0.3352944337518818,2.2985753179202155,2.6338697516720972,0.14103618421052633,107.97517822618555,0.08312872676253946,0.2758340113913751,3.413312693498452,0.47053363740560256,0.7535382987909977,2.19831223628692,6.3,Big 12
2,Nebraska,72,2447,739,0.302,10.26388888888889,33.986111111111114,0.3020024519820188,187.0,2.5972222222222223,643.0,192,2.69,235,1929,837,72,0.975,11.625,1.0,487.0,6.763888888888889,1098,0.449,7.5303265940902016,2.6174183514774496,1.115085536547434,0.36688548504741064,0.8158854850474107,0.791,0.3392827004219409,29.773701609809113,0.2861040488331552,2.520726877808763,2.806830926641918,0.14665032679738563,106.8219052414244,0.06575246132208158,0.27140549273021003,3.2892690513219285,0.1865703417791901,0.7431170903841088,2.877005347593583,6.08,Big 12
3,Ole Miss,68,2361,759,0.321,11.161764705882353,34.720588235294116,0.32147395171537485,196.0,2.8823529411764706,600.1,245,3.67,283,1801,662,65,0.974,9.735294117647058,0.9558823529411765,501.0,7.367647058823529,1174,0.497,8.425319267073847,2.938367573570239,1.3197800366605565,0.3821536144578313,0.8791536144578314,0.74,0.368019985196151,197.5271101791466,1.898094725243972,2.0615233291742947,3.9596180544182666,0.17577297755188478,147.63693473872075,0.07253886010362694,0.2825,4.244292617897017,0.10613049732343918,0.6997351151204142,2.86734693877551,5.85,SEC
4,Cal St. Fullerton,64,2244,688,0.307,10.75,35.0625,0.3065953654188948,176.0,2.75,573.0,227,3.57,264,1719,671,56,0.977,10.484375,0.875,480.0,7.5,1038,0.463,7.303664921465969,2.7643979057591626,1.1919720767888307,0.37985103880831045,0.8428510388083105,0.749,0.3518944570994685,99.97934390991264,0.9607302265326852,1.581839945170605,2.5425701717032902,0.1560410164957646,124.73414798984048,0.06681852695520121,0.2772146319964742,4.146596858638743,0.28344344349663647,0.673398453133555,2.6420454545454546,5.53,Big West
5,Tennessee,67,2384,788,0.331,11.761194029850746,35.582089552238806,0.33053691275167785,237.0,3.537313432835821,585.1,235,3.61,291,1756,751,73,0.972,11.208955223880597,1.0895522388059702,532.0,7.940298507462686,1187,0.498,8.733485193621867,3.644077448747152,1.3194325756280978,0.40366300366300367,0.9016630036630037,0.751,0.37082307421737604,225.2042144422256,2.164051968096016,1.7288908664240041,3.89294283452002,0.1669463087248322,151.6181097865291,0.0833626450932114,0.2980132450331126,4.476157921722782,0.28348992798451594,0.6790257342385907,2.3966244725738397,5.46,SEC
6,Tulane,68,2338,743,0.318,10.926470588235293,34.38235294117647,0.3177929854576561,183.0,2.6911764705882355,602.0,257,3.84,290,1806,614,68,0.973,9.029411764705882,1.0,541.0,7.955882352941177,1177,0.503,8.656146179401993,2.7358803986710964,1.2857142857142858,0.3796648895658797,0.8826648895658797,0.758,0.36538404452690165,181.5319816762967,1.7443929421655693,2.188461503431804,3.932854445597373,0.1847733105218135,143.89315737722535,0.0679035250463822,0.2774030354131535,4.335548172757475,-0.01546692451196701,0.6822492804249549,3.1639344262295084,5.41,Conference USA
7,Virginia,61,2027,588,0.29,9.639344262295081,33.22950819672131,0.2900838677849038,164.0,2.6885245901639343,538.2,164,2.74,199,1616,661,58,0.975,10.836065573770492,0.9508196721311475,371.0,6.081967213114754,816,0.403,6.883663366336634,2.7400990099009905,1.138981791155704,0.36169284467713786,0.7646928446771379,0.758,0.32327433628318586,-57.9545624353381,-0.5569020331567176,1.0833918497775574,0.5264898166208398,0.11248149975333005,84.08552427640304,0.06911083017277707,0.2696245733788396,3.327759197324414,0.382676011489047,0.7458569104931387,2.5121951219512195,5.12,ACC
8,Rice,64,2194,643,0.293,10.046875,34.28125,0.29307201458523247,209.0,3.265625,565.1,208,3.31,248,1696,745,82,0.967,11.640625,1.28125,432.0,6.75,1000,0.456,9.090212264150942,3.3272405660377355,1.1909396566979296,0.3678115015974441,0.8238115015974441,0.734,0.3474343909126518,72.08696381816429,0.692704336422555,1.6422083156742575,2.3349126520968126,0.1627164995442115,118.39959918312148,0.08186447316882099,0.25965858041329737,3.949743408246328,0.08744132564780163,0.6941982405617761,2.7320574162679425,5.06,Western Athletic
9,Col. of Charleston,63,2292,814,0.355,12.920634920634921,36.38095238095238,0.3551483420593368,184.0,2.9206349206349205,568.0,256,4.06,319,1704,653,76,0.969,10.365079365079366,1.2063492063492063,553.0,8.777777777777779,1196,0.522,8.065140845070422,2.915492957746479,1.3838028169014085,0.42127496159754224,0.9432749615975422,0.732,0.3887606363300037,319.79153865879255,3.072968728977992,1.6218834181630326,4.694852147141025,0.16666666666666666,177.09449464643475,0.0680725120236774,0.3257216716932357,5.054577464788732,0.15773615940760022,0.6431029476907256,2.766304347826087,5.0,Southern
10,Louisiana,67,2365,774,0.327,11.552238805970148,35.298507462686565,0.32727272727272727,190.0,2.8358208955223883,599.0,253,3.8,288,1797,664,92,0.964,9.91044776119403,1.373134328358209,551.0,8.223880597014926,1170,0.495,8.248747913188648,2.8547579298831387,1.2954924874791318,0.3833145434047351,0.878314543404735,0.766,0.36260218978102193,167.94978796938696,1.6138777424598383,2.0488677267438287,3.662745469203667,0.16744186046511628,139.94214097458416,0.06934306569343066,0.29358178053830225,4.3272120200333895,0.10495819175916578,0.685039336702878,2.889473684210526,4.8,Sun Belt
