,team,power_rating,conference,week,year
1,Ohio State,30.7,Big Ten,8,2024
2,Texas,26.8,SEC,8,2024
3,Alabama,25.7,SEC,8,2024
4,Georgia,21.3,SEC,8,2024
5,Clemson,21.3,ACC,8,2024
6,Penn State,21.2,Big Ten,8,2024
7,Notre Dame,20.9,FBS Independents,8,2024
8,Miami,20.8,ACC,8,2024
9,Oregon,19.1,Big Ten,8,2024
10,Texas A&M,18.6,SEC,8,2024
11,Tennessee,17.4,SEC,8,2024
12,Indiana,16.1,Big Ten,8,2024
13,LSU,15.7,SEC,8,2024
14,Ole Miss,15.5,SEC,8,2024
15,Oklahoma,14.7,SEC,8,2024
16,USC,14.2,Big Ten,8,2024
17,Missouri,13.9,SEC,8,2024
18,Wisconsin,12,Big Ten,8,2024
19,Florida,11.8,SEC,8,2024
20,Nebraska,11.7,Big Ten,8,2024
21,Arkansas,11.4,SEC,8,2024
22,Iowa,10.7,Big Ten,8,2024
23,Michigan,10.7,Big Ten,8,2024
24,Washington,10.5,Big Ten,8,2024
25,Louisville,10.4,ACC,8,2024
26,Georgia Tech,9.9,ACC,8,2024
27,Minnesota,9.8,Big Ten,8,2024
28,Auburn,9.5,SEC,8,2024
29,Boston College,9.4,ACC,8,2024
30,Iowa State,9.4,Big 12,8,2024
31,Pittsburgh,9.2,ACC,8,2024
32,Utah,9.2,Big 12,8,2024
33,Arizona State,9.1,Big 12,8,2024
34,SMU,9,ACC,8,2024
35,Boise State,8.9,Mountain West,8,2024
36,Kentucky,8.6,SEC,8,2024
37,Cincinnati,6.6,Big 12,8,2024
38,Kansas State,6.5,Big 12,8,2024
39,Maryland,6.4,Big Ten,8,2024
40,Colorado,6.4,Big 12,8,2024
41,South Carolina,6,SEC,8,2024
42,UCF,6,Big 12,8,2024
43,Virginia Tech,5.7,ACC,8,2024
44,Baylor,5.6,Big 12,8,2024
45,North Carolina,5.3,ACC,8,2024
46,Tulane,5.1,American Athletic,8,2024
47,Army,5,American Athletic,8,2024
48,West Virginia,4.8,Big 12,8,2024
49,Illinois,4.7,Big Ten,8,2024
50,Memphis,4.6,American Athletic,8,2024
51,Texas Tech,4.1,Big 12,8,2024
52,California,4.1,ACC,8,2024
53,BYU,3.9,Big 12,8,2024
54,TCU,3.8,Big 12,8,2024
55,Vanderbilt,3.5,SEC,8,2024
56,Rutgers,3.4,Big Ten,8,2024
57,NC State,3.3,ACC,8,2024
58,Duke,3.3,ACC,8,2024
59,Navy,3.2,American Athletic,8,2024
60,Syracuse,3,ACC,8,2024
61,Virginia,2.9,ACC,8,2024
62,Washington State,2.4,Pac-12,8,2024
63,Stanford,2.3,ACC,8,2024
64,Florida State,2.2,ACC,8,2024
65,Oklahoma State,1.8,Big 12,8,2024
66,Northwestern,1.7,Big Ten,8,2024
67,Kansas,1.2,Big 12,8,2024
68,South Alabama,0.1,Sun Belt,8,2024
69,Mississippi State,0.1,SEC,8,2024
70,Michigan State,0.1,Big Ten,8,2024
71,Arizona,-0.1,Big 12,8,2024
72,Toledo,-1.1,Mid-American,8,2024
73,Louisiana,-1.6,Sun Belt,8,2024
74,UNLV,-1.9,Mountain West,8,2024
75,Florida Atlantic,-2.3,American Athletic,8,2024
76,Houston,-2.5,Big 12,8,2024
77,Fresno State,-2.8,Mountain West,8,2024
78,Texas State,-3.2,Sun Belt,8,2024
79,East Carolina,-3.5,American Athletic,8,2024
80,Sam Houston,-3.6,Conference USA,8,2024
81,James Madison,-3.8,Sun Belt,8,2024
82,Marshall,-4,Sun Belt,8,2024
83,South Florida,-4.2,American Athletic,8,2024
84,San José State,-4.9,Mountain West,8,2024
85,Louisiana Tech,-5.1,Conference USA,8,2024
86,North Texas,-5.3,American Athletic,8,2024
87,Coastal Carolina,-5.4,Sun Belt,8,2024
88,UCLA,-5.6,Big Ten,8,2024
89,Purdue,-5.6,Big Ten,8,2024
90,Northern Illinois,-5.8,Mid-American,8,2024
91,Western Kentucky,-6.2,Conference USA,8,2024
92,Rice,-6.2,American Athletic,8,2024
93,UConn,-6.6,FBS Independents,8,2024
94,Georgia State,-6.7,Sun Belt,8,2024
95,Charlotte,-6.8,American Athletic,8,2024
96,Wake Forest,-7,ACC,8,2024
97,Oregon State,-7.2,Pac-12,8,2024
98,UTSA,-7.3,American Athletic,8,2024
99,Western Michigan,-7.6,Mid-American,8,2024
100,Bowling Green,-7.7,Mid-American,8,2024
101,Florida International,-8.9,Conference USA,8,2024
102,Hawai'i,-9.1,Mountain West,8,2024
103,Tulsa,-9.5,American Athletic,8,2024
104,Miami (OH),-9.6,Mid-American,8,2024
105,Liberty,-9.6,Conference USA,8,2024
106,Colorado State,-10.3,Mountain West,8,2024
107,Georgia Southern,-10.6,Sun Belt,8,2024
108,San Diego State,-11,Mountain West,8,2024
109,Temple,-11.3,American Athletic,8,2024
110,Troy,-11.9,Sun Belt,8,2024
111,Jacksonville State,-12.2,Conference USA,8,2024
112,Old Dominion,-12.4,Sun Belt,8,2024
113,Ohio,-12.6,Mid-American,8,2024
114,Nevada,-12.8,Mountain West,8,2024
115,Massachusetts,-13.1,FBS Independents,8,2024
116,Eastern Michigan,-13.4,Mid-American,8,2024
117,Southern Miss,-14.5,Sun Belt,8,2024
118,Arkansas State,-14.8,Sun Belt,8,2024
119,App State,-15.4,Sun Belt,8,2024
120,UL Monroe,-15.4,Sun Belt,8,2024
121,Central Michigan,-15.5,Mid-American,8,2024
122,Buffalo,-15.5,Mid-American,8,2024
123,Akron,-15.7,Mid-American,8,2024
124,UAB,-16.3,American Athletic,8,2024
125,Utah State,-16.6,Mountain West,8,2024
126,Ball State,-18.8,Mid-American,8,2024
127,Middle Tennessee,-19.2,Conference USA,8,2024
128,Kent State,-20.1,Mid-American,8,2024
129,Wyoming,-20.2,Mountain West,8,2024
130,New Mexico,-20.4,Mountain West,8,2024
131,UTEP,-20.6,Conference USA,8,2024
132,New Mexico State,-23.2,Conference USA,8,2024
133,Air Force,-23.7,Mountain West,8,2024
134,Kennesaw State,-28.1,Conference USA,8,2024
