,Rank,Team,Conference
0,1,Arkansas,SEC
1,2,Oregon State,Pac12
2,3,Florida,SEC
3,4,Ole Miss,SEC
4,5,North Carolina,ACC
5,6,Stanford,Pac12
6,7,Stetson,AtlSun
7,8,Texas Tech,Big12
8,9,Auburn,SEC
9,10,Georgia,SEC
10,11,Florida State,ACC
11,12,Minnesota,Big10
12,13,Clemson,ACC
13,14,Duke,ACC
14,15,Tennessee Tech,OVC
15,16,East Carolina,AAC
16,17,Texas A&M,SEC
17,18,Mississippi State,SEC
18,19,Texas,Big12
19,20,Connecticut,AAC
20,21,Louisville,ACC
21,22,UCLA,Pac12
22,23,Jacksonville,AtlSun
23,24,North Carolina State,ACC
24,25,Coastal Carolina,SBC
25,26,LSU,SEC
26,27,Missouri State,MVC
27,28,South Carolina,SEC
28,29,South Florida,AAC
29,30,Florida Atlantic,ConfUSA
30,31,Kentucky,SEC
31,32,Vanderbilt,SEC
32,33,St. John's,BigEast
33,34,Indiana,Big10
34,35,Baylor,Big12
35,36,Oklahoma State,Big12
36,37,Dallas Baptist,MVC
37,38,Southern Miss,ConfUSA
38,39,Northeastern,CAA
39,40,Purdue,Big10
40,41,Troy,SBC
41,42,Houston,AAC
42,43,Oklahoma,Big12
43,44,Cal State Fullerton,BigWest
44,45,Central Florida,AAC
45,46,Ohio State,Big10
46,47,Missouri,SEC
47,48,Arizona,Pac12
48,49,Washington,Pac12
49,50,Illinois,Big10
50,51,South Alabama,SBC
51,52,West Virginia,Big12
52,53,San Diego State,MWC
53,54,Wichita State,AAC
54,55,Sam Houston State,Sthland
55,56,Georgia Tech,ACC
56,57,Texas Christian,Big12
57,58,UL Lafayette,SBC
58,59,Kent State,MAC
59,60,UNC Wilmington,CAA
60,61,Louisiana Tech,ConfUSA
61,62,Creighton,BigEast
62,63,Michigan,Big10
63,64,Gonzaga,WCC
64,65,Miami,ACC
65,66,Nevada,MWC
66,67,UNC Greensboro,SoCon
67,68,Col of Charleston,CAA
68,69,Wright State,Horiz
69,70,Seton Hall,BigEast
70,71,Wake Forest,ACC
71,72,California,Pac12
72,73,Indiana State,MVC
73,74,UNLV,MWC
74,75,Tennessee,SEC
75,76,Wagner,NEC
76,77,Army,Patriot
77,78,Iowa,Big10
