,Rank,Team,Conference
0,1,Vanderbilt,SEC
1,2,UCLA,Pac12
2,3,Georgia,SEC
3,4,Mississippi State,SEC
4,5,East Carolina,AAC
5,6,Arkansas,SEC
6,7,Oklahoma State,Big12
7,8,Georgia Tech,ACC
8,9,Louisville,ACC
9,10,Stanford,Pac12
10,11,Texas Tech,Big12
11,12,North Carolina,ACC
12,13,West Virginia,Big12
13,14,Tennessee,SEC
14,15,Texas A&M,SEC
15,16,LSU,SEC
16,17,Miami,ACC
17,18,North Carolina State,ACC
18,19,Auburn,SEC
19,20,Oregon State,Pac12
20,21,UC Santa Barbara,BigWest
21,22,Ole Miss,SEC
22,23,Creighton,BigEast
23,24,Indiana State,MVC
24,25,Dallas Baptist,MVC
25,26,Illinois State,MVC
26,27,Florida,SEC
27,28,Illinois,Big10
28,29,Connecticut,AAC
29,30,California,Pac12
30,31,Missouri,SEC
31,32,Baylor,Big12
32,33,Arizona State,Pac12
33,34,Fresno State,MWC
34,35,Nebraska,Big10
35,36,Indiana,Big10
36,37,Florida Atlantic,ConfUSA
37,38,Clemson,ACC
38,39,Michigan,Big10
39,40,Liberty,AtlSun
40,41,Alabama,SEC
41,42,Houston,AAC
42,43,Oklahoma,Big12
43,44,Duke,ACC
44,45,Southern Miss,ConfUSA
45,46,BYU,WCC
46,47,Central Florida,AAC
47,48,Virginia,ACC
48,49,Arizona,Pac12
49,50,Florida State,ACC
50,51,Kentucky,SEC
51,52,Texas State,SBC
52,53,Wake Forest,ACC
53,54,UC Irvine,BigWest
54,55,Boston College,ACC
55,56,Campbell,BigSou
56,57,Coastal Carolina,SBC
57,58,VCU,Atl10
58,59,Texas Christian,Big12
59,60,Minnesota,Big10
60,61,Oregon,Pac12
61,62,Louisiana Tech,ConfUSA
62,63,St. Mary's CA,WCC
63,64,Pepperdine,WCC
64,65,Texas,Big12
65,66,Xavier,BigEast
66,67,Kansas,Big12
67,68,Virginia Tech,ACC
68,69,Georgia Southern,SBC
69,70,USC,Pac12
70,71,Washington,Pac12
71,72,Samford,SoCon
72,73,Central Michigan,MAC
73,74,Maryland,Big10
74,75,Gonzaga,WCC
75,76,Sam Houston State,Sthland
76,77,Loyola Marymount,WCC
77,78,Jacksonville,AtlSun
78,79,South Carolina,SEC
79,80,San Diego State,MWC
80,81,Old Dominion,ConfUSA
81,82,Wichita State,AAC
82,83,Southeastern Louisiana,Sthland
83,84,William and Mary,CAA
84,85,Bryant,NEC
85,86,McNeese State,Sthland
86,87,Wright State,Horiz
87,88,Morehead State,OVC
88,89,Jacksonville State,OVC
89,90,UNC Greensboro,SoCon
90,91,Col of Charleston,CAA
91,92,Evansville,MVC
92,93,UT Arlington,SBC
93,94,San Diego,WCC
94,95,Kansas State,Big12
95,96,Cincinnati,AAC
