,Rank,Team,Conference
0,1,Miami,IndyNCAA
1,2,Texas,Big12
2,3,South Carolina,SEC
3,4,LSU,SEC
4,5,Arizona State,Pac10
5,6,Georgia,SEC
6,7,Florida,SEC
7,8,Cal State Fullerton,BigWest
8,9,Arkansas,SEC
9,10,Florida State,ACC
10,11,Vanderbilt,SEC
11,12,Stanford,Pac10
12,13,Georgia Tech,ACC
13,14,Clemson,ACC
14,15,Ole Miss,SEC
15,16,East Carolina,ConfUSA
16,17,Texas A&M,Big12
17,18,Rice,WAC
18,19,Virginia,ACC
19,20,Long Beach State,BigWest
20,21,Notre Dame,BigEast
21,22,Washington,Pac10
22,23,Arizona,Pac10
23,24,North Carolina State,ACC
24,25,Florida Atlantic,AtlSun
25,26,Tennessee,SEC
26,27,Southern Miss,ConfUSA
27,28,Central Florida,AtlSun
28,29,Oklahoma,Big12
29,30,Oral Roberts,MCC
30,31,UC Irvine,BigWest
31,32,Nebraska,Big12
32,33,Mississippi State,SEC
33,34,Texas Tech,Big12
34,35,North Carolina,ACC
35,36,Wichita State,MVC
36,37,Auburn,SEC
37,38,Oklahoma State,Big12
38,39,UNC Wilmington,CAA
39,40,Coastal Carolina,BigSou
40,41,Birmingham-Southern,BigSou
41,42,Lamar,Sthland
42,43,Texas Christian,ConfUSA
43,44,Tulane,ConfUSA
44,45,Col of Charleston,SoCon
45,46,Baylor,Big12
46,47,UCLA,Pac10
47,48,USC,Pac10
48,49,Houston,ConfUSA
49,50,George Mason,CAA
50,51,Missouri,Big12
51,52,St. John's,BigEast
52,53,Texas State,Sthland
53,54,Alabama,SEC
54,55,UL Lafayette,SBC
55,56,Minnesota,Big10
56,57,Rutgers,BigEast
57,58,Pittsburgh,BigEast
58,59,Middle Tennessee,SBC
59,60,Troy State,AtlSun
60,61,Washington State,Pac10
61,62,South Alabama,SBC
62,63,Boston College,BigEast
63,64,South Florida,ConfUSA
64,65,UC Riverside,BigWest
65,66,UT Arlington,Sthland
66,67,Ohio State,Big10
67,68,Winthrop,BigSou
68,69,Albany,AmEast
69,70,San Diego,WCC
70,71,UC Santa Barbara,BigWest
71,72,Fresno State,WAC
72,73,California,Pac10
73,74,William and Mary,CAA
74,75,Oregon State,Pac10
75,76,Cal Poly,BigWest
76,77,George Washington,Atl10
77,78,UNC Greensboro,SoCon
78,79,Citadel,SoCon
79,80,Northwestern State,Sthland
80,81,Loyola Marymount,WCC
81,82,VCU,CAA
82,83,Dallas Baptist,IndyNCAA
83,84,Penn State,Big10
84,85,Delaware,CAA
85,86,Elon,SoCon
86,87,Virginia Tech,BigEast
87,88,Kentucky,SEC
88,89,New Orleans,SBC
89,90,Creighton,MVC
90,91,Kent State,MAC
91,92,Michigan,Big10
92,93,Memphis,ConfUSA
93,94,Georgia Southern,SoCon
94,95,Rhode Island,Atl10
95,96,Stetson,AtlSun
96,97,Villanova,BigEast
97,98,Florida International,SBC
98,99,Western Kentucky,SBC
99,100,Arkansas State,SBC
100,101,Miami-Ohio,MAC
101,102,Northeastern,AmEast
102,103,UT San Antonio,Sthland
103,104,Army,Patriot
104,105,Southwest Missouri State,MVC
105,106,Richmond,Atl10
106,107,New Mexico State,SBC
107,108,Central Connecticut State,NEC
108,109,UNLV,MWC
109,110,Princeton,Ivy
110,111,West Virginia,BigEast
111,112,Kansas State,Big12
112,113,Kansas,Big12
113,114,Pepperdine,WCC
114,115,UT Pan American,IndyNCAA
115,116,Maine,AmEast
116,117,Purdue,Big10
117,118,Alabama-Birmingham,ConfUSA
