,Rank,Team,Conference
0,1,Oregon State,Pac12
1,2,Florida,SEC
2,3,LSU,SEC
3,4,Texas Christian,Big12
4,5,North Carolina,ACC
5,6,Louisville,ACC
6,7,Texas Tech,Big12
7,8,Florida State,ACC
8,9,Kentucky,SEC
9,10,Wake Forest,ACC
10,11,Southern Miss,ConfUSA
11,12,Arkansas,SEC
12,13,Stanford,Pac12
13,14,Long Beach State,BigWest
14,15,Clemson,ACC
15,16,Virginia,ACC
16,17,Texas,Big12
17,18,Vanderbilt,SEC
18,19,Houston,AAC
19,20,West Virginia,Big12
20,21,Mississippi State,SEC
21,22,Missouri State,MVC
22,23,South Florida,AAC
23,24,Baylor,Big12
24,25,Cal State Fullerton,BigWest
25,26,Central Florida,AAC
26,27,North Carolina State,ACC
27,28,Arizona,Pac12
28,29,Oklahoma,Big12
29,30,Southeastern Louisiana,Sthland
30,31,South Carolina,SEC
31,32,South Alabama,SBC
32,33,Texas A&M,SEC
33,34,Indiana,Big10
34,35,Florida Gulf Coast,AtlSun
35,36,Yale,Ivy
36,37,Ole Miss,SEC
37,38,Sam Houston State,Sthland
38,39,Auburn,SEC
39,40,Michigan,Big10
40,41,Rice,ConfUSA
41,42,Connecticut,AAC
42,43,Miami,ACC
43,44,Maryland,Big10
44,45,McNeese State,Sthland
45,46,St. John's,BigEast
46,47,Louisiana Tech,ConfUSA
47,48,Oklahoma State,Big12
48,49,Missouri,SEC
49,50,Gonzaga,WCC
50,51,Old Dominion,ConfUSA
51,52,Dallas Baptist,MVC
52,53,San Diego,WCC
53,54,Nebraska,Big10
54,55,UL Lafayette,SBC
55,56,BYU,WCC
56,57,Florida Atlantic,ConfUSA
57,58,UNC Charlotte,ConfUSA
58,59,Tennessee,SEC
59,60,Coastal Carolina,SBC
60,61,Bethune-Cookman,MEAC
61,62,Binghamton,AmEast
62,63,Jacksonville,AtlSun
63,64,California,Pac12
64,65,UCLA,Pac12
65,66,Kansas,Big12
66,67,Loyola Marymount,WCC
67,68,Rhode Island,Atl10
68,69,Utah,Pac12
69,70,St. Mary's CA,WCC
70,71,Xavier,BigEast
71,72,Minnesota,Big10
72,73,San Diego State,MWC
73,74,New Mexico,MWC
74,75,Oral Roberts,Summ
75,76,Georgia Tech,ACC
76,77,Mercer,SoCon
77,78,Michigan State,Big10
78,79,Liberty,BigSou
79,80,Iowa,Big10
80,81,East Carolina,AAC
81,82,Tulane,AAC
82,83,Washington,Pac12
83,84,Boston College,ACC
84,85,Georgia,SEC
85,86,Florida International,ConfUSA
86,87,Georgia Southern,SBC
87,88,Tennessee Tech,OVC
88,89,Oregon,Pac12
89,90,Winthrop,BigSou
90,91,Duke,ACC
91,92,Kent State,MAC
92,93,Seton Hall,BigEast
93,94,Davidson,Atl10
94,95,Cincinnati,AAC
95,96,VCU,Atl10
96,97,UT San Antonio,ConfUSA
97,98,Kansas State,Big12
98,99,Illinois-Chicago,Horiz
99,100,Wright State,Horiz
100,101,UT Arlington,SBC
101,102,Samford,SoCon
102,103,Morehead State,OVC
103,104,Lamar,Sthland
104,105,Western Carolina,SoCon
105,106,Arizona State,Pac12
106,107,Fresno State,MWC
107,108,Troy,SBC
108,109,UNC Greensboro,SoCon
109,110,Cal Poly,BigWest
110,111,Jacksonville State,OVC
111,112,Marist,MAAC
112,113,Central Arkansas,Sthland
113,114,New Orleans,Sthland
114,115,Furman,SoCon
115,116,Dartmouth,Ivy
116,117,Middle Tennessee,ConfUSA
117,118,Houston Baptist,Sthland
118,119,Memphis,AAC
119,120,William and Mary,CAA
120,121,Notre Dame,ACC
121,122,Virginia Tech,ACC
122,123,Washington State,Pac12
123,123,Purdue,Big10
124,125,New Mexico State,WAC
125,126,Cornell,Ivy
126,127,Delaware,CAA
127,128,North Florida,AtlSun
128,129,Columbia,Ivy
129,130,High Point,BigSou
130,131,Pittsburgh,ACC
131,132,Florida A&M,MEAC
132,133,Grand Canyon,WAC
133,134,Marshall,ConfUSA
134,135,Presbyterian,BigSou
135,136,Southeast Missouri State,OVC
136,137,San Francisco,WCC
137,138,UNC Wilmington,CAA
138,139,Rutgers,Big10
139,140,UC Santa Barbara,BigWest
140,141,Saint Louis,Atl10
141,142,Illinois,Big10
142,143,Nicholls State,Sthland
143,144,USC,Pac12
144,145,Central Connecticut State,NEC
145,146,Wichita State,MVC
146,147,Col of Charleston,CAA
147,148,Canisius,MAAC
148,149,Hawaii,BigWest
