,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,Rating
15,Kentucky,2,62,16,0.258,8.0,31.0,0.25806451612903225,13,6.5,15.0,3,2,1.2,45,11,3,0.949,5.5,1.5,2,0.397,1.0,12,6.0,20,0.323,10.8,5.4,1.13,3,SEC,46-16,16-5,4-5,26-6,0-0,10,SEC,1.2587994750096774,1-1,143,117,145,0-0,0-0,0-0,1-1,0-0,,5,-5,0.72,21.5729
16,NC State,4,132,48,0.364,12.0,33.0,0.36363636363636365,27,6.75,31.0,18,12,3.48,93,31,7,0.947,7.75,1.75,8,0.488,2.0,50,12.5,81,0.614,10.2,4.94,1.35,9,ACC,38-23,11-13,1-3,26-7,0-0,25,ACC,1.0131550544336596,3-1,123,133,258,0-0,0-0,0-1,0-0,3-0,,16,-9,1.1019999999999999,21.383000000000003
17,San Diego,4,140,37,0.264,9.25,35.0,0.2642857142857143,11,2.75,37.0,34,34,8.27,111,33,1,0.993,8.25,0.25,8,0.35,2.0,17,4.25,57,0.407,12.4,5.35,1.65,21,WCC,41-15,18-10,5-1,18-4,0-0,46,West Coast,0.7334440893810912,0-4,252,243,34,0-4,0-0,0-0,0-0,0-0,,43,-3,0.7569999999999999,21.3659
18,Oregon,4,129,37,0.287,9.25,32.25,0.2868217054263566,13,3.25,36.0,8,6,1.5,108,29,1,0.993,7.25,0.25,4,0.362,1.0,27,6.75,73,0.566,11.2,3.25,0.86,40,Pac-12,40-20,14-9,3-3,23-8,0-0,27,Big Ten,1.0081688623688827,3-1,102,114,228,0-0,0-0,0-0,3-1,0-0,,25,-2,0.9279999999999999,21.2065
19,Georgia,5,154,33,0.214,6.6,30.8,0.21428571428571427,40,8.0,44.0,18,16,3.27,132,50,2,0.989,10.0,0.4,16,0.42,3.2,31,6.2,52,0.338,10.6,5.52,1.2,7,SEC,43-17,8-9,2-1,33-7,0-0,20,SEC,1.0573634736994375,4-1,50,99,148,0-0,0-0,1-1,1-0,2-0,,17,-3,0.758,21.1187
20,Nebraska,4,132,32,0.242,8.0,33.0,0.24242424242424243,18,4.5,35.0,17,17,4.37,105,43,0,1.0,10.75,0.0,10,0.368,2.5,25,6.25,51,0.386,9.5,3.6,1.4,29,Big Ten,40-22,15-9,7-5,18-8,0-0,60,Big Ten,0.5741227457344573,2-2,99,225,57,1-0,0-1,0-1,1-0,0-0,,48,-12,0.754,20.9012
21,Georgia Tech,4,123,29,0.236,7.25,30.75,0.23577235772357724,19,4.75,36.0,12,11,2.75,108,29,3,0.979,7.25,0.75,4,0.351,1.0,22,5.5,53,0.431,13.0,3.75,1.14,45,ACC,33-25,9-12,2-4,22-9,0-0,14,ACC,1.0919813902910547,4-0,2,5,59,0-0,3-0,1-0,0-0,0-0,,34,20,0.782,20.752
22,Northeastern,2,63,14,0.222,7.0,31.5,0.2222222222222222,3,1.5,17.0,7,7,3.71,51,11,1,0.984,5.5,0.5,2,0.279,1.0,4,2.0,20,0.317,10.6,2.65,1.24,39,CAA,38-17,19-12,2-2,17-3,0-0,48,CAA,0.7112874243753862,1-1,92,29,47,0-0,0-0,1-1,0-0,0-0,,53,5,0.5960000000000001,20.689
23,Alabama,4,138,53,0.384,13.25,34.5,0.38405797101449274,34,8.5,34.0,15,11,2.91,102,35,7,0.951,8.75,1.75,10,0.527,2.5,52,13.0,87,0.63,9.5,3.71,1.21,28,SEC,33-24,8-12,3-4,22-8,0-0,29,SEC,0.9818247850582296,4-0,43,61,257,0-0,0-0,0-0,1-0,3-0,,28,-1,1.157,20.586
24,West Virginia,3,95,27,0.284,9.0,31.666666666666668,0.28421052631578947,10,3.3333333333333335,25.0,7,6,2.16,75,20,5,0.95,6.666666666666667,1.6666666666666667,1,0.352,0.3333333333333333,17,5.666666666666667,36,0.379,10.8,3.96,1.08,30,Big 12,36-24,15-16,4-2,17-6,0-0,43,Big 12,0.7492233418651211,3-0,13,227,171,0-0,0-0,0-0,0-0,3-0,,32,-11,0.731,20.5508
25,Coastal Carolina,4,122,42,0.344,10.5,30.5,0.3442622950819672,16,4.0,40.0,7,4,0.9,96,35,4,0.97,8.75,1.0,14,0.468,3.5,39,9.75,71,0.582,8.8,3.38,0.9,34,Sun Belt,36-25,9-14,3-2,24-9,0-0,52,Sun Belt,0.665771657402725,4-1,56,217,165,0-0,0-1,2-0,1-0,1-0,,31,-21,1.05,20.374299999999998
26,TCU,4,143,39,0.273,9.75,35.75,0.2727272727272727,22,5.5,37.0,17,13,3.16,111,42,7,0.956,10.5,1.75,8,0.394,2.0,34,8.5,83,0.58,10.9,2.68,1.3,42,Big 12,33-21,7-11,5-2,21-8,0-0,16,Big 12,1.0733248926545573,4-0,1,67,26,0-0,4-0,0-0,0-0,0-0,,20,4,0.974,20.368000000000002
27,Maryland,3,102,26,0.255,8.666666666666666,34.0,0.2549019607843137,18,6.0,26.0,9,6,2.08,78,19,3,0.97,6.333333333333333,1.0,5,0.392,1.6666666666666667,28,9.333333333333334,49,0.48,11.8,3.46,1.08,48,Big Ten,34-22,19-14,1-1,14-7,0-0,54,Big Ten,0.6509011137927431,2-1,113,97,202,0-0,0-0,0-1,1-0,1-0,,52,-2,0.872,20.270400000000002
28,UC Irvine,4,141,40,0.284,10.0,35.25,0.28368794326241137,22,5.5,36.0,23,20,5.0,108,26,3,0.978,6.5,0.75,13,0.421,3.25,38,9.5,66,0.468,9.5,4.75,1.31,24,Big West,45-14,20-7,5-0,20-7,0-0,30,Big West,0.9750372969752226,2-2,106,105,68,0-1,0-1,1-0,1-0,0-0,,18,-12,0.889,20.1972
29,Miami (FL),4,132,40,0.303,10.0,33.0,0.30303030303030304,26,6.5,33.0,5,5,1.36,99,29,1,0.992,7.25,0.25,11,0.453,2.75,36,9.0,58,0.439,13.6,4.09,1.06,81,ACC,27-30,6-13,2-1,19-16,0-0,42,ACC,0.7628059537249794,3-1,85,100,204,0-0,0-0,0-1,0-0,3-0,,40,-2,0.892,20.1079
30,Virginia Tech,4,147,56,0.381,14.0,36.75,0.38095238095238093,29,7.25,34.0,15,13,3.44,102,24,4,0.969,6.0,1.0,6,0.489,1.5,60,15.0,99,0.673,12.7,5.03,1.32,68,ACC,32-22,10-11,0-2,22-9,0-0,35,ACC,0.8961260207918045,3-1,109,45,239,0-0,0-0,0-0,1-0,2-1,,37,2,1.162,20.0988
