,Host Seed,Team,Day 1,Day 2,Day 3,Day 4
0,1,Vanderbilt,0.608,0.793,0.462,0.0
1,1,Louisville,0.058,0.116,0.48,0.0
2,1,ETSU,0.274,0.081,0.0,0.0
3,1,Wright St.,0.06,0.01,0.058,0.0
4,2,Texas,0.675,0.684,0.303,0.0
5,2,UTSA,0.23,0.295,0.661,0.0
6,2,Kansas St.,0.078,0.018,0.036,0.0
7,2,Houston Christian,0.017,0.002,0.0,0.0
8,3,Arkansas,0.809,0.856,0.965,0.0
9,3,Kansas,0.114,0.033,0.0,0.0
10,3,Creighton,0.071,0.111,0.033,0.0
11,3,North Dakota St.,0.005,0.0,0.003,0.0
12,4,Auburn,0.606,0.706,0.886,0.0
13,4,NC State,0.179,0.044,0.06,0.0
14,4,Stetson,0.176,0.246,0.054,0.0
15,4,Central Conn. St.,0.038,0.004,0.0,0.0
16,5,North Carolina,0.707,0.745,0.918,0.0
17,5,Oklahoma,0.171,0.229,0.055,0.0
18,5,Nebraska,0.106,0.025,0.027,0.0
19,5,Holy Cross,0.016,0.002,0.0,0.0
20,6,LSU,0.683,0.693,0.885,0.0
21,6,DBU,0.267,0.299,0.112,0.0
22,6,Rhode Island,0.038,0.007,0.0,0.0
23,6,Little Rock,0.013,0.001,0.002,0.0
24,7,Georgia,0.638,0.657,0.272,0.0
25,7,Duke,0.261,0.319,0.688,0.0
26,7,Oklahoma St.,0.087,0.023,0.04,0.0
27,7,Binghamton,0.014,0.001,0.0,0.0
28,8,Oregon St.,0.554,0.222,0.361,0.0
29,8,TCU,0.264,0.101,0.0,0.0
30,8,Southern California,0.142,0.472,0.61,0.0
31,8,Saint Mary's (CA),0.041,0.206,0.03,0.0
32,9,Florida St.,0.371,0.496,0.745,0.0
33,9,Northeastern,0.402,0.154,0.175,0.0
34,9,Mississippi St.,0.198,0.345,0.079,0.0
35,9,Bethune-Cookman,0.028,0.004,0.0,0.0
36,10,Ole Miss,0.365,0.111,0.226,0.0
37,10,Georgia Tech,0.201,0.462,0.126,0.0
38,10,Western Ky.,0.313,0.097,0.0,0.0
39,10,Murray St.,0.121,0.331,0.648,0.0
40,11,Clemson,0.46,0.618,0.229,0.0
41,11,West Virginia,0.193,0.302,0.657,0.0
42,11,Kentucky,0.231,0.059,0.114,0.0
43,11,USC Upstate,0.117,0.021,0.0,0.0
44,12,Oregon,0.614,0.25,0.0,0.0
45,12,Arizona,0.194,0.526,0.818,0.0
46,12,Cal Poly,0.151,0.052,0.142,0.0
47,12,Utah Valley,0.041,0.172,0.04,0.0
48,13,Coastal Carolina,0.569,0.731,0.888,0.0
49,13,Florida,0.225,0.052,0.079,0.0
50,13,East Carolina,0.123,0.198,0.033,0.0
51,13,Fairfield,0.083,0.019,0.0,0.0
52,14,Tennessee,0.733,0.833,0.932,0.0
53,14,Wake Forest,0.15,0.038,0.046,0.0
54,14,Cincinnati,0.075,0.121,0.021,0.0
55,14,Miami (OH),0.042,0.007,0.0,0.0
56,15,UCLA,0.315,0.471,0.769,0.0
57,15,UC Irvine,0.275,0.074,0.115,0.0
58,15,Arizona St.,0.278,0.429,0.116,0.0
59,15,Fresno St.,0.133,0.027,0.0,0.0
60,16,Southern Miss.,0.667,0.323,0.476,0.0
61,16,Alabama,0.219,0.103,0.0,0.0
62,16,Miami (FL),0.09,0.422,0.506,0.0
63,16,Columbia,0.024,0.152,0.019,0.0
