,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,PYTHAG,Rating,Wins,Losses,WIN%,Wins_Over_Pythag
70,Troy,4,126,41,0.325,10.25,31.5,0.3253968253968254,36,9.0,33.0,19,11,3.0,99,40,10,0.933,10.0,2.5,5,0.482,1.25,43,10.75,72,0.571,10.6,4.09,1.42,59,Sun Belt,37-22,17-10,1-3,19-9,0-0,55,Sun Belt,2.5272544651816986,3-1,100,87,137,0-0,0-1,0-0,0-0,3-0,,68,13,1.053,0.817,2.67,3,1,0.75,-0.06699999999999995
71,Wofford,4,131,39,0.298,9.75,32.75,0.29770992366412213,30,7.5,35.0,25,21,5.4,105,40,7,0.954,10.0,1.75,13,0.466,3.25,35,8.75,54,0.412,7.5,2.31,1.54,50,SoCon,42-20,13-12,7-3,22-5,0-0,53,Southern,2.6910345629098225,3-1,134,151,196,0-0,0-0,0-1,0-0,3-0,,79,26,0.878,0.649,2.64,3,1,0.75,0.10099999999999998
72,Tulane,3,99,32,0.323,10.666666666666666,33.0,0.32323232323232326,20,6.666666666666667,27.0,21,21,7.0,81,27,3,0.973,9.0,1.0,4,0.441,1.3333333333333333,32,10.666666666666666,51,0.515,11.3,5.0,1.78,82,AAC,36-26,12-12,5-1,19-13,0-0,79,American,1.927815608301687,4-0,36,62,232,0-0,0-0,0-0,1-0,3-0,,69,-10,0.956,0.684,2.54,4,0,1.0,0.31599999999999995
73,Utah,4,156,49,0.314,12.25,39.0,0.3141025641025641,15,3.75,37.0,8,8,1.95,111,35,4,0.973,8.75,1.0,6,0.395,1.5,30,7.5,75,0.481,5.8,1.95,1.0,83,Pac-12,33-22,14-13,4-1,15-8,0-0,73,Big 12,2.0916777420013704,4-0,37,76,233,0-0,0-0,0-0,4-0,0-0,,77,4,0.876,0.918,2.54,4,0,1.0,0.08199999999999996
74,Texas St.,4,126,33,0.262,8.25,31.5,0.2619047619047619,14,3.5,36.0,14,12,3.0,108,34,2,0.986,8.5,0.5,6,0.358,1.5,23,5.75,42,0.333,11.8,5.0,1.33,111,Sun Belt,27-29,9-12,3-3,15-14,0-0,44,Sun Belt,3.052044207041765,4-0,11,8,104,1-0,0-0,0-0,3-0,0-0,,39,-5,0.6910000000000001,0.713,2.53,4,0,1.0,0.28700000000000003
75,Grand Canyon,4,134,35,0.261,8.75,33.5,0.26119402985074625,12,3.0,35.0,18,17,4.37,105,36,6,0.959,9.0,1.5,4,0.34,1.0,17,4.25,52,0.388,9.8,1.8,1.2,93,WAC,36-25,16-11,3-4,17-10,0-0,82,WAC,1.8415733169978048,2-2,160,277,99,0-0,0-1,1-0,1-0,0-1,,83,1,0.728,0.474,2.53,2,2,0.5,0.026000000000000023
76,Mercer,3,99,27,0.273,9.0,33.0,0.2727272727272727,12,4.0,27.0,13,13,4.33,81,20,1,0.99,6.666666666666667,0.3333333333333333,7,0.387,2.3333333333333335,25,8.333333333333334,56,0.566,12.0,2.67,1.11,109,SoCon,29-29,9-14,3-2,17-13,0-0,103,Southern,1.404625204213626,3-1,146,88,214,0-0,0-0,0-0,1-0,2-1,,99,-4,0.953,0.768,2.51,3,1,0.75,-0.018000000000000016
77,Pittsburgh,3,109,36,0.33,12.0,36.333333333333336,0.3302752293577982,27,9.0,28.0,18,17,5.46,84,34,1,0.992,11.333333333333334,0.3333333333333333,6,0.476,2.0,37,12.333333333333334,67,0.615,9.6,2.89,1.43,88,ACC,26-29,8-13,6-4,12-12,0-0,59,ACC,2.4267326812117718,3-0,50,75,275,0-0,0-0,0-0,0-0,3-0,,62,3,1.091,0.789,2.49,3,0,1.0,0.21099999999999997
78,Wright St.,2,82,30,0.366,15.0,41.0,0.36585365853658536,10,5.0,18.0,9,8,4.0,54,13,1,0.985,6.5,0.5,5,0.459,2.5,26,13.0,47,0.573,13.5,5.5,1.06,141,Horizon,32-24,17-15,0-1,15-8,0-0,95,Horizon,1.5918757817100206,2-0,45,2,265,0-0,0-0,0-0,0-0,2-0,,70,-25,1.032,0.875,2.45,2,0,1.0,0.125
79,Georgetown,4,137,39,0.285,9.75,34.25,0.2846715328467153,27,6.75,34.1,28,25,6.55,103,47,2,0.987,11.75,0.5,4,0.409,1.0,31,7.75,52,0.38,8.1,6.55,1.89,58,Big East,36-21,17-8,2-4,17-9,0-0,159,Big East,-0.0909299074515693,2-2,218,226,262,0-0,0-0,0-0,0-0,2-2,,150,-9,0.7889999999999999,0.546,2.41,2,2,0.5,-0.04600000000000004
80,Saint Mary's (CA),5,156,54,0.346,10.8,31.2,0.34615384615384615,14,2.8,38.0,16,14,3.32,114,41,1,0.994,8.2,0.2,10,0.424,2.0,50,10.0,84,0.538,10.7,5.92,1.37,107,WCC,34-22,12-13,1-2,21-7,0-0,81,West Coast,1.8755298001208829,4-1,90,47,148,0-0,1-0,0-0,3-1,0-0,,61,-20,0.962,0.889,2.37,4,1,0.8,-0.08899999999999997
81,Sam Houston,3,101,30,0.297,10.0,33.666666666666664,0.297029702970297,12,4.0,27.0,24,23,7.67,81,21,1,0.99,7.0,0.3333333333333333,5,0.395,1.6666666666666667,22,7.333333333333333,54,0.535,10.0,6.0,1.74,78,CUSA,34-24,10-15,1-2,23-7,0-0,104,Conference USA,1.399540478309033,1-3,264,270,176,0-0,0-0,0-0,1-3,0-0,,89,-15,0.93,0.46,2.26,1,3,0.25,-0.21000000000000002
82,Indiana,4,133,28,0.211,7.0,33.25,0.21052631578947367,30,7.5,36.0,31,29,7.25,108,29,7,0.951,7.25,1.75,5,0.373,1.25,20,5.0,44,0.331,9.8,3.75,1.58,55,Big Ten,33-26,11-9,5-6,17-11,0-0,70,Big Ten,2.1551690278546785,0-4,265,229,85,0-1,0-0,0-0,0-3,0-0,,87,17,0.704,0.31,2.26,0,4,0.0,-0.31
83,Old Dominion,3,95,19,0.2,6.333333333333333,31.666666666666668,0.2,14,4.666666666666667,24.0,17,15,5.62,72,18,4,0.957,6.0,1.3333333333333333,5,0.33,1.6666666666666667,9,3.0,23,0.242,11.2,5.62,1.46,75,Sun Belt,31-26,7-12,3-2,21-12,0-0,50,Sun Belt,2.753690426276982,0-3,157,67,32,0-0,0-3,0-0,0-0,0-0,,44,-6,0.5720000000000001,0.238,2.25,0,3,0.0,-0.238
84,Kennesaw St.,4,127,29,0.228,7.25,31.75,0.2283464566929134,20,5.0,36.0,19,17,4.25,108,45,4,0.975,11.25,1.0,5,0.353,1.25,12,3.0,38,0.299,9.5,5.25,1.64,84,ASUN,32-24,17-18,1-0,14-6,0-0,127,Conference USA,0.7818474767481673,1-4,229,227,89,0-0,0-1,1-2,0-1,0-0,,138,11,0.6519999999999999,0.301,2.2,1,4,0.2,-0.10099999999999998
85,Baylor,4,139,55,0.396,13.75,34.75,0.39568345323741005,21,5.25,34.0,11,9,2.38,102,28,6,0.956,7.0,1.5,8,0.5,2.0,43,10.75,83,0.597,12.2,2.91,1.09,139,Big 12,22-31,5-12,0-3,17-16,0-0,87,Big 12,1.758386677493484,4-0,27,63,184,0-0,0-0,1-0,0-0,3-0,,92,5,1.097,0.924,2.18,4,0,1.0,0.07599999999999996
86,Purdue,4,135,43,0.319,10.75,33.75,0.31851851851851853,16,4.0,36.0,17,13,3.25,108,45,5,0.968,11.25,1.25,10,0.426,2.5,38,9.5,70,0.519,7.8,2.5,1.19,91,Big Ten,32-24,9-7,8-4,15-13,1-0,91,Big Ten,1.6335012421442154,4-0,53,86,287,0-0,0-0,0-0,0-0,4-0,,110,19,0.9450000000000001,0.813,2.18,4,0,1.0,0.18700000000000006
87,Evansville,4,137,29,0.212,7.25,34.25,0.2116788321167883,13,3.25,37.0,32,25,6.08,111,45,9,0.945,11.25,2.25,6,0.304,1.5,16,4.0,39,0.285,7.5,4.62,1.51,52,MVC,39-26,18-18,4-0,17-8,0-0,107,Missouri Valley,1.3169499027282192,0-4,298,211,227,0-0,0-0,0-0,0-4,0-0,,98,-9,0.589,0.22,2.11,0,4,0.0,-0.22
88,Missouri St.,3,106,29,0.274,9.666666666666666,35.333333333333336,0.27358490566037735,18,6.0,26.0,22,21,7.27,78,20,1,0.99,6.666666666666667,0.3333333333333333,4,0.395,1.3333333333333333,24,8.0,49,0.462,14.2,4.15,1.62,135,MVC,23-34,15-21,0-2,8-11,0-0,117,Missouri Valley,0.9820517071452054,2-1,118,247,127,0-0,0-0,0-0,2-1,0-0,,120,3,0.857,0.54,2.1,2,1,0.667,0.127
89,James Madison,4,117,19,0.162,4.75,29.25,0.1623931623931624,11,2.75,32.2,28,19,5.23,98,25,12,0.911,6.25,3.0,1,0.24,0.25,9,2.25,27,0.231,9.1,5.79,1.78,46,Sun Belt,36-25,9-16,4-3,23-6,0-0,120,Sun Belt,0.938452021104309,1-3,104,187,38,0-3,0-0,0-0,0-0,1-0,,101,-19,0.471,0.111,2.07,1,3,0.25,0.139
90,Portland,4,131,29,0.221,7.25,32.75,0.22137404580152673,14,3.5,33.0,32,28,7.64,99,49,4,0.974,12.25,1.0,4,0.309,1.0,20,5.0,47,0.359,6.8,4.09,1.82,57,WCC,37-19,18-11,2-3,17-5,0-0,76,West Coast,2.01794813077184,1-3,242,171,144,0-0,0-0,0-0,1-3,0-0,,72,-4,0.6679999999999999,0.297,2.07,1,3,0.25,-0.046999999999999986
91,Penn St.,3,104,27,0.26,9.0,34.666666666666664,0.25961538461538464,16,5.333333333333333,27.0,14,11,3.67,81,26,5,0.955,8.666666666666666,1.6666666666666667,1,0.361,0.3333333333333333,21,7.0,51,0.49,11.7,5.33,1.37,99,Big Ten,29-24,10-13,8-3,11-8,0-0,123,Big Ten,0.8715058380444161,2-1,109,97,112,0-0,0-0,2-1,0-0,0-0,,148,25,0.851,0.677,2.06,2,1,0.667,-0.010000000000000009
92,App State,4,146,44,0.301,11.0,36.5,0.3013698630136986,19,4.75,35.0,43,38,9.77,105,42,7,0.955,10.5,1.75,11,0.416,2.75,36,9.0,79,0.541,9.5,4.89,2.11,72,Sun Belt,33-21,15-11,3-3,15-7,0-0,124,Sun Belt,0.8444758109016398,1-3,273,161,247,0-0,0-0,0-0,0-1,1-2,,113,-11,0.9570000000000001,0.419,2.06,1,3,0.25,-0.16899999999999998
93,St. John's (NY),3,92,18,0.196,6.0,30.666666666666668,0.1956521739130435,6,2.0,24.0,26,21,7.88,71,14,5,0.944,4.666666666666667,1.6666666666666667,4,0.269,1.3333333333333333,5,1.6666666666666667,20,0.217,9.0,6.75,1.92,53,Big East,38-18,12-10,5-2,21-6,0-0,148,Big East,0.27280569398563953,0-3,251,174,76,0-0,0-0,0-3,0-0,0-0,,128,-20,0.486,0.047,2.04,0,3,0.0,-0.047
94,Stetson,4,130,36,0.277,9.0,32.5,0.27692307692307694,16,4.0,36.0,23,20,5.0,108,39,4,0.974,9.75,1.0,7,0.383,1.75,28,7.0,61,0.469,9.2,3.5,1.5,97,ASUN,41-22,12-11,1-1,28-10,0-0,100,Atlantic Sun,1.4263729978535757,3-1,84,82,106,0-0,0-0,2-1,1-0,0-0,,93,-7,0.852,0.589,1.98,3,1,0.75,0.16100000000000003
95,Nicholls,4,130,34,0.262,8.5,32.5,0.26153846153846155,20,5.0,34.1,31,21,5.5,103,22,9,0.933,5.5,2.25,5,0.381,1.25,19,4.75,40,0.308,10.2,6.82,1.66,69,Southland,34-22,14-11,3-2,17-9,4-0,152,Southland,0.11895135455149157,2-2,222,212,278,0-0,0-0,0-0,0-0,2-2,,154,2,0.6890000000000001,0.29,1.97,2,2,0.5,0.21000000000000002
96,UTSA,4,140,35,0.25,8.75,35.0,0.25,4,1.0,33.0,20,20,5.45,99,31,2,0.985,7.75,0.5,6,0.3,1.5,10,2.5,42,0.3,7.9,1.09,1.21,118,AAC,32-24,12-9,1-4,19-11,0-0,69,American,2.1571921967252967,1-3,252,153,163,0-0,0-0,0-1,1-2,0-0,,96,27,0.6,0.22,1.94,1,3,0.25,0.03
97,Boston College,2,72,21,0.292,10.5,36.0,0.2916666666666667,10,5.0,17.0,19,18,9.53,51,23,1,0.987,11.5,0.5,2,0.388,1.0,18,9.0,38,0.528,10.1,4.76,1.71,89,ACC,22-31,12-12,3-1,7-18,0-0,89,ACC,1.7363899003128669,1-1,190,256,160,0-0,0-0,0-0,1-1,0-0,,94,5,0.916,0.475,1.92,1,1,0.5,0.025000000000000022
98,Little Rock,3,98,27,0.276,9.0,32.666666666666664,0.2755102040816326,12,4.0,26.0,6,6,2.08,78,21,1,0.99,7.0,0.3333333333333333,4,0.377,1.3333333333333333,21,7.0,36,0.367,11.4,2.42,0.77,143,OVC,32-24,15-13,0-2,17-9,0-0,181,Ohio Valley,-0.5578785431999955,3-0,20,105,161,0-0,0-0,0-0,3-0,0-0,,147,-34,0.744,0.908,1.91,3,0,1.0,0.09199999999999997
99,High Point,5,169,65,0.385,13.0,33.8,0.38461538461538464,33,6.6,41.0,23,19,4.17,123,37,4,0.976,7.4,0.8,6,0.495,1.2,59,11.8,123,0.728,10.5,3.51,1.34,117,Big South,35-27,11-12,2-1,22-14,0-0,151,Big South,0.13573323670803167,5-0,38,52,241,0-0,0-0,0-0,1-0,4-0,,144,-7,1.2229999999999999,0.849,1.9,5,0,1.0,0.15100000000000002
100,Missouri,3,101,24,0.238,8.0,33.666666666666664,0.2376237623762376,11,3.6666666666666665,25.0,26,22,7.92,75,29,4,0.963,9.666666666666666,1.3333333333333333,5,0.339,1.6666666666666667,18,6.0,42,0.416,10.1,1.8,1.6,102,SEC,23-32,7-16,1-2,15-14,0-0,83,SEC,1.8177752489225412,1-2,210,182,130,0-0,0-0,1-1,0-1,0-0,,111,28,0.755,0.338,1.85,1,2,0.333,-0.0050000000000000044
101,Michigan St.,4,98,16,0.163,4.0,24.5,0.16326530612244897,19,4.75,32.0,4,3,0.84,96,34,4,0.97,8.5,1.0,10,0.349,2.5,14,3.5,21,0.214,10.4,2.81,0.91,106,Big Ten,24-27,6-8,5-9,13-10,0-0,118,Big Ten,0.9718690759621982,4-0,40,92,245,0-0,0-0,0-0,2-0,2-0,,107,-11,0.563,0.908,1.84,4,0,1.0,0.09199999999999997
102,Ball St.,3,96,22,0.229,7.333333333333333,32.0,0.22916666666666666,6,2.0,27.0,17,17,5.67,81,33,1,0.991,11.0,0.3333333333333333,7,0.318,2.3333333333333335,18,6.0,36,0.375,11.0,4.67,1.3,115,MAC,35-23,15-13,7-4,13-6,0-0,126,MAC,0.8272087534861299,2-1,136,74,153,0-0,0-0,1-0,0-0,1-1,,95,-31,0.6930000000000001,0.526,1.79,2,1,0.667,0.14100000000000001
103,Iowa,3,107,30,0.28,10.0,35.666666666666664,0.2803738317757009,15,5.0,25.0,16,13,4.68,75,19,8,0.922,6.333333333333333,2.6666666666666665,3,0.384,1.0,17,5.666666666666667,52,0.486,12.2,4.68,1.28,104,Big Ten,29-23,7-12,4-7,18-4,2-0,51,Big Ten,2.7245704641279085,1-2,239,113,169,0-0,0-0,0-0,1-2,0-0,,78,27,0.87,0.528,1.73,1,2,0.333,-0.195
104,Campbell,4,126,26,0.206,6.5,31.5,0.20634920634920634,6,1.5,33.0,29,27,7.36,99,31,7,0.949,7.75,1.75,11,0.299,2.75,10,2.5,41,0.325,9.3,2.73,1.36,85,CAA,31-22,8-12,1-0,22-10,0-0,84,CAA,1.8170085151049922,1-3,110,273,39,0-0,1-3,0-0,0-0,0-0,,82,-2,0.624,0.125,1.72,1,3,0.25,0.125
105,Fla. Atlantic,4,141,48,0.34,12.0,35.25,0.3404255319148936,23,5.75,36.0,6,5,1.25,108,39,3,0.98,9.75,0.75,17,0.484,4.25,37,9.25,75,0.532,12.5,3.25,0.89,161,AAC,28-29,7-15,2-2,19-12,0-0,92,American,1.6181356295943008,4-0,17,46,145,0-0,1-0,0-0,3-0,0-0,,86,-6,1.016,0.965,1.69,4,0,1.0,0.03500000000000003
106,Liberty,4,135,38,0.281,9.5,33.75,0.2814814814814815,25,6.25,36.0,13,12,3.0,108,31,3,0.979,7.75,0.75,6,0.413,1.5,35,8.75,53,0.393,9.5,3.0,1.17,122,CUSA,24-34,7-20,1-0,16-14,0-0,66,Conference USA,2.222354720306238,4-0,12,45,115,1-0,0-0,0-0,3-0,0-0,,71,5,0.806,0.86,1.67,4,0,1.0,0.14
107,Charlotte,3,100,25,0.25,8.333333333333334,33.333333333333336,0.25,7,2.3333333333333335,27.0,6,6,2.0,81,24,2,0.981,8.0,0.6666666666666666,2,0.312,0.6666666666666666,11,3.6666666666666665,39,0.39,10.3,2.67,1.0,142,AAC,24-34,5-16,1-4,18-14,0-0,78,American,1.9279772978150287,2-1,30,91,75,0-0,0-0,2-1,0-0,0-0,,80,2,0.702,0.752,1.66,2,1,0.667,-0.08499999999999996
108,Bryant,2,61,15,0.246,7.5,30.5,0.2459016393442623,4,2.0,15.2,6,6,3.45,47,13,2,0.968,6.5,1.0,3,0.324,1.5,8,4.0,24,0.393,12.6,6.89,1.34,123,America East,36-21,14-15,2-1,20-5,0-0,199,America East,-1.0328576218288308,1-1,220,238,269,0-0,0-0,0-0,0-0,1-1,,175,-24,0.7170000000000001,0.629,1.65,1,1,0.5,-0.129
109,Wichita St.,3,100,24,0.24,8.0,33.333333333333336,0.24,8,2.6666666666666665,25.0,20,18,6.48,75,26,3,0.971,8.666666666666666,1.0,10,0.356,3.3333333333333335,13,4.333333333333333,35,0.35,8.6,4.32,1.64,96,AAC,32-29,9-15,4-4,19-10,0-0,67,American,2.1789685074493836,1-2,253,165,221,0-0,0-0,0-0,1-2,0-0,,88,21,0.706,0.313,1.61,1,2,0.333,0.020000000000000018
110,California Baptist,4,135,45,0.333,11.25,33.75,0.3333333333333333,15,3.75,36.0,20,17,4.25,108,32,2,0.986,8.0,0.5,9,0.429,2.25,32,8.0,67,0.496,9.5,3.5,1.19,129,WAC,38-24,13-10,4-3,21-11,0-0,111,WAC,1.1589411233156435,3-1,87,119,117,0-0,0-0,3-1,0-0,0-0,,105,-6,0.925,0.703,1.61,3,1,0.75,0.04700000000000004
111,Southeastern La.,4,132,52,0.394,13.0,33.0,0.3939393939393939,20,5.0,32.0,15,13,3.66,96,33,4,0.97,8.25,1.0,7,0.491,1.75,43,10.75,106,0.803,11.8,2.53,1.31,147,Southland,28-28,9-12,1-1,18-15,2-0,142,Southland,0.30869195449833586,4-1,122,118,202,0-0,0-0,0-1,0-0,4-0,,129,-13,1.294,0.873,1.59,4,1,0.8,-0.07299999999999995
112,Xavier,4,140,35,0.25,8.75,35.0,0.25,24,6.0,35.0,33,32,8.23,105,48,3,0.981,12.0,0.75,5,0.376,1.25,27,6.75,54,0.386,6.2,8.23,2.03,44,Big East,30-27,16-15,1-3,13-9,0-0,109,Big East,1.2204754928032893,2-2,26,134,46,0-2,0-0,1-0,1-0,0-0,,81,-28,0.762,0.409,1.57,2,2,0.5,0.09100000000000003
113,Southeast Mo. St.,3,98,23,0.235,7.666666666666667,32.666666666666664,0.23469387755102042,12,4.0,25.0,9,7,2.52,75,32,4,0.964,10.666666666666666,1.3333333333333333,3,0.333,1.0,8,2.6666666666666665,32,0.327,9.0,3.24,1.0,113,OVC,36-27,16-13,4-2,16-12,0-0,135,Ohio Valley,0.592823246687534,1-2,255,141,229,0-0,0-0,0-0,1-2,0-0,,127,-8,0.66,0.446,1.51,1,2,0.333,-0.11299999999999999
114,Arizona St.,4,125,33,0.264,8.25,31.25,0.264,22,5.5,36.0,27,26,6.5,108,40,3,0.98,10.0,0.75,9,0.405,2.25,38,9.5,58,0.464,8.8,5.25,1.64,86,Pac-12,32-26,11-9,0-5,21-12,0-0,90,Big 12,1.716775394658994,4-0,28,302,193,0-0,0-0,0-0,3-0,1-0,,57,-33,0.869,0.651,1.49,4,0,1.0,0.349
115,FIU,4,145,53,0.366,13.25,36.25,0.36551724137931035,26,6.5,37.0,27,23,5.59,111,27,5,0.965,6.75,1.25,21,0.51,5.25,42,10.5,95,0.655,11.2,3.65,1.3,130,CUSA,27-30,9-9,2-4,16-17,0-0,144,Conference USA,0.301442229455667,5-0,55,48,291,0-0,0-0,0-0,0-0,5-0,,146,2,1.165,0.692,1.45,5,0,1.0,0.30800000000000005
116,Bowling Green,3,117,31,0.265,10.333333333333334,39.0,0.26495726495726496,9,3.0,28.0,33,30,9.64,84,32,5,0.959,10.666666666666666,1.6666666666666667,6,0.348,2.0,19,6.333333333333333,46,0.393,9.3,5.79,2.14,101,MAC,33-20,16-15,1-2,16-3,0-0,175,MAC,-0.4426856807091141,2-1,178,235,238,0-0,0-0,0-0,2-1,0-0,,158,-17,0.741,0.267,1.42,2,1,0.667,0.4
117,Houston,3,92,19,0.207,6.333333333333333,30.666666666666668,0.20652173913043478,14,4.666666666666667,27.0,23,19,6.33,81,29,5,0.957,9.666666666666666,1.6666666666666667,1,0.312,0.3333333333333333,15,5.0,31,0.337,12.0,5.33,1.56,112,Big 12,26-28,4-14,2-2,20-12,0-0,101,Big 12,1.4199267971971192,2-1,172,184,216,0-0,0-0,0-0,2-1,0-0,,114,13,0.649,0.314,1.32,2,1,0.667,0.35300000000000004
118,Western Caro.,4,131,36,0.275,9.0,32.75,0.2748091603053435,7,1.75,33.0,33,29,7.91,99,31,2,0.985,7.75,0.5,9,0.354,2.25,17,4.25,50,0.382,9.5,6.27,1.64,108,SoCon,28-26,10-11,4-4,14-11,0-0,141,Southern,0.3416874696284446,1-3,192,215,84,0-0,0-0,0-3,1-0,0-0,,145,4,0.736,0.229,1.31,1,3,0.25,0.02099999999999999
119,Georgia St.,3,95,26,0.274,8.666666666666666,31.666666666666668,0.2736842105263158,22,7.333333333333333,27.0,15,13,4.33,81,18,4,0.961,6.0,1.3333333333333333,3,0.421,1.0,26,8.666666666666666,59,0.621,10.7,4.0,1.41,110,Sun Belt,25-32,12-15,0-2,13-15,0-0,114,Sun Belt,1.0841725998632037,3-0,39,96,243,0-0,0-0,0-0,3-0,0-0,,117,3,1.042,0.732,1.23,3,0,1.0,0.268
120,Minnesota,3,106,26,0.245,8.666666666666666,35.333333333333336,0.24528301886792453,16,5.333333333333333,25.0,15,13,4.68,75,16,6,0.938,5.333333333333333,2.0,5,0.37,1.6666666666666667,23,7.666666666666667,46,0.434,11.9,5.04,1.32,119,Big Ten,24-23,12-12,3-4,9-7,1-0,150,Big Ten,0.14624120422869508,1-2,205,106,122,0-0,0-0,0-0,1-2,0-0,,192,42,0.804,0.686,1.2,1,2,0.333,-0.35300000000000004
121,McNeese,3,99,29,0.293,9.666666666666666,33.0,0.29292929292929293,12,4.0,27.0,13,11,3.67,81,35,4,0.967,11.666666666666666,1.3333333333333333,7,0.403,2.3333333333333335,20,6.666666666666667,51,0.515,7.7,2.67,1.19,114,Southland,30-27,7-15,3-2,20-10,2-0,172,Southland,-0.4206542596571932,2-1,101,125,100,0-0,0-0,2-1,0-0,0-0,,139,-33,0.918,0.687,1.2,2,1,0.667,-0.020000000000000018
122,USC Upstate,3,104,30,0.288,10.0,34.666666666666664,0.28846153846153844,12,4.0,26.0,28,19,6.58,78,24,8,0.927,8.0,2.6666666666666665,6,0.387,2.0,26,8.666666666666666,64,0.615,8.3,3.81,1.73,95,Big South,36-24,13-13,0-2,23-9,0-0,125,Big South,0.8365468659211309,1-2,236,258,151,0-0,0-0,1-1,0-1,0-0,,124,-1,1.002,0.466,0.96,1,2,0.333,-0.133
123,Cal Poly,4,133,26,0.195,6.5,33.25,0.19548872180451127,14,3.5,33.0,38,37,10.09,99,28,2,0.984,7.0,0.5,2,0.282,0.5,13,3.25,36,0.271,10.1,7.64,2.06,105,Big West,35-22,11-10,0-0,24-12,0-0,57,Big West,2.4690144683472384,1-3,120,57,42,0-3,0-0,0-0,1-0,0-0,,65,8,0.5529999999999999,0.123,0.86,1,3,0.25,0.127
124,FGCU,4,139,38,0.273,9.5,34.75,0.2733812949640288,21,5.25,37.0,26,19,4.62,111,34,11,0.929,8.5,2.75,12,0.406,3.0,28,7.0,57,0.41,9.5,2.92,1.38,127,ASUN,30-26,11-15,1-1,18-10,0-0,97,Atlantic Sun,1.5246203977550334,1-3,245,107,150,0-0,0-1,0-0,1-2,0-0,,119,22,0.8160000000000001,0.534,0.81,1,3,0.25,-0.28400000000000003
125,Tarleton St.,4,143,55,0.385,13.75,35.75,0.38461538461538464,37,9.25,36.0,27,24,6.0,108,41,5,0.968,10.25,1.25,13,0.536,3.25,58,14.5,83,0.58,10.8,4.5,1.58,150,WAC,32-29,13-18,5-1,14-10,0-0,146,WAC,0.2821106372572462,3-1,159,68,289,0-0,0-0,0-0,0-0,3-1,,160,14,1.116,0.802,0.75,3,1,0.75,-0.052000000000000046
126,VCU,4,115,27,0.235,6.75,28.75,0.23478260869565218,8,2.0,29.1,37,30,9.2,88,32,4,0.968,8.0,1.0,9,0.326,2.25,15,3.75,41,0.357,7.1,8.28,2.18,73,Atlantic 10,38-23,12-13,8-1,18-9,0-0,105,Atlantic 10,1.3776873693280869,1-3,183,53,65,0-0,1-2,0-0,0-0,0-1,,85,-20,0.683,0.161,0.75,1,3,0.25,0.089
127,South Fla.,4,129,28,0.217,7.0,32.25,0.21705426356589147,16,4.0,36.0,23,22,5.5,108,28,3,0.978,7.0,0.75,3,0.315,0.75,18,4.5,46,0.357,10.5,4.75,1.67,146,AAC,26-29,8-14,0-0,18-15,0-0,136,American,0.5714452272706951,2-2,85,131,56,0-1,0-0,2-1,0-0,0-0,,149,13,0.6719999999999999,0.39,0.68,2,2,0.5,0.10999999999999999
128,Fresno St.,4,131,36,0.275,9.0,32.75,0.2748091603053435,16,4.0,36.0,18,13,3.25,108,18,4,0.969,4.5,1.0,6,0.379,1.5,25,6.25,49,0.374,12.2,5.25,1.5,176,Mountain West,33-29,13-16,4-2,16-11,0-0,93,Mountain West,1.6025288403720865,2-2,181,36,136,0-0,0-0,2-2,0-0,0-0,,115,22,0.753,0.646,0.63,2,2,0.5,-0.14600000000000002
129,CSUN,3,103,25,0.243,8.333333333333334,34.333333333333336,0.24271844660194175,17,5.666666666666667,25.2,22,19,6.66,77,29,3,0.972,9.666666666666666,1.0,1,0.352,0.3333333333333333,18,6.0,38,0.369,6.7,6.66,1.83,94,Big West,30-24,15-14,0-0,15-10,0-0,71,Big West,2.11249409417204,1-2,199,152,121,0-0,0-0,1-2,0-0,0-0,,67,-4,0.721,0.409,0.62,1,2,0.333,-0.07599999999999996
130,UC Davis,4,118,30,0.254,7.5,29.5,0.2542372881355932,19,4.75,36.0,15,6,1.5,108,31,5,0.965,7.75,1.25,4,0.371,1.0,20,5.0,42,0.356,6.8,2.25,1.08,133,Big West,29-27,14-16,0-0,15-11,0-0,206,Big West,-1.2236758806270112,3-1,151,301,235,0-0,0-0,0-0,2-1,1-0,,225,19,0.727,0.629,0.56,3,1,0.75,0.121
131,UIC,4,135,32,0.237,8.0,33.75,0.23703703703703705,21,5.25,33.0,37,33,9.0,99,36,5,0.964,9.0,1.25,8,0.367,2.0,29,7.25,51,0.378,6.8,5.18,1.82,89,MVC,34-20,12-10,5-4,17-6,1-0,139,Missouri Valley,0.43155477664765785,1-3,275,177,257,0-0,0-0,0-0,0-0,1-3,,118,-21,0.745,0.39,0.52,1,3,0.25,-0.14
