,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,RA,ER,ERA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RS,RPG,TB,SLG,KP9,WP9,WHIP,Rank,Conference,Record,Road,Neutral,Home,Non Div I,CBRank,Conf,CBR,Rec,SOR,Rk25,SOS,vs 1-25,vs 26-50,vs 51-100,vs 101-200,vs 201+,RPI,Prev,Trend,OPS,PYTHAG,Rating,Wins,Losses,WIN%,Wins_Over_Pythag
27,NC State,4,132,48,0.364,12.0,33.0,0.36363636363636365,27,6.75,31.0,18,12,3.48,93,31,7,0.947,7.75,1.75,8,0.488,2.0,50,12.5,81,0.614,10.2,4.94,1.35,9,ACC,38-23,11-13,1-3,26-7,0-0,19,ACC,4.192226366412688,3-1,127,73,181,0-0,0-0,0-1,0-0,3-0,,25,6,1.1019999999999999,0.866,4.29,3,1,0.75,-0.11599999999999999
28,Nebraska,4,132,32,0.242,8.0,33.0,0.24242424242424243,18,4.5,35.0,17,17,4.37,105,43,0,1.0,10.75,0.0,10,0.368,2.5,25,6.25,51,0.386,9.5,3.6,1.4,29,Big Ten,40-22,15-9,7-5,18-8,0-0,52,Big Ten,2.696979117454579,2-2,98,190,63,0-1,1-0,0-1,1-0,0-0,,60,8,0.754,0.669,4.27,2,2,0.5,-0.16900000000000004
29,Indiana St.,4,161,57,0.354,14.25,40.25,0.35403726708074534,20,5.0,35.2,20,17,4.29,107,42,6,0.961,10.5,1.5,13,0.462,3.25,62,15.5,102,0.634,7.1,3.79,1.46,12,MVC,44-15,17-10,11-3,16-2,0-0,38,Missouri Valley,3.3646004366510476,3-1,133,38,192,0-0,0-0,1-0,0-0,2-1,,21,-17,1.096,0.888,4.27,3,1,0.75,-0.138
30,Georgia,5,154,33,0.214,6.6,30.8,0.21428571428571427,40,8.0,44.0,18,16,3.27,132,50,2,0.989,10.0,0.4,16,0.42,3.2,31,6.2,52,0.338,10.6,5.52,1.2,7,SEC,43-17,8-9,2-1,33-7,0-0,30,SEC,3.8966546689840746,4-1,99,158,156,0-0,0-0,1-1,1-0,2-0,,20,-10,0.758,0.73,4.2,4,1,0.8,0.07000000000000006
31,Louisville,3,110,33,0.3,11.0,36.666666666666664,0.3,8,2.6666666666666665,26.0,16,15,5.19,78,22,2,0.98,7.333333333333333,0.6666666666666666,4,0.369,1.3333333333333333,20,6.666666666666667,39,0.355,11.8,4.5,1.38,61,ACC,32-24,7-10,0-4,25-10,0-0,24,ACC,4.03721689055345,2-1,3,15,23,1-1,1-0,0-0,0-0,0-0,,24,0,0.724,0.601,4.2,2,1,0.667,0.06600000000000006
32,Miami (FL),4,132,40,0.303,10.0,33.0,0.30303030303030304,26,6.5,33.0,5,5,1.36,99,29,1,0.992,7.25,0.25,11,0.453,2.75,36,9.0,58,0.439,13.6,4.09,1.06,81,ACC,27-30,6-13,2-1,19-16,0-0,36,ACC,3.672343357621184,3-1,130,49,188,0-0,0-0,0-1,0-0,3-0,,42,6,0.892,0.974,4.07,3,1,0.75,-0.22399999999999998
33,Maryland,3,102,26,0.255,8.666666666666666,34.0,0.2549019607843137,18,6.0,26.0,9,6,2.08,78,19,3,0.97,6.333333333333333,1.0,5,0.392,1.6666666666666667,28,9.333333333333334,49,0.48,11.8,3.46,1.08,48,Big Ten,34-22,19-14,1-1,14-7,0-0,54,Big Ten,2.611599023022979,2-1,166,29,195,0-0,0-0,0-0,1-1,1-0,,54,0,0.872,0.889,4.02,2,1,0.667,-0.22199999999999998
34,TCU,4,143,39,0.273,9.75,35.75,0.2727272727272727,22,5.5,37.0,17,13,3.16,111,42,7,0.956,10.5,1.75,8,0.394,2.0,34,8.5,83,0.58,10.9,2.68,1.3,42,Big 12,33-21,7-11,5-2,21-8,0-0,21,Big 12,4.127059589648107,4-0,2,90,52,0-0,4-0,0-0,0-0,0-0,,16,-5,0.974,0.78,3.97,4,0,1.0,0.21999999999999997
35,Alabama,4,138,53,0.384,13.25,34.5,0.38405797101449274,34,8.5,34.0,15,11,2.91,102,35,7,0.951,8.75,1.75,10,0.527,2.5,52,13.0,87,0.63,9.5,3.71,1.21,28,SEC,33-24,8-12,3-4,22-8,0-0,9,SEC,4.879662411525679,5-0,47,16,267,0-0,0-0,0-0,1-0,4-0,,29,20,1.157,0.907,3.91,5,0,1.0,0.09299999999999997
36,Coastal Carolina,4,122,42,0.344,10.5,30.5,0.3442622950819672,16,4.0,40.0,7,4,0.9,96,35,4,0.97,8.75,1.0,14,0.468,3.5,39,9.75,71,0.582,8.8,3.38,0.9,34,Sun Belt,36-25,9-14,3-2,24-9,0-0,39,Sun Belt,3.227043550973818,4-1,89,157,147,0-0,0-1,0-0,3-0,1-0,,52,13,1.05,0.959,3.89,4,1,0.8,-0.15899999999999992
