,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RPG,RS,TB,SLG,KP9,WP9,WHIP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
213,Princeton,45,1454,377,0.259,8.377777777777778,32.31111111111111,0.2592847317744154,165,3.6666666666666665,369.0,162,3.95,194,1107,468,53,0.967,10.4,1.1777777777777778,23,0.342,0.5111111111111111,4.977777777777778,224,518,0.356,5.3,3.56,1.35,0.698,0.565,0.30392052194543295,-73.66899945537742,-0.5465748980374509,-1.965389502270548,-2.511964400307999,0.0969738651994498,68.56780368999571,0.09786476868327403,0.24351978171896316,4.7317073170731705,0.9713579564196598,0.6615393634556896,1.48,-1.35,Ivy League
214,A&M-Corpus Christi,51,1697,443,0.261,8.686274509803921,33.27450980392157,0.2610489098408957,152,2.980392156862745,436.1,204,4.21,263,1309,571,80,0.959,11.196078431372548,1.5686274509803921,40,0.334,0.7843137254901961,4.254901960784314,217,591,0.348,7.2,4.02,1.49,0.6819999999999999,0.413,0.29835233160621766,-109.28059530253545,-0.8107892149551297,-0.7734007829914201,-1.5841899979465497,0.08721272834413671,59.26823118284975,0.07875647668393783,0.24882903981264637,5.427654207750516,0.6567803195934456,0.6375771838958965,1.79,-1.38,Southland
215,Elon,54,1853,514,0.277,9.518518518518519,34.31481481481482,0.27738801942795466,268,4.962962962962963,480.0,346,6.49,408,1440,620,98,0.955,11.481481481481481,1.8148148148148149,63,0.384,1.1666666666666667,6.703703703703703,362,831,0.448,7.7,5.7,1.76,0.8320000000000001,0.445,0.3552702099151407,169.09539918972567,1.2545752114728983,-0.5054911896501849,0.7490840218227134,0.17107393416082028,154.32818855516436,0.11969629298794104,0.24532335649385356,7.6499999999999995,1.0602443814638027,0.5477537320470849,1.36,-1.41,Coastal Athletic
216,Western Mich.,56,1898,513,0.27,9.160714285714286,33.892857142857146,0.2702845100105374,186,3.3214285714285716,482.0,316,5.9,351,1446,579,45,0.978,10.339285714285714,0.8035714285714286,56,0.35,1.0,4.375,245,643,0.339,7.2,4.65,1.68,0.6890000000000001,0.341,0.3046206581352834,-92.04709110151329,-0.6829280946584274,-0.3006031596450145,-0.9835312543034419,0.0684931506849315,69.73711847015613,0.0850091407678245,0.261867501304121,6.553941908713693,0.8663504292971804,0.6007085916295888,1.54,-1.46,Mid-American
217,Bethune-Cookman,56,1873,528,0.282,9.428571428571429,33.44642857142857,0.28190069407367857,211,3.767857142857143,475.0,270,5.12,336,1425,590,67,0.968,10.535714285714286,1.1964285714285714,69,0.372,1.2321428571428572,5.589285714285714,313,742,0.396,7.2,3.69,1.56,0.768,0.468,0.3310161870503597,42.72922180198843,0.3170223597754724,-0.1258604747502884,0.191161885025184,0.11425520555258943,113.82094464281036,0.09487410071942447,0.25528541226215645,6.366315789473684,0.5633282250973496,0.5843675547360655,1.94,-1.51,MEAC
218,Buffalo,52,1767,445,0.252,8.557692307692308,33.98076923076923,0.25183927560837577,238,4.576923076923077,452.0,229,4.56,265,1356,483,67,0.965,9.288461538461538,1.2884615384615385,40,0.352,0.7692307692307693,4.5576923076923075,237,603,0.341,7.5,3.86,1.41,0.6930000000000001,0.449,0.3085941261434762,-68.21689232286224,-0.5061238952808735,-0.43378244789101505,-0.9399063431718886,0.08941709111488398,76.37330574033149,0.11458834857968224,0.2373453318335208,5.2765486725663715,0.5293223435486938,0.6284215481227757,1.93,-1.51,Mid-American
219,Purdue,54,1834,450,0.245,8.333333333333334,33.96296296296296,0.24536532170119957,183,3.388888888888889,472.2,277,5.27,341,1418,593,73,0.965,10.981481481481481,1.3518518518518519,61,0.333,1.1296296296296295,3.888888888888889,210,614,0.335,5.8,3.87,1.6,0.668,0.292,0.29428167687235046,-140.27256835825844,-1.0407290083301137,-0.4667555558153175,-1.5074845641454313,0.08942202835332606,52.4697299565986,0.0861987753179463,0.23168746608790017,6.4993646759847525,0.8977494771338952,0.5853000752013267,1.5,-1.57,Big Ten
220,Eastern Ky.,55,1941,562,0.29,10.218181818181819,35.29090909090909,0.2895414734672849,238,4.327272727272727,482.1,301,5.62,351,1447,538,73,0.965,9.781818181818181,1.3272727272727274,50,0.378,0.9090909090909091,6.581818181818182,362,880,0.453,6.7,4.57,1.63,0.831,0.514,0.35150935189212695,153.5530693689344,1.1392614784255388,-0.3487202010668472,0.7905412773586916,0.16383307573415765,148.04708648367398,0.10352327098738583,0.2530612244897959,6.552582451773491,0.9204503319061053,0.5875889026459127,1.47,-1.58,Ohio Valley
221,Norfolk St.,50,1616,428,0.265,8.56,32.32,0.26485148514851486,222,4.44,417.2,170,3.66,237,1253,496,92,0.95,9.92,1.84,72,0.374,1.44,6.42,321,606,0.375,9.0,3.96,1.43,0.749,0.635,0.3201290322580645,-12.218261231531457,-0.09065135859302918,-0.7348546037048169,-0.8255059622978461,0.11014851485148515,95.63803794969274,0.11017369727047147,0.24923640806353084,5.112655800575264,0.26267999871858533,0.6494806074482942,2.27,-1.63,MEAC
222,SFA,60,2042,608,0.298,10.133333333333333,34.03333333333333,0.29774730656219395,252,4.2,517.0,316,5.5,392,1551,588,96,0.957,9.8,1.6,65,0.387,1.0833333333333333,6.55,393,882,0.432,6.7,4.3,1.61,0.819,0.501,0.34611764705882353,133.784075360506,0.9925887128885955,0.1979366242699658,1.1905253371585613,0.13418217433888344,139.04226678825015,0.10223123732251521,0.27496382054992763,6.823984526112186,0.8605572815444343,0.5625359916791366,1.55,-1.65,Southland
