,Team,G,AB,H,BA,HPG,ABPG,HPAB,BB,BBPG,IP,ER,ERA,RA,PO,A,E,PCT,APG,EPG,HBP,OBP,HBPPG,RPG,RS,TB,SLG,KP9,WP9,WHIP,OPS,PYTHAG,wOBA,wRAA,oWAR_z,pWAR_z,fWAR,ISO,wRC+,BB%,BABIP,RA9,FIP,LOB%,K/BB,Rating,Conference
243,FDU,56,1743,502,0.288,8.964285714285714,31.125,0.28800917957544464,208,3.7142857142857144,448.2,273,5.48,335,1346,506,63,0.967,9.035714285714286,1.125,47,0.374,0.8392857142857143,5.732142857142857,321,762,0.437,6.9,4.27,1.6,0.8109999999999999,0.48,0.3348588899341486,59.813492022521416,0.4437762633558815,-0.782791227507742,-0.3390149641518605,0.1491681009753299,120.23873784207264,0.09783631232361242,0.2583380440927077,6.7269076305220885,0.8736744911228045,0.571625739756809,1.61,-2.08,Northeast
244,N.C. Central,55,1801,492,0.273,8.945454545454545,32.74545454545454,0.27318156579677955,199,3.618181818181818,466.1,288,5.56,339,1399,538,71,0.965,9.781818181818181,1.290909090909091,82,0.368,1.490909090909091,5.345454545454546,294,726,0.403,7.9,4.23,1.57,0.771,0.435,0.33044042651831246,38.558641738541844,0.2860794341244174,-0.26614641552636614,0.019933018598051244,0.12992781787895613,112.85935272724366,0.09225776541492814,0.2468389224848818,6.54580562111135,0.5744456232824143,0.5738323966633909,1.87,-2.08,MEAC
245,Rider,51,1661,405,0.244,7.9411764705882355,32.568627450980394,0.24382901866345574,147,2.8823529411764706,422.0,261,5.57,323,1266,510,91,0.951,10.0,1.7843137254901962,32,0.316,0.6274509803921569,4.490196078431373,229,567,0.341,6.5,4.09,1.68,0.657,0.348,0.28346842105263154,-173.23757299447482,-1.2853073816085219,-1.1527507886059836,-2.4380581702145054,0.0975316074653823,34.410243766698436,0.07736842105263157,0.23026315789473684,6.888625592417061,0.8754073397504778,0.5783260265888136,1.58,-2.09,MAAC
246,NIU,56,1936,506,0.261,9.035714285714286,34.57142857142857,0.26136363636363635,227,4.053571428571429,489.2,312,5.73,368,1469,619,77,0.964,11.053571428571429,1.375,64,0.354,1.1428571428571428,5.875,329,671,0.347,5.6,4.12,1.66,0.701,0.449,0.30823375490623633,-77.22965879620823,-0.572992618252852,-0.34497702456479096,-0.9179696428176429,0.08522727272727272,75.77144081725231,0.09899694723070214,0.24948979591836734,6.7702371218315625,1.023264323224123,0.5800189038846708,1.36,-2.15,Mid-American
247,ULM,55,1783,412,0.231,7.490909090909091,32.41818181818182,0.2310712282669658,191,3.4727272727272727,481.1,298,5.57,351,1444,514,80,0.961,9.345454545454546,1.4545454545454546,54,0.321,0.9818181818181818,4.4363636363636365,244,605,0.339,7.0,4.49,1.59,0.66,0.34,0.2917296511627907,-148.60341859127342,-1.1025383670880475,-0.29039130790643847,-1.392929674994486,0.10824453168816602,48.207528652342155,0.09253875968992248,0.21222222222222223,6.566202452712533,0.8412993244895725,0.5766999585678797,1.55,-2.16,Sun Belt
248,UMass Lowell,52,1664,393,0.236,7.5576923076923075,32.0,0.2361778846153846,193,3.7115384615384617,432.0,233,4.85,291,1296,516,68,0.964,9.923076923076923,1.3076923076923077,50,0.33,0.9615384615384616,4.115384615384615,214,530,0.319,6.6,4.69,1.56,0.649,0.363,0.28116708229426435,-193.52386349697943,-1.435818142511156,-1.1489731303989732,-2.5847912729101292,0.08233173076923077,30.566720944531955,0.09625935162094763,0.21932424422050978,6.0625,1.0422539335278,0.6065508356540139,1.4,-2.17,America East
249,UNC Asheville,54,1848,463,0.251,8.574074074074074,34.22222222222222,0.25054112554112556,272,5.037037037037037,472.0,331,6.31,384,1415,538,80,0.961,9.962962962962964,1.4814814814814814,66,0.364,1.2222222222222223,5.296296296296297,286,657,0.356,5.5,4.19,1.68,0.72,0.368,0.3184212880143113,-22.423681220100697,-0.16636877610811743,-0.6313038246529226,-0.79767260076104,0.10497835497835498,92.78589201879736,0.12164579606440072,0.23093447905477982,7.322033898305085,1.0782146252174265,0.548398459252828,1.3,-2.18,Big South
250,Murray St.,56,1989,604,0.304,10.785714285714286,35.517857142857146,0.3036701860231272,271,4.839285714285714,486.2,342,6.32,412,1460,495,75,0.963,8.839285714285714,1.3392857142857142,61,0.401,1.0892857142857142,7.392857142857143,414,910,0.458,8.3,5.14,1.85,0.859,0.502,0.36491206030150763,233.804241819735,1.7346717150780835,-0.1529006206522352,1.5817710944258483,0.15384615384615385,170.4312815366641,0.11348408710217756,0.27858212680978534,7.626491155902921,0.7704255592785705,0.5722539774159058,1.62,-2.29,Ohio Valley
251,Pacific,52,1828,514,0.281,9.884615384615385,35.15384615384615,0.2811816192560175,143,2.75,459.0,255,5.0,328,1377,556,79,0.961,10.692307692307692,1.5192307692307692,37,0.343,0.7115384615384616,4.903846153846154,255,751,0.411,6.5,3.82,1.64,0.754,0.387,0.32269493177387915,-0.21847438796725507,-0.001620934412162631,-0.49649249484704,-0.49811342925920266,0.12964989059080964,99.92341024117441,0.06968810916179337,0.2559652928416486,6.431372549019608,0.719506970117668,0.599880100605795,1.7,-2.3,West Coast
252,App State,54,1786,415,0.232,7.685185185185185,33.074074074074076,0.23236282194848823,188,3.4814814814814814,471.0,280,5.35,341,1413,519,76,0.962,9.61111111111111,1.4074074074074074,53,0.322,0.9814814814814815,4.277777777777778,231,610,0.342,7.4,4.18,1.59,0.664,0.329,0.29207464857004367,-146.8790160233476,-1.089744448822462,-0.2615621751883265,-1.3513066240107885,0.10918253079507279,48.78371736143332,0.09112942317014057,0.2123401889938855,6.51592356687898,0.6495059513856163,0.5805906202078982,1.77,-2.31,Sun Belt
253,UAlbany,53,1672,442,0.264,8.339622641509434,31.547169811320753,0.26435406698564595,223,4.2075471698113205,428.1,244,5.13,295,1285,465,66,0.964,8.773584905660377,1.2452830188679245,43,0.361,0.8113207547169812,5.018867924528302,266,574,0.343,7.1,5.21,1.63,0.704,0.453,0.30745913818722137,-71.63215522761678,-0.5314628708029723,-1.276447445082435,-1.8079103158854073,0.07894736842105263,74.4777342618219,0.1104507181773155,0.25457767277023036,6.201822004204625,1.133112593303708,0.6180389693974834,1.36,-2.31,America East
254,George Mason,54,1780,428,0.24,7.925925925925926,32.96296296296296,0.24044943820224718,216,4.0,470.0,320,6.13,366,1410,539,65,0.968,9.981481481481481,1.2037037037037037,58,0.339,1.0740740740740742,4.592592592592593,248,593,0.333,5.9,5.06,1.69,0.672,0.329,0.29896848137535814,-115.57114908716741,-0.8574609333014191,-0.829856511176583,-1.6873174444780021,0.09269662921348315,60.29727816298417,0.10315186246418338,0.22729805013927576,7.008510638297873,1.2700368151119688,0.5712718035394374,1.17,-2.44,Atlantic 10
255,Oakland,50,1711,444,0.259,8.88,34.22,0.25949736995908823,171,3.42,431.0,241,5.03,303,1293,580,87,0.956,11.6,1.74,36,0.337,0.72,4.98,249,611,0.357,6.2,3.97,1.49,0.694,0.411,0.30184865413915696,-95.50584531985093,-0.7085897467536156,-1.003935525482849,-1.7125252722364648,0.09760374050263004,65.10752598469003,0.08684611477907567,0.24303944315545242,6.327146171693736,0.848236880430148,0.5651612980236006,1.57,-2.48,Horizon League
256,Butler,54,1854,456,0.246,8.444444444444445,34.333333333333336,0.2459546925566343,164,3.037037037037037,477.1,292,5.51,347,1432,552,89,0.957,10.222222222222221,1.6481481481481481,30,0.315,0.5555555555555556,4.166666666666667,225,609,0.328,5.4,3.24,1.55,0.643,0.312,0.28181861575178996,-199.04172097142887,-1.4767569690023343,-0.27006724585685227,-1.7468242148591866,0.0825242718446602,31.654863098441293,0.0782816229116945,0.23822269807280513,6.545797526723957,0.7564814569327715,0.5652853700265424,1.68,-2.48,Big East
257,Yale,48,1524,399,0.262,8.3125,31.75,0.2618110236220472,155,3.2291666666666665,387.0,249,5.79,292,1161,512,42,0.976,10.666666666666666,0.875,34,0.34,0.7083333333333334,4.479166666666667,215,561,0.368,5.7,4.35,1.67,0.708,0.364,0.302593837535014,-83.49279081088457,-0.6194608853343178,-1.846553590010618,-2.466014475344936,0.1062992125984252,66.35207521859257,0.08683473389355742,0.24772431729518857,6.790697674418604,1.1496808569684187,0.585993174439,1.32,-2.56,Ivy League
258,Bowling Green,54,1762,404,0.229,7.481481481481482,32.629629629629626,0.2292849035187287,185,3.425925925925926,464.0,262,5.08,316,1392,511,81,0.959,9.462962962962964,1.5,25,0.31,0.46296296296296297,3.259259259259259,176,504,0.286,5.5,4.34,1.6,0.596,0.255,0.26619732275656915,-264.7827712138137,-1.9645117654397621,-0.798891341598902,-2.763403107038664,0.056753688989784334,5.565355015120336,0.0917203767972236,0.22077922077922077,6.129310344827586,1.1442183256522096,0.6127810144359865,1.26,-2.58,Mid-American
259,James Madison,55,1874,529,0.282,9.618181818181819,34.07272727272727,0.2822838847385272,243,4.418181818181818,488.2,357,6.58,423,1466,597,92,0.957,10.854545454545455,1.6727272727272726,44,0.374,0.8,6.0181818181818185,331,784,0.418,7.2,4.35,1.76,0.792,0.39,0.3328325991189427,53.18586776325738,0.3946037066424976,-0.09138511391472744,0.3032185927277702,0.1360725720384205,116.85457939765665,0.10704845814977973,0.2612137203166227,7.79803359278984,0.7348404445144067,0.5382463678114386,1.65,-2.59,Coastal Athletic
260,Dayton,55,1835,442,0.241,8.036363636363637,33.36363636363637,0.24087193460490464,166,3.018181818181818,477.2,248,4.67,311,1433,536,81,0.96,9.745454545454546,1.4727272727272727,55,0.32,1.0,4.4363636363636365,244,615,0.335,5.8,3.73,1.51,0.655,0.391,0.2850825082508251,-185.4396333014777,-1.3758385401345268,-0.35172496747027354,-1.7275635076048004,0.09427792915531336,37.105970747642914,0.07826496935407827,0.22570194384449244,5.865465213746857,0.8481749895472199,0.6083376585046114,1.57,-2.63,Atlantic 10
261,Towson,55,1873,494,0.264,8.981818181818182,34.054545454545455,0.2637479978643887,248,4.509090909090909,479.0,276,5.19,370,1437,652,93,0.957,11.854545454545455,1.690909090909091,52,0.363,0.9454545454545454,5.4,297,709,0.379,5.7,3.85,1.63,0.742,0.401,0.3155570175438596,-38.02671668959904,-0.2821329046270818,-0.3822817309692288,-0.6644146355963105,0.11478910838227442,88.00220301081774,0.10877192982456141,0.246422893481717,6.9519832985386225,0.9097058559748087,0.5594792955964994,1.49,-2.64,Coastal Athletic
262,San Jose St.,56,1883,504,0.268,9.0,33.625,0.26765799256505574,161,2.875,484.2,329,6.11,379,1454,608,65,0.969,10.857142857142858,1.1607142857142858,35,0.334,0.625,4.303571428571429,241,662,0.352,5.1,3.79,1.7,0.6859999999999999,0.304,0.29926117647058825,-115.83805927970486,-0.8594412291158028,-0.4350030710623847,-1.2944443001781876,0.08390865639936272,60.78611548620003,0.07576470588235294,0.2571127502634352,7.04460966542751,1.046222443042629,0.5734356254883627,1.33,-2.73,Mountain West
263,La Salle,54,1734,366,0.211,6.777777777777778,32.111111111111114,0.21107266435986158,176,3.259259259259259,460.1,290,5.67,345,1381,550,81,0.96,10.185185185185185,1.5,40,0.296,0.7407407407407407,3.2222222222222223,174,496,0.286,7.0,4.54,1.6,0.582,0.222,0.25821215139442233,-300.8275451634264,-2.2319399752965547,-0.6247665756644495,-2.8567065509610043,0.07497116493656286,-7.770877322572152,0.08764940239043825,0.2006861063464837,6.74853292762443,0.8844105696644757,0.5675458566071183,1.53,-2.74,Atlantic 10
264,Portland,54,1774,400,0.225,7.407407407407407,32.851851851851855,0.2254791431792559,172,3.185185185185185,484.2,286,5.31,333,1454,498,76,0.963,9.222222222222221,1.4074074074074074,59,0.312,1.0925925925925926,3.9074074074074074,211,569,0.321,7.7,4.64,1.61,0.633,0.303,0.2739655996177735,-237.01159406913152,-1.758468132046466,-0.12802679996956273,-1.8864949320160287,0.09526493799323563,18.53934647830275,0.08217869087434305,0.21049692908989392,6.189591078066915,0.712344698683654,0.6086145014827125,1.66,-2.79,West Coast
265,Manhattan,55,1877,510,0.272,9.272727272727273,34.127272727272725,0.2717101758124667,181,3.290909090909091,471.1,272,5.19,340,1414,610,105,0.951,11.090909090909092,1.9090909090909092,39,0.346,0.7090909090909091,5.054545454545455,278,725,0.386,7.3,3.86,1.55,0.732,0.409,0.3120938794293603,-53.7136589663632,-0.39851956575766023,-0.20460324308098315,-0.6031228088386433,0.11454448588172615,82.21833032758151,0.08329498389323516,0.25780836421386977,6.495436213118234,0.5874529930204486,0.5711267236768472,1.88,-2.82,MAAC
266,Siena,57,1939,528,0.272,9.263157894736842,34.01754385964912,0.2723053120165034,219,3.8421052631578947,478.2,328,6.17,404,1436,584,99,0.953,10.24561403508772,1.736842105263158,40,0.355,0.7017543859649122,5.456140350877193,311,756,0.39,5.8,4.14,1.78,0.745,0.383,0.3245373267769334,9.330466667570468,0.06922584676283554,-0.4910659975759546,-0.42184015081311904,0.11758638473439917,103.00043973800032,0.09789897183728208,0.2534491568727644,7.603513174404016,1.017174213363758,0.5567146614948032,1.41,-2.94,MAAC
267,Texas Southern,50,1664,467,0.281,9.34,33.28,0.28064903846153844,269,5.38,427.1,304,6.4,369,1282,529,108,0.944,10.58,2.16,52,0.393,1.04,6.62,331,654,0.393,7.5,4.78,1.72,0.786,0.45,0.3228940092165898,0.7719212531469454,0.005727141448248946,-1.0595726102362395,-1.0538454687879906,0.1123798076923077,100.25589440573077,0.12396313364055299,0.26024955436720143,7.775696558183094,0.8489583129604166,0.5275872031599691,1.56,-2.96,SWAC
268,Northern Colo.,50,1662,417,0.251,8.34,33.24,0.2509025270758123,206,4.12,426.2,286,6.03,333,1279,498,58,0.968,9.96,1.16,44,0.347,0.88,4.68,234,577,0.347,7.1,4.41,1.7,0.694,0.344,0.30324708269913747,-89.20361634242178,-0.6618314062547265,-1.0471425158919834,-1.70897392214671,0.09626955475330927,67.44307613605847,0.10451547437848807,0.23518850987432674,7.031909901454716,0.8179026172346171,0.5753263058113407,1.6,-3.12,Western Athletic
269,Grambling,49,1703,493,0.289,10.061224489795919,34.755102040816325,0.2894891368173811,243,4.959183673469388,415.0,328,7.11,373,1245,484,64,0.964,9.877551020408163,1.3061224489795917,66,0.394,1.346938775510204,7.673469387755102,376,747,0.439,6.2,4.03,1.72,0.833,0.504,0.3502130681818182,134.7069388583173,0.999435745235278,-1.2634756129044453,-0.2640398676691673,0.1491485613623018,145.88213097399085,0.11505681818181818,0.2591304347826087,8.089156626506025,0.8909838398941831,0.5061993159984407,1.54,-3.19,SWAC
270,LIU,54,1695,425,0.251,7.87037037037037,31.38888888888889,0.25073746312684364,224,4.148148148148148,441.1,286,5.83,339,1324,507,68,0.964,9.38888888888889,1.2592592592592593,52,0.352,0.9629629629629629,4.425925925925926,239,580,0.342,6.3,4.67,1.65,0.694,0.345,0.3001014492753623,-108.80165855909839,-0.8072358233841058,-1.0925699698390756,-1.8998057932231815,0.09144542772861357,62.18947589554992,0.10821256038647344,0.239067055393586,6.91679891181138,1.124274094542338,0.5693699012085154,1.34,-3.2,Northeast
271,NJIT,53,1699,428,0.252,8.075471698113208,32.056603773584904,0.251912889935256,187,3.5283018867924527,430.0,301,6.3,345,1290,510,74,0.961,9.622641509433961,1.3962264150943395,44,0.34,0.8301886792452831,4.490566037735849,238,592,0.348,5.9,4.06,1.76,0.688,0.336,0.3021348884381339,-94.34088084999537,-0.6999464864808296,-1.1516240307619108,-1.8515705172427404,0.09652736904061213,65.58557297216845,0.09482758620689655,0.2401874633860574,7.220930232558139,1.0118267469612034,0.5772221241555766,1.45,-3.27,Independent
272,Brown,39,1235,320,0.259,8.205128205128204,31.666666666666668,0.2591093117408907,107,2.7435897435897436,314.1,189,5.41,235,943,337,55,0.959,8.64102564102564,1.4102564102564104,35,0.335,0.8974358974358975,4.17948717948718,163,465,0.377,7.2,4.44,1.64,0.712,0.339,0.3104450825556353,-39.7654626908416,-0.29503324161235367,-2.661696629946907,-2.956729871559261,0.11740890688259109,79.46463385841197,0.07681263460157932,0.24051654560129138,6.733524355300859,0.8610005554377815,0.5799132612948985,1.61,-3.44,Ivy League
273,Western Ill.,50,1629,396,0.243,7.92,32.58,0.2430939226519337,187,3.74,426.1,284,6.0,341,1279,448,81,0.955,8.96,1.62,45,0.334,0.9,3.9,195,539,0.331,6.8,4.31,1.71,0.665,0.264,0.28912325941206807,-151.3369612507229,-1.1228194325486234,-1.0696026148011395,-2.192422047349763,0.08778391651319828,43.85452927709306,0.0964414646725116,0.22895215021199272,7.202534616287257,0.8439101043543623,0.566178451368022,1.58,-3.55,The Summit League
274,Lafayette,43,1380,364,0.264,8.465116279069768,32.093023255813954,0.263768115942029,105,2.441860465116279,344.2,234,6.11,289,1034,399,68,0.955,9.279069767441861,1.5813953488372092,50,0.336,1.1627906976744187,4.953488372093023,213,519,0.376,7.5,3.89,1.66,0.712,0.364,0.30297246558197743,-73.3412032084367,-0.5441428682613818,-2.0731175571981275,-2.6172604254595093,0.11231884057971014,66.98443129147633,0.06570713391739674,0.2460431654676259,7.556653108657757,0.6094348695532792,0.5291274086694837,1.93,-3.68,Patriot League
275,Cornell,38,1177,282,0.24,7.421052631578948,30.973684210526315,0.23959218351741715,117,3.0789473684210527,305.1,210,6.19,233,916,379,46,0.966,9.973684210526315,1.2105263157894737,35,0.325,0.9210526315789473,3.973684210526316,151,418,0.355,6.7,4.63,1.71,0.6799999999999999,0.311,0.29465592972181553,-89.06854538955345,-0.6608292697680411,-2.8909027090873036,-3.5517319788553445,0.11554800339847068,53.094778903847214,0.08565153733528551,0.21856540084388185,6.87315634218289,1.0377203295762023,0.5890174544353715,1.44,-3.73,Ivy League
276,Eastern Ill.,54,1908,535,0.28,9.907407407407407,35.333333333333336,0.280398322851153,163,3.0185185185185186,467.0,383,7.38,432,1401,570,86,0.958,10.555555555555555,1.5925925925925926,48,0.349,0.8888888888888888,5.277777777777778,285,760,0.398,7.8,4.88,1.87,0.747,0.318,0.3168633681343622,-30.060955609317276,-0.22303226416184857,-0.4421977054388397,-0.6652299696006883,0.1179245283018868,90.183971466284,0.07399001361779392,0.26455301455301455,8.325481798715204,0.7878314841597972,0.5335232066519885,1.61,-3.79,Ohio Valley
277,New York Tech,43,1323,305,0.231,7.093023255813954,30.767441860465116,0.23053665910808768,139,3.2325581395348837,347.0,203,5.27,254,1041,378,69,0.954,8.790697674418604,1.6046511627906976,34,0.317,0.7906976744186046,3.883720930232558,167,443,0.335,7.1,4.62,1.58,0.652,0.317,0.28297996121525537,-142.80622293004495,-1.0595270373446812,-2.2474518360141276,-3.306978873358809,0.10430839002267574,33.594454902133776,0.08985132514544279,0.2148203592814371,6.587896253602305,0.9359293432283535,0.5753484831138909,1.53,-3.87,Independent
278,Army West Point,48,1496,376,0.251,7.833333333333333,31.166666666666668,0.25133689839572193,136,2.8333333333333335,394.0,240,5.48,304,1182,463,84,0.951,9.645833333333334,1.75,55,0.333,1.1458333333333333,4.291666666666667,206,474,0.317,7.0,4.73,1.72,0.65,0.329,0.28205084745762715,-167.20980232696317,-1.2405853389264578,-1.6149406050937847,-2.8555259440202425,0.06550802139037433,32.04271901846638,0.0768361581920904,0.2400793650793651,6.944162436548223,0.9668185067177106,0.5872996602651346,1.49,-4.05,Patriot League
279,SIUE,49,1637,400,0.244,8.16326530612245,33.40816326530612,0.24434941967012827,176,3.5918367346938775,411.0,393,8.61,441,1233,401,47,0.972,8.183673469387756,0.9591836734693877,35,0.329,0.7142857142857143,4.1020408163265305,201,539,0.329,6.0,4.75,2.02,0.658,0.192,0.2908859416445623,-139.40818994974458,-1.0343158963835424,-1.5561437810936576,-2.5904596774771997,0.08491142333536958,46.798428502787964,0.09336870026525199,0.23058252427184467,9.656934306569342,1.194059108408968,0.49323408128846635,1.25,-4.06,Ohio Valley
280,UIW,51,1671,394,0.236,7.7254901960784315,32.76470588235294,0.2357869539198085,164,3.215686274509804,432.2,350,7.28,382,1298,540,79,0.959,10.588235294117647,1.5490196078431373,21,0.309,0.4117647058823529,3.5098039215686274,179,505,0.302,6.3,4.47,1.87,0.611,0.2,0.27291246684350134,-218.06653179687459,-1.6179083910926855,-1.1195631830773742,-2.7374715741700597,0.06642728904847396,16.78048336526917,0.0870026525198939,0.22880853586247776,7.954650624710783,1.0097683881876482,0.5568734209592456,1.41,-4.07,Southland
281,Youngstown St.,52,1702,385,0.226,7.403846153846154,32.73076923076923,0.22620446533490013,212,4.076923076923077,445.2,308,6.22,375,1335,535,87,0.956,10.288461538461538,1.6730769230769231,33,0.32,0.6346153846153846,3.7884615384615383,197,491,0.288,6.6,5.21,1.79,0.608,0.235,0.27365365365365363,-227.70080731591685,-1.6893882971374918,-1.0875943694458121,-2.776982666583304,0.06227967097532315,18.018357802464283,0.1061061061061061,0.2167344567112144,7.580862533692722,1.184307500637937,0.5597347984337236,1.27,-4.08,Horizon League
282,UT Martin,54,1894,553,0.292,10.24074074074074,35.074074074074076,0.29197465681098206,231,4.277777777777778,464.2,430,8.33,484,1394,518,76,0.962,9.592592592592593,1.4074074074074074,44,0.377,0.8148148148148148,6.296296296296297,340,797,0.421,7.1,6.26,2.02,0.798,0.344,0.3416845397676498,98.42998184048756,0.7302848916915216,-1.0293055929519725,-0.299020701260451,0.12882787750791974,131.63842457476048,0.1032171581769437,0.2679500520291363,9.383886255924171,1.4086973354214245,0.5087090885786164,1.14,-4.11,Ohio Valley
283,North Dakota,45,1429,345,0.241,7.666666666666667,31.755555555555556,0.24142757172848145,137,3.0444444444444443,368.2,255,6.23,317,1105,404,72,0.954,8.977777777777778,1.6,40,0.323,0.8888888888888888,3.6444444444444444,164,452,0.316,6.8,5.1,1.74,0.639,0.23,0.2800120409391933,-164.77495480217752,-1.2225203923758732,-2.1051942698707014,-3.3277146622465743,0.0748775367389783,28.637657788305663,0.08248043347381095,0.22964509394572025,7.748506246605106,1.1554347797904794,0.5380385979229755,1.33,-4.22,Western Athletic
284,Niagara,54,1737,453,0.261,8.38888888888889,32.166666666666664,0.2607944732297064,175,3.240740740740741,432.0,320,6.67,377,1296,460,83,0.955,8.518518518518519,1.537037037037037,86,0.355,1.5925925925925926,4.796296296296297,259,592,0.341,7.0,5.67,1.75,0.696,0.335,0.30250719079578137,-97.99159863789396,-0.7270323803769837,-1.362905346254569,-2.0899377266315526,0.0800230282095567,66.20736435475467,0.08389261744966443,0.24942922374429224,7.854166666666667,1.3030493127375584,0.5341166597064666,1.24,-4.32,MAAC
285,Iona,50,1694,412,0.243,8.24,33.88,0.24321133412042503,151,3.02,430.0,308,6.45,382,1290,534,75,0.961,10.68,1.5,41,0.318,0.82,3.92,196,512,0.302,5.9,5.44,1.8,0.62,0.228,0.27327852004111,-223.46950601443314,-1.6579948603523884,-1.4753880896935827,-3.133382950045971,0.0590318772136954,17.391837870997833,0.0775950668036999,0.23450292397660819,7.995348837209303,1.4083490592218464,0.5350090499473821,1.09,-4.45,MAAC
286,Chicago St.,55,1720,390,0.227,7.090909090909091,31.272727272727273,0.22674418604651161,214,3.890909090909091,455.2,340,6.72,420,1367,529,75,0.962,9.618181818181819,1.3636363636363635,40,0.324,0.7272727272727273,3.7636363636363637,207,518,0.301,6.2,5.71,1.88,0.625,0.215,0.2767140058765916,-218.20653831766137,-1.618947146205275,-1.2085025883974687,-2.8274497346027436,0.07441860465116279,23.129527798608464,0.10479921645445642,0.21729106628242076,8.304042179261863,1.4801166630314881,0.5379591156679984,1.08,-4.75,Western Athletic
287,Alabama A&M,57,1859,480,0.258,8.421052631578947,32.6140350877193,0.258203335126412,208,3.6491228070175437,461.2,426,8.3,542,1385,532,103,0.949,9.333333333333334,1.8070175438596492,45,0.345,0.7894736842105263,5.140350877192983,293,698,0.375,7.2,6.37,2.03,0.72,0.245,0.3108555657773689,-59.988544120486296,-0.4450750333039378,-1.1362906427161183,-1.581365676020056,0.1172673480365788,80.15019204714594,0.09567617295308188,0.2390608324439701,10.576756287944493,1.4861507129890483,0.4456043951113145,1.13,-5.24,SWAC
288,Savannah St.,52,1673,397,0.237,7.634615384615385,32.17307692307692,0.2372982665869695,180,3.4615384615384617,434.2,310,6.42,397,1305,540,111,0.943,10.384615384615385,2.1346153846153846,65,0.332,1.25,4.288461538461538,223,509,0.304,5.3,5.24,1.87,0.636,0.258,0.27882030861124935,-204.85587261543597,-1.5198941008419267,-1.5093371759638952,-3.029231276805822,0.06694560669456066,26.64731613012405,0.0895968143354903,0.23013048635824437,8.228926761860894,1.5160149684108928,0.5414586519187828,1.0,-5.49,MEAC
289,Delaware St.,50,1583,381,0.241,7.62,31.66,0.2406822488945041,199,3.98,412.0,277,6.05,392,1236,474,107,0.941,9.48,2.14,54,0.343,1.08,4.12,206,478,0.302,8.8,5.11,1.76,0.645,0.236,0.2863188253801783,-161.25584015719522,-1.1964109061267978,-1.1508318720025512,-2.347242778129349,0.06127605811749842,39.17077458620328,0.10435238594651285,0.234815278647464,8.563106796116505,0.6931798433626066,0.48692577959212247,1.73,-5.55,MEAC
290,N.C. A&T,54,1769,482,0.272,8.925925925925926,32.75925925925926,0.2724703222159412,154,2.8518518518518516,444.1,452,9.16,507,1333,502,90,0.953,9.296296296296296,1.6666666666666667,57,0.348,1.0555555555555556,5.314814814814815,287,699,0.395,6.7,6.0,2.03,0.743,0.261,0.3193159448818898,-16.15719944384853,-0.11987565602735359,-1.3435109801262017,-1.4633866361535552,0.12266817410966648,94.28008059752953,0.07578740157480315,0.25196408529741865,10.274712902499436,1.4702033395690728,0.46245868730102285,1.11,-5.61,MEAC
291,UMES,48,1528,373,0.244,7.770833333333333,31.833333333333332,0.24410994764397906,134,2.7916666666666665,383.1,322,7.56,383,1150,458,87,0.949,9.541666666666666,1.8125,37,0.319,0.7708333333333334,4.4375,213,509,0.333,5.1,5.4,1.9,0.652,0.255,0.2798589164785553,-176.41636093922781,-1.3088918704658525,-2.2553783130114384,-3.5642701834772907,0.08900523560209424,28.38192083651871,0.07562076749435666,0.23292127521145087,8.997650743931088,1.6390668014794518,0.5010811053598324,0.95,-5.75,MEAC
292,Mount St. Mary's,48,1442,316,0.219,6.583333333333333,30.041666666666668,0.21914008321775313,155,3.2291666666666665,379.0,297,7.05,372,1138,438,77,0.953,9.125,1.6041666666666667,27,0.305,0.5625,3.2083333333333335,154,421,0.292,5.7,5.22,1.93,0.597,0.166,0.2655949519230769,-220.76962363445762,-1.6379635317411985,-2.1793417764594287,-3.817305308200627,0.07281553398058252,4.559320576462748,0.09314903846153846,0.20951068228807718,8.83377308707124,1.4615474713635304,0.5192050702537397,1.1,-5.87,Northeast
293,Saint Peter's,52,1694,411,0.243,7.903846153846154,32.57692307692308,0.2426210153482881,156,3.0,420.0,373,7.99,444,1260,548,90,0.953,10.538461538461538,1.7307692307692308,26,0.315,0.5,3.6923076923076925,192,553,0.326,6.0,5.06,1.99,0.641,0.177,0.27844881075491207,-198.87626155401347,-1.475529370353354,-1.544667634349153,-3.0201970047025073,0.08382526564344746,26.026868365088657,0.08066184074457083,0.23194362889019376,9.514285714285714,1.3315564268666895,0.4948608265689478,1.18,-5.87,MAAC
294,Coppin St.,52,1671,432,0.259,8.307692307692308,32.13461538461539,0.2585278276481149,196,3.769230769230769,420.2,387,8.28,460,1262,455,83,0.954,8.75,1.5961538461538463,45,0.35,0.8653846153846154,5.269230769230769,274,591,0.354,6.0,7.45,2.04,0.704,0.279,0.3056066734074823,-78.68453862213427,-0.5837868573275111,-2.1681455476227485,-2.7519324049502596,0.09515260323159784,71.38388698171163,0.09908998988877654,0.24301841948900774,9.85245121370776,2.1162629683103513,0.488858263467054,0.81,-5.89,MEAC
